date,open,high,low,close,volume
1980-03-17,0,3.925926,3.814815,3.888889,6413
1980-03-18,0,3.777778,3.592593,3.703704,12150
1980-03-19,0,3.666667,3.62963,3.62963,6075
1980-03-20,0,3.62963,3.481481,3.481481,8775
1980-03-21,0,3.555556,3.481481,3.518519,12488
1980-03-24,0,3.555556,3.518519,3.518519,5400
1980-03-25,0,3.481481,3.259259,3.333333,17213
1980-03-26,0,3.37037,3.259259,3.296296,8100
1980-03-27,0,3.111111,2.777778,2.851852,19913
1980-03-28,0,2.925926,2.740741,2.925926,31050
1980-03-31,0,3.074074,2.962963,3.074074,26663
1980-04-01,0,3.148148,2.962963,2.962963,11138
1980-04-02,0,3.037037,3.037037,3.037037,3038
1980-04-03,0,3.185185,3.037037,3.148148,8775
1980-04-07,0,3.037037,2.925926,2.962963,15863
1980-04-08,0,2.925926,2.814815,2.925926,12825
1980-04-09,0,2.925926,2.851852,2.851852,3375
1980-04-10,0,2.925926,2.925926,2.925926,5063
1980-04-11,0,2.962963,2.925926,2.925926,4050
1980-04-14,0,2.962963,2.851852,2.888889,9450
1980-04-15,0,2.962963,2.925926,2.962963,2700
1980-04-16,0,3,2.962963,3,20588
1980-04-17,0,3,2.962963,2.962963,1013
1980-04-18,0,3,2.962963,2.962963,4050
1980-04-21,0,2.925926,2.851852,2.851852,2363
1980-04-22,0,3.037037,2.888889,3,16200
1980-04-23,0,3.148148,3.037037,3.148148,12488
1980-04-24,0,3.148148,3.111111,3.148148,2363
1980-04-25,0,3.074074,3.037037,3.037037,1350
1980-04-28,0,3.111111,3.074074,3.111111,1350
1980-04-29,0,3.185185,3.111111,3.185185,1688
1980-04-30,0,3.111111,3.074074,3.074074,1350
1980-05-01,0,3.111111,3.037037,3.111111,2363
1980-05-02,0,3.111111,3.111111,3.111111,675
1980-05-05,0,3.111111,3.074074,3.074074,2025
1980-05-06,0,3.037037,2.962963,2.962963,4050
1980-05-07,0,2.962963,2.962963,2.962963,2025
1980-05-08,0,3,2.962963,2.962963,4050
1980-05-09,0,3.037037,2.851852,2.851852,12825
1980-05-12,0,2.888889,2.814815,2.814815,11138
1980-05-13,0,2.925926,2.814815,2.925926,5063
1980-05-14,0,3,2.888889,2.925926,7088
1980-05-15,0,2.925926,2.888889,2.888889,675
1980-05-16,0,2.962963,2.925926,2.962963,2025
1980-05-19,0,2.925926,2.851852,2.851852,6413
1980-05-20,0,2.814815,2.777778,2.777778,7088
1980-05-21,0,2.777778,2.777778,2.777778,1350
1980-05-22,0,2.851852,2.777778,2.851852,7088
1980-05-23,0,3.185185,3,3.185185,23963
1980-05-27,0,3.185185,3.111111,3.185185,10125
1980-05-28,0,3.148148,3.111111,3.148148,3713
1980-05-29,0,3.148148,3.148148,3.148148,675
1980-05-30,0,3.111111,3,3.037037,21263
1980-06-02,0,2.962963,2.703704,2.777778,58725
1980-06-03,0,2.851852,2.777778,2.814815,8775
1980-06-04,0,2.925926,2.777778,2.925926,4388
1980-06-05,0,2.962963,2.925926,2.925926,9788
1980-06-06,0,2.962963,2.888889,2.962963,5063
1980-06-09,0,2.962963,2.962963,2.962963,4050
1980-06-10,0,2.925926,2.851852,2.925926,4725
1980-06-11,0,2.925926,2.888889,2.925926,5738
1980-06-12,0,2.925926,2.851852,2.851852,15863
