date,open,high,low,close,volume
2001-12-11,4.6,4.65,4.4875,4.5675,15192400
2001-12-12,4.4875,4.4975,4.425,4.4575,3605600
2001-12-13,4.4,4.4375,4.355,4.3625,1921600
2001-12-14,4.2875,4.2875,4.25,4.275,1186000
2001-12-17,4.3875,4.45,4.3625,4.45,660400
2001-12-18,4.425,4.495,4.425,4.49,344800
2001-12-19,4.3625,4.45,4.315,4.4075,1068400
2001-12-20,4.375,4.375,4.3125,4.325,157200
2001-12-21,4.35,4.3625,4.3,4.345,258800
2001-12-24,4.175,4.3125,4.1675,4.2625,183200
2001-12-26,4.25,4.275,4.25,4.275,149200
2001-12-27,4.275,4.3375,4.275,4.2875,712400
2001-12-28,4.3,4.325,4.3,4.3,428800
2001-12-31,4.3,4.3725,4.3,4.37,549600
2002-01-02,4.375,4.4,4.3625,4.395,828800
2002-01-03,4.4325,4.4875,4.405,4.4575,914400
2002-01-04,4.6,4.6875,4.5625,4.6875,1876800
2002-01-07,5.025,5.025,4.8375,4.9875,1079600
2002-01-08,4.95,4.9625,4.8875,4.9375,226000
2002-01-09,4.9125,4.92,4.85,4.85,83200
2002-01-10,4.875,4.875,4.8,4.8375,163600
2002-01-11,4.825,4.8375,4.795,4.795,92000
2002-01-14,4.7625,4.7625,4.7,4.7125,666000
2002-01-15,4.6625,4.6625,4.5825,4.6125,229600
2002-01-16,4.65,4.7375,4.65,4.65,132000
2002-01-17,4.7125,4.75,4.705,4.7375,554000
2002-01-18,4.7125,4.7125,4.6,4.675,64000
2002-01-22,4.75,4.75,4.705,4.7275,106000
2002-01-23,4.8,4.8125,4.7375,4.8125,310000
2002-01-24,4.95,4.975,4.9325,4.9375,300800
2002-01-25,5.2625,5.325,5.225,5.2875,1273600
2002-01-28,5.375,5.4475,5.375,5.4,735200
2002-01-29,5.3125,5.3125,5.225,5.225,140000
2002-01-30,5.2875,5.3125,5.2625,5.2875,401200
2002-01-31,5.2625,5.2625,5.25,5.25,116000
2002-02-01,5,5.0125,4.975,4.975,308000
2002-02-04,5.25,5.25,5.1875,5.1875,236400
2002-02-05,5.2125,5.2375,5.2,5.22,392800
2002-02-06,5.2,5.2,5.175,5.175,20800
2002-02-07,5.175,5.175,5.0875,5.1125,158400
2002-02-08,5.1,5.1,5.0875,5.0875,17600
2002-02-11,5.1,5.125,5.0875,5.125,98000
2002-02-12,5.1,5.12,5.1,5.1125,39200
2002-02-13,5.125,5.125,5.0875,5.12,79600
2002-02-14,5.125,5.15,5.125,5.15,29600
2002-02-15,5.3125,5.3875,5.3125,5.365,103600
2002-02-19,5.425,5.5625,5.425,5.5125,908000
2002-02-20,5.52,5.525,5.4875,5.5125,997600
2002-02-21,5.525,5.525,5.5,5.5025,761600
2002-02-22,5.495,5.52,5.43,5.52,29600
2002-02-25,5.4625,5.4625,5.425,5.4625,140800
2002-02-26,5.375,5.4325,5.375,5.4125,64400
2002-02-27,5.6875,5.6875,5.6375,5.6375,110000
2002-02-28,5.8,5.8075,5.775,5.775,211200
2002-03-01,5.775,5.775,5.7,5.7,143200
2002-03-04,5.8375,6,5.8375,5.995,202800
2002-03-05,6.175,6.175,6.05,6.0625,109200
2002-03-06,5.9625,6.025,5.9625,6.025,382400
2002-03-07,5.875,5.8875,5.8375,5.85,41600
2002-03-08,5.975,5.9875,5.905,5.9125,266000
2002-03-11,6.05,6.05,6,6.0025,61600
2002-03-12,5.9375,5.9375,5.8375,5.875,24000
2002-03-13,5.7375,5.7725,5.7275,5.7725,10800
2002-03-14,5.575,5.575,5.5,5.5125,55200
2002-03-15,5.5375,5.5375,5.515,5.515,12400
2002-03-18,5.4375,5.45,5.29,5.36,243200
2002-03-19,5.3875,5.4125,5.3675,5.3675,93600
2002-03-20,5.375,5.375,5.325,5.325,25600
2002-03-21,5.31,5.3375,5.3,5.3375,34000
2002-03-22,5.3375,5.3375,5.32,5.32,17200
2002-03-25,5.45,5.4525,5.45,5.45,16000
2002-03-26,5.35,5.395,5.345,5.375,11200
2002-03-27,5.525,5.525,5.4925,5.5225,98400
2002-03-28,5.55,5.55,5.5275,5.5375,72400
2002-04-01,5.5375,5.5375,5.5125,5.5375,53200
2002-04-02,5.475,5.475,5.4375,5.4375,70000
2002-04-03,5.4625,5.4625,5.4375,5.4375,69600
2002-04-04,5.4375,5.4375,5.4375,5.4375,2800
2002-04-05,5.455,5.5125,5.455,5.5125,40400
2002-04-08,5.7,5.7,5.65,5.65,79600
2002-04-09,5.6125,5.6125,5.6,5.6,16400
2002-04-10,5.5,5.545,5.5,5.545,43200
2002-04-11,5.4,5.5,5.375,5.45,78800
2002-04-12,5.45,5.45,5.45,5.45,1200
2002-04-15,5.4625,5.6,5.4625,5.55,56800
2002-04-16,5.3875,5.425,5.3875,5.425,78800
2002-04-17,5.375,5.375,5.3125,5.3125,24800
2002-04-18,5.275,5.275,5.255,5.255,25200
2002-04-19,4.9875,4.9875,4.825,4.9275,329600
2002-04-22,5.075,5.1,5.075,5.1,35200
2002-04-23,5,5.025,4.9875,5,54800
2002-04-24,4.7,4.7,4.6625,4.6775,292400
2002-04-25,4.675,4.675,4.525,4.53,196000
2002-04-26,4.675,4.675,4.67,4.67,48000
2002-04-29,4.6375,4.6375,4.6175,4.6175,6800
2002-04-30,4.545,4.5625,4.545,4.55,8400
2002-05-01,4.5625,4.575,4.56,4.575,15600
2002-05-02,4.59,4.6,4.59,4.6,6800
2002-05-03,4.6,4.6175,4.6,4.6125,8000
2002-05-06,4.75,4.75,4.7075,4.7075,37600
2002-05-07,4.8875,4.8875,4.85,4.85,200000
2002-05-08,4.8375,4.97,4.8125,4.97,28400
2002-05-09,4.875,4.875,4.8375,4.8625,17200
2002-05-10,4.85,4.875,4.85,4.875,6400
2002-05-13,4.9375,4.95,4.9375,4.95,29600
2002-05-14,5.025,5.0875,5.025,5.0875,94000
2002-05-15,5.075,5.0875,5.075,5.075,2000
2002-05-16,4.9375,4.9375,4.9275,4.9275,22800
2002-05-17,4.9375,5.025,4.9375,4.9875,48800
2002-05-20,4.975,5.005,4.975,5.005,20000
2002-05-21,4.775,4.8325,4.7375,4.75,114800
2002-05-22,4.7,4.7,4.6625,4.6625,21600
2002-05-23,4.6625,4.6625,4.6625,4.6625,800
2002-05-24,4.665,4.665,4.6375,4.6375,114000
2002-05-28,4.65,4.68,4.645,4.645,41600
2002-05-29,4.6375,4.6375,4.6375,4.6375,4000
2002-05-30,4.545,4.5475,4.545,4.545,3200
2002-05-31,4.545,4.5475,4.545,4.5475,16000
2002-06-03,4.6,4.6,4.58,4.58,35200
2002-06-04,4.625,4.625,4.6125,4.6125,2400
2002-06-05,4.7,4.7125,4.6975,4.7125,7600
2002-06-06,4.6625,4.6625,4.65,4.65,4400
2002-06-07,4.575,4.575,4.545,4.545,18400
2002-06-10,4.625,4.625,4.6125,4.6125,2400
2002-06-11,4.6125,4.6125,4.6125,4.6125,5200
2002-06-12,4.55,4.55,4.5375,4.55,7200
2002-06-13,4.53,4.53,4.5,4.5,37600
2002-06-14,4.5,4.5075,4.5,4.5,1200
2002-06-17,4.4125,4.4125,4.4,4.4,36800
2002-06-18,4.42,4.475,4.42,4.45,28000
2002-06-19,4.2875,4.3675,4.2875,4.3675,15600
2002-06-20,4.5125,4.5125,4.495,4.495,56800
2002-06-21,4.4875,4.4875,4.425,4.4375,161200
2002-06-24,4.4875,4.4875,4.4575,4.4625,10800
2002-06-25,4.5,4.5,4.4875,4.4875,1200
2002-06-26,4.375,4.385,4.35,4.375,170400
2002-06-27,4.5425,4.6375,4.525,4.6375,36000
2002-06-28,4.625,4.775,4.625,4.775,1023200
2002-07-01,4.775,4.775,4.7,4.7,94400
2002-07-02,4.6975,4.7,4.665,4.67,76800
2002-07-03,4.775,4.775,4.7425,4.7425,2400
2002-07-05,4.8625,4.875,4.8575,4.875,64800
2002-07-08,4.9625,4.975,4.9375,4.9375,39200
2002-07-09,4.85,4.85,4.8125,4.8125,37200
2002-07-10,4.8125,4.8125,4.775,4.775,8000
2002-07-11,4.625,4.625,4.56,4.56,39200
2002-07-12,4.56,4.56,4.51,4.52,43200
2002-07-15,4.495,4.5,4.4375,4.45,26000
2002-07-16,4.35,4.375,4.35,4.37,6000
2002-07-17,4.3725,4.375,4.355,4.355,6400
2002-07-18,4.3425,4.365,4.3425,4.3625,5200
2002-07-19,4.2875,4.38,4.2875,4.3625,17200
2002-07-22,4.2,4.275,4.2,4.2125,102000
2002-07-23,4.1375,4.1375,4.1,4.1,70000
2002-07-24,3.875,3.875,3.845,3.8725,204400
2002-07-25,3.65,3.675,3.555,3.555,52400
2002-07-26,3.535,3.535,3.5,3.5,28000
2002-07-29,3.6125,3.675,3.575,3.675,42800
2002-07-30,3.8875,3.8875,3.875,3.875,5200
2002-07-31,3.9875,3.9925,3.98,3.9925,3600
2002-08-01,3.93,3.975,3.93,3.9625,50400
2002-08-02,3.675,3.71,3.675,3.685,22400
2002-08-05,3.575,3.575,3.55,3.55,10000
2002-08-06,3.5375,3.575,3.5375,3.575,6400
2002-08-07,3.5875,3.5875,3.5625,3.5625,5600
2002-08-08,3.575,3.7875,3.575,3.7875,65200
2002-08-09,3.625,3.6625,3.6,3.6,107600
2002-08-12,3.5375,3.5625,3.5175,3.55,24400
2002-08-13,3.545,3.55,3.5375,3.5375,41600
2002-08-14,3.75,3.75,3.6625,3.6875,72400
2002-08-15,3.85,3.875,3.8425,3.875,10400
2002-08-16,3.7875,3.92,3.7875,3.9125,24800
2002-08-19,3.75,3.815,3.75,3.815,40800
2002-08-20,3.8075,3.8375,3.8075,3.825,10800
2002-08-21,3.8125,3.8125,3.75,3.775,178800
2002-08-22,3.8125,3.8125,3.77,3.785,23200
2002-08-23,3.77,3.795,3.77,3.795,32800
2002-08-26,3.7875,3.7875,3.7625,3.775,2800
2002-08-27,3.625,3.625,3.5875,3.5875,32400
2002-08-28,3.4675,3.47,3.4625,3.4625,2000
2002-08-29,3.5375,3.5375,3.5075,3.5075,29600
2002-08-30,3.62,3.6375,3.6175,3.625,39600
2002-09-03,3.6,3.6,3.5,3.5,84000
2002-09-04,3.55,3.55,3.535,3.5375,68400
2002-09-05,3.545,3.545,3.5025,3.5025,4400
2002-09-06,3.3375,3.34,3.3025,3.3375,58000
2002-09-09,3.3375,3.3375,3.3125,3.315,24400
2002-09-10,3.3,3.3575,3.3,3.3575,50800
2002-09-11,3.345,3.375,3.345,3.37,10000
2002-09-12,3.375,3.375,3.325,3.325,7600
2002-09-13,3.3,3.3,3.225,3.2875,76000
2002-09-16,3.3,3.3,3.26,3.275,120800
2002-09-17,3.3625,3.3625,3.3325,3.3425,20000
2002-09-18,3.2375,3.275,3.2225,3.275,14800
2002-09-19,3.125,3.125,3.075,3.075,17200
2002-09-20,2.875,2.8875,2.875,2.8875,14400
2002-09-23,2.75,2.75,2.6575,2.7125,84800
2002-09-24,2.685,2.6975,2.65,2.65,3200
2002-09-25,2.645,2.645,2.6125,2.625,11200
2002-09-26,2.55,2.55,2.5,2.5,30400
2002-09-27,2.475,2.475,2.475,2.475,5600
2002-09-30,2.4775,2.4925,2.475,2.475,17200
2002-10-01,2.475,2.4875,2.4625,2.4875,23200
2002-10-02,2.435,2.4375,2.425,2.425,18800
2002-10-03,2.44,2.44,2.42,2.42,5600
2002-10-04,2.4125,2.4125,2.3875,2.3875,6400
2002-10-07,2.3625,2.3625,2.3425,2.345,10800
2002-10-08,2.55,2.55,2.5075,2.51,18400
2002-10-09,2.395,2.395,2.3525,2.3525,22000
