date,open,high,low,close,volume
2012-09-25,5000,5000,5000,5000,0
2012-09-26,5000,5000,5000,5000,0
2012-09-27,5000,5000,5000,5000,0
2012-09-28,5000,5000,5000,5000,0
2012-10-01,5000,5000,5000,5000,0
2012-10-02,5000,5000,5000,5000,0
2012-10-03,5000,5000,5000,5000,0
2012-10-04,5000,5000,5000,5000,0
2012-10-05,5000,5000,5000,5000,0
2012-10-08,5000,5000,5000,5000,0
2012-10-09,5000,5000,5000,5000,0
2012-10-10,5000,5000,5000,5000,0
2012-10-11,5000,5000,5000,5000,0
2012-10-12,5000,5000,5000,5000,0
2012-10-15,5000,5000,5000,5000,0
2012-10-16,5000,5000,5000,5000,0
2012-10-17,5000,5000,5000,5000,0
2012-10-18,5000,5000,5000,5000,0
2012-10-19,5000,5000,5000,5000,0
2012-10-22,5000,5000,5000,5000,0
2012-10-23,5000,5000,5000,5000,0
2012-10-24,5200,5200,5200,5200,0
2012-10-25,5200,5200,5200,5200,0
2012-10-26,5200,5200,5200,5200,0
2012-10-31,5200,5200,5200,5200,0
2012-11-01,5200,5200,5200,5200,0
2012-11-02,5200,5200,5200,5200,0
2012-11-05,5200,5200,5200,5200,0
2012-11-06,5200,5200,5200,5200,0
2012-11-07,5200,5200,5200,5200,0
2012-11-08,5200,5200,5200,5200,0
2012-11-09,5200,5200,5200,5200,0
2012-11-12,5200,5200,5200,5200,0
2012-11-13,5200,5200,5200,5200,0
2012-11-14,5200,5200,5200,5200,0
2012-11-15,5200,5200,5200,5200,0
2012-11-16,5200,5200,5200,5200,0
2012-11-19,5200,5200,5200,5200,0
2012-11-20,5200,5200,5200,5200,0
2012-11-21,5200,5200,5200,5200,0
2012-11-23,5200,5200,5200,5200,0
2012-11-26,5200,5200,5200,5200,0
2012-11-27,5200,5200,5200,5200,0
2012-11-28,5200,5200,5200,5200,0
2012-11-29,5200,5200,5200,5200,0
2012-11-30,5200,5200,5200,5200,0
2012-12-03,5200,5200,5200,5200,0
2012-12-04,5200,5200,5200,5200,0
2012-12-05,5200,5200,5200,5200,0
2012-12-06,5200,5200,5200,5200,0
2012-12-07,5200,5200,5200,5200,0
2012-12-10,5200,5200,5200,5200,0
2012-12-11,5200,5200,5200,5200,0
2012-12-12,5200,5200,5200,5200,0
2012-12-13,5200,5200,5200,5200,0
2012-12-14,5200,5200,5200,5200,0
2012-12-17,5200,5200,5200,5200,0
2012-12-18,5200,5200,5200,5200,0
2012-12-19,5200,5200,5200,5200,0
2012-12-20,5200,5200,5200,5200,0
2012-12-21,5200,5200,5200,5200,0
2012-12-24,5200,5200,5200,5200,0
2012-12-26,5200,5200,5200,5200,0
2012-12-27,5200,5200,5200,5200,0
2012-12-28,5200,5200,5200,5200,0
2012-12-31,5200,5200,5200,5200,0
2013-01-02,5200,5200,5200,5200,0
2013-01-03,5200,5200,5200,5200,0
2013-01-04,5200,5200,5200,5200,0
2013-01-07,5200,5200,5200,5200,0
2013-01-08,5200,5200,5200,5200,0
2013-01-09,5200,5200,5200,5200,0
2013-01-10,5200,5200,5200,5200,0
2013-01-11,3600,3600,3600,3600,0
2013-01-14,3600,3600,3600,3600,0
2013-01-15,3600,3600,3600,3600,0
2013-01-16,3600,3600,3600,3600,0
2013-01-17,3600,3600,3600,3600,0
2013-01-18,3600,3600,3600,3600,0
2013-01-22,3600,3600,3600,3600,0
2013-01-23,3600,3600,3600,3600,0
2013-01-24,3600,3600,3600,3600,0
2013-01-25,3600,3600,3600,3600,0
2013-01-28,3600,3600,3600,3600,0
2013-01-29,3600,3600,3600,3600,0
2013-01-30,3600,3600,3600,3600,0
2013-01-31,3600,3600,3600,3600,0
2013-02-01,3600,3600,3600,3600,0
2013-02-04,3600,3600,3600,3600,0
2013-02-05,3600,3600,3600,3600,0
2013-02-06,3600,3600,3600,3600,0
2013-02-07,3600,3600,3600,3600,0
2013-02-08,3600,3600,3600,3600,0
2013-02-11,3600,3600,3600,3600,0
2013-02-12,3600,3600,3600,3600,0
2013-02-13,3480,3480,3480,3480,0
2013-02-14,3480,3480,3480,3480,0
2013-02-15,4000,4400,4000,4280,41
2013-02-19,4280,4280,4280,4280,5
2013-02-20,4280,4360,4280,4360,5
2013-02-21,4360,4480,4360,4480,36
2013-02-22,4480,4600,4400,4560,17
2013-02-25,4560,4600,4240,4520,13
2013-02-26,4520,4600,4520,4600,2
2013-02-27,4600,4640,4240,4560,7
2013-02-28,4520,4640,4520,4640,9
2013-03-01,4600,4680,4600,4680,11
2013-03-04,4680,4680,4600,4680,15
2013-03-05,4680,4760,4680,4760,27
2013-03-06,4760,4800,4400,4800,13
2013-03-07,4800,4800,4800,4800,4
2013-03-08,4800,4840,4280,4800,9
2013-03-11,4760,4760,4640,4640,1
2013-03-12,4600,4640,3600,3980,11
2013-03-13,3960,4400,3880,4320,4
2013-03-14,4240,4560,3600,4440,5
2013-03-15,4440,4440,4200,4200,0
2013-03-18,4000,4000,3200,3200,10
2013-03-19,3600,3600,2800,3200,11
2013-03-20,3200,3600,3200,3600,3
2013-03-21,3600,3800,3450,3600,2
2013-03-22,3600,4400,3600,4240,7
2013-03-25,4400,4400,3000,4000,1
2013-03-26,4000,4400,4000,4400,15
2013-03-27,4400,4400,4360,4360,3
2013-03-28,4400,4600,2920,4600,6
2013-04-01,4560,4560,4560,4560,1
2013-04-02,4560,4600,3000,4600,6
2013-04-03,4240,4400,4240,4400,1
2013-04-04,4360,4600,4360,4400,6
2013-04-05,4600,4600,4520,4560,15
2013-04-08,4480,4480,4400,4480,2
2013-04-09,4480,4680,4480,4600,7
2013-04-10,4680,4720,4680,4720,4
2013-04-11,4720,4800,4720,4760,9
2013-04-12,4720,4760,4680,4680,3
2013-04-15,4760,4760,4720,4720,1
2013-04-16,4720,4800,4720,4760,7
2013-04-17,4760,4760,4720,4760,5
2013-04-18,4760,4760,3200,4760,2
2013-04-19,4760,4760,3000,4760,2
2013-04-22,4720,4720,4680,4680,0
2013-04-23,4680,4680,4000,4200,14
2013-04-24,4200,4520,3800,4520,11
2013-04-25,4480,4480,4200,4400,2
2013-04-26,4480,4760,4480,4760,7
2013-04-29,4760,4760,4680,4680,1
2013-04-30,4720,4800,4600,4600,1
2013-05-01,4320,4800,4320,4720,2
2013-05-02,4720,4720,4520,4680,2
2013-05-03,4720,4800,4720,4760,5
2013-05-06,4760,4760,4760,4760,1
2013-05-07,4760,4800,4760,4800,2
2013-05-08,4760,4760,4520,4600,5
2013-05-09,4600,4600,4360,4560,5
2013-05-10,4600,4720,4600,4720,3
2013-05-13,4680,4720,4680,4680,4
2013-05-14,4720,4720,4040,4720,11
2013-05-15,4720,4840,4720,4800,4
2013-05-16,4800,4880,4800,4800,10
2013-05-17,4800,4840,4800,4800,5
2013-05-20,4920,4920,4760,4920,3
2013-05-21,4760,4960,4200,4920,13
2013-05-22,4920,5000,4920,5000,5
2013-05-23,5040,5040,4800,5040,4
2013-05-24,5040,5160,5000,5160,5
2013-05-28,5160,5160,3880,4240,3
2013-05-29,4800,4840,4760,4840,3
2013-05-30,4720,5000,4400,5000,3
2013-05-31,5160,5400,5000,5400,21
2013-06-03,5400,5400,5320,5320,2
2013-06-04,5320,5320,5200,5200,0
2013-06-05,5200,5200,4800,5000,3
2013-06-06,4800,5200,4280,5200,2
2013-06-07,4800,5160,4800,5080,2
2013-06-10,5040,5040,4760,4760,9
2013-06-11,4800,4920,4240,4720,2
2013-06-12,4720,4800,4000,4760,8
2013-06-13,4720,4800,4640,4760,8
2013-06-14,4880,5000,4800,4800,2
2013-06-17,4600,4600,4600,4600,0
2013-06-18,4000,4280,4000,4280,8
2013-06-19,4200,4280,4200,4280,1
2013-06-20,4280,4280,4280,4280,0
2013-06-21,4000,4480,3880,4480,2
2013-06-24,4200,4200,4200,4200,1
2013-06-25,4600,4760,4400,4400,1
2013-06-26,4760,4760,4200,4480,2
2013-06-27,4480,4520,4400,4480,3
2013-06-28,4400,4640,4320,4480,1
2013-07-01,4600,4680,4560,4640,10
2013-07-02,4720,4720,3520,4720,13
2013-07-03,4600,4600,3000,3600,13
2013-07-05,4000,4320,3600,3800,3
2013-07-08,3800,4000,3800,3800,2
2013-07-09,3600,4040,3400,4000,8
2013-07-10,4040,4040,3400,3800,2
2013-07-11,3400,4000,3400,4000,0
