date,open,high,low,close,volume
2017-06-28,10,10.04,10,10,857300
2017-06-29,10,10.02,10,10,154200
2017-06-30,10.02,10.03,10.01,10.02,41000
2017-07-03,10.02,10.03,10,10.01,28100
2017-07-05,10.03,10.04,10,10.02,96000
2017-07-06,10.02,10.04,10.01,10.04,45800
2017-07-07,10.03,10.05,10.01,10.035,72000
2017-07-10,10.04,10.09,10.02,10.05,55200
2017-07-11,10.07,10.09,10.06,10.08,41400
2017-07-12,10.1,10.12,10.07,10.12,63800
2017-07-13,10.14,10.14,10.12,10.14,27500
2017-07-14,10.15,10.5,10.146,10.28,136500
2017-07-17,10.204,10.239,10.2,10.232,11000
2017-07-18,10.25,10.25,10.2,10.22,9600
2017-07-19,10.178,10.2,10.13,10.15,20800
2017-07-20,10.17,10.35,10.141,10.25,17600
2017-07-21,10.4,10.48,10.3,10.35,33100
2017-07-24,10.45,10.45,10.294,10.3,6700
2017-07-25,10.18,10.2,10.03,10.15,101800
2017-07-26,10.171,10.171,10.1,10.11,38400
2017-07-27,10.15,10.18,10.1,10.1,20400
2017-07-28,10.15,10.15,10.05,10.15,22900
2017-07-31,10.15,10.15,10.1,10.15,11800
2017-08-01,10.123,10.163,10.1,10.14,13100
2017-08-02,10.14,10.14,10.09,10.12,50300
2017-08-03,10.14,10.14,10.095,10.095,12800
2017-08-04,10.13,10.14,10.099,10.14,8100
2017-08-07,10.13,10.25,10.13,10.22,27900
2017-08-08,10.16,10.2,10.12,10.19,21000
2017-08-09,10.19,10.19,10.18,10.18,8000
2017-08-10,10.164,10.2,10.16,10.17,18400
2017-08-11,10.16,10.22,10.15,10.17,24300
2017-08-14,10.17,10.195,10.01,10.05,46600
2017-08-15,10.062,10.062,9.9,9.91,86000
2017-08-16,9.96,9.96,9.74,9.92,103200
2017-08-17,9.86,9.95,9.77,9.77,66600
2017-08-18,9.8,9.89,9.71,9.78,87100
2017-08-21,9.83,9.86,9.8,9.86,8700
2017-08-22,9.86,9.98,9.84,9.85,71700
2017-08-23,9.78,9.9,9.7,9.8,59400
2017-08-24,9.836,9.836,9.79,9.8,7400
2017-08-25,9.8,9.83,9.8,9.81,16700
2017-08-28,9.84,9.89,9.81,9.89,42500
2017-08-29,9.86,9.94,9.85,9.92,25000
2017-08-30,9.93,9.94,9.85,9.85,21400
2017-08-31,9.83,9.9,9.83,9.9,23400
2017-09-01,9.94,9.95,9.898,9.94,30300
2017-09-05,9.9,9.95,9.865,9.95,16600
2017-09-06,9.93,10.02,9.9,10.02,46600
2017-09-07,9.997,10.02,9.95,10.02,20000
2017-09-08,9.91,10.02,9.9,10.01,20200
2017-09-11,10.02,10.04,9.958,10.04,46000
2017-09-12,9.984,10.05,9.984,10.03,35500
2017-09-13,10.04,10.05,10,10.02,34800
2017-09-14,10,10.038,9.99,10.023,20000
2017-09-15,10.04,10.04,9.95,10,37700
2017-09-18,10,10.03,9.777,9.95,15700
2017-09-19,9.95,9.96,9.85,9.9,16700
2017-09-20,9.95,9.95,9.9,9.9,6500
2017-09-21,9.91,9.91,9.71,9.74,40200
2017-09-22,9.81,9.85,9.81,9.83,9800
2017-09-25,9.83,9.88,9.72,9.81,45100
2017-09-26,9.85,9.86,9.797,9.86,30400
2017-09-27,9.87,9.88,9.8,9.82,44700
2017-09-28,9.82,9.92,9.82,9.92,18400
2017-09-29,9.877,9.96,9.86,9.95,30300
2017-10-02,9.96,9.98,9.941,9.98,21000
2017-10-03,9.93,9.937,9.891,9.93,23000
2017-10-04,9.92,9.92,9.89,9.9,12000
2017-10-05,9.9,9.9,9.87,9.89,21200
2017-10-06,9.89,9.89,9.866,9.89,17000
2017-10-09,9.9,9.94,9.9,9.93,5100
2017-10-10,9.896,10.05,9.896,10,48000
2017-10-11,9.96,9.96,9.921,9.94,13100
2017-10-12,9.941,9.99,9.941,9.97,4400
2017-10-13,9.94,9.95,9.9,9.93,4200
2017-10-16,9.92,9.92,9.78,9.8,26000
2017-10-17,9.87,9.87,9.828,9.85,13800
2017-10-18,9.89,9.9,9.85,9.9,11700
2017-10-19,9.9,9.94,9.9,9.93,10100
