date,open,high,low,close,volume
2017-11-06,15.5,15.7,15.4,15.5,504200
2017-11-07,15.53,15.71,15.48,15.645,232100
2017-11-08,15.55,15.65,15.361,15.4,105500
2017-11-09,15.17,15.65,15.17,15.5,89400
2017-11-10,15.35,15.424,15.2,15.31,600100
2017-11-13,15.15,15.25,15,15.14,319500
2017-11-14,15.1,15.14,15,15.13,489100
2017-11-15,15.33,15.33,15.02,15.05,690800
2017-11-16,15,15.1,15,15.02,393300
2017-11-17,15.02,15.3,15.01,15.3,151600
2017-11-20,15.25,15.282,15.16,15.2,135600
2017-11-21,15.2,15.4,15.12,15.4,172600
2017-11-22,15.4,15.44,15.32,15.35,90100
2017-11-24,15.3,15.408,15.2,15.28,51400
2017-11-27,15,15.28,15,15.23,598300
2017-11-28,15.25,15.33,15.229,15.28,246800
2017-11-29,15.25,15.4,15.25,15.33,511100
2017-11-30,15.33,15.38,15.31,15.37,294000
2017-12-01,15.36,15.4,15.23,15.35,328900
2017-12-04,15.4,15.45,15.31,15.45,223100
2017-12-05,15.53,15.53,15.25,15.3,180400
2017-12-06,15.301,15.35,15.26,15.3,116800
2017-12-07,15.3,15.4,15.26,15.35,152700
2017-12-08,15.3,15.429,15.25,15.3,215100
2017-12-11,15.26,15.31,15.24,15.26,191000
2017-12-12,15.23,15.32,15.2,15.23,176800
2017-12-13,15.2,15.41,15.2,15.36,177400
2017-12-14,15.3,15.5,15.3,15.38,124700
2017-12-15,15.36,15.43,15.33,15.35,98600
2017-12-18,15.37,15.43,15.3,15.38,203600
2017-12-19,15.35,15.433,15.33,15.42,136100
2017-12-20,15.38,15.47,15.353,15.45,94100
2017-12-21,15.4,15.554,15.4,15.48,112700
2017-12-22,15.5,15.63,15.5,15.55,81100
2017-12-26,15.43,15.55,15.42,15.54,81100
2017-12-27,15.59,15.61,15.5,15.517,129600
2017-12-28,15.51,15.598,15.29,15.519,288000
2017-12-29,15.55,15.6,15.2,15.5,342800
2018-01-02,15.29,15.56,15.29,15.55,89100
2018-01-03,15.38,15.62,15.37,15.4,150100
2018-01-04,15.47,15.59,15.43,15.59,200500
2018-01-05,15.5,15.59,15.35,15.52,154600
2018-01-08,15.59,15.65,15.48,15.48,369200
2018-01-09,15.5,15.7,15.5,15.7,158400
2018-01-10,15.7,15.7,15.55,15.63,65300
2018-01-11,15.6,15.71,15.55,15.68,80300
2018-01-12,15.72,15.75,15.55,15.57,148800
2018-01-16,15.46,15.65,15.46,15.63,110300
2018-01-17,15.64,15.64,15.54,15.55,246300
2018-01-18,15.65,15.7,15.5,15.7,172600
2018-01-19,15.7,15.7,15.51,15.58,265700
2018-01-22,15.5,15.75,15.5,15.64,170400
2018-01-23,15.6,15.65,15.56,15.61,120800
2018-01-24,15.58,15.67,15.45,15.56,269600
2018-01-25,15.52,15.63,15.5,15.63,138200
2018-01-26,15.53,15.63,15.5,15.62,184600
2018-01-29,15.6,15.75,15.6,15.686,108100
2018-01-30,15.73,15.73,15.59,15.65,244700
2018-01-31,15.71,15.76,15.56,15.76,151200
2018-02-01,15.74,15.76,15.67,15.76,90700
2018-02-02,15.75,15.75,15.527,15.6,68200
2018-02-05,15.54,15.58,15.35,15.52,162100
2018-02-06,15.5,15.6,15.31,15.6,158100
2018-02-07,15.6,15.6,15.47,15.54,248700
2018-02-08,15.59,15.59,15.35,15.45,165400
2018-02-09,15.4,15.53,15.3,15.35,200900
2018-02-12,15.32,15.449,15.25,15.36,125600
2018-02-13,15.26,15.53,15.26,15.3,126700
2018-02-14,15.33,15.6,15.3,15.48,103900
2018-02-15,15.45,15.52,15.37,15.4,127300
2018-02-16,15.4,15.5,15.4,15.45,110500
2018-02-20,15.48,15.56,15.371,15.51,165600
2018-02-21,15.6,16.6,15.59,16.23,1894400
2018-02-22,16.33,16.42,16.1,16.18,725000
2018-02-23,16.139999,16.296,16,16.24,304500
2018-02-26,16.25,16.25,16.1,16.209999,353900
2018-02-27,16.200001,16.219999,16,16.110001,253500
2018-02-28,16.15,16.15,15.83,16.030001,447200
