date,open,high,low,close,volume
1990-08-15,11.75,11.875,11.75,11.75,326300
1990-08-16,11.75,11.875,11.75,11.75,65700
1990-08-17,11.75,11.875,11.75,11.875,65700
1990-08-20,11.75,11.875,11.75,11.75,78000
1990-08-21,11.75,11.75,11.75,11.75,49000
1990-08-22,11.75,11.875,11.75,11.75,184900
1990-08-23,11.75,11.875,11.75,11.75,48500
1990-08-24,11.625,11.625,11.5,11.625,152200
1990-08-27,11.625,11.625,11.5,11.5,1100
1990-08-28,11.5,11.5,11.5,11.5,36400
1990-08-29,11.5,11.5,11.5,11.5,20000
1990-08-30,11.5,11.5,11.5,11.5,35000
1990-08-31,11.5,11.5,11.5,11.5,100
1990-09-04,11.5,11.5,11.5,11.5,200
1990-09-05,11.5,11.625,11.5,11.625,800
1990-09-06,11.625,11.625,11.5,11.5,33300
1990-09-07,11.5,11.5,11.5,11.5,4500
1990-09-10,11.5,11.625,11.5,11.5,15000
1990-09-11,11.5,11.5,11.375,11.375,93300
1990-09-12,11.375,11.375,11.375,11.375,2200
1990-09-13,11.375,11.5,11.375,11.375,36100
1990-09-14,11.375,11.375,11.375,11.375,9600
1990-09-17,11.375,11.375,11.25,11.25,6400
1990-09-18,11.125,11.125,11,11.125,50400
1990-09-19,11,11,10.875,10.875,31600
1990-09-20,10.75,10.75,10.25,10.25,26800
1990-09-21,10.375,10.375,10.25,10.375,20700
1990-09-24,10.375,10.375,10,10.125,69600
1990-09-25,10,10.125,10,10,24000
1990-09-26,10,10,9.875,9.875,5600
1990-09-27,9.875,10,9.875,10,28100
1990-09-28,9.875,9.875,9.5,9.5,34000
1990-10-01,9.625,9.625,9.625,9.625,2300
1990-10-02,9.75,9.75,9.75,9.75,4200
1990-10-03,9.625,9.625,9.5,9.625,8100
1990-10-04,9.625,9.625,9.625,9.625,800
1990-10-05,9.5,9.75,9.5,9.75,14100
1990-10-08,9.75,9.75,9.5,9.5,8000
1990-10-09,9.125,9.125,9.125,9.125,14400
1990-10-10,8.25,8.375,8.25,8.375,49500
1990-10-11,8.25,8.375,8.25,8.375,2400
1990-10-12,8.375,8.375,8.25,8.375,5800
1990-10-15,8.375,8.375,8.125,8.375,53100
1990-10-16,8.375,8.5,8.375,8.5,3300
1990-10-17,8.375,8.75,8.375,8.75,18500
1990-10-18,8.875,9.625,8.875,9.25,73100
1990-10-19,9.25,9.5,9.25,9.5,67900
1990-10-22,9.5,9.5,9.5,9.5,13100
1990-10-23,9.5,9.625,9.5,9.5,23200
