date,open,high,low,close,volume
1999-05-26,15,15.0625,15,15,548900
1999-05-27,15.0625,15.0625,15,15.0625,76400
1999-05-28,15.0625,15.0625,15,15.0625,48400
1999-06-01,15,15.0625,15,15,32200
1999-06-02,15,15.0625,15,15,69600
1999-06-03,15,15.0625,15,15,59000
1999-06-04,15,15.0625,15,15,36200
1999-06-07,15,15.0625,15,15,31600
1999-06-08,15.0625,15.0625,15,15.0625,98200
1999-06-09,15.0625,15.0625,15,15,33100
1999-06-10,15,15.0625,15,15,38700
1999-06-11,15.0625,15.0625,15,15,49200
1999-06-14,15,15.0625,15,15.0625,127100
1999-06-15,15.0625,15.0625,15,15,59500
1999-06-16,15,15.0625,15,15,48800
1999-06-17,15,15.0625,15,15.0625,89700
1999-06-18,15.0625,15.0625,15,15.0625,52800
1999-06-21,15.0625,15.0625,15,15.0625,48700
1999-06-22,15,15.0625,15,15,50000
1999-06-23,15.0625,15.0625,15,15.0625,29000
1999-06-24,15,15.125,15,15.125,64700
1999-06-25,15.0625,15.125,15,15.0625,67600
1999-06-28,15,15.125,15,15.0625,43800
1999-06-29,15.0625,15.0625,15,15.0625,23100
1999-06-30,15,15.125,15,15.125,42200
1999-07-01,15.125,15.125,15.0625,15.0625,25900
1999-07-02,15,15.0625,15,15.0625,40400
1999-07-06,15.0625,15.0625,15,15.0625,39400
1999-07-07,15,15.0625,15,15,53800
1999-07-08,15.0625,15.0625,15,15.0625,22600
1999-07-09,15.0625,15.0625,15,15.0625,61800
1999-07-12,15,15.0625,15,15.0625,43900
1999-07-13,15,15.0625,15,15.0625,37800
1999-07-14,15,15.0625,15,15.0625,32700
1999-07-15,15.0625,15.0625,15,15,68300
1999-07-16,15,15.0625,15,15.0625,23300
1999-07-19,15.0625,15.0625,15,15,31000
1999-07-20,15.0625,15.0625,15,15,54200
1999-07-21,15.0625,15.0625,15,15,30500
1999-07-22,14.9375,15,14.875,15,99800
1999-07-23,15,15,14.9375,15,68800
1999-07-26,15,15.0625,14.9375,15,34700
1999-07-27,15,15.0625,14.9375,15,49600
1999-07-28,15.0625,15.0625,15,15.0625,39400
1999-07-29,15.0625,15.0625,15,15.0625,42000
1999-07-30,15.0625,15.0625,15,15,43500
1999-08-02,15.0625,15.0625,15,15.0625,37900
1999-08-03,15.0625,15.0625,15,15.0625,37900
1999-08-04,15.0625,15.0625,15,15.0625,58400
1999-08-05,15.0625,15.0625,15,15.0625,43100
1999-08-06,15.0625,15.0625,15,15.0625,18400
1999-08-09,15,15.0625,14.875,14.875,31900
1999-08-10,14.9375,14.9375,14.875,14.875,29100
1999-08-11,14.9375,14.9375,14.875,14.875,65700
1999-08-12,14.875,14.9375,14.875,14.875,49300
1999-08-13,14.9375,14.9375,14.6875,14.75,19800
1999-08-16,14.8125,14.875,14.6875,14.8125,41100
1999-08-17,14.875,14.875,14.75,14.8125,74000
1999-08-18,14.875,14.9375,14.8125,14.9375,35500
1999-08-19,14.9375,14.9375,14.8125,14.875,29500
1999-08-20,14.8125,14.8125,14.75,14.75,19200
1999-08-23,14.8125,14.9375,14.8125,14.8125,25900
1999-08-24,14.8125,14.875,14.75,14.875,31700
1999-08-25,14.875,14.875,14.8125,14.875,64500
1999-08-26,14.75,14.75,14.625,14.6875,48700
1999-08-27,14.75,14.75,14.625,14.6875,45500
1999-08-30,14.75,14.75,14.3125,14.3125,81400
1999-08-31,14.375,14.5625,14.3125,14.5625,78900
1999-09-01,14.625,14.625,14.3125,14.5,81200
1999-09-02,14.5,14.5625,14.4375,14.5,49600
1999-09-03,14.5625,14.6875,14.5625,14.625,25100
1999-09-07,14.5625,14.8125,14.5625,14.8125,63400
1999-09-08,14.875,14.875,14.75,14.875,52800
1999-09-09,14.8125,14.875,14.75,14.8125,28500
1999-09-10,14.8125,14.8125,14.6875,14.6875,31300
1999-09-13,14.6875,14.75,14.625,14.75,18800
1999-09-14,14.625,14.75,14.5625,14.625,27200
1999-09-15,14.625,14.6875,14.5,14.5625,25100
1999-09-16,14.5625,14.5625,14.5,14.5625,8400
1999-09-17,14.5,14.5,14.375,14.5,40900
1999-09-20,14.5,14.6875,14.5,14.5625,57000
1999-09-21,14.5625,14.625,14.4375,14.5,43000
1999-09-22,14.5625,14.5625,14.375,14.4375,27200
1999-09-23,14.375,14.4375,14.375,14.4375,32300
1999-09-24,14.375,14.4375,14.25,14.25,120300
1999-09-27,14.25,14.4375,14.25,14.4375,64600
1999-09-28,14.5,14.5,14.3125,14.3125,53700
1999-09-29,14.375,14.4375,14.3125,14.375,30600
1999-09-30,14.4375,14.4375,14.25,14.4375,90600
1999-10-01,14.4375,14.4375,14.3125,14.4375,39900
1999-10-04,14.4375,14.5625,14.4375,14.5,32500
1999-10-05,14.5,14.625,14.5,14.5625,32300
1999-10-06,14.5625,14.5625,14.4375,14.4375,22300
1999-10-07,14.5,14.5625,14.4375,14.4375,44800
1999-10-08,14.4375,14.5625,14.375,14.5,51800
1999-10-11,14.5,14.5,14.4375,14.4375,36400
1999-10-12,14.5,14.625,14.4375,14.625,48800
1999-10-13,14.4375,14.5,14.25,14.25,19000
1999-10-14,14.25,14.3125,14.125,14.125,38700
1999-10-15,14,14.125,13.9375,14,41500
1999-10-18,13.9375,13.9375,13.75,13.75,46300
1999-10-19,13.75,13.8125,13.625,13.6875,69700
1999-10-20,13.625,13.6875,13.5625,13.625,58400
1999-10-21,13.5625,13.625,13.5,13.5,40200
1999-10-22,13.5625,13.625,13.25,13.25,88500
1999-10-25,13.3125,13.3125,13.0625,13.3125,179000
1999-10-26,13.25,13.3125,13.125,13.3125,87700
1999-10-27,13.1875,13.25,13.125,13.1875,87900
1999-10-28,13.25,13.4375,13.25,13.375,32000
1999-10-29,13.5,13.625,13.4375,13.625,33100
1999-11-01,13.75,13.75,13.6875,13.75,42900
1999-11-02,13.875,13.9375,13.6875,13.875,75500
1999-11-03,13.75,13.75,13.5,13.5,120300
1999-11-04,13.625,13.625,13.25,13.25,80800
1999-11-05,13.25,13.4375,13.25,13.375,81800
1999-11-08,13.375,13.375,13.25,13.3125,82100
1999-11-09,13.3125,13.5,13.3125,13.4375,94100
1999-11-10,13.4375,13.4375,13,13.125,170900
1999-11-11,13.125,13.125,12.9375,12.9375,47700
1999-11-12,13.125,13.1875,12.875,12.9375,184600
1999-11-15,13,13,12.75,12.875,128400
1999-11-16,12.8125,12.875,12.625,12.75,167300
1999-11-17,12.6875,12.75,12.5,12.6875,195300
1999-11-18,12.75,12.75,12.5,12.75,252000
1999-11-19,12.75,13.0625,12.6875,13.0625,150100
1999-11-22,12.9375,12.9375,12.6875,12.75,111500
1999-11-23,12.8125,12.8125,12.5,12.6875,179600
1999-11-24,12.5625,12.75,12.5,12.5,139700
1999-11-26,12.5,12.625,12.4375,12.625,70300
1999-11-29,12.625,12.6875,12.4375,12.5,151400
1999-11-30,12.625,12.8125,12.5625,12.75,182400
1999-12-01,12.75,12.75,12.5,12.5,157800
1999-12-02,12.625,12.75,12.5,12.625,217500
1999-12-03,12.5625,12.875,12.5625,12.875,134200
1999-12-06,12.75,12.8125,12.5625,12.625,196200
1999-12-07,12.625,12.6875,12.375,12.4375,147700
1999-12-08,12.4375,12.4375,11.9375,12.0625,254900
1999-12-09,12.125,12.375,12,12.25,235200
1999-12-10,12.1875,12.625,12.1875,12.5,184200
1999-12-13,12.5625,12.625,12.125,12.625,358200
1999-12-14,12.375,12.625,12.3125,12.375,226300
1999-12-15,12.125,12.3125,12.0625,12.125,276200
1999-12-16,12.0625,12.375,11.9375,12.375,286300
1999-12-17,12.375,12.5625,12.1875,12.4375,320900
1999-12-20,12.4375,12.5625,12,12,309500
1999-12-21,12.125,12.25,12,12.125,205000
1999-12-22,12.125,12.1875,11.75,12.125,351000
1999-12-23,12.1875,12.5625,12.125,12.3125,297000
1999-12-27,12.5,12.5,12.0625,12.1875,175200
1999-12-28,12.375,12.625,12.125,12.25,390200
1999-12-29,12.3125,12.625,12.1875,12.25,225500
1999-12-30,12.25,12.3125,12,12.0625,506300
1999-12-31,12.125,12.125,11.6875,12.125,378500
2000-01-03,12.1875,12.375,12,12.375,142300
2000-01-04,12.375,12.5,12.3125,12.4375,75500
2000-01-05,12.375,12.5625,12.375,12.5625,115300
2000-01-06,12.4375,12.6875,12.4375,12.625,101700
2000-01-07,12.6875,12.9375,12.625,12.875,52300
2000-01-10,12.875,13.1875,12.75,13.125,92400
2000-01-11,13.125,13.1875,13,13.125,49000
2000-01-12,13,13.0625,12.875,12.9375,86200
2000-01-13,12.9375,12.9375,12.6875,12.75,61200
2000-01-14,12.8125,12.9375,12.75,12.9375,39300
2000-01-18,12.75,12.875,12.625,12.75,88300
2000-01-19,12.75,12.875,12.75,12.8125,55900
2000-01-20,12.75,12.875,12.5625,12.625,63400
2000-01-21,12.625,12.625,12.375,12.375,39800
2000-01-24,12.375,12.625,12.375,12.5,44000
2000-01-25,12.5,12.625,12.4375,12.625,56800
2000-01-26,12.5625,12.8125,12.5,12.8125,40400
2000-01-27,12.875,13,12.8125,12.875,79700
2000-01-28,12.875,13,12.8125,13,39200
2000-01-31,12.875,12.875,12.5625,12.5625,156700
2000-02-01,12.6875,12.8125,12.625,12.75,63600
2000-02-02,12.8125,12.875,12.75,12.8125,42800
2000-02-03,12.75,12.875,12.75,12.875,63500
2000-02-04,12.8125,12.875,12.6875,12.8125,69600
2000-02-07,12.8125,12.875,12.75,12.8125,58300
2000-02-08,12.75,12.875,12.625,12.8125,80100
2000-02-09,12.8125,12.9375,12.75,12.9375,70100
2000-02-10,12.9375,13.0625,12.9375,13.0625,52100
2000-02-11,13,13,12.75,12.875,79400
2000-02-14,12.8125,12.9375,12.75,12.9375,32200
2000-02-15,12.9375,13,12.8125,12.9375,69500
2000-02-16,12.875,13,12.8125,12.875,58500
2000-02-17,12.9375,13,12.8125,13,81400
2000-02-18,13,13,12.9375,12.9375,24500
2000-02-22,13,13,12.8125,12.875,41900
2000-02-23,12.875,12.875,12.8125,12.875,48900
2000-02-24,12.8125,12.9375,12.75,12.8125,53100
2000-02-25,12.9375,12.9375,12.6875,12.875,66200
2000-02-28,12.875,12.875,12.5625,12.5625,47200
2000-02-29,12.625,12.625,12.4375,12.5625,49400
2000-03-01,12.625,12.625,12.4375,12.4375,41300
2000-03-02,12.4375,12.5625,12.25,12.4375,78200
2000-03-03,12.5,12.5625,12.4375,12.4375,62000
2000-03-06,12.5625,12.5625,12.375,12.5,42400
2000-03-07,12.4375,12.5,12.4375,12.5,40900
2000-03-08,12.5,12.5,12.375,12.4375,21300
2000-03-09,12.5,12.5,12.25,12.25,52100
2000-03-10,12.25,12.3125,12.1875,12.25,73400
2000-03-13,12.125,12.1875,11.9375,12.125,55200
2000-03-14,12.0625,12.125,12,12.125,46500
2000-03-15,12.125,12.25,12.0625,12.1875,81500
2000-03-16,12.25,12.25,11.9375,12,99900
2000-03-17,12,12,11.8125,11.8125,60900
2000-03-20,11.75,11.9375,11.5625,11.6875,107700
2000-03-21,11.75,11.75,11.5625,11.6875,79400
2000-03-22,11.625,11.9375,11.625,11.875,63800
2000-03-23,11.8125,12.0625,11.8125,12.0625,55800
2000-03-24,11.9375,12.0625,11.875,12,42400
2000-03-27,12.0625,12.125,12,12.0625,50500
2000-03-28,12.125,12.3125,12.0625,12.3125,73900
2000-03-29,12.3125,12.4375,12.3125,12.3125,90700
2000-03-30,12.3125,12.4375,12.25,12.375,79100
2000-03-31,12.375,12.375,12.3125,12.375,64500
2000-04-03,12.4375,12.5,12.375,12.4375,65400
2000-04-04,12.5625,12.75,12.4375,12.6875,81500
2000-04-05,12.8125,12.8125,12.6875,12.75,45900
2000-04-06,12.8125,12.8125,12.6875,12.75,67100
2000-04-07,12.75,12.75,12.625,12.625,91900
2000-04-10,12.6875,12.75,12.625,12.625,70900
2000-04-11,12.625,12.75,12.5625,12.6875,40800
2000-04-12,12.5625,12.6875,12.5625,12.5625,47400
2000-04-13,12.5625,12.625,12.375,12.4375,72100
2000-04-14,12.5,12.5,12.25,12.25,75300
2000-04-17,12.25,12.25,12,12.0625,55000
2000-04-18,12.125,12.375,12.0625,12.25,65000
2000-04-19,12.3125,12.4375,12.1875,12.375,54800
2000-04-20,12.4375,12.5,12.3125,12.5,71100
2000-04-24,12.5,12.5,12.3125,12.4375,86400
2000-04-25,12.3125,12.375,12.25,12.375,57100
2000-04-26,12.3125,12.375,12.3125,12.375,27500
2000-04-27,12.375,12.4375,12.3125,12.4375,41800
2000-04-28,12.4375,12.5,12.3125,12.3125,39800
2000-05-01,12.375,12.5,12.375,12.5,35400
2000-05-02,12.5625,12.625,12.5625,12.625,45300
2000-05-03,12.5625,12.6875,12.5625,12.625,87000
2000-05-04,12.5,12.5625,12.4375,12.5,16300
2000-05-05,12.5,12.9375,12.375,12.75,130300
2000-05-08,12.625,12.625,12.4375,12.5,43400
2000-05-09,12.5625,12.5625,12.4375,12.4375,77500
2000-05-10,12.5,12.5625,12.375,12.5,52100
2000-05-11,12.3125,12.3125,12.0625,12.125,73400
2000-05-12,12.125,12.125,12.0625,12.0625,52100
2000-05-15,12.125,12.3125,12.0625,12.125,75100
2000-05-16,12.0625,12.25,12.0625,12.125,82200
2000-05-17,12.0625,12.1875,12,12.125,48000
2000-05-18,12.1875,12.1875,12,12.0625,52100
2000-05-19,11.9375,12.0625,11.875,11.9375,73000
2000-05-22,11.9375,12,11.875,11.9375,99200
2000-05-23,11.875,12.25,11.875,12.25,127000
2000-05-24,12.125,12.1875,12,12.0625,59300
2000-05-25,12.0625,12.1875,12,12,68700
2000-05-26,12,12.0625,11.875,12,68800
2000-05-30,11.9375,12,11.875,11.9375,47300
2000-05-31,12.0625,12.3125,12,12.125,63300
2000-06-01,12.25,12.25,12.0625,12.1875,50100
2000-06-02,12.25,12.5,12.25,12.375,76000
2000-06-05,12.3125,12.5,12.125,12.5,32700
2000-06-06,12.375,12.4375,12.3125,12.375,63000
2000-06-07,12.375,12.5,12.375,12.375,37000
2000-06-08,12.5,12.5625,12.375,12.5,32400
2000-06-09,12.5,12.6875,12.5,12.5625,41400
2000-06-12,12.5625,12.625,12.5625,12.625,31700
2000-06-13,12.5625,12.5625,12.375,12.5625,65200
2000-06-14,12.5,12.5,12.375,12.4375,43200
2000-06-15,12.375,12.5,12.375,12.4375,31200
2000-06-16,12.4375,12.5,12.375,12.375,32900
2000-06-19,12.375,12.5,12.3125,12.3125,22600
2000-06-20,12.3125,12.4375,12.3125,12.375,37500
2000-06-21,12.4375,12.4375,12.0625,12.0625,72600
2000-06-22,12.0625,12.25,12.0625,12.25,60100
2000-06-23,12.1875,12.25,12.125,12.1875,44300
2000-06-26,12.125,12.1875,12,12.0625,66700
2000-06-27,12.125,12.125,11.9375,11.9375,60500
2000-06-28,11.9375,12.0625,11.9375,11.9375,47500
2000-06-29,12.0625,12.25,11.9375,12.125,102300
2000-06-30,12.125,12.25,12.125,12.25,32400
2000-07-03,12.3125,12.375,12.3125,12.3125,12000
2000-07-05,12.4375,12.4375,12.1875,12.375,49700
2000-07-06,12.3125,12.5,12.25,12.4375,55700
2000-07-07,12.5625,12.5625,12.375,12.5,73800
2000-07-10,12.8125,12.8125,12.375,12.5,114100
2000-07-11,12.5,12.6875,12.5,12.6875,36400
2000-07-12,12.625,12.625,12.4375,12.5,56900
2000-07-13,12.4375,12.4375,12.3125,12.3125,59800
2000-07-14,12.375,12.375,12.3125,12.375,65900
2000-07-17,12.3125,12.375,12.25,12.3125,71700
2000-07-18,12.375,12.375,12.3125,12.375,19000
2000-07-19,12.25,12.3125,12.25,12.25,38400
2000-07-20,12.25,12.375,12.1875,12.25,60000
2000-07-21,12.25,12.3125,12.0625,12.25,120000
2000-07-24,12.25,12.3125,12.125,12.1875,48400
2000-07-25,12.25,12.5,12.25,12.375,82100
2000-07-26,12.4375,12.5625,12.3125,12.375,34900
2000-07-27,12.4375,12.4375,12.375,12.375,43900
2000-07-28,12.375,12.4375,12.25,12.3125,39800
2000-07-31,12.375,12.625,12.375,12.625,75500
2000-08-01,12.6875,12.75,12.6875,12.75,34400
2000-08-02,12.8125,12.9375,12.75,12.9375,39300
2000-08-03,12.9375,12.9375,12.875,12.9375,20300
2000-08-04,12.875,13,12.875,13,33200
2000-08-07,13,13.0625,12.9375,13,87800
2000-08-08,13,13.125,13,13,23200
2000-08-09,13.0625,13.125,13.0625,13.125,24700
2000-08-10,13.125,13.25,13.125,13.25,30400
2000-08-11,13.125,13.25,13,13.0625,39800
2000-08-14,13.0625,13.25,13,13.125,49100
2000-08-15,13.125,13.25,13.125,13.125,45700
2000-08-16,13.1875,13.1875,13.0625,13.0625,32000
2000-08-17,13.0625,13.1875,12.9375,13,86200
2000-08-18,13,13.0625,12.9375,12.9375,54500
2000-08-21,13,13,12.8125,12.8125,63700
2000-08-22,12.8125,12.9375,12.75,12.875,53200
2000-08-23,12.875,12.9375,12.75,12.875,40200
2000-08-24,12.875,13,12.875,12.9375,59900
2000-08-25,13,13.0625,12.75,12.8125,142400
2000-08-28,12.75,12.9375,12.75,12.9375,47600
2000-08-29,12.9375,12.9375,12.8125,12.875,39200
2000-08-30,12.875,12.9375,12.75,12.8125,99300
2000-08-31,12.875,13,12.875,12.9375,69700
2000-09-01,13,13,12.875,12.875,41200
2000-09-05,13,13.0625,12.9375,13.0625,46300
2000-09-06,13.0625,13.125,12.9375,13.0625,52500
2000-09-07,13.125,13.1875,13,13.0625,61500
2000-09-08,13,13.0625,12.9375,13,78400
2000-09-11,13,13,12.875,13,66100
2000-09-12,13,13,12.875,12.9375,87800
2000-09-13,12.8125,12.9375,12.8125,12.9375,57800
2000-09-14,12.875,13.0625,12.875,13,59000
2000-09-15,13,13,12.875,12.875,37600
2000-09-18,12.875,12.9375,12.8125,12.875,55100
2000-09-19,12.9375,13.0625,12.875,13,117500
2000-09-20,12.9375,13.0625,12.9375,12.9375,43900
2000-09-21,12.9375,13,12.75,12.875,126000
2000-09-22,12.8125,12.9375,12.6875,12.875,124000
2000-09-25,12.75,12.8125,12.75,12.75,27400
2000-09-26,12.75,13,12.75,13,88800
2000-09-27,12.9375,13.0625,12.9375,13.0625,29100
2000-09-28,12.9375,12.9375,12.8125,12.875,76200
2000-09-29,12.9375,13.1875,12.9375,13.125,39600
2000-10-02,13.1875,13.1875,13.0625,13.0625,32500
2000-10-03,13.1875,13.25,13.125,13.125,45900
2000-10-04,13.125,13.1875,13.0625,13.125,25700
2000-10-05,13.1875,13.25,13.125,13.1875,48500
2000-10-06,13.1875,13.25,12.8125,12.875,108500
2000-10-09,12.875,12.875,12.75,12.8125,8300
2000-10-10,12.75,13,12.75,12.875,33600
2000-10-11,12.75,12.8125,12.6875,12.8125,55200
2000-10-12,12.75,12.875,12.6875,12.6875,82800
2000-10-13,12.625,12.75,12.625,12.6875,75300
2000-10-16,12.625,12.625,12.4375,12.5,54900
2000-10-17,12.4375,12.4375,12.125,12.1875,64400
2000-10-18,12.1875,12.1875,12.0625,12.125,49800
2000-10-19,12.125,12.3125,12.125,12.3125,65400
2000-10-20,12.375,12.5,12.3125,12.4375,55700
2000-10-23,12.4375,12.6875,12.4375,12.6875,50900
2000-10-24,12.625,12.75,12.5,12.625,132600
2000-10-25,12.625,12.75,12.5625,12.5625,52200
2000-10-26,12.5625,12.625,12.5,12.5,35400
2000-10-27,12.5625,12.5625,12.4375,12.4375,26100
2000-10-30,12.5,12.5625,12.375,12.5,83700
