date,open,high,low,close,volume
2012-04-04,14.25,14.55,14.11,14.55,1661300
2012-04-05,14.48,14.74,14.28,14.7,148100
2012-04-09,14.74,14.74,14.4,14.5,44700
2012-04-10,14.5,14.67,14.4,14.5,40500
2012-04-11,14.7,14.7,14.4,14.51,37600
2012-04-12,14.55,14.66,14.5,14.53,31500
2012-04-13,14.7,14.7,14.5,14.64,39200
2012-04-16,14.73,14.73,14.45,14.55,47800
2012-04-17,14.5,14.58,14.45,14.5,58100
2012-04-18,14.35,14.5,14.04,14.49,104700
2012-04-19,14.45,14.45,14.21,14.38,52600
2012-04-20,14.4,14.5,14.4,14.45,29900
2012-04-23,14.42,14.5,14.4,14.49,24700
2012-04-24,14.5,14.5,14.4,14.45,28000
2012-04-25,14.48,14.49,14.36,14.49,52500
2012-04-26,14.36,14.45,14.3,14.31,48100
2012-04-27,14.34,14.5,14.34,14.5,52000
2012-04-30,14.5,14.5,14.3,14.43,52700
2012-05-01,14.3,14.43,14.3,14.32,21000
2012-05-02,14.35,14.71,14.29,14.71,71000
2012-05-03,14.75,14.75,14.5,14.75,54100
2012-05-04,14.75,14.76,14.4,14.75,77300
2012-05-07,14.65,14.65,14.25,14.55,21700
2012-05-08,14.51,14.51,14.2,14.46,33800
2012-05-09,14.4,14.47,14.28,14.46,24600
2012-05-10,14.55,14.58,14.26,14.45,26000
2012-05-11,14.34,14.59,14.27,14.58,29900
2012-05-14,14.62,14.69,14.46,14.56,29000
2012-05-15,14.75,14.75,14.2,14.38,30200
2012-05-16,14.58,14.6,14.29,14.5,35000
2012-05-17,14.48,14.7,14.3,14.3,21000
2012-05-18,14.4,14.7,13.87,14,32000
2012-05-21,13.92,14.1,13.07,13.8,47600
2012-05-22,13.97,14.45,13.31,14.45,67900
2012-05-23,14.23,14.39,13.76,14.19,12200
2012-05-24,14.24,14.24,13.8,13.97,18800
2012-05-25,14.04,14.17,13.85,14.14,10200
2012-05-29,14.1,14.34,13.79,14.3,24600
2012-05-30,14.22,14.3,13.92,14.3,21300
2012-05-31,14.36,14.5,14.21,14.5,47900
2012-06-01,14.41,14.46,13.8,13.8,26900
2012-06-04,13.85,14.2,13.8,13.87,10800
2012-06-05,14.08,14.36,13.9,14.2,12600
2012-06-06,14.2,14.44,14.19,14.33,15000
2012-06-07,14.35,14.35,14.2,14.34,9300
2012-06-08,14.34,14.5,14.34,14.5,28500
2012-06-11,14.42,14.7,14.37,14.37,29800
2012-06-12,14.58,14.58,14.06,14.21,37500
2012-06-13,13.83,14.19,13.56,14.18,17700
2012-06-14,14.35,14.4,14,14.27,33800
2012-06-15,14.2,14.35,14.02,14.29,23800
2012-06-18,14.35,14.7,14.02,14.37,40200
2012-06-19,14.49,14.5,14.16,14.31,56900
2012-06-20,13.95,14.45,13.88,14.31,41400
2012-06-21,14.41,14.41,14.02,14.26,31800
2012-06-22,14.21,14.45,13.9,14.36,750700
2012-06-25,14.36,14.5,13.93,14.12,61100
2012-06-26,14.2,14.6,14.14,14.3,39100
2012-06-27,14.4,14.49,14.03,14.39,27900
2012-06-28,14.3,14.6,14.3,14.49,69200
2012-06-29,14.6,14.6,14.33,14.46,29300
2012-07-02,14.39,14.75,14.39,14.75,66600
2012-07-03,14.67,14.78,14.36,14.78,12200
2012-07-05,14.64,14.75,14.38,14.49,27800
2012-07-06,14.4,14.49,14.31,14.46,9400
2012-07-09,14.36,14.67,14.36,14.45,30700
2012-07-10,14.55,14.55,14.36,14.43,9600
2012-07-11,14.48,14.75,14.33,14.46,32800
2012-07-12,14.37,14.68,14.37,14.54,17900
2012-07-13,14.59,14.59,14.41,14.49,15100
2012-07-16,14.51,14.64,14.29,14.29,13800
2012-07-17,14.34,14.54,14.32,14.45,16000
2012-07-18,14.41,14.55,14.3,14.47,29200
2012-07-19,14.43,14.43,14.23,14.23,20000
2012-07-20,14.22,14.43,14.22,14.24,27100
2012-07-23,14.22,14.59,14.22,14.28,21900
2012-07-24,14.22,14.43,14.22,14.25,18400
2012-07-25,14.35,14.5,14.06,14.35,57500
2012-07-26,14.5,14.5,14.14,14.46,15900
2012-07-27,14.5,14.51,14.44,14.5,18800
2012-07-30,14.46,14.68,14.25,14.5,43700
2012-07-31,14.58,14.75,14.27,14.52,59400
2012-08-01,14.53,14.73,14.29,14.31,54700
2012-08-02,14.35,14.49,14.29,14.34,27900
2012-08-03,14.4,14.5,14.32,14.5,43900
2012-08-06,14.44,14.6,14.36,14.49,19500
2012-08-07,14.42,14.49,14.21,14.46,30100
2012-08-08,14.34,14.69,14.32,14.6,19200
2012-08-09,14.7,14.74,14.45,14.65,39200
2012-08-10,14.69,14.84,14.62,14.64,103500
2012-08-13,14.73,14.99,14.62,14.76,90700
2012-08-14,14.87,14.87,14.61,14.66,120800
2012-08-15,14.99,14.99,14.71,14.81,102100
2012-08-16,14.91,15.65,14.76,14.82,91100
2012-08-17,14.87,14.94,14.8,14.9,29600
2012-08-20,14.78,15.02,14.76,14.88,56300
2012-08-21,14.97,15,14.71,14.71,68600
2012-08-22,14.76,14.89,14.6,14.7,58400
2012-08-23,14.77,14.8,14.68,14.69,40100
2012-08-24,14.74,15,14.67,14.9,36600
2012-08-27,14.92,15,14.77,14.87,95900
2012-08-28,14.89,15,14.87,14.94,75000
2012-08-29,15.03,15.03,14.9,15.02,396000
2012-08-30,15.05,15.33,15.04,15.1,66300
2012-08-31,15.19,15.5,15.19,15.41,94000
2012-09-04,15.48,15.5,15.01,15.5,43300
2012-09-05,15.5,15.6,15.31,15.48,69000
2012-09-06,15.45,15.5,15.35,15.45,110300
2012-09-07,15.55,15.55,15.3,15.41,44500
2012-09-10,15.48,15.63,15.33,15.37,70600
2012-09-11,15.42,16.190001,15.39,15.63,54600
2012-09-12,15.42,15.5,15.02,15.31,49100
2012-09-13,15.17,15.69,15,15.28,104400
2012-09-14,15.35,15.55,15.19,15.42,57900
2012-09-17,15.42,15.65,15.21,15.48,60300
2012-09-18,15.5,15.7,15.35,15.47,89600
2012-09-19,15.57,15.6,15.43,15.55,54000
2012-09-20,15.46,15.55,15.1,15.32,35900
2012-09-21,15.37,15.8,15.26,15.42,53800
2012-09-24,15.5,15.75,15.26,15.42,77700
2012-09-25,15.45,15.69,15.32,15.45,50000
2012-09-26,15.45,15.73,15.45,15.7,41000
2012-09-27,15.75,16,15.58,15.9,61500
2012-09-28,16.190001,16.190001,15.76,15.96,89100
2012-10-01,16.07,16.120001,15.5,15.8,52000
2012-10-02,15.76,16.09,15.53,15.61,20500
2012-10-03,15.66,15.9,15.5,15.64,35700
2012-10-04,15.75,15.9,15.53,15.75,24800
2012-10-05,15.86,15.86,15.59,15.77,23900
2012-10-08,15.78,15.97,15.56,15.56,20500
2012-10-09,15.62,15.81,15.32,15.41,47900
2012-10-10,15.44,15.73,15.31,15.6,38100
2012-10-11,15.65,15.8,15.41,15.57,23200
2012-10-12,15.57,16,15.44,15.67,52600
2012-10-15,15.7,15.95,15.2,15.36,55500
2012-10-16,15.47,15.73,15.37,15.48,18800
2012-10-17,15.56,15.56,15.21,15.37,42100
2012-10-18,15.45,15.45,15.18,15.4,85600
2012-10-19,15.53,15.53,15.32,15.32,64500
2012-10-22,15.53,15.53,15.1,15.35,38600
2012-10-23,15.27,15.49,15.01,15.4,39400
2012-10-24,15.4,15.4,15.16,15.26,32100
2012-10-25,15.37,15.45,15.25,15.42,27600
