date,open,high,low,close,volume
1980-03-17,0,2.366667,2.333333,2.333333,18750
1980-03-18,0,2.333333,2.3,2.3,4125
1980-03-19,0,2.333333,2.333333,2.333333,4125
1980-03-20,0,2.333333,2.3,2.3,2625
1980-03-21,0,2.266667,2.166667,2.2,27750
1980-03-24,0,2.166667,2.033333,2.033333,28875
1980-03-25,0,2.033333,1.966667,2,14625
1980-03-26,0,2,1.933333,1.933333,10125
1980-03-27,0,1.966667,1.833333,1.833333,12375
1980-03-28,0,2,1.933333,2,68250
1980-03-31,0,2,1.866667,2,51375
1980-04-01,0,2,1.966667,2,28125
1980-04-02,0,2,1.966667,2,11250
1980-04-03,0,2.066667,2,2,21750
1980-04-07,0,2.066667,1.966667,2.033333,9750
1980-04-08,0,2.066667,2,2.033333,12750
1980-04-09,0,2.066667,2.033333,2.033333,15750
1980-04-10,0,2.066667,1.966667,2,22125
1980-04-11,0,2.066667,1.966667,2.033333,5250
1980-04-14,0,2.066667,2,2.033333,8625
1980-04-15,0,2.1,1.866667,2.1,6750
1980-04-16,0,2.1,2.066667,2.066667,9000
1980-04-17,0,2.033333,2.033333,2.033333,6000
1980-04-18,0,2.066667,2.033333,2.066667,9375
1980-04-21,0,2.066667,2,2,14625
1980-04-22,0,2.1,2.033333,2.066667,13500
1980-04-23,0,2.066667,2.033333,2.066667,15750
1980-04-24,0,2.1,2,2.033333,13500
1980-04-25,0,2.066667,2.066667,2.066667,375
1980-04-28,0,2.1,2.033333,2.1,36750
1980-04-29,0,2.133333,2.1,2.133333,33750
1980-04-30,0,2.133333,2.1,2.1,31875
1980-05-01,0,2.133333,2.066667,2.1,8250
1980-05-02,0,2.1,2.066667,2.1,8625
1980-05-05,0,2.1,2.066667,2.1,10500
1980-05-06,0,2.1,2.066667,2.1,7500
1980-05-07,0,2.1,2.066667,2.066667,13125
1980-05-08,0,2.1,2.066667,2.066667,12000
1980-05-09,0,2.1,2.066667,2.066667,28125
1980-05-12,0,2.133333,2.033333,2.133333,10125
1980-05-13,0,2.2,2.166667,2.2,20250
1980-05-14,0,2.533333,2.266667,2.466667,124125
1980-05-15,0,2.566667,2.5,2.5,19125
1980-05-16,0,2.666667,2.5,2.566667,15750
1980-05-19,0,2.8,2.6,2.633333,34500
1980-05-20,0,2.7,2.6,2.7,18000
1980-05-21,0,2.7,2.633333,2.633333,2625
1980-05-22,0,2.666667,2.666667,2.666667,9375
1980-05-23,0,2.666667,2.6,2.6,17625
1980-05-27,0,2.6,2.533333,2.6,10500
1980-05-28,0,2.6,2.6,2.6,9000
1980-05-29,0,2.6,2.566667,2.566667,4500
1980-05-30,0,2.566667,2.5,2.533333,5625
1980-06-02,0,2.566667,2.533333,2.533333,7875
1980-06-03,0,2.533333,2.5,2.533333,2250
1980-06-04,0,2.566667,2.5,2.5,3000
1980-06-05,0,2.533333,2.466667,2.466667,4125
1980-06-06,0,2.533333,2.466667,2.466667,5250
1980-06-09,0,2.5,2.5,2.5,375
1980-06-10,0,2.5,2.466667,2.5,750
1980-06-11,0,2.533333,2.466667,2.533333,2625
1980-06-12,0,2.533333,2.5,2.5,3375
1980-06-13,0,2.5,2.366667,2.466667,20250
1980-06-16,0,2.433333,2.333333,2.4,13875
1980-06-17,0,2.366667,2.233333,2.266667,6375
1980-06-18,0,2.3,2.2,2.2,25125
1980-06-19,0,2.233333,2.2,2.2,5250
1980-06-20,0,2.2,2.166667,2.2,6375
1980-06-23,0,2.333333,2.233333,2.3,11625
1980-06-24,0,2.333333,2.266667,2.3,20250
1980-06-25,0,2.3,2.266667,2.3,2250
1980-06-26,0,2.3,2.266667,2.3,6750
1980-06-27,0,2.333333,2.266667,2.333333,4875
1980-06-30,0,2.333333,2.3,2.333333,7500
1980-07-01,0,2.333333,2.233333,2.233333,12750
1980-07-02,0,2.2,2.166667,2.2,26250
1980-07-03,0,2.233333,2.2,2.233333,3750
1980-07-07,0,2.366667,2.266667,2.333333,7875
1980-07-08,0,2.466667,2.366667,2.4,18375
1980-07-09,0,2.466667,2.4,2.433333,37875
1980-07-10,0,2.433333,2.4,2.433333,23250
1980-07-11,0,2.433333,2.366667,2.433333,8250
1980-07-14,0,2.433333,2.366667,2.4,11250
1980-07-15,0,2.4,2.366667,2.366667,9375
1980-07-16,0,2.433333,2.333333,2.333333,22500
1980-07-17,0,2.433333,2.333333,2.433333,16125
1980-07-18,0,2.533333,2.433333,2.533333,39750
1980-07-21,0,2.633333,2.533333,2.566667,21750
1980-07-22,0,2.566667,2.466667,2.566667,45375
1980-07-23,0,2.566667,2.5,2.533333,15000
1980-07-24,0,2.6,2.5,2.6,10875
1980-07-25,0,2.633333,2.566667,2.6,10500
1980-07-28,0,2.633333,2.6,2.633333,5250
1980-07-29,0,2.733333,2.633333,2.666667,35250
1980-07-30,0,2.7,2.633333,2.7,38625
1980-07-31,0,2.7,2.666667,2.666667,28125
1980-08-01,0,2.7,2.633333,2.633333,16500
1980-08-04,0,2.633333,2.6,2.6,2250
1980-08-05,0,2.666667,2.633333,2.666667,18375
1980-08-06,0,2.7,2.666667,2.7,26250
1980-08-07,0,2.7,2.633333,2.7,7875
1980-08-08,0,2.733333,2.666667,2.7,8625
1980-08-11,0,2.766667,2.666667,2.766667,10125
1980-08-12,0,2.866667,2.766667,2.833333,116250
1980-08-13,0,2.866667,2.833333,2.866667,11250
1980-08-14,0,2.9,2.833333,2.9,12375
1980-08-15,0,3,2.9,2.966667,10875
1980-08-18,0,3.1,2.933333,3.033333,22125
1980-08-19,0,3.066667,2.9,2.9,25500
1980-08-20,0,2.9,2.833333,2.9,11625
1980-08-21,0,2.9,2.8,2.833333,7500
1980-08-22,0,2.833333,2.7,2.7,22500
1980-08-25,0,2.8,2.7,2.8,6750
1980-08-26,0,2.9,2.833333,2.866667,11625
1980-08-27,0,2.866667,2.833333,2.833333,12000
1980-08-28,0,2.866667,2.833333,2.866667,18375
1980-08-29,0,2.866667,2.833333,2.866667,12750
1980-09-02,0,2.866667,2.833333,2.833333,23250
1980-09-03,0,2.9,2.833333,2.9,16500
1980-09-04,0,2.966667,2.866667,2.9,19875
1980-09-05,0,3,2.9,2.966667,30000
1980-09-08,0,3,2.966667,2.966667,9375
1980-09-09,0,3.033333,2.933333,3,11625
1980-09-10,0,3.033333,2.933333,3,18375
1980-09-11,0,2.966667,2.9,2.966667,8250
1980-09-12,0,2.933333,2.866667,2.933333,12375
1980-09-15,0,3,2.933333,2.966667,45750
1980-09-16,0,3.266667,2.933333,3.266667,202500
1980-09-17,0,3.466667,3.366667,3.4,46875
1980-09-18,0,3.4,3.2,3.266667,15750
1980-09-19,0,3.333333,3.233333,3.3,24000
1980-09-22,0,3.966667,3.633333,3.733333,188250
1980-09-23,0,3.766667,3.533333,3.533333,74250
1980-09-24,0,3.566667,3.466667,3.5,15375
1980-09-25,0,3.5,3.433333,3.5,10500
1980-09-26,0,3.466667,3.333333,3.433333,23250
1980-09-29,0,3.366667,3.133333,3.233333,41625
1980-09-30,0,3.333333,3.233333,3.333333,15375
1980-10-01,0,3.3,3.266667,3.3,37875
1980-10-02,0,3.533333,3.333333,3.533333,23250
1980-10-03,0,3.566667,3.5,3.533333,24375
1980-10-06,0,3.633333,3.533333,3.633333,30375
1980-10-07,0,3.733333,3.566667,3.566667,33750
1980-10-08,0,3.6,3.566667,3.6,15750
1980-10-09,0,3.566667,3.5,3.533333,24375
1980-10-10,0,3.566667,3.5,3.566667,13125
1980-10-13,0,3.566667,3.5,3.5,21000
1980-10-14,0,3.566667,3.5,3.533333,30375
1980-10-15,0,3.6,3.533333,3.566667,21000
1980-10-16,0,3.666667,3.566667,3.6,27375
