date,open,high,low,close,volume
1998-05-07,21,21,21,21,0
1998-05-08,21,21,21,21,0
1998-05-11,21,21,21,21,0
1998-05-12,21,21,21,21,0
1998-05-13,20.625,20.875,20.625,20.875,3000
1998-05-14,20.875,20.875,20.875,20.875,2000
1998-05-15,20.875,20.875,20.875,20.875,0
1998-05-18,20.625,20.625,20.625,20.625,600
1998-05-19,21,21,20.5,20.5,1000
1998-05-20,20.5,20.5,20.5,20.5,1200
1998-05-21,20.5,20.5,20.5,20.5,0
1998-05-22,20.5,20.5,20.5,20.5,0
1998-05-26,20.5,20.5,20.5,20.5,0
1998-05-27,20.5,20.5,20.5,20.5,0
1998-05-28,20.5,20.5,20.5,20.5,200
1998-05-29,20.5,20.5,20.5,20.5,0
1998-06-01,21,21,20.75,20.75,1000
1998-06-02,20.75,20.75,20.75,20.75,0
1998-06-03,20.5,20.5,20.5,20.5,800
1998-06-04,20.5,20.5,20.5,20.5,1000
1998-06-05,20.5,20.5,20.5,20.5,0
1998-06-08,20.5,20.5,20.5,20.5,1000
1998-06-09,20.5,20.5,20.5,20.5,1000
1998-06-10,20.5,20.5,20.5,20.5,2000
1998-06-11,20.5,20.5,20.5,20.5,0
1998-06-12,20.5,20.5,20.5,20.5,0
1998-06-15,20.5,20.5,20.5,20.5,0
1998-06-16,20.5,20.5,20.5,20.5,0
1998-06-17,21,21.25,20.5,20.5,5600
1998-06-18,20.5,20.625,20.5,20.5,2800
1998-06-19,20.25,20.5,20.25,20.25,2600
1998-06-22,20.375,20.375,20,20.03125,10200
1998-06-23,20,20.5,20,20.375,1200
1998-06-24,20,20.375,20,20.375,1400
1998-06-25,20.25,20.25,20.25,20.25,200
1998-06-26,20.125,20.375,20.125,20.375,1800
1998-06-29,20.375,20.375,20.375,20.375,0
1998-06-30,20.375,20.375,20.375,20.375,200
1998-07-01,20.375,20.375,20.25,20.25,800
1998-07-02,20.25,20.25,20.25,20.25,200
1998-07-06,20.375,20.375,20.375,20.375,1400
1998-07-07,20.75,21.375,20.75,21.375,1000
1998-07-08,21.375,21.375,21.375,21.375,400
1998-07-09,21.25,21.25,21.25,21.25,1000
