date,open,high,low,close,volume
1999-12-23,9,9,9,9,1200
1999-12-27,9,9,9,9,0
1999-12-28,8.5,8.5,8.5,8.5,2000
1999-12-29,8.75,8.75,8.75,8.75,1200
1999-12-30,8.75,8.75,8.75,8.75,0
1999-12-31,8.875,8.875,8.875,8.875,2000
2000-01-03,8.875,8.875,8.875,8.875,0
2000-01-04,8.875,8.875,8.875,8.875,0
2000-01-05,8.875,8.875,8.875,8.875,0
2000-01-06,8.875,8.875,8.875,8.875,0
2000-01-07,8.5,9.25,8.5,9.25,600
2000-01-10,9.25,9.25,9.25,9.25,0
2000-01-11,8.5,8.75,8.5,8.75,2400
2000-01-12,8.75,8.75,8.75,8.75,0
2000-01-13,8.75,8.75,8.75,8.75,0
2000-01-14,8.75,8.75,8.75,8.75,0
2000-01-18,8.5,8.5,8.5,8.5,2000
2000-01-19,8.75,8.75,8.75,8.75,400
2000-01-20,8.75,8.75,8.75,8.75,0
2000-01-21,8.75,8.75,8.75,8.75,600
2000-01-24,8.75,8.75,8.75,8.75,0
2000-01-25,8.75,8.75,8.75,8.75,0
2000-01-26,8.75,8.75,8.75,8.75,0
2000-01-27,8.75,8.75,8.75,8.75,0
2000-01-28,8.75,8.75,8.75,8.75,0
2000-01-31,8.75,8.75,8.75,8.75,0
2000-02-01,8.75,8.75,8.75,8.75,0
2000-02-02,8.75,8.75,8.75,8.75,0
2000-02-03,8.75,8.75,8.75,8.75,0
2000-02-04,8.75,8.75,8.75,8.75,0
2000-02-07,8.75,8.75,8.75,8.75,0
2000-02-08,8.75,8.75,8.75,8.75,0
2000-02-09,8.75,8.75,8.75,8.75,0
2000-02-10,8,8,8,8,400
2000-02-11,8.125,8.125,8.125,8.125,800
2000-02-14,8.125,8.125,8.125,8.125,0
2000-02-15,8,8,7.938,8,2600
2000-02-16,8,8.125,8,8.125,1400
2000-02-17,7.688,7.688,7.688,7.688,200
2000-02-18,7.688,7.688,7.688,7.688,0
2000-02-22,7.688,7.688,7.688,7.688,0
2000-02-23,7.688,7.688,7.688,7.688,0
2000-02-24,8,8.125,8,8.125,6600
2000-02-25,8.125,8.125,8.125,8.125,0
2000-02-28,8.125,8.125,8.125,8.125,0
2000-02-29,8,8,8,8,1400
2000-03-01,8.25,8.25,8,8,1400
2000-03-02,8,8,8,8,400
2000-03-03,8,8,8,8,0
2000-03-06,8,8,8,8,0
2000-03-07,8,8,8,8,0
2000-03-08,8,8,8,8,0
2000-03-09,8,8,8,8,0
2000-03-10,8,8,8,8,0
2000-03-13,8,8,8,8,0
2000-03-14,8,8,8,8,0
2000-03-15,8,8,8,8,0
2000-03-16,8,8,8,8,0
2000-03-17,8,8,8,8,0
2000-03-20,8,8,8,8,0
2000-03-21,8,8,8,8,0
2000-03-22,8,8,8,8,400
2000-03-23,8,8,8,8,0
2000-03-24,8,8,8,8,0
2000-03-27,8.125,8.125,8,8.094,5800
2000-03-28,7.875,7.875,7.875,7.875,600
2000-03-29,8.125,8.125,8.125,8.125,1000
2000-03-30,8.125,8.125,8.125,8.125,0
2000-03-31,8.125,8.125,8.125,8.125,0
2000-04-03,8.125,8.125,8.125,8.125,600
2000-04-04,8.125,8.125,8.125,8.125,0
2000-04-05,7.75,7.75,7.75,7.75,200
2000-04-06,8.125,8.125,8.125,8.125,200
2000-04-07,8,8.5,8,8.5,2600
2000-04-10,8.532,8.532,8.532,8.532,600
2000-04-11,8.532,8.532,8.532,8.532,0
2000-04-12,8.13,8.313,8.125,8.313,2000
2000-04-13,8.313,8.313,8.313,8.313,1400
2000-04-14,8,8.125,7.938,8.125,7000
2000-04-17,8.125,8.125,8.125,8.125,0
2000-04-18,8.125,8.125,8.125,8.125,0
