date,open,high,low,close,volume
1999-10-26,19.25,19.25,19.25,19.25,8400
1999-10-27,19.5,19.5,19.5,19.5,800
1999-10-28,19.5,19.5,18.90625,19.5,1200
1999-10-29,19.5,19.5,19.5,19.5,0
1999-11-01,19.5,19.5,19.5,19.5,0
1999-11-02,19.5,19.5,19.5,19.5,0
1999-11-03,18.3125,18.5,18.3125,18.3125,800
1999-11-04,19.3125,19.3125,18.5,19.3125,3600
1999-11-05,19.3125,19.3125,19.3125,19.3125,0
1999-11-08,19.3125,19.3125,19.3125,19.3125,0
1999-11-09,18.3125,18.3125,18.3125,18.3125,0
1999-11-10,19.25,19.25,19.25,19.25,400
1999-11-11,19.25,19.25,19.25,19.25,0
1999-11-12,19.25,19.25,19.25,19.25,0
1999-11-15,18.875,18.875,18.875,18.875,800
1999-11-16,18.25,18.875,18.25,18.25,4400
1999-11-17,18.25,18.5,18.25,18.25,800
1999-11-18,18.25,18.25,18.25,18.25,0
1999-11-19,18.25,18.25,18.25,18.25,0
1999-11-22,17.75,18.25,17.75,18.25,2400
1999-11-23,17.625,18.25,17.625,18.25,2000
1999-11-24,18.25,18.25,18.25,18.25,0
1999-11-26,18.25,18.25,18.25,18.25,0
1999-11-29,18.75,18.75,18.75,18.75,0
1999-11-30,17.5,17.5,17.5,17.5,800
1999-12-01,18.25,18.875,18.25,18.875,800
1999-12-02,18.875,18.875,18.875,18.875,0
1999-12-03,18,19.5,18,18,9600
1999-12-06,18,18,18,18,0
1999-12-07,18,18,18,18,0
1999-12-08,18,18,18,18,0
1999-12-09,18.125,18.625,18.125,18.125,2000
1999-12-10,18.25,18.25,17.875,17.875,800
1999-12-13,17.75,19.25,17.75,17.75,8400
1999-12-14,17.75,17.75,17.75,17.75,800
1999-12-15,18.5,18.5,18.5,18.5,1200
1999-12-16,18.5,18.5,18.5,18.5,100000
1999-12-17,18.5,18.5,18.5,18.5,0
1999-12-20,17.5,19.375,17.5,19.375,800
1999-12-21,19.375,19.375,19.375,19.375,0
1999-12-22,19.375,19.375,19.375,19.375,0
1999-12-23,17.5,18.125,17.5,18.125,4000
1999-12-27,18.125,18.125,18.125,18.125,0
1999-12-28,18.125,18.125,18.125,18.125,0
1999-12-29,19.375,19.375,18.375,18.375,1200
1999-12-30,18.375,18.375,18.375,18.375,0
1999-12-31,18.375,18.375,18.375,18.375,0
2000-01-03,17.5,17.5,16.75,17.5,8000
2000-01-04,17.5,17.5,17.5,17.5,0
2000-01-05,17.5,17.5,17.5,17.5,0
2000-01-06,17.5,17.5,17.5,17.5,0
2000-01-07,17.5,17.5,17.5,17.5,0
2000-01-10,17.5,17.5,17.5,17.5,0
2000-01-11,17.5,17.5,17.5,17.5,0
2000-01-12,17.5,17.5,17.5,17.5,0
2000-01-13,17.5,17.5,17.5,17.5,0
2000-01-14,17.5,17.5,17.5,17.5,0
2000-01-18,17.5,17.5,17.5,17.5,0
2000-01-19,17.5,17.5,17.5,17.5,0
2000-01-20,17.5,17.5,17.5,17.5,0
2000-01-21,17.5,17.5,17.5,17.5,0
2000-01-24,17.5,17.5,17.5,17.5,0
2000-01-25,17.5,17.5,17.5,17.5,0
2000-01-26,17.5,17.5,17.5,17.5,0
2000-01-27,16.75,16.75,16.75,16.75,800
2000-01-28,16.75,16.75,16.75,16.75,0
2000-01-31,16.75,16.75,16.75,16.75,0
2000-02-01,16.75,16.75,16.75,16.75,0
2000-02-02,15.125,15.5,15,15.125,4400
2000-02-03,16,16,15,15,1200
2000-02-04,15,15,15,15,0
2000-02-07,15,15,15,15,0
2000-02-08,15,15.75,15,15.75,3600
2000-02-09,14.375,15,14.375,14.375,4800
2000-02-10,15.25,15.25,15.25,15.25,400
2000-02-11,15.25,15.25,15.25,15.25,0
2000-02-14,15.25,15.25,15.25,15.25,0
2000-02-15,15.25,15.25,15.25,15.25,0
2000-02-16,15.25,15.25,15.25,15.25,400
2000-02-17,15.25,15.25,15.25,15.25,0
2000-02-18,15.25,15.25,15.25,15.25,0
2000-02-22,15.25,15.25,15.25,15.25,0
2000-02-23,14,14.5,14,14.5,1600
2000-02-24,14.5,14.5,14.5,14.5,0
2000-02-25,14.5,14.5,14.5,14.5,0
2000-02-28,14.5,14.5,14.5,14.5,0
2000-02-29,15.125,15.125,15.125,15.125,800
2000-03-01,15,15,13.75,13.75,2000
2000-03-02,13.5,13.75,13.5,13.5,2800
2000-03-03,13.5,14.25,13.5,14.25,1200
2000-03-06,14.25,14.25,14.25,14.25,0
2000-03-07,14.25,14.25,14.25,14.25,0
2000-03-08,12.5,12.5,12.5,12.5,1200
2000-03-09,12.5,12.5,12.5,12.5,0
2000-03-10,12.5,12.5,12.5,12.5,1200
2000-03-13,12.5,12.5,12.5,12.5,2400
2000-03-14,12.5,12.5,12.5,12.5,0
2000-03-15,12.5,12.5,12.5,12.5,0
2000-03-16,12.5,12.5,12.5,12.5,0
2000-03-17,10,12.5,10,10,5600
2000-03-20,10,10,10,10,0
2000-03-21,10,10,10,10,0
2000-03-22,10,10,10,10,0
2000-03-23,10,10,10,10,0
2000-03-24,10.25,10.25,10.25,10.25,1600
2000-03-27,10.25,10.25,10.25,10.25,0
2000-03-28,10.25,10.25,10.25,10.25,0
2000-03-29,10.25,10.25,10.25,10.25,1600
2000-03-30,10.25,10.25,10.25,10.25,0
2000-03-31,10.75,10.75,10.75,10.75,1600
2000-04-03,10.75,10.75,10.75,10.75,0
2000-04-04,10.875,10.875,10.34375,10.875,8800
2000-04-05,10.875,10.875,10.875,10.875,0
2000-04-06,10.875,10.875,10.875,10.875,0
2000-04-07,10.875,10.875,10.875,10.875,0
2000-04-10,10.875,10.875,10.875,10.875,0
2000-04-11,10.625,10.625,10.625,10.625,400
2000-04-12,10.625,10.625,10.625,10.625,0
2000-04-13,10.625,10.625,10.625,10.625,0
