date,open,high,low,close,volume
2011-01-14,11.03,12.3,11,11.96,169500
2011-01-18,11.95,12.06,11.5,11.9,79200
2011-01-19,11.99,11.99,11.91,11.91,6500
2011-01-20,11.62,11.9,11.6,11.9,33600
2011-01-21,11.9,11.9,11.9,11.9,0
2011-01-24,11.9,11.9,11.9,11.9,0
2011-01-25,11.79,12.01,11.77,12.01,79300
2011-01-26,11.85,12.06,11.83,11.99,6600
2011-01-27,12.04,12.07,12,12,12700
2011-01-28,12,12.06,11.81,12,21700
2011-01-31,11.8,11.84,11.8,11.8,400
2011-02-01,11.75,12.05,11.75,12.05,3500
2011-02-02,12.05,12.05,12.05,12.05,0
2011-02-03,12,12.06,11.94,12.05,8700
2011-02-04,12.03,12.09,12.03,12.09,40500
2011-02-07,12.08,12.09,12.08,12.09,2000
2011-02-08,12.07,12.2,12.07,12.19,23400
2011-02-09,12.15,12.22,12.11,12.11,6100
2011-02-10,12.1,12.1,12.1,12.1,1000
2011-02-11,12.1,12.1,12,12,5500
2011-02-14,12.19,12.96,12.19,12.5,31000
2011-02-15,12.5,12.5,12.5,12.5,0
2011-02-16,12.5,13.5,12.5,13.44,57100
2011-02-17,13.2,13.34,13.01,13.32,2600
2011-02-18,13.27,13.45,12.75,12.75,19200
2011-02-22,12.75,12.87,12.75,12.79,1300
2011-02-23,12.57,12.8,12.31,12.33,1500
2011-02-24,12.28,12.28,12.26,12.26,700
2011-02-25,12.74,12.74,12.32,12.46,3600
2011-02-28,12.73,12.73,12.64,12.64,1300
2011-03-01,13.24,13.48,13.24,13.32,2000
2011-03-02,12.4,12.4,12.4,12.4,200
2011-03-03,12.4,12.4,12.4,12.4,0
2011-03-04,12.75,12.94,12.7,12.94,1000
2011-03-07,12.94,12.94,12.94,12.94,0
2011-03-08,12.74,12.74,12.23,12.23,600
2011-03-09,12.24,12.88,12.24,12.74,5900
2011-03-10,12.98,12.99,12.41,12.5,2500
2011-03-11,12.55,12.55,12.12,12.25,1600
2011-03-14,12.25,12.25,12.25,12.25,0
2011-03-15,12.4,12.4,12.24,12.24,800
2011-03-16,12.25,12.35,12.25,12.35,300
2011-03-17,12.32,12.35,12.32,12.35,300
2011-03-18,11.56,11.56,11.56,11.56,500
2011-03-21,11.56,11.56,11.56,11.56,0
2011-03-22,12,12.12,12,12.12,200
2011-03-23,12.12,12.12,12.12,12.12,0
2011-03-24,12.12,12.12,12.12,12.12,0
2011-03-25,11.7,11.99,11.7,11.99,1600
2011-03-28,11.99,11.99,11.99,11.99,0
2011-03-29,11.96,11.96,11.79,11.79,500
2011-03-30,11.8,11.8,11.79,11.8,1700
2011-03-31,11.8,11.8,11.49,11.49,5700
2011-04-01,11.56,11.56,11.5,11.5,8400
2011-04-04,11.95,12,11.92,12,4500
2011-04-05,11.98,12.08,11.98,12.08,2600
2011-04-06,12.08,12.08,11.9,11.9,3000
2011-04-07,12.08,12.08,12.08,12.08,1000
2011-04-08,12.08,12.08,12.08,12.08,0
2011-04-11,11.93,11.93,11.91,11.91,200
2011-04-12,12,12,12,12,5000
2011-04-13,12,12,12,12,500
2011-04-14,12.08,12.08,12.08,12.08,1000
2011-04-15,12.1,12.1,12.1,12.1,1000
2011-04-18,12.1,12.1,12.1,12.1,0
2011-04-19,12.1,12.1,12.1,12.1,0
2011-04-20,12,12,12,12,1000
2011-04-21,12,12,12,12,900
2011-04-25,12,12.1,12,12.1,200
2011-04-26,12.05,12.15,12.05,12.15,1700
2011-04-27,12.15,13,12.15,12.73,8100
2011-04-28,12.6,12.73,12.52,12.52,4100
2011-04-29,12.52,12.52,12.52,12.52,0
2011-05-02,12.2,12.21,12.2,12.21,1000
2011-05-03,12.21,12.21,12.21,12.21,0
2011-05-04,12.41,12.41,12.27,12.27,300
2011-05-05,12.22,12.22,12.04,12.05,1000
2011-05-06,12.05,12.05,12.05,12.05,0
2011-05-09,12.4,12.4,12.4,12.4,100
2011-05-10,12.4,12.4,12.4,12.4,0
2011-05-11,12.4,12.4,12.4,12.4,0
2011-05-12,12.4,12.4,12.4,12.4,0
2011-05-13,12.3,12.3,12.25,12.25,3500
2011-05-16,12.25,12.25,12.25,12.25,0
2011-05-17,12.19,12.19,12.19,12.19,1800
2011-05-18,12.19,12.19,12.19,12.19,0
2011-05-19,12.6,12.6,12.3,12.3,4900
2011-05-20,12.2,12.2,12.2,12.2,2000
2011-05-23,12.2,12.55,12.2,12.55,1200
2011-05-24,12.31,12.31,12.31,12.31,200
2011-05-25,12.58,12.58,12.25,12.25,1100
2011-05-26,12.25,12.25,12.25,12.25,0
2011-05-27,12.25,12.25,12.25,12.25,0
2011-05-31,12.25,12.25,12.25,12.25,0
2011-06-01,12.25,12.25,12.25,12.25,0
2011-06-02,12.01,12.01,12.01,12.01,100
2011-06-03,12.01,12.01,12.01,12.01,0
2011-06-06,12.01,12.01,12.01,12.01,0
2011-06-07,12.01,12.01,12.01,12.01,0
2011-06-08,12.05,12.05,12,12.04,1300
2011-06-09,12.06,12.06,11.9,12.01,1000
2011-06-10,12.01,12.01,12.01,12.01,0
2011-06-13,11.9,11.97,11.9,11.97,1300
2011-06-14,11.9,11.91,11.9,11.9,2000
2011-06-15,11.9,11.9,11.9,11.9,0
2011-06-16,11.9,11.9,11.9,11.9,0
2011-06-17,11.83,11.83,11.83,11.83,400
