date,open,high,low,close,volume
2021-03-19,17.48,19.049999,17.200001,19,2487000
2021-03-22,19.99,20.73,19.02,19.4,996700
2021-03-23,19.549999,20.059999,19.236,19.780001,1897800
2021-03-24,20,20.5,18.530001,18.6,1954600
2021-03-25,18.25,18.25,16.4,17.5,1371800
2021-03-26,17.52,17.91,17.040001,17.75,1108300
2021-03-29,17.799999,17.98,17.049999,17.280001,664400
2021-03-30,17.290001,17.48,16.51,16.809999,773100
2021-03-31,16.98,17.48,16.74,16.780001,573800
2021-04-01,16.790001,17.725,16.780001,17.48,558600
