date,open,high,low,close,volume
2021-07-22,21,22.893999,20.879999,21.59,2545400
2021-07-23,22,24,21.5,22.889999,664300
2021-07-26,23.200001,24.809999,23,23.49,642500
2021-07-27,23.629999,23.777,22,23.200001,584300
2021-07-28,23.1,24.75,22.85,24.5,1213500
2021-07-29,25.040001,29.209999,24.93,28.540001,378100
2021-07-30,29.42,29.582001,27.26,28.48,201200
2021-08-02,28.76,29.98,28.76,29.290001,306600
2021-08-03,29.5,31.389999,29,30.290001,212900
2021-08-04,31.530001,31.530001,24.879999,25.200001,509900
2021-08-05,24.83,26.73,23.700001,26.040001,310000
2021-08-06,25.83,27.299999,25.4,26.85,185200
2021-08-09,27.24,28.280001,26.75,27.549999,232000
2021-08-10,27.360001,27.84,26.025999,26.57,224800
2021-08-11,26.790001,26.790001,23.719999,23.82,191000
2021-08-12,24.07,26,23.690001,23.85,242100
2021-08-13,23.969999,25.389999,23.65,25.01,336400
2021-08-16,24.5,24.51,19.799999,21.09,696900
2021-08-17,20.969999,22.665001,19.35,19.5,551700
2021-08-18,19.17,21.08,19.030001,20.52,263700
2021-08-19,20.379999,21.290001,20,20.5,374800
2021-08-20,20.67,23.125,20.01,22.52,219400
2021-08-23,22.780001,23.620001,22.09,22.389999,207500
2021-08-24,22.17,23.280001,22.056,22.620001,166500
2021-08-25,22.48,22.48,19.85,19.85,221100
2021-08-26,19.99,21.799999,19.952,21.57,256600
2021-08-27,21.440001,21.93,19.790001,19.799999,166900
2021-08-30,19.85,20.395,17,18.209999,407900
2021-08-31,18.41,19.639999,18.27,18.780001,212100
2021-09-01,18.940001,19.389,18.17,18.879999,223900
2021-09-02,19.07,19.59,18.674999,19.41,95300
2021-09-03,19.32,20.440001,19.01,20.08,114400
2021-09-07,20.030001,20.940001,17.049999,17.25,476300
2021-09-08,17.209999,17.379999,14.09,14.28,645500
2021-09-09,14.5,14.7,13.683,14.3,348200
2021-09-10,14.27,14.53,13.69,14.04,231000
