date,open,high,low,close,volume
2020-10-14,14.1,14.4,11.99,12.12,2269500
2020-10-15,11.78,13.305,11.5,12.09,495800
2020-10-16,12,12.5,11.79,12.1,392500
2020-10-19,12,12.65,11.725,12.19,343800
2020-10-20,12.2,12.435,10.6,11.61,441600
2020-10-21,11.75,12.35,9.05,9.75,886500
2020-10-22,9.71,9.97,9.409,9.43,219800
2020-10-23,9.55,9.66,9.13,9.5,132900
2020-10-26,9.5,9.65,9.3,9.4,58300
2020-10-27,9.37,9.69,9.191,9.31,76500
2020-10-28,9.11,9.32,8.8,9.02,72900
2020-10-29,9.28,9.28,8.84,8.88,45900
2020-10-30,8.76,9.05,8.405,8.62,113600
2020-11-02,8.72,8.89,8.4,8.71,183200
2020-11-03,8.98,9.005,8.45,8.45,207500
2020-11-04,8.56,9.5,8.56,9.32,91800
2020-11-05,9.32,9.88,8.8,9.06,87400
2020-11-06,9.06,9.41,8.92,9.09,42700
2020-11-09,9.64,9.947,9.105,9.29,174400
2020-11-10,9.3,9.56,8.8,9.04,58600
2020-11-11,9.15,9.42,8.75,8.84,48300
2020-11-12,8.86,9.14,8.65,8.87,41700
2020-11-13,9,9.02,8.58,8.75,40900
2020-11-16,9,9.23,8.45,8.6,161300
2020-11-17,8.73,8.8,8.41,8.73,87900
2020-11-18,8.72,8.81,7.9,7.9,464100
2020-11-19,8.07,8.344,8.07,8.19,146700
2020-11-20,8.26,8.5,8.1,8.27,210900
2020-11-23,8.33,8.9,8.12,8.85,80000
2020-11-24,8.93,9.16,8.57,8.57,65000
2020-11-25,8.73,9.15,8.659,9,42700
2020-11-27,9.09,9.75,8.81,9.61,136800
2020-11-30,10.27,13.89,10,13.01,1677400
2020-12-01,13.26,18.68,13.26,16.41,1653200
2020-12-02,15.64,15.95,13.66,15.08,432100
2020-12-03,15.08,16.5,15.08,15.44,263700
2020-12-04,15.78,17.450001,15.52,17.450001,273000
2020-12-07,17.9,23.139999,17.9,19.98,519700
2020-12-08,19.91,20.952999,15.75,15.88,524900
2020-12-09,16.700001,18,15.07,15.61,347600
2020-12-10,16,16.4,15.128,15.99,103300
2020-12-11,15.28,15.846,15.17,15.25,74800
2020-12-14,15.5,15.75,14,15.56,194300
2020-12-15,15.46,15.89,14.73,15.73,126000
2020-12-16,15.73,16,15.4,15.42,96300
2020-12-17,15.75,16.15,15.24,15.37,191000
2020-12-18,15.78,17.799999,15.37,15.78,1000300
2020-12-21,15.4,19.1,15.4,18.85,258700
2020-12-22,18.709999,20.74,18.1,18.91,206100
2020-12-23,18.77,23.379999,18.51,23.209999,291500
2020-12-24,23.76,24.799999,20.500999,22.98,208500
2020-12-28,23.059999,24.299999,21.709999,22.475,183200
2020-12-29,22.52,22.82,20.299999,21.68,173300
2020-12-30,22.65,28,21.83,28,301100
2020-12-31,28.48,32.360001,27.700001,32.299999,296800
2021-01-04,32,32,26.27,27.35,367300
2021-01-05,27.33,30.625,27.33,28.540001,109100
2021-01-06,28,31.75,27.68,31.530001,176900
2021-01-07,33,37.849998,31.02,31.190001,322300
2021-01-08,30.98,32.485001,28.589001,29.379999,208900
2021-01-11,29.25,30,25.620001,26.07,176400
2021-01-12,26.25,29,26.25,27.99,128900
2021-01-13,27.9,32.939999,26.65,31.450001,199400
2021-01-14,32.75,32.75,29.450001,29.73,108200
2021-01-15,29.360001,30,27.32,28.299999,119900
2021-01-19,29.280001,32,27.629999,28.43,113100
2021-01-20,28.309999,28.58,25.6,27.35,198900
2021-01-21,27.5,27.806999,24.57,25.870001,78400
2021-01-22,25.719999,27.9,25.17,26.6,104300
2021-01-25,26.18,28.690001,25.43,28.459999,81300
2021-01-26,28.719999,31.950001,28.129999,29.219999,105600
2021-01-27,28.75,29.1,26.120001,26.5,136500
2021-01-28,26.5,28.52,25.110001,25.120001,110600
2021-01-29,25.780001,26.92,23.344999,23.879999,96000
2021-02-01,24.08,25.549999,23.469999,24.530001,91300
2021-02-02,24.559999,25.25,23.129999,24.379999,55000
2021-02-03,24.559999,24.559999,22.09,23.879999,123600
2021-02-04,23.9,23.940001,22.43,23.76,60400
2021-02-05,23.76,24.99,22.33,23.98,128700
2021-02-08,25.530001,29.35,25.1,26.85,222200
2021-02-09,26.799999,26.799999,24.209999,24.48,162500
2021-02-10,24.700001,24.799999,22,24.25,173000
2021-02-11,24.309999,24.700001,23.799999,24.58,74400
2021-02-12,25.299999,25.99,22.559999,25,706000
2021-02-16,25.23,25.91,23.01,23.58,315800
2021-02-17,23.23,23.360001,21.459999,21.709999,173200
2021-02-18,22.370001,22.379999,20.610001,21.08,118900
2021-02-19,20.870001,21.700001,19.379999,19.559999,208800
2021-02-22,19.559999,20.200001,18.1,18.68,186400
2021-02-23,18.33,19.01,16.58,18,98800
2021-02-24,18.629999,18.629999,17.6,17.9,96700
2021-02-25,18.040001,18.32,16.91,17.690001,88800
2021-02-26,18.049999,18.275,16.030001,16.200001,174300
2021-03-01,16.66,18.549999,16.49,18.389999,137400
2021-03-02,18.450001,18.9,17.389999,18.17,117300
2021-03-03,18.23,18.959999,16.200001,16.209999,119400
2021-03-04,16.07,16.92,13.94,15.82,183000
