date,open,high,low,close,volume
2014-09-12,52.5,55,52,52.099998,160
2014-09-15,46.5,47,43,43.5,250
2014-09-16,50.200001,52,40.799999,42,900
2014-09-17,42.599998,48,40.5,44.5,1630
2014-09-18,48.5,48.5,41,41.900002,950
2014-09-19,48.5,48.5,42.099998,43.099998,180
2014-09-22,42.099998,44.150002,41.700001,41.700001,800
2014-09-23,41.700001,42.5,41.700001,41.799999,710
2014-09-24,42,42,37,41,760
2014-09-25,39,40,39,39,380
2014-09-26,40,40,38.099998,39.900002,370
2014-09-29,38,38,33,33.099998,1860
2014-09-30,35,38.599998,35,38.5,1070
2014-10-01,36.400002,36.5,35,35,340
2014-10-02,36,36.5,33.099998,33.099998,990
2014-10-03,33.5,34.700001,33.200001,34.599998,120
2014-10-06,35.900002,38.970001,35.5,38.5,2270
2014-10-07,37.799999,39,37.599998,39,720
2014-10-08,38.700001,38.700001,36.599998,36.799999,230
2014-10-09,37.400002,37.400002,35.799999,35.799999,1130
2014-10-10,35.5,35.5,34,34.299999,1440
2014-10-13,34.5,34.599998,33.599998,33.599998,1040
2014-10-14,33.66,34.299999,33.200001,33.200001,720
2014-10-15,33.099998,33.099998,30,30.1,490
2014-10-16,31.5,32,31,31,230
2014-10-17,30.6,32.200001,30.6,31.700001,670
2014-10-20,32.299999,32.299999,31,31,330
2014-10-21,30.09,31.200001,30,30.799999,540
2014-10-22,30.6,30.9,30.6,30.9,130
2014-10-23,31,34.200001,30.5,34.200001,890
2014-10-24,33.799999,34,31,34,730
2014-10-27,34,34,33.450001,34,200
2014-10-28,34.299999,34.299999,29.1,29.1,1190
2014-10-29,29,30.799999,29,30.799999,70
2014-10-30,30.700001,32.099998,29.51,31.799999,770
2014-10-31,32.200001,32.599998,32.200001,32.599998,100
2014-11-03,33.630001,33.630001,33,33,300
2014-11-04,32,32.099998,31.9,31.9,1040
2014-11-05,31.9,35.299999,30.299999,33.299999,5640
2014-11-06,33.299999,33.299999,31.6,31.799999,4930
2014-11-07,31.200001,33,30.299999,33,330
2014-11-10,32.529999,32.799999,31.200001,31.200001,380
2014-11-11,30.6,30.6,30,30,450
2014-11-12,31.200001,31.389999,30.799999,30.799999,310
2014-11-13,30,30.5,29.200001,30.4,660
2014-11-14,30.200001,30.200001,30,30,390
2014-11-17,30,30,29.6,29.6,770
2014-11-18,29.6,30.84,28,28,2330
2014-11-19,29.719999,29.719999,27.6,27.6,630
2014-11-20,27,28.9,26.200001,26.700001,880
2014-11-21,27.4,28.799999,26.5,28.799999,720
2014-11-24,27.200001,27.200001,27,27,810
2014-11-25,27,27,27,27,0
2014-11-26,26.5,26.5,26.5,26.5,30
2014-11-28,27.809999,27.809999,27.809999,27.809999,10
2014-12-01,27.719999,28.1,26.6,28.1,710
2014-12-02,26.700001,28.6,26.700001,28.6,1280
2014-12-03,29.5,29.5,29,29.299999,350
2014-12-04,28.9,29.280001,28,28.9,1040
2014-12-05,28.9,28.9,28.9,28.9,40
2014-12-08,26.200001,26.200001,26.200001,26.200001,40
2014-12-09,26.299999,27.1,26.200001,26.4,770
2014-12-10,25.4,26.299999,25,26,660
2014-12-11,26.42,28.299999,25,28.299999,2190
2014-12-12,28.4,28.4,27,27,140
2014-12-15,28.4,28.4,25.200001,25.200001,830
2014-12-16,28.299999,28.4,26.299999,26.9,890
2014-12-17,27.5,27.5,26.5,26.5,1940
2014-12-18,27.799999,29.799999,26.5,27.200001,1790
2014-12-19,26.9,28,26.799999,28,630
2014-12-22,28,44.400002,28,37.5,28370
2014-12-23,36.5,41.189999,35,38.900002,9830
2014-12-24,37.599998,39.91,37.5,39.91,1450
2014-12-26,37.5,39.700001,36,37.5,2570
2014-12-29,35,38.5,35,35.200001,850
2014-12-30,35,36.799999,35,35.5,2040
2014-12-31,36.900002,36.900002,35,35,1480
2015-01-02,35.5,38.099998,35.5,37.869999,1040
2015-01-05,39.900002,39.900002,35.400002,35.799999,480
2015-01-06,35.810001,37.5,35,35,1950
2015-01-07,35.599998,35.599998,35,35.5,880
2015-01-08,36,42.299999,36,42.279999,7370
2015-01-09,40.5,41.900002,38,41.900002,1240
2015-01-12,42.400002,44.400002,41.5,42.900002,4160
2015-01-13,43.099998,44.400002,39.200001,43.599998,2530
2015-01-14,44.5,45.799999,41.099998,45.799999,2470
2015-01-15,44.52,47.299999,43.200001,46.799999,3710
2015-01-16,45,45.700001,40.400002,45.200001,3690
2015-01-20,47,47,40.799999,44,710
2015-01-21,43.900002,45.5,41.599998,44.700001,6470
2015-01-22,45.189999,45.200001,36.099998,40.400002,1720
2015-01-23,40.599998,44.599998,40.5,43.799999,420
2015-01-26,44.599998,44.599998,41.759998,44.5,600
2015-01-27,45.5,51,45.5,48.400002,6450
2015-01-28,50,50,45.849998,47.349998,3080
2015-01-29,46.799999,48.400002,46.099998,48.34,2020
2015-01-30,48.200001,48.990002,46,47.509998,2890
2015-02-02,47.599998,50,46.200001,48.349998,2190
2015-02-03,49.599998,49.799999,43.5,47.200001,2310
2015-02-04,49.5,49.5,46.099998,46.5,800
2015-02-05,46,46,44.5,45.299999,1990
2015-02-06,46.400002,47.32,46.110001,46.110001,120
2015-02-09,47.200001,48.900002,40,43.02,7060
2015-02-10,43.700001,44.450001,41.599998,42.900002,1780
2015-02-11,43.900002,44.900002,40.5,41.400002,1910
2015-02-12,42.299999,44.5,40.599998,40.599998,3800
2015-02-13,42.5,43.799999,40,40,2650
2015-02-17,41.400002,42,37.5,38.799999,4900
2015-02-18,39,39.799999,36.700001,39.700001,2720
2015-02-19,39.700001,45,39.700001,42,8390
2015-02-20,42.200001,43.77,40.830002,41.700001,8950
2015-02-23,41.799999,43.799999,41.599998,42.900002,3020
2015-02-24,43,43,37.799999,40.700001,2920
2015-02-25,40.5,41.900002,39,41.599998,480
2015-02-26,40.900002,44,40.630001,43.599998,2980
2015-02-27,44,44.900002,42.700001,43.299999,7230
2015-03-02,43.400002,45,42.5,43,1830
2015-03-03,44,44.48,42.5,43.200001,6200
2015-03-04,43,43,40.200001,42.299999,4590
2015-03-05,41.5,43.66,41.5,43.299999,4510
2015-03-06,44,47.599998,43.990002,46.099998,7010
2015-03-09,47,57,45.200001,55.299999,37300
2015-03-10,56.5,58.5,52.200001,53.5,26950
2015-03-11,54.400002,57.400002,51.799999,54.400002,12400
2015-03-12,54.5,57.400002,53.299999,55.200001,6190
2015-03-13,56,60.900002,54.599998,58,16720
2015-03-16,60.400002,61.299999,53.5,53.599998,21890
2015-03-17,55.200001,57,47,50.299999,27050
2015-03-18,51,53.599998,45.799999,49,8320
2015-03-19,48.099998,52.200001,48.099998,49.599998,6150
2015-03-20,49.400002,51.900002,47.200001,50.200001,22470
2015-03-23,53.5,53.5,48.700001,50.700001,5460
2015-03-24,50.400002,51.630001,49,49.73,3220
2015-03-25,50.400002,50.400002,45.799999,48.5,6990
2015-03-26,47.799999,47.799999,45.009998,47.400002,3560
2015-03-27,47.599998,53,47.599998,49.400002,5320
2015-03-30,52.200001,52.200001,47.099998,48.400002,5100
2015-03-31,47,54.799999,47,51.5,24410
2015-04-01,51.799999,58.5,50.5,58.299999,13850
2015-04-02,58.599998,60.560001,55.5,56,36440
2015-04-06,55.400002,60,54.400002,56.099998,23470
2015-04-07,57.599998,61.400002,52.700001,54,24350
2015-04-08,53.700001,58.599998,53.700001,58.599998,10530
2015-04-09,58.700001,59.490002,55.52,56.700001,12800
2015-04-10,57.400002,57.400002,54.200001,55.799999,6490
2015-04-13,56.400002,59.599998,55.07,59.299999,14080
2015-04-14,59.900002,60.5,56.400002,58.799999,16730
2015-04-15,59.400002,62.400002,57.709999,58.900002,26870
2015-04-16,58.529999,58.529999,54.200001,56,16050
2015-04-17,56.900002,56.900002,53.91,55.299999,4350
2015-04-20,55.400002,56,52.5,54.5,7800
2015-04-21,54.599998,57.200001,52.400002,54.400002,3740
2015-04-22,53.700001,57.299999,51.200001,53.959999,4870
2015-04-23,53.799999,55,52.790001,52.799999,5310
2015-04-24,52,54.400002,51.099998,53.700001,4030
2015-04-27,53.799999,56.5,51.5,51.5,11670
2015-04-28,51.900002,53.799999,50.400002,52.299999,6410
2015-04-29,52.599998,55,51.099998,51.700001,7770
2015-04-30,52,52.700001,50.5,52.700001,3260
2015-05-01,52.900002,52.900002,50.200001,51.099998,2270
2015-05-04,50.599998,55,50.599998,52.099998,4440
2015-05-05,53,54.200001,50.099998,50.200001,2770
2015-05-06,50,50.349998,43,49.099998,21280
2015-05-07,48.599998,48.799999,46.200001,47.200001,2850
2015-05-08,47.099998,50.299999,46.919998,48.900002,1870
2015-05-11,48.299999,51.950001,47.5,51.639999,4730
2015-05-12,50,51.400002,46.900002,51,4680
2015-05-13,49.099998,50.099998,49,49.200001,1160
2015-05-14,49,50.5,48,49.5,810
2015-05-15,48.900002,51.5,47.02,48.799999,1630
2015-05-18,46.599998,48.900002,46.099998,46.540001,3560
2015-05-19,46.099998,47.919998,43.799999,46.5,7930
2015-05-20,49.200001,49.200001,46.200001,48,4470
2015-05-21,49.459999,50.900002,48,50.599998,1720
2015-05-22,50.599998,51.200001,48.799999,50.720001,1300
2015-05-26,50.5,50.5,47.400002,48.400002,2450
2015-05-27,49.099998,49.099998,45.900002,47.560001,3010
2015-05-28,49.700001,49.700001,46.650002,47.299999,1740
2015-05-29,47.700001,48.799999,47.299999,48.400002,1210
2015-06-01,47.900002,48.700001,47.5,47.5,1210
2015-06-02,47.099998,48.700001,45,46.400002,4120
2015-06-03,47.200001,47.5,43.099998,45,4530
2015-06-04,45,45,43.5,44.299999,1730
