date,open,high,low,close,volume
2018-03-29,47,48,44,44.439999,344300
2018-04-02,44,45.959999,43,43,47825
2018-04-03,43.16,44.439999,40.599998,43,16275
2018-04-04,43.599998,44.279999,42.16,43,32700
2018-04-05,43.880001,43.919998,42.240002,43.919998,12825
2018-04-06,43.599998,43.799999,42.439999,43.16,16625
2018-04-09,43.599998,43.599998,42,42.919998,11700
2018-04-10,43,44.759998,41.088001,44.200001,40950
2018-04-11,42.84,45.639999,41.200001,44.360001,37075
2018-04-12,44.439999,45.759998,44,45.240002,42900
2018-04-13,45.639999,47.919998,45.240002,46.560001,41025
2018-04-16,47.48,47.799999,46.380001,47,36350
2018-04-17,47.560001,48,47.200001,47.799999,10275
2018-04-18,47.639999,48,47,48,9275
2018-04-19,47.560001,49,47.080002,48,22175
2018-04-20,47.599998,48.599998,47.599998,47.919998,23650
2018-04-23,48.84,50.799999,48,49,86875
2018-04-24,49.759998,49.956001,45.240002,47.799999,29075
2018-04-25,47.84,48,45.200001,46.080002,18700
2018-04-26,45.959999,48.52,45.959999,47.16,12000
2018-04-27,47.200001,48,46,47.119999,16475
2018-04-30,47.16,48.799999,45.240002,45.799999,22550
2018-05-01,45.439999,46.720001,42.560001,44.400002,24075
2018-05-02,44.360001,47.52,44.360001,45.119999,14550
2018-05-03,45.84,46.599998,42.639999,43.919998,28625
2018-05-04,43.759998,46,43.200001,43.639999,28550
2018-05-07,44,45.16,43.32,43.720001,12025
2018-05-08,43.091999,44.959999,42.599998,43.240002,10900
2018-05-09,43.52,43.959999,42,42.599998,36100
2018-05-10,42.599998,44.52,41.599998,42.759998,10450
2018-05-11,43.48,44,41.68,41.68,14550
2018-05-14,41.599998,43.360001,41.599998,42.240002,8300
2018-05-15,41.639999,43.507999,40.759998,43.360001,20000
2018-05-16,43.119999,47.099998,42.080002,46.84,28725
2018-05-17,46.68,48,44.48,46.720001,40375
2018-05-18,46.560001,48,45.400002,46.84,18250
2018-05-21,46.799999,47.439999,45.535999,46.720001,11825
2018-05-22,47.040001,47.119999,45.200001,46.200001,14450
2018-05-23,45.959999,47.200001,45.284,46.240002,25725
2018-05-24,46.52,47.82,45.200001,45.84,23000
2018-05-25,45.52,45.959999,45,45.080002,5575
2018-05-29,45,46.400002,41.439999,45.400002,22850
2018-05-30,45.560001,46.880001,44.560001,45.799999,56125
2018-05-31,46.799999,53.916,45.599998,49.240002,86275
2018-06-01,50.040001,52,48,50,101525
2018-06-04,50,53.144001,49.360001,50.560001,55000
2018-06-05,50.400002,54.720001,49.68,53.200001,112500
2018-06-06,53.599998,56.959999,50,51.400002,151375
2018-06-07,51.080002,54.099998,48.004002,49.639999,98850
2018-06-08,49.599998,52.18,49.599998,51.880001,76800
2018-06-11,52,54.84,51.080002,51.919998,96850
2018-06-12,51.919998,54.616001,50.040001,51,134175
2018-06-13,50.880001,51.599998,46.48,47.360001,106375
2018-06-14,47.759998,50.720001,47.400002,48.279999,59575
2018-06-15,48.360001,54.080002,48.02,51.48,127200
2018-06-18,51.32,54.939999,51.32,53.32,84750
2018-06-19,52.799999,62.599998,50.240002,57.959999,182125
2018-06-20,58.959999,64.795998,57.683998,62.279999,45025
2018-06-21,61.560001,62.956001,53.324001,55.32,79175
2018-06-22,56.240002,57.959999,53.32,56.360001,150000
2018-06-25,56.16,60.439999,54.84,59.040001,81575
2018-06-26,59.080002,59.080002,56.080002,56.360001,25775
2018-06-27,55.639999,58.400002,55.639999,56.48,37825
2018-06-28,56.32,57.099998,54.175999,56.48,29400
2018-06-29,56.799999,58.880001,54.119999,57.400002,66750
2018-07-02,56.919998,59.576,56.52,58.360001,11900
2018-07-03,58.560001,59.900002,58,58.880001,7925
2018-07-05,59.200001,61.200001,58.200001,59.599998,73575
2018-07-06,60,60.84,56.639999,58.799999,135350
2018-07-09,58.919998,60.48,58.560001,59.639999,79425
2018-07-10,57.68,59.880001,57.68,59.119999,47400
2018-07-11,58.799999,60,57.439999,59.439999,73275
2018-07-12,59.880001,62,59.360001,61.279999,101800
2018-07-13,61.16,65.879997,60.599998,64.639999,21475
2018-07-16,65.360001,66.036003,58.560001,60.200001,28225
2018-07-17,60.240002,62.335999,54.16,55.240002,81000
2018-07-18,55.560001,57,55.240002,55.919998,199225
2018-07-19,56.200001,57.360001,55.400002,56.240002,263250
2018-07-20,56.439999,56.439999,55.368,56.240002,230300
2018-07-23,56.599998,59.360001,56,58.84,223075
2018-07-24,58.759998,60.759998,57.279999,58.16,111650
2018-07-25,56.84,60.84,56.16,57.439999,138725
2018-07-26,57.439999,59,55.880001,58.279999,99375
2018-07-27,58.279999,61.48,58.279999,60.919998,111525
2018-07-30,61.360001,64.800003,61.360001,63.279999,36350
2018-07-31,63.52,70.120003,62.799999,67.080002,150425
2018-08-01,67.040001,67.400002,60.119999,62.040001,58875
2018-08-02,61.68,62.959999,58.872002,59.360001,21525
2018-08-03,58.32,65.68,56.807999,61.720001,207275
2018-08-06,61.639999,66.360001,57.84,65.800003,239625
2018-08-07,65.919998,70.639999,65.440002,66.68,143300
2018-08-08,66.360001,67.199997,59.48,60.080002,117850
2018-08-09,60,62.720001,58.799999,60.119999,60350
2018-08-10,60,63.68,57.68,62.880001,169150
2018-08-13,62.720001,64,61.560001,62.48,45725
2018-08-14,63.32,63.84,57.84,59.200001,110125
2018-08-15,58.84,59.919998,54.571999,56.799999,153325
2018-08-16,56.639999,56.799999,53.880001,54.919998,108650
2018-08-17,54.880001,56.279999,53.040001,54.799999,72325
2018-08-20,54.599998,57.799999,54.200001,57.400002,168550
2018-08-21,57.799999,59.599998,56,56.48,213825
2018-08-22,56.52,59.959999,56.080002,59.720001,129025
2018-08-23,60,60.880001,58.400002,59.68,91375
2018-08-24,59.919998,61.147999,59.16,59.599998,70825
2018-08-27,59.799999,60.279999,56.48,57.799999,124500
2018-08-28,57.799999,58.939999,56.599998,58.439999,48950
2018-08-29,58.52,64.720001,58.52,63.919998,71975
2018-08-30,64,65.040001,62.34,64.440002,33200
2018-08-31,64.839996,66.879997,62.439999,65.239998,89125
2018-09-04,65.080002,66,57.560001,58.080002,136025
2018-09-05,58,59.66,54.959999,56.639999,103600
2018-09-06,56.68,56.68,52.400002,52.639999,124825
2018-09-07,52.400002,54.720001,51,51.599998,107875
2018-09-10,51.639999,52.959999,48.279999,48.759998,25725
2018-09-11,48.240002,49.240002,46.683998,47.84,51000
2018-09-12,47.799999,48.759998,44.540001,45.720001,47925
2018-09-13,45.959999,47.16,45,45.200001,21600
2018-09-14,45.279999,45.68,44.599998,45,16325
2018-09-17,47.959999,48.16,44,44.279999,19725
2018-09-18,44.599998,46.439999,42.560001,45.599998,84150
2018-09-19,47.360001,49.919998,44.919998,49.16,63325
2018-09-20,49.119999,50.32,48.040001,49.080002,42500
2018-09-21,49.52,50.599998,48.48,48.639999,38100
2018-09-24,49,50.799999,47.759998,50.240002,21850
2018-09-25,51.119999,51.919998,48.080002,49.32,268300
2018-09-26,49.959999,50.028,42,42.68,339650
2018-09-27,43,43.880001,42.004002,42.220001,28300
2018-09-28,42.119999,43.060001,40,41.200001,42875
2018-10-01,41.639999,42.240002,40.040001,41.48,43525
2018-10-02,41.119999,44.639999,40.200001,44.240002,38175
2018-10-03,44.360001,44.68,41.32,41.52,38300
2018-10-04,41.759998,42.632,37.119999,37.119999,31500
2018-10-05,37.279999,38.400002,36.040001,38.400002,21075
2018-10-08,37.799999,41.48,37.799999,39.599998,24850
2018-10-09,39.560001,41.52,38.880001,41,30125
2018-10-10,40.639999,40.639999,36.919998,37.16,23400
2018-10-11,36.639999,39.560001,36.080002,37.919998,16025
2018-10-12,38.639999,41.040001,37,38.84,16475
