date,open,high,low,close,volume
2017-09-28,20.059999,20.530001,16.110001,17.65,5789200
2017-09-29,18.5,19.950001,17.66,18.99,901900
2017-10-02,19.18,20.34,18.910999,19.73,587500
2017-10-03,19.52,19.931999,18.820999,19.709999,142000
2017-10-04,19.67,20.870001,19.231001,20.25,183100
2017-10-05,20.25,22.440001,20.25,22.17,473200
2017-10-06,22.049999,22.969999,21.799999,22.91,158600
2017-10-09,23.450001,24.200001,22.65,23.309999,250600
2017-10-10,23.139999,23.959999,22.15,22.9,65500
2017-10-11,22.969999,23.809999,22.059999,22.379999,147400
2017-10-12,22.290001,23,21.870001,22.879999,181900
2017-10-13,22.719999,24.299999,22.559999,24.200001,341000
2017-10-16,24.01,24.5,23.309999,24,216300
2017-10-17,23.76,23.9,21.030001,21.43,181800
2017-10-18,21.379999,22.4,19.290001,19.959999,141300
2017-10-19,19.93,20,18.799999,19.84,103000
2017-10-20,19.370001,20.785,19.039,20.15,139400
2017-10-23,20.940001,22.450001,20.120001,20.790001,282600
2017-10-24,20.969999,21.4,19.5,20.35,118700
2017-10-25,20.4,20.4,18.57,19.32,118400
2017-10-26,19.530001,19.719999,18.950001,19.4,133600
2017-10-27,19.82,19.82,18.030001,18.639999,272100
2017-10-30,18.65,19.59,18.603001,19.09,387900
2017-10-31,18.940001,19.43,18.834999,19.190001,94900
2017-11-01,19.23,19.85,17.364,19.08,141300
2017-11-02,18.85,19.32,17.315001,17.959999,211500
2017-11-03,17.879999,19.219999,17.51,19.01,118600
2017-11-06,19.309999,19.309999,18.379999,18.959999,229700
2017-11-07,18.860001,18.860001,17.5,18.049999,77500
2017-11-08,17.76,17.76,16.76,17,284000
2017-11-09,16.99,17,16.469999,16.73,170200
2017-11-10,16.58,17.51,16.200001,17.4,155900
2017-11-13,17.25,18.01,16.790001,17.67,111700
2017-11-14,17.01,18.049999,16.93,17.51,131200
2017-11-15,17.5,18.35,16.889999,17.85,129700
2017-11-16,17.870001,18.25,17.33,17.77,169900
2017-11-17,18.07,20.514,17.99,19.6,154000
2017-11-20,19.389999,21.139999,19.360001,20.82,187400
2017-11-21,21.01,21.82,20.719999,21.07,161100
2017-11-22,21.18,21.617001,20.093,20.469999,86400
2017-11-24,20.370001,20.809999,20,20.09,21600
2017-11-27,20.040001,20.5,19.788,20.049999,75300
2017-11-28,20.66,20.9,19.809999,20.360001,42800
2017-11-29,20.549999,20.549999,18.709999,19.24,77300
2017-11-30,19.120001,20.59,18.51,19.860001,87700
2017-12-01,19.629999,20.08,18.77,19.549999,71000
2017-12-04,19.700001,19.700001,17.629999,17.77,121100
2017-12-05,17.83,18.49,17.52,17.889999,87200
2017-12-06,18,18.280001,17,17.07,107600
2017-12-07,16.98,18.23,16.98,17.879999,152300
2017-12-08,17.65,18.75,17.105,18.209999,141000
2017-12-11,18.200001,19.360001,16.75,16.83,203500
2017-12-12,16.99,18.059999,16.25,16.6,155800
2017-12-13,16.459999,18.01,16.32,17.82,262000
2017-12-14,17.73,18.049999,16.4,16.75,298100
2017-12-15,16.57,17.1,15.15,16.540001,1341500
2017-12-18,16.610001,17.549999,16.079,17.15,136100
2017-12-19,17.040001,17.5,16.219999,17.09,237400
2017-12-20,17.559999,19,17.120001,18.66,230000
2017-12-21,18.700001,19.959999,18.395,19.6,86400
2017-12-22,19.790001,21.99,19.67,21.51,237400
2017-12-26,21.610001,21.66,20.950001,21.6,92500
2017-12-27,21.5,21.940001,20.27,21,132100
2017-12-28,20.84,22.445,20.58,22.32,177900
2017-12-29,22.24,23.194,21.110001,22.67,118600
2018-01-02,22.629999,25.245001,22.209999,25.209999,286500
2018-01-03,25,26.27,23.360001,26.139999,239900
2018-01-04,26.139999,26.59,24.1,25.01,246300
2018-01-05,25.34,26.48,24.67,25.809999,127400
2018-01-08,26.07,26.07,24.52,24.99,100100
2018-01-09,25.040001,25.889999,24.719999,25.07,165400
2018-01-10,25.200001,25.780001,24.99,25.66,134500
2018-01-11,25.799999,25.83,24.889999,24.99,164100
2018-01-12,25.219999,25.295,24.41,24.540001,224200
2018-01-16,24.76,24.93,23.549999,24.379999,202300
2018-01-17,24.51,25.705,24.309999,24.98,135800
2018-01-18,25.1,26.719999,24.629999,26.040001,198600
2018-01-19,26.200001,27.530001,25.620001,27.469999,173400
2018-01-22,27.549999,28.195,26.343,27.9,197400
2018-01-23,27.74,28.32,26.49,28.09,200400
2018-01-24,28.17,28.959999,26.25,26.629999,256500
2018-01-25,26.889999,27.438999,25.57,27.08,206300
2018-01-26,27.209999,27.32,26.15,26.440001,112900
2018-01-29,26.35,26.674999,25.870001,26.219999,449500
2018-01-30,25.91,26.610001,25.688,26.360001,316200
2018-01-31,26.549999,26.959999,24.85,26,134000
2018-02-01,25.99,27.000999,25.870001,26.83,202500
2018-02-02,26.540001,26.66,25.42,26.120001,291500
2018-02-05,25.879999,26.440001,25.290001,25.940001,343200
2018-02-06,25.530001,26.790001,24.75,26.02,192700
2018-02-07,25.809999,26.629999,25.67,26.389999,42900
2018-02-08,26.440001,27.02,25.6,25.799999,48300
2018-02-09,25.950001,26.778999,24.73,26.07,233100
2018-02-12,26.18,28.25,25.530001,27.940001,127600
2018-02-13,27.68,29.48,27.68,28.92,115500
2018-02-14,28.709999,29.684999,28.129999,29,125900
2018-02-15,29.120001,29.299999,27.806,28.700001,60900
2018-02-16,29.200001,29.98,28.719999,29.709999,173300
2018-02-20,29.59,29.59,27.450001,28.17,188800
2018-02-21,28.33,29.57,28.01,28.09,61400
2018-02-22,28.299999,29.1,26.549999,26.59,168700
2018-02-23,26.76,27.42,24.76,25.040001,136900
2018-02-26,25.15,27.639999,24.99,27.139999,198700
2018-02-27,27.120001,28.17,26.58,26.83,64900
2018-02-28,26.9,27.76,24.940001,25.02,227300
2018-03-01,25.700001,25.700001,23.754999,24.360001,200800
2018-03-02,24.16,27.57,24.049999,27.23,114900
2018-03-05,27.049999,27.85,23.16,27.610001,312100
2018-03-06,27.639999,27.806,24.18,24.27,167400
2018-03-07,24.1,24.66,23.700001,24.4,218900
2018-03-08,24.709999,24.799999,22.860001,23.49,250800
2018-03-09,23.965,24.665001,23.424999,24.540001,266800
2018-03-12,24.5,25.035,23.610001,23.700001,198800
2018-03-13,24.6,25.41,23.26,23.42,150500
2018-03-14,23.549999,24.32,23.094999,23.620001,79100
2018-03-15,23.690001,24.171,22.059999,22.17,120400
2018-03-16,22.07,22.559999,21.58,22.4,108900
2018-03-19,22.33,23.18,21.950001,22.93,91100
2018-03-20,22.950001,23.24,22.549999,22.84,87100
2018-03-21,22.809999,23.66,22.809999,23,26200
2018-03-22,22.82,23.280001,21.809999,21.84,54400
2018-03-23,21.940001,23.280001,21.16,21.18,41800
2018-03-26,21.51,22.74,20.58,20.91,81900
2018-03-27,21.02,21.77,20.700001,20.75,119400
2018-03-28,20.75,21.764999,20.049999,20.99,81900
2018-03-29,21.09,21.09,19.74,20.040001,173500
2018-04-02,19.82,21.4,19.190001,20.059999,145500
2018-04-03,20.07,22.35,19.690001,21.870001,136200
2018-04-04,21.700001,22.495001,21.32,21.780001,111300
2018-04-05,22.02,22.245001,21.200001,21.84,73600
2018-04-06,21.57,24.15,21.49,24,198300
2018-04-09,24.309999,25.74,23.91,25.5,179000
2018-04-10,25.83,27.540001,24.959999,27.030001,119800
2018-04-11,26.719999,27.83,25.250999,27.33,323600
2018-04-12,27.540001,27.719999,26.08,27.049999,159900
2018-04-13,27.219999,27.219999,25.440001,25.57,58800
2018-04-16,25.83,26.040001,24.01,24.129999,78000
2018-04-17,22.65,26.68,22.65,23.780001,148800
2018-04-18,23.92,24.4,23.24,23.559999,108100
2018-04-19,23.370001,24.360001,23.370001,24.139999,85100
2018-04-20,24.030001,24.4,23.59,24.23,63000
2018-04-23,24.27,24.77,23.049999,23.139999,57100
2018-04-24,23.299999,23.639999,22.66,22.879999,37100
2018-04-25,22.870001,24.014999,22.209999,22.559999,78700
2018-04-26,22.76,23.16,22.23,22.459999,63700
2018-04-27,22.559999,22.861,21.614,22.17,87100
2018-04-30,22.27,23.110001,22.040001,22.440001,70400
2018-05-01,22.43,23.85,21.959999,23.639999,127500
2018-05-02,23.620001,25.889999,23.620001,25.23,148500
2018-05-03,25.129999,25.5,24.4,24.610001,42200
2018-05-04,24.42,25.559999,24.42,25.15,53200
2018-05-07,25.219999,25.540001,24.799999,25.1,30200
2018-05-08,25.049999,25.48,24,24.67,54900
2018-05-09,23.200001,26.200001,23.200001,25.6,124900
2018-05-10,25.610001,26.85,24.799999,24.959999,82600
2018-05-11,24.83,25.35,24.139999,24.959999,83000
2018-05-14,25.15,27.413,24.625,26.83,137600
2018-05-15,26.74,26.74,25.9,26.41,62000
2018-05-16,26.34,26.85,25.481001,25.860001,72000
2018-05-17,25.969999,26.65,25.035,25.73,181100
2018-05-18,25.879999,26.25,24.33,25.280001,106200
2018-05-21,25.4,27.459999,25.25,27.209999,115400
2018-05-22,27.450001,27.48,24.92,25.67,193200
2018-05-23,25.59,25.950001,25.200001,25.85,137800
2018-05-24,25.82,26.23,25.030001,25.049999,112500
2018-05-25,25.02,26.235001,24.801001,25.309999,64100
2018-05-29,25.059999,26.549999,25.059999,26.5,58300
2018-05-30,26.549999,27.52,25.93,26.73,114200
2018-05-31,27.040001,27.040001,25.280001,25.719999,262400
2018-06-01,25.780001,26.110001,24.48,25.91,248900
2018-06-04,26.950001,38.43,26.950001,38.310001,1869500
2018-06-05,36.360001,41.625,35.564999,39.970001,856000
2018-06-06,40.68,42.782001,39.57,41.52,415100
2018-06-07,40.150002,40.415001,35.75,35.889999,3388900
2018-06-08,35.57,37.799999,35.049999,35.130001,534300
2018-06-11,35.400002,36.419998,35.029999,36.110001,284700
2018-06-12,38.389999,38.75,36.599998,38.48,319300
2018-06-13,38.299999,38.75,37.049999,38.34,139600
2018-06-14,38.349998,41.040001,38,40.369999,239900
2018-06-15,40.43,43.650002,39.943001,41.860001,405400
2018-06-18,41.400002,45.610001,41.400002,44.66,392200
2018-06-19,43.009998,45,42.259998,43.959999,312800
2018-06-20,44.040001,45.09,43.740002,44.369999,117400
2018-06-21,44.540001,45.119999,43,44.950001,273200
2018-06-22,45.080002,45.080002,36.57,39.549999,850300
2018-06-25,39.220001,41.18,39.080002,39.5,226800
2018-06-26,39.639999,40.619999,39.049999,40.130001,194100
2018-06-27,40.139999,40.169998,36.549999,37.459999,193700
2018-06-28,37.639999,39.23,37.41,38.459999,122300
2018-06-29,38.610001,39.720001,38.014999,39.349998,145100
2018-07-02,39.060001,40.189999,38.299999,38.720001,225000
2018-07-03,38.650002,41.330002,38.584999,41.029999,107700
2018-07-05,42,43.919998,41.119999,42.099998,218700
2018-07-06,42.23,42.380001,40.119999,40.57,99100
2018-07-09,40.650002,41.27,40.049999,40.389999,238800
2018-07-10,40.400002,40.580002,38.075001,38.639999,176200
2018-07-11,38.360001,39.360001,37.599998,37.77,144900
2018-07-12,38.220001,39.16,37.151001,38.439999,162000
2018-07-13,38.43,38.68,37.040001,37.560001,138100
2018-07-16,37.560001,39.067001,36.5,38.209999,236200
2018-07-17,38.02,39.310001,36.950001,37.869999,286800
2018-07-18,37.93,38.57,36.759998,37.889999,137600
2018-07-19,37.759998,38.259998,36.02,36.959999,244700
2018-07-20,36.959999,37.209999,36.187,37.09,161000
2018-07-23,37.009998,37.27,36.099998,36.52,165800
2018-07-24,36.549999,37.889999,35.5,36.18,288600
2018-07-25,36.299999,36.838001,35.793999,36.720001,200100
2018-07-26,36.759998,37.27,36.580002,36.599998,97800
2018-07-27,36.630001,36.630001,33.599998,33.799999,158300
2018-07-30,33.799999,34.439999,33.200001,33.57,102500
2018-07-31,33.869999,34.5,32.799999,34.400002,157400
2018-08-01,34.509998,35.900002,34.509998,35.490002,101000
2018-08-02,35.290001,36.380001,34.919998,36.25,90700
2018-08-03,36.18,38.529999,35,35.689999,98500
2018-08-06,35.709999,36.509998,34.970001,35.959999,78200
2018-08-07,38.275002,39.745998,35.98,36,154800
2018-08-08,37.139999,37.139999,33.75,34.880001,173400
2018-08-09,35.099998,36.970001,35.029999,36.580002,123300
2018-08-10,36.139999,36.290001,35.223999,35.59,68500
2018-08-13,36.009998,36.400002,35.02,35.380001,32400
2018-08-14,35.310001,35.465,34.214001,34.490002,53400
2018-08-15,34.490002,34.939999,33.255001,33.709999,78900
2018-08-16,33.560001,35.724998,33.200001,35.52,152700
2018-08-17,35.380001,35.509998,33.759998,34.959999,108000
2018-08-20,35.119999,35.119999,33.57,34.25,141000
2018-08-21,34.369999,35.349998,34.279999,34.68,67800
2018-08-22,34.75,36.860001,34,36.25,151600
2018-08-23,36.75,36.75,34.900002,35.77,241100
2018-08-24,35.52,36.16,34.099998,35.470001,92300
2018-08-27,35.799999,39.080002,35.23,38.549999,171300
2018-08-28,38.779999,39.900002,38.084999,38.310001,116500
2018-08-29,39,39.099998,36.362,37.650002,117000
2018-08-30,37.639999,38.119999,37.029999,37.310001,63500
2018-08-31,37.240002,37.869999,36.439999,36.990002,150200
2018-09-04,37.369999,37.57,35.790001,36.209999,147900
2018-09-05,36.060001,36.91,35.060001,35.669998,69300
2018-09-06,35.869999,37.220001,34.939999,36.900002,191300
2018-09-07,36.5,38,36.176998,37.959999,78600
2018-09-10,38.09,39.134998,37.810001,38.209999,327900
2018-09-11,38.27,39.27,37.240002,38.41,105700
2018-09-12,38.07,38.349998,36.330002,36.560001,119700
2018-09-13,36.400002,37.209999,36.349998,36.450001,102100
2018-09-14,36.400002,36.599998,34.665001,35.5,107400
2018-09-17,35.34,35.779999,34.209999,34.740002,80700
2018-09-18,35.549999,36.169998,34.060001,36.099998,205700
2018-09-19,36.689999,38.93,36.259998,36.380001,163900
2018-09-20,36.599998,39.611,36.200001,39.310001,177900
2018-09-21,39.59,40.779999,37.759998,38.970001,1025400
2018-09-24,39.25,41,38.217999,39.919998,265900
2018-09-25,36.84,38.98,35.919998,38.259998,209000
2018-09-26,38.220001,39.869999,37.939999,38.5,271500
2018-09-27,38.77,39.889999,37.360001,38.490002,371700
2018-09-28,38.360001,38.950001,37.68,38.720001,152200
2018-10-01,39,39.540001,35.25,35.540001,151100
2018-10-02,35.200001,35.924999,34.52,35.099998,160700
2018-10-03,35.25,36.240002,34,36.139999,128500
2018-10-04,36.139999,37.376999,32.049999,32.200001,411000
2018-10-05,32.490002,32.720001,30.200001,31.16,101500
2018-10-08,31.01,31.110001,29.379999,30.809999,425400
2018-10-09,30.58,31.728001,30.27,31.389999,139700
2018-10-10,31.16,31.91,29.110001,29.280001,173800
2018-10-11,29.01,30.441,27.719999,28.08,109700
2018-10-12,28.67,29.554001,27.690001,28.15,182200
2018-10-15,28.120001,28.639999,26.58,27.98,245300
2018-10-16,28.280001,29.219999,27.59,28.75,153300
2018-10-17,28.620001,28.91,27.5,28.65,327300
2018-10-18,28.59,28.59,27.01,27.23,267800
2018-10-19,27,27.155001,22.049999,22.26,1036300
2018-10-22,22.299999,23.754999,21.620001,22.65,1039500
2018-10-23,22.27,23.395,20.84,22.540001,393800
2018-10-24,22.629999,23.01,20.790001,20.809999,353900
2018-10-25,21.07,22.125,20.23,21.139999,311200
2018-10-26,20.709999,22.120001,20.09,20.48,263000
2018-10-29,20.92,20.945,18.549999,19.08,101800
2018-10-30,18.969999,19.98,18.799999,19.940001,152400
2018-10-31,20.35,21.190001,19.959999,20.190001,424500
2018-11-01,20.379999,21.450001,19.650999,21.360001,595600
2018-11-02,21.540001,22.450001,20.26,20.41,393300
2018-11-05,20.620001,20.645,19.040001,20.41,232800
2018-11-06,20.26,20.68,19.98,20.57,570700
2018-11-07,20.83,21.959999,20.83,21.690001,573000
2018-11-08,20.01,20.889999,19.801001,20,528800
2018-11-09,19.790001,20.629999,19.059999,20,377100
2018-11-12,20.32,21.68,19.559999,20.959999,471100
2018-11-13,21.030001,23.405001,20.83,21.629999,340600
2018-11-14,22.01,22.030001,20.02,20.58,277400
2018-11-15,20.75,24.25,20.75,22.73,732800
2018-11-16,22.360001,23.360001,21.290001,22.75,260300
2018-11-19,22.610001,23.459999,21.76,22.92,344700
2018-11-20,22.35,23.780001,22.35,23.23,201700
2018-11-21,23.639999,24.43,23.08,23.5,183500
2018-11-23,23.15,24.075001,22.74,23.08,115400
2018-11-26,23.440001,24.07,22.559999,24.059999,180300
2018-11-27,23.84,24.200001,23.07,23.99,199200
2018-11-28,24.190001,25.965,23.790001,25.379999,215500
2018-11-29,25.120001,26.27,25.120001,25.59,222500
2018-11-30,25.469999,26.549999,25.469999,26.07,393600
2018-12-03,26.91,27.629999,26.42,27.610001,239500
2018-12-04,27.92,28.24,25.93,26.469999,385100
2018-12-06,25.959999,27.92,25.285,27.889999,233000
2018-12-07,27.75,28.91,27.709999,27.959999,321300
2018-12-10,27.940001,28.1,26.559999,27.43,148000
2018-12-11,27.82,27.959999,26.450001,27.139999,102900
2018-12-12,27.41,28.43,26.709999,26.93,232900
2018-12-13,26.74,27.1,24.535,25.43,314100
2018-12-14,25,26.629999,24.68,26.209999,146100
2018-12-17,26.450001,26.98,24.559999,24.74,247700
2018-12-18,24.91,25.305,22.709999,23.559999,339000
2018-12-19,23.719999,24.26,21.57,22.309999,310200
2018-12-20,22.389999,22.98,20.620001,21.209999,454100
2018-12-21,21.190001,21.299999,20,20.059999,1092600
2018-12-24,20,20.865,19.76,20.1,117700
2018-12-26,20.25,21.07,19.690001,20.969999,440600
2018-12-27,20.58,21.1,19.709999,20.719999,177200
2018-12-28,20.719999,21.57,20.209999,20.59,192600
2018-12-31,21.26,22,20.370001,20.99,469700
2019-01-02,20.92,22.940001,20.075001,22.48,432700
2019-01-03,22.18,22.424999,20.440001,20.65,295500
2019-01-04,20.950001,22.35,20.469999,21.469999,196800
2019-01-07,21.940001,25.684999,21.753,24.35,698700
2019-01-08,24.620001,25.700001,24,25,509100
2019-01-09,25.41,25.9,24.35,25.41,452400
2019-01-10,25.129999,25.9,24.385,25.889999,410200
2019-01-11,25.84,26,24.73,24.92,204000
2019-01-14,24.67,24.67,24.120001,24.32,248100
2019-01-15,24.389999,25.15,24.219999,25.15,228100
2019-01-16,25.450001,27.469999,25.450001,26.4,389800
2019-01-17,26.309999,26.99,25.32,25.51,108000
2019-01-18,25.66,26.84,25.18,26.75,169800
2019-01-22,26.58,26.655001,25.799999,26.370001,247700
2019-01-23,26.549999,27.530001,25.16,25.74,339300
2019-01-24,25.639999,26.530001,25.629999,26.450001,129700
2019-01-25,26.68,27.610001,26.280001,27.33,262200
2019-01-28,26.879999,26.879999,25.190001,25.309999,163500
2019-01-29,25.25,25.91,24.4,25.83,172400
2019-01-30,26.1,26.5,25.4,26.35,97600
2019-01-31,25.99,27.02,25.905001,26.870001,138500
2019-02-01,26.85,28.004,26.59,27.559999,171300
2019-02-04,27.52,27.870001,27.209999,27.75,100700
2019-02-05,27.860001,28.25,27.059999,27.459999,214900
2019-02-06,27.48,27.639999,26.709999,27.030001,83800
2019-02-07,26.950001,27.27,26.34,27.120001,150900
2019-02-08,27.09,27.76,26.436001,27.709999,195300
2019-02-11,27.940001,27.99,26.91,27.690001,137300
2019-02-12,27.93,28.01,27.059999,27.629999,146800
2019-02-13,27.860001,28.07,27.559999,27.74,100300
2019-02-14,27.620001,28.1,27.209999,27.969999,83800
2019-02-15,28.059999,29.174999,27.02,29,150300
2019-02-19,28.98,30.059999,28.549999,29.280001,184100
2019-02-20,29.27,29.405001,27.950001,28.57,103900
2019-02-21,28.57,28.639999,26.395,26.459999,119000
2019-02-22,26.559999,27.68,25.872999,27.610001,137000
2019-02-25,28.120001,29.323,27.360001,28.75,245200
2019-02-26,28.76,29.16,28.1,28.690001,142400
2019-02-27,28.690001,29.98,28.309999,29.549999,159800
2019-02-28,29.6,29.780001,27.6,28.4,193300
2019-03-01,28.629999,29.299999,28,28.639999,177300
2019-03-04,28.879999,29.09,26.889999,28.639999,210800
2019-03-05,28.65,29.110001,27.290001,27.59,156000
2019-03-06,27.610001,27.610001,25.99,26.1,149000
2019-03-07,26.08,26.610001,25.610001,25.9,74300
2019-03-08,25.799999,26.5,25.52,25.799999,69800
2019-03-11,25.969999,26.879999,25.42,26.790001,130800
2019-03-12,26.969999,27.25,26.120001,26.790001,91800
2019-03-13,26.82,26.82,25.780001,26.26,105300
2019-03-14,26.25,26.795,24.860001,25.5,219600
2019-03-15,25.41,26.927999,24.92,25.290001,268300
2019-03-18,25.290001,26.049999,24.92,25.4,145200
2019-03-19,25.18,25.5,24.76,24.879999,131200
2019-03-20,25.190001,25.280001,24.525,24.68,178900
2019-03-21,24.51,24.940001,23.82,24.459999,174700
2019-03-22,24.280001,24.700001,23.65,23.940001,219400
2019-03-25,23.700001,24.16,23.194,24.059999,161200
2019-03-26,24.18,24.52,23.709999,24.51,114700
2019-03-27,24.549999,24.549999,23.200001,23.9,165200
2019-03-28,23.940001,24.084999,23.309999,23.65,111400
2019-03-29,23.76,23.76,22.190001,23.209999,272700
2019-04-01,23.530001,24.264999,23.27,23.75,201400
2019-04-02,23.75,24.059999,23.42,23.540001,173100
2019-04-03,23.75,23.780001,22.735001,22.969999,294800
2019-04-04,22.99,23.16,22.27,22.629999,319200
2019-04-05,22.76,24.389999,22.76,24.34,234700
2019-04-08,24.49,24.540001,23.540001,23.6,129500
2019-04-09,23.540001,23.780001,23.02,23.030001,109200
2019-04-10,23.08,23.83,22.754999,23.639999,105700
2019-04-11,23.68,23.73,22.809999,23.290001,156200
2019-04-12,23.540001,23.870001,22.559999,22.959999,100600
2019-04-15,23.01,23.139999,22.32,22.82,78400
2019-04-16,22.82,23.719999,22.639999,23.51,142000
2019-04-17,23.559999,23.66,21.780001,22.969999,315900
2019-04-18,22.950001,23.6,22.190001,23.450001,283200
2019-04-22,23.309999,24.27,22.879999,24.200001,121300
2019-04-23,24.24,25.43,24.1,25.35,155000
2019-04-24,25.51,25.83,24.379999,24.450001,131700
2019-04-25,24.379999,24.4,23.58,24,173400
2019-04-26,23.940001,24.014999,23.17,23.959999,81200
2019-04-29,24,24.23,23.549999,23.719999,109500
2019-04-30,23.73,23.73,22.5,23,224100
2019-05-01,23.030001,23.405001,22.34,22.93,236500
2019-05-02,22.879999,23.41,22.5,22.92,67400
2019-05-03,23.1,23.639999,22.82,23.59,100000
2019-05-06,23.030001,23.889999,22.379999,23.68,223500
2019-05-07,23.379999,24.163,21.99,22.51,199100
2019-05-08,22.610001,24.18,22.049999,24.049999,178700
2019-05-09,23.73,24.57,23.08,24.33,108500
2019-05-10,22.950001,23.73,22.719999,23.01,144400
2019-05-13,22.25,23.299999,22.07,22.67,193300
2019-05-14,22.559999,23.280001,22.290001,23.110001,158600
2019-05-15,22.67,23.85,22.67,23.469999,101600
2019-05-16,23.49,24.27,23.24,24.129999,125000
2019-05-17,23.809999,24.5,23.299999,23.889999,109500
2019-05-20,23.629999,23.629999,22.690001,22.74,130100
2019-05-21,23.049999,25.129999,22.885,25.08,161400
2019-05-22,24.91,25.110001,23.959999,24.25,96400
2019-05-23,23.6,24.02,23.09,23.48,93300
2019-05-24,23.610001,24.360001,23.16,23.67,170300
2019-05-28,23.620001,24.129999,23.275,23.440001,104300
2019-05-29,23.209999,24.985001,22.944,24.57,240500
2019-05-30,24.85,24.98,23,23.43,193100
2019-05-31,23.01,23.450001,22.17,22.82,190000
2019-06-03,23.389999,25.35,23.049999,24.459999,433900
2019-06-04,24.809999,24.809999,22.865,23.219999,344200
2019-06-05,23.32,23.32,21.775,21.870001,317900
2019-06-06,21.85,21.85,20.67,21.1,251000
2019-06-07,21.17,22.59,20.195,21.92,255200
2019-06-10,21.91,22.18,21.190001,21.559999,119700
2019-06-11,21.92,22.957001,21.030001,21.049999,153400
2019-06-12,21,22.23,20.92,22.23,132600
2019-06-13,22.440001,23.41,22.096001,23.16,183900
2019-06-14,23.07,23.15,21.41,21.440001,192600
2019-06-17,22.1,23.48,21.93,23.059999,355000
2019-06-18,23.110001,24.059999,22.709999,23.98,157400
2019-06-19,23.91,25.360001,23.91,24.469999,254200
2019-06-20,24.9,25.965,24.5,25,174400
2019-06-21,25.02,26.360001,24.66,26.209999,418300
2019-06-24,26.15,26.91,23.66,23.85,355400
2019-06-25,24.08,24.379999,23.41,23.690001,313900
2019-06-26,23.91,24.35,23.08,23.360001,556100
2019-06-27,23.49,24.1,23.110001,23.34,196100
2019-06-28,23.34,23.35,22.43,22.549999,1197100
2019-07-01,22.77,24.32,22.6,24,393900
2019-07-02,23.92,24,22.610001,23.09,182800
2019-07-03,23.17,23.370001,22.690001,23.190001,88100
2019-07-05,23.030001,23.5,22.76,22.92,216700
2019-07-08,22.91,23.08,21.85,22.49,219300
2019-07-09,22.41,22.690001,21.870001,22.190001,181600
2019-07-10,22.370001,22.77,21.25,21.76,308500
2019-07-11,21.809999,22.34,21.27,21.84,183800
2019-07-12,22.139999,22.4,21.450001,21.6,236000
2019-07-15,21.629999,21.93,21.43,21.780001,149800
2019-07-16,21.809999,22.219999,20.75,20.91,489500
2019-07-17,21.02,21.379999,20.469999,20.549999,332100
2019-07-18,21.879999,21.879999,20.42,20.65,321700
2019-07-19,20.65,21.155001,20.5,20.65,255300
2019-07-22,20.879999,22.25,20.67,21.77,181300
2019-07-23,21.77,22.26,21.77,21.870001,165700
2019-07-24,21.879999,22.25,21.68,21.91,193100
2019-07-25,21.83,21.865,20.790001,21.26,408400
2019-07-26,21.41,21.785,20.84,21.48,412700
2019-07-29,21.49,21.870001,20.93,21.540001,388100
2019-07-30,21.5,22.440001,21.5,22.41,328800
