date,open,high,low,close,volume
2021-03-01,10,10,9.95,9.95,4500
2021-03-02,10,10,9.85,9.9,48800
2021-03-03,9.99,10,9.81,9.84,27500
2021-03-04,9.85,9.85,9.81,9.85,6000
2021-03-05,9.84,9.87,9.8,9.858,3300
2021-03-08,9.88,9.88,9.88,9.88,1000
2021-03-09,9.885,9.885,9.8,9.8,103500
2021-03-10,9.85,9.85,9.8,9.81,103100
2021-03-11,9.817,9.88,9.817,9.88,9300
2021-03-12,9.85,9.85,9.85,9.85,800
2021-03-15,9.8,9.8,9.8,9.8,2100
2021-03-16,9.8,9.8,9.8,9.8,100
2021-03-17,9.8,9.8,9.8,9.8,7500
2021-03-18,9.8,9.8,9.8,9.8,0
2021-03-19,9.8,9.85,9.8,9.85,8200
2021-03-22,9.85,9.85,9.85,9.85,0
2021-03-23,9.77,9.77,9.69,9.69,5200
2021-03-24,9.69,9.69,9.69,9.69,0
2021-03-25,9.74,9.74,9.74,9.74,1100
2021-03-26,9.69,9.75,9.65,9.65,2600
2021-03-29,9.65,9.65,9.65,9.65,0
2021-03-30,9.6,9.749,9.55,9.749,400100
2021-03-31,9.749,9.749,9.749,9.749,0
2021-04-01,9.8,9.85,9.8,9.85,103100
2021-04-05,9.89,9.89,9.89,9.89,500
2021-04-06,9.89,9.89,9.89,9.89,0
2021-04-07,9.87,9.87,9.87,9.87,1800
2021-04-08,9.87,9.87,9.87,9.87,0
2021-04-09,9.9,9.99,9.9,9.95,72700
2021-04-12,9.97,10.05,9.95,10.02,58200
2021-04-13,10.02,10.02,10.02,10.02,0
2021-04-14,9.95,10,9.95,10,2300
2021-04-15,9.95,9.95,9.95,9.95,200
2021-04-16,9.95,9.95,9.95,9.95,2500
2021-04-19,9.91,9.91,9.84,9.9,2600
2021-04-20,9.84,9.84,9.84,9.84,1200
2021-04-21,9.84,9.84,9.84,9.84,0
2021-04-22,9.84,9.84,9.84,9.84,0
2021-04-23,9.895,9.895,9.8,9.8,2200
2021-04-26,9.76,9.87,9.76,9.86,2400
2021-04-27,9.793,9.86,9.76,9.85,2500
2021-04-28,9.85,9.85,9.85,9.85,0
2021-04-29,9.84,9.85,9.84,9.84,1300
2021-04-30,9.805,9.84,9.76,9.8,16600
2021-05-03,9.76,9.77,9.76,9.77,52600
2021-05-04,9.77,9.8,9.77,9.8,9500
2021-05-05,9.76,9.77,9.76,9.77,2400
2021-05-06,9.783,9.783,9.78,9.78,900
2021-05-07,9.79,9.79,9.79,9.79,100
