date,open,high,low,close,volume
2015-02-13,90,97.5,90,90,6827
2015-02-17,88.5,90,84.75,84.75,487
2015-02-18,84.75,88.199997,84.75,84.75,93
2015-02-19,84.75,93.75,82.5,82.5,93
2015-02-20,90,90,90,90,0
2015-02-23,75,89.940002,75,89.940002,2787
2015-02-24,89.849998,90.75,86.25,86.25,107
2015-02-25,91.5,91.5,90,90,420
2015-02-26,91.5,91.5,90,91.5,100
2015-02-27,90.75,90.75,90.75,90.75,413
2015-03-02,90.75,90.75,90.75,90.75,0
2015-03-03,90,90,90,90,20
2015-03-04,90,90,90,90,0
2015-03-05,90,90,90,90,0
2015-03-06,90,90,90,90,0
2015-03-09,90,90,90,90,13
2015-03-10,90,90,90,90,133
2015-03-11,90,90,90,90,0
2015-03-12,90,90,90,90,0
2015-03-13,90,90,90,90,0
2015-03-16,75,75,71.25,72,67
2015-03-17,75,75,67.5,67.5,147
2015-03-18,63.900002,63.900002,41.099998,58.5,507
2015-03-19,49.5,49.5,46.5,46.5,33
2015-03-20,46.5,46.5,46.5,46.5,0
2015-03-23,46.5,46.5,46.5,46.5,0
2015-03-24,46.799999,58.349998,46.799999,46.799999,393
2015-03-25,55.5,55.5,47.099998,47.099998,47
2015-03-26,47.25,47.25,47.25,47.25,53
2015-03-27,47.25,47.25,47.25,47.25,0
2015-03-30,47.549999,52.5,47.549999,52.5,200
2015-03-31,52.5,52.5,52.5,52.5,0
2015-04-01,48.299999,48.299999,48.299999,48.299999,7
2015-04-02,48.299999,48.299999,48.299999,48.299999,0
2015-04-06,48.299999,48.299999,48.299999,48.299999,0
2015-04-07,48.299999,48.299999,48.299999,48.299999,0
2015-04-08,48.299999,48.299999,48.299999,48.299999,0
2015-04-09,48.299999,48.299999,48.299999,48.299999,0
2015-04-10,48.299999,48.299999,48.299999,48.299999,0
2015-04-13,48.299999,48.299999,48.299999,48.299999,0
2015-04-14,58.799999,58.799999,58.799999,58.799999,47
2015-04-15,58.799999,60,58.799999,59.400002,107
2015-04-16,59.25,59.25,59.25,59.25,20
2015-04-17,59.25,59.25,59.25,59.25,0
