date,open,high,low,close,volume
2020-08-12,10.26,10.48,10.16,10.3,267400
2020-08-13,10.3,10.625,10.25,10.54,49100
2020-08-14,10.92,10.99,10.43,10.44,56200
2020-08-17,10.37,10.9,10.37,10.5,7100
2020-08-18,10.575,10.75,10.3,10.3,4100
2020-08-19,10.38,10.82,10.3,10.34,13500
2020-08-20,10.37,10.69,10.37,10.39,32800
2020-08-21,10.45,10.5,10.3,10.3,28100
2020-08-24,10.3,10.735,10.3,10.36,8200
2020-08-25,10.49,10.575,10.31,10.31,56500
2020-08-26,10.32,10.62,10.31,10.55,18500
2020-08-27,10.4,11,10.4,11,11300
2020-08-28,11,11,11,11,700
2020-08-31,11,11,11,11,0
2020-09-01,10.55,10.57,10.55,10.57,400
2020-09-02,10.6,10.7,10.6,10.7,1500
2020-09-03,10.55,10.55,10.55,10.55,400
2020-09-04,10.95,10.95,10.89,10.89,400
2020-09-08,10.1,10.45,10.1,10.45,2300
2020-09-09,10.45,10.45,10.45,10.45,0
2020-09-10,10.5,10.5,10.5,10.5,4300
2020-09-11,10.89,10.89,10.89,10.89,1100
2020-09-14,10.95,10.95,10.75,10.75,700
2020-09-15,10.5,10.6,10.5,10.55,1100
2020-09-16,10.5,10.67,10.5,10.67,1900
2020-09-17,11.14,11.3,10.59,10.59,4100
2020-09-18,10.813,11.121,10.72,10.85,5900
2020-09-21,11.28,11.63,11.28,11.336,2000
2020-09-22,11.34,11.34,10.6,10.667,1300
2020-09-23,11.47,12.6,11.47,11.52,3900
2020-09-24,10.51,10.51,10.51,10.51,700
2020-09-25,11.724,11.724,11.724,11.724,800
2020-09-28,10.9,11.195,10.9,11.195,800
2020-09-29,11.195,11.195,11.195,11.195,0
2020-09-30,11.15,11.2,11.14,11.198,10300
2020-10-01,11.19,11.19,11.19,11.19,1600
2020-10-02,11.2,11.2,10.85,10.85,3500
2020-10-05,11.09,11.09,11,11,3500
2020-10-06,11.045,11.045,11,11,1400
2020-10-07,11,11,11,11,900
2020-10-08,10.94,10.97,10.94,10.97,500
2020-10-09,10.95,10.95,10.75,10.8,900
2020-10-12,10.85,10.85,10.85,10.85,600
2020-10-13,10.75,11.05,10.75,11,1200
2020-10-14,11.14,11.14,11.14,11.14,100
2020-10-15,10.72,11,10.21,10.7,2625600
2020-10-16,10.72,10.75,10.3,10.3,77500
2020-10-19,10.475,10.475,10.4,10.4,101300
2020-10-20,10.51,10.51,10,10.13,1058200
2020-10-21,10.2,10.2,10,10,23900
2020-10-22,10.111,10.111,10.05,10.05,38600
2020-10-23,10.15,10.15,10.15,10.15,400
2020-10-26,10.105,10.105,10.1,10.1,800
2020-10-27,10.16,10.16,10.155,10.16,1000
2020-10-28,10.5,10.5,10.14,10.14,1500
2020-10-29,10.185,10.185,10.1,10.1,700
2020-10-30,10.18,10.18,10,10,28100
2020-11-02,10.05,10.06,10,10.01,459800
2020-11-03,10.01,10.01,10.01,10.01,0
2020-11-04,10.05,10.05,10.01,10.01,800
2020-11-05,10.02,10.08,10.02,10.08,256400
2020-11-06,10.05,10.05,10.05,10.05,4900
2020-11-09,10.15,10.15,10.14,10.15,1500
2020-11-10,10.01,10.01,10,10,44100
2020-11-11,10,10.045,10,10.01,47800
2020-11-12,10.025,10.025,10.025,10.025,1000
2020-11-13,10.09,10.15,10,10.15,52200
2020-11-16,10.15,10.16,10.067,10.1,17900
2020-11-17,10.11,10.16,10.05,10.05,7800
2020-11-18,10.087,10.17,10.087,10.14,2800
2020-11-19,10.17,10.17,10.17,10.17,200
2020-11-20,10.15,10.15,10.05,10.05,11200
2020-11-23,10.1,10.15,10.05,10.05,16600
2020-11-24,10.05,10.34,9.8,10.008,119800
2020-11-25,10,10.15,10,10.05,37500
2020-11-27,10.05,10.18,9.99,10.1,22700
2020-11-30,10.2,10.2,10,10.03,133700
2020-12-01,10.03,10.055,10,10.02,13900
2020-12-02,10.055,10.08,10,10.08,26100
2020-12-03,10.04,10.06,10.04,10.05,62700
2020-12-04,10.15,10.17,10.07,10.08,22000
2020-12-07,10.14,10.23,10.123,10.15,28900
2020-12-08,10.15,10.505,10.134,10.3,168900
2020-12-09,10.34,10.35,10.219,10.29,88200
2020-12-10,10.28,10.29,10.2,10.27,5500
2020-12-11,10.3,10.35,10.21,10.27,71600
2020-12-14,10.35,10.4,10.2,10.4,66100
2020-12-15,10.32,10.32,10.24,10.255,9600
2020-12-16,10.33,10.5,10.126,10.36,163000
2020-12-17,10.49,10.55,10.4,10.475,74000
2020-12-18,10.427,10.5,10.31,10.31,10900
2020-12-21,10.3,10.48,10.28,10.3,8400
2020-12-22,10.47,10.56,10.455,10.5,42700
2020-12-23,10.5,10.515,10.35,10.44,67500
2020-12-24,10.5,10.5,10.44,10.5,17400
2020-12-28,10.5,10.59,10.466,10.5,401700
2020-12-29,10.5,10.59,10.49,10.49,269800
2020-12-30,10.46,10.5,10.36,10.4,84500
2020-12-31,10.45,11.72,10.41,11,736000
2021-01-04,11.2,11.94,11.1,11.32,1181100
2021-01-05,11.14,11.68,11.14,11.45,527200
2021-01-06,11.45,11.7,11.21,11.38,235500
2021-01-07,11.49,12.59,11.4,11.66,1508300
2021-01-08,11.9,12.12,11.63,12.11,343100
2021-01-11,12.98,13.25,12.5,12.95,404600
2021-01-12,12.99,13.19,12.9,13.01,168000
2021-01-13,13.15,13.57,12.91,12.95,169700
2021-01-14,13,13.38,12.81,13.12,143100
2021-01-15,13.26,13.272,12.479,12.79,105700
2021-01-19,12.91,12.99,12.21,12.59,84600
2021-01-20,12.97,13.24,12.65,12.75,50400
2021-01-21,12.62,12.7,12.14,12.55,78200
2021-01-22,12.47,13,11.9,13,230900
2021-01-25,13,13.1,12.35,12.69,153500
2021-01-26,12.54,12.571,12.1,12.39,158600
2021-01-27,12,12.24,11.51,11.89,191800
2021-01-28,11.67,11.9,11.5,11.74,107300
2021-01-29,11.56,12.2,11.27,11.8,177700
2021-02-01,12.25,13.6,12.18,13,865700
2021-02-02,12.84,13.75,12.81,13.15,410700
2021-02-03,13.06,13.71,12.916,13.5,299400
2021-02-04,13.26,13.4,12.5,12.94,173800
2021-02-05,12.94,13.23,12.43,12.66,216400
2021-02-08,13.1,13.1,11.31,12.1,154900
2021-02-09,12.15,13.5,11.056,12.89,304800
2021-02-10,13.38,13.38,12.03,12.79,123100
2021-02-11,12.97,12.99,12.12,12.75,69500
2021-02-12,12.8,12.8,12.06,12.56,291900
2021-02-16,12.64,12.98,12.12,12.58,225900
2021-02-17,12.5,12.8,11.76,12.61,185600
2021-02-18,12.36,13,12,12.95,97300
2021-02-19,12.8,13.5,12.51,13.24,113700
2021-02-22,13.24,14.07,13,13.99,211600
2021-02-23,13,14.84,11.6,14.21,246500
2021-02-24,14.18,15.5,14.02,14.71,168000
2021-02-25,14.71,15.195,13.73,15,197000
2021-02-26,14.78,15.25,13.86,15.2,304600
2021-03-01,15.31,15.7,15,15.6,137600
2021-03-02,16.639999,16.639999,15.22,16.01,228400
2021-03-03,16.469999,16.639999,15.47,15.94,193800
2021-03-04,15.9,15.9,13,14.15,238400
2021-03-05,14.41,14.41,12.815,13.86,411400
2021-03-08,13.75,14.795,13.31,13.45,259800
2021-03-09,13.69,14.29,13.54,13.84,155900
2021-03-10,13.88,15.5,13.71,14.84,190700
2021-03-11,15.25,16.299999,14.948,16.209999,201300
2021-03-12,16.24,18.051001,15.52,17,225700
2021-03-15,17.610001,19.084999,17.030001,18,304600
2021-03-16,17.870001,18.299999,17.33,17.98,238200
2021-03-17,17.700001,18.040001,16.620001,17.780001,444800
2021-03-18,17.440001,18.65,16.84,17.639999,500900
2021-03-19,17.82,18,16.290001,17.219999,1931400
2021-03-22,16.65,17.75,16.584999,16.99,338300
2021-03-23,16.620001,17.290001,16.504999,16.65,493300
2021-03-24,16.51,17.83,14.928,15.22,214600
2021-03-25,15,16.209999,14.23,15.82,109300
2021-03-26,15.84,16,14.25,14.79,263000
2021-03-29,14.55,15.5,14.37,15.15,198900
2021-03-30,14.77,15.54,13.935,14.86,137300
2021-03-31,14.82,16.34,13.4,13.55,255400
2021-04-01,13.7,13.94,13.06,13.26,364700
