date,open,high,low,close,volume
2018-10-18,9.65,9.71,9.65,9.71,285000
2018-10-19,9.72,9.72,9.72,9.72,1000
2018-10-22,9.71,9.71,9.71,9.71,500
2018-10-23,9.71,9.71,9.71,9.71,0
2018-10-24,9.71,9.71,9.71,9.71,0
2018-10-25,9.73,9.73,9.73,9.73,100
2018-10-26,9.74,9.76,9.71,9.71,1600
2018-10-29,9.71,9.71,9.71,9.71,0
2018-10-30,9.71,9.71,9.71,9.71,0
2018-10-31,9.71,9.71,9.71,9.71,250000
2018-11-01,9.71,9.71,9.71,9.71,0
2018-11-02,9.75,9.75,9.71,9.71,13900
2018-11-05,9.75,9.75,9.72,9.72,11400
2018-11-06,9.72,9.72,9.72,9.72,100
2018-11-07,9.75,9.75,9.75,9.75,322100
2018-11-08,9.75,9.75,9.75,9.75,0
2018-11-09,9.75,9.75,9.75,9.75,0
2018-11-12,9.75,9.75,9.75,9.75,0
2018-11-13,9.75,9.75,9.75,9.75,0
2018-11-14,9.75,9.75,9.75,9.75,0
2018-11-15,9.75,9.75,9.75,9.75,0
2018-11-16,9.77,9.77,9.77,9.77,500
2018-11-19,9.77,9.77,9.77,9.77,0
2018-11-20,9.75,9.75,9.75,9.75,200000
2018-11-21,9.75,9.75,9.75,9.75,0
2018-11-23,10.5,10.5,10.5,10.5,100
2018-11-26,9.8,9.8,9.75,9.79,2400
2018-11-27,9.78,9.78,9.78,9.78,150000
2018-11-28,9.78,9.79,9.78,9.78,52300
2018-11-29,9.81,10.07,9.81,10.07,150800
2018-11-30,9.85,9.85,9.78,9.79,31600
2018-12-03,9.79,9.79,9.79,9.79,400
2018-12-04,9.8,9.81,9.8,9.81,1100
2018-12-06,9.8,9.8,9.8,9.8,300
2018-12-07,9.81,9.81,9.8,9.81,98200
2018-12-10,9.79,9.9,9.79,9.9,86100
2018-12-11,9.9,9.9,9.9,9.9,0
2018-12-12,9.8,9.82,9.8,9.82,75100
2018-12-13,9.83,9.83,9.78,9.78,100100
2018-12-14,9.75,9.75,9.75,9.75,100
2018-12-17,9.75,9.75,9.75,9.75,0
2018-12-18,9.75,9.75,9.75,9.75,0
2018-12-19,9.78,9.78,9.78,9.78,100
2018-12-20,9.78,9.78,9.78,9.78,0
2018-12-21,9.78,9.78,9.78,9.78,0
2018-12-24,9.78,9.78,9.78,9.78,0
2018-12-26,9.78,9.78,9.78,9.78,0
2018-12-27,9.78,9.78,9.78,9.78,0
2018-12-28,9.8,9.85,9.8,9.85,32100
2018-12-31,9.85,9.85,9.85,9.85,0
2019-01-02,9.85,9.85,9.85,9.85,0
2019-01-03,9.8,9.88,9.8,9.86,71900
2019-01-04,9.86,9.86,9.86,9.86,0
2019-01-07,9.86,9.86,9.86,9.86,0
2019-01-08,9.82,9.82,9.82,9.82,2900
2019-01-09,9.82,9.82,9.82,9.82,0
2019-01-10,9.82,9.82,9.82,9.82,0
2019-01-11,9.82,9.82,9.82,9.82,0
2019-01-14,9.85,9.9,9.85,9.9,10200
2019-01-15,9.9,9.9,9.9,9.9,0
2019-01-16,9.89,9.92,9.89,9.92,18200
2019-01-17,9.9,9.9,9.89,9.9,7400
2019-01-18,9.91,9.91,9.91,9.91,5200
2019-01-22,9.91,9.96,9.91,9.95,42200
2019-01-23,9.95,9.95,9.95,9.95,0
2019-01-24,9.95,9.95,9.95,9.95,0
2019-01-25,9.95,9.97,9.95,9.97,20300
2019-01-28,9.97,9.97,9.97,9.97,0
2019-01-29,9.98,9.99,9.98,9.98,32000
2019-01-30,9.98,9.98,9.98,9.98,0
2019-01-31,9.98,9.98,9.98,9.98,0
2019-02-01,10,10,10,10,2700
2019-02-04,10,10,10,10,100
2019-02-05,10.02,10.02,10.02,10.02,10000
2019-02-06,10,10.01,10,10.01,1000
2019-02-07,10.02,10.04,10.02,10.04,3500
2019-02-08,10.04,10.04,10.04,10.04,0
2019-02-11,9.97,10.05,9.97,10.05,12900
2019-02-12,10.05,10.05,10.05,10.05,1900
2019-02-13,10.1,10.1,10.02,10.05,79100
2019-02-14,10.05,10.05,10.05,10.05,0
2019-02-15,10.01,10.01,10.01,10.01,5000
2019-02-19,10.02,10.02,10.02,10.02,500
2019-02-20,10.05,10.05,10.04,10.05,655500
2019-02-21,10.05,10.05,10.04,10.05,7300
2019-02-22,10.09,10.09,10.03,10.05,3100
2019-02-25,10.06,10.06,10.06,10.06,200
2019-02-26,10.06,10.06,10.06,10.06,0
2019-02-27,10.06,10.15,10.06,10.15,37700
2019-02-28,10.2,10.56,10.06,10.06,1900
2019-03-01,10.12,10.12,10.12,10.12,200
2019-03-04,10.12,10.12,10.12,10.12,0
2019-03-05,10.12,10.12,10.12,10.12,0
2019-03-06,10.12,10.12,10.12,10.12,0
2019-03-07,10.07,10.07,10.07,10.07,60500
2019-03-08,10.07,10.07,10.07,10.07,0
2019-03-11,10.08,10.09,10.08,10.09,1100
2019-03-12,10.06,10.09,10.05,10.05,5500
2019-03-13,10.05,10.05,10.05,10.05,0
2019-03-14,10.05,10.05,10.05,10.05,0
2019-03-15,10.05,10.05,10.05,10.05,0
2019-03-18,10.06,10.06,10.06,10.06,1000
2019-03-19,10.09,10.09,10.09,10.09,5100
2019-03-20,10.09,10.09,10.09,10.09,200
2019-03-21,10.05,10.09,10.05,10.09,4000
2019-03-22,10.09,10.09,10.09,10.09,0
2019-03-25,10.09,10.09,10.09,10.09,0
2019-03-26,10.09,10.09,10.09,10.09,0
2019-03-27,10.09,10.09,10.09,10.09,0
2019-03-28,10.09,10.1,10.05,10.1,32900
2019-03-29,10.09,10.1,10.07,10.07,14000
2019-04-01,10.07,10.07,10.07,10.07,0
2019-04-02,10.1,10.1,10.1,10.1,8100
