date,open,high,low,close,volume
2021-02-04,35,38.450001,33.490002,35.099998,8888400
2021-02-05,37.900002,42.880001,35.549999,39.119999,2840100
2021-02-08,40.509998,42.740002,38.200001,38.200001,1364600
2021-02-09,37.869999,40.209999,37.799999,40.209999,1028800
2021-02-10,39.98,44.599998,39.759998,43.5,2933000
2021-02-11,42.75,44.490002,40.279999,43.200001,841100
2021-02-12,43.139999,43.139999,39.23,39.869999,316000
2021-02-16,40.66,41.5,37.299999,38.779999,346400
2021-02-17,39.110001,39.380001,34.053001,35,620800
2021-02-18,34.220001,35.75,33.119999,35.200001,397100
2021-02-19,35.549999,37.439999,35.099998,35.330002,496900
2021-02-22,35.5,38.740002,34.5,37.849998,505000
2021-02-23,36.689999,36.689999,31.57,32.509998,525300
2021-02-24,33.490002,35.900002,33.049999,34.650002,341300
2021-02-25,34.700001,34.830002,31.719999,32.049999,246300
2021-02-26,32.259998,32.73,29.99,30.74,374400
2021-03-01,31.280001,34.450001,30.049999,33.259998,390600
2021-03-02,33.400002,33.970001,29.790001,29.860001,399800
2021-03-03,30.209999,30.690001,24.41,24.48,673800
2021-03-04,24.93,25.32,21.209999,23.040001,1522800
2021-03-05,23.49,25.16,21.219999,23.9,820700
2021-03-08,24.01,26.395,22.1,23.6,501000
2021-03-09,24.129999,28.5,24.125,27.700001,871100
2021-03-10,28.51,30.200001,26.24,26.709999,507500
2021-03-11,27.110001,28.32,26.190001,27.07,364000
2021-03-12,27.5,31.41,27,30.870001,530400
2021-03-15,31.309999,31.309999,28.879999,29.370001,610500
2021-03-16,29.51,30.27,28.040001,29.68,838800
2021-03-17,29.469999,32.720001,28.315001,31.9,450500
2021-03-18,31.51,31.66,29.35,29.870001,333000
2021-03-19,30.379999,33.365002,30.229,32.209999,2946800
2021-03-22,32,33.189999,31.566,33.029999,169000
2021-03-23,32.84,32.84,31.66,32.349998,217000
2021-03-24,32.349998,32.349998,30.83,32,362600
2021-03-25,30.219999,31.5,29.450001,30.51,708400
2021-03-26,30.129999,31.639999,30.129999,31.16,358700
2021-03-29,31.02,31.52,30.25,31.01,318400
2021-03-30,30.360001,32.07,30,31.57,350200
2021-03-31,31.639999,33.652,31.120001,33.470001,247100
2021-04-01,33.799999,33.799999,31.799999,32,285800
