date,open,high,low,close,volume
2020-12-16,7.7,9.99,5.34,5.92,2792600
2020-12-17,20.84,47.860001,20.790001,33.959999,9504200
2020-12-18,28.9,31.719999,20.1,21.549999,1820800
2020-12-21,18.450001,19.26,15.38,16.200001,550100
2020-12-22,15.65,16.24,13.1,13.1,325600
2020-12-23,16.790001,26.450001,15.5,19.35,2201500
2020-12-24,18.360001,21.52,16.5,20.26,242400
2020-12-28,19.75,20.5,17.309999,17.91,140900
2020-12-29,18,18.9,15.37,15.67,218800
2020-12-30,15.76,17.809999,15.12,16,203700
2020-12-31,14.67,15.8,14.5,14.84,171400
2021-01-04,14.75,14.99,12.348,13.41,218700
2021-01-05,13.42,13.56,12.75,13.16,130000
2021-01-06,13.21,14.399,12.25,12.26,182000
2021-01-07,12.6,15.588,12.6,14.87,239000
2021-01-08,14.78,15.19,13.67,14.3,122700
2021-01-11,14.13,14.78,13.83,14.56,49700
2021-01-12,14.69,14.99,13.92,14.08,57800
2021-01-13,14.14,14.14,13.375,13.75,65400
2021-01-14,13.85,13.89,12.76,12.97,111500
2021-01-15,13.1,13.5,12.96,13.21,69200
2021-01-19,13.81,14.593,13.81,14.33,89800
2021-01-20,14.95,15,13.275,13.44,98900
2021-01-21,13.39,13.56,12.8,12.92,81200
2021-01-22,12.89,13,12.25,12.36,94900
2021-01-25,12.3,12.6,11.56,12.09,140300
2021-01-26,11.9,11.9,10.6,10.61,333000
2021-01-27,9.62,10.66,9.5,9.9,1001000
2021-01-28,10.44,10.44,9.6,10.02,154000
2021-01-29,10,10.99,9.95,10.25,233400
2021-02-01,10.24,10.24,9.65,9.95,91800
2021-02-02,9.95,10.07,9.8,9.8,90900
2021-02-03,9.72,9.76,9.42,9.47,233700
2021-02-04,9.61,9.83,9.2,9.23,161500
2021-02-05,9.33,9.744,8.9,9.47,113700
2021-02-08,9.51,10.98,9.51,9.97,443500
2021-02-09,10.28,10.692,9.553,9.74,122000
2021-02-10,10.06,10.68,9.7,10.05,182400
2021-02-11,10.1,10.36,9.71,9.85,128700
2021-02-12,9.91,12.1,9.9,10.3,1325300
2021-02-16,10.85,10.85,10,10.2,350900
2021-02-17,10.25,10.25,9.403,9.9,301800
2021-02-18,9.91,10.19,9.56,10.15,172700
2021-02-19,10.71,10.96,10.5,10.67,259400
2021-02-22,10.64,10.65,9.805,9.9,152400
2021-02-23,9.25,9.77,8.8,9.2,141500
2021-02-24,10,10,9.3,9.31,281900
2021-02-25,9.23,9.42,8.75,8.78,169200
2021-02-26,8.99,9.43,8.327,9.27,172900
2021-03-01,9.42,9.52,8.91,8.95,128200
2021-03-02,8.93,9.2,8.8,8.88,97500
2021-03-03,8.89,9.2,8.76,8.82,127000
2021-03-04,8.7,8.99,8.022,8.12,163400
2021-03-05,8.27,8.42,7.2,8.14,106500
2021-03-08,8.16,9,8.06,8.66,116400
2021-03-09,8.84,9.053,8.51,8.94,64300
2021-03-10,8.9,9.84,8.82,9.62,119400
2021-03-11,9.7,10.07,9.57,9.6,78300
2021-03-12,9.5,10.05,9.28,9.66,68700
2021-03-15,9.83,10.05,9.456,10,77000
2021-03-16,10.14,10.14,9.53,9.88,72700
2021-03-17,9.59,10.01,9.29,9.89,43600
2021-03-18,9.84,10.48,9.7,10.12,112200
2021-03-19,9.13,10.93,9.1,10.34,446900
2021-03-22,10.31,10.97,10.29,10.52,83000
2021-03-23,10.43,10.43,9.01,9.26,50500
2021-03-24,9.23,9.295,8.53,8.56,44100
2021-03-25,8.51,9.3,8.51,9.17,33100
2021-03-26,9.2,9.27,8.6,8.68,34500
2021-03-29,8.61,8.84,7.82,8.09,53500
2021-03-30,8.05,8.11,7.8,7.94,32500
2021-03-31,8,8.74,8,8.45,34800
2021-04-01,8.52,8.89,8.52,8.53,17700
