mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.7413363573877992,10,0.00750440438200104,Model01
3,1,rmse,standard,0.9396807419552614,10,0.008369417349594193,Model01
3,1,rsq,standard,0.4257632985197081,10,0.009244848139939832,Model01
5,1,mae,standard,0.7314378954689745,10,0.0077272142363250486,Model02
5,1,rmse,standard,0.9343007930752307,10,0.008706938005802084,Model02
5,1,rsq,standard,0.4298025594089925,10,0.0100148757423665,Model02
7,1,mae,standard,0.7313332381362083,10,0.007814040446024795,Model03
7,1,rmse,standard,0.935542457126279,10,0.009270557530577404,Model03
7,1,rsq,standard,0.4278325849524751,10,0.00966152073642861,Model03
10,1,mae,standard,0.7332805393015539,10,0.006832138091162391,Model04
10,1,rmse,standard,0.939622549985044,10,0.008422465202466763,Model04
10,1,rsq,standard,0.42230127949134144,10,0.010418522928918709,Model04
3,3,mae,standard,0.743175829544676,10,0.00800059726241719,Model05
3,3,rmse,standard,0.9408495210725429,10,0.00881186718342439,Model05
3,3,rsq,standard,0.42453256155061336,10,0.010219073768751101,Model05
5,3,mae,standard,0.7318462011122051,10,0.007348924945579774,Model06
5,3,rmse,standard,0.9341205542809154,10,0.008313939020012888,Model06
5,3,rsq,standard,0.43034198720251354,10,0.010128048137365004,Model06
7,3,mae,standard,0.7303871406102114,10,0.007098833970580644,Model07
7,3,rmse,standard,0.9359311528287974,10,0.008502219879786084,Model07
7,3,rsq,standard,0.4274361039516072,10,0.010860743578060295,Model07
10,3,mae,standard,0.7334198495574901,10,0.007380987036625742,Model08
10,3,rmse,standard,0.9401021881317697,10,0.008560125969905172,Model08
10,3,rsq,standard,0.42188069571334724,10,0.010976039162153187,Model08
3,5,mae,standard,0.7439950038574603,10,0.007928292796465777,Model09
3,5,rmse,standard,0.9415465662672209,10,0.009196960945715378,Model09
3,5,rsq,standard,0.42386181864682415,10,0.008816455053096927,Model09
5,5,mae,standard,0.7338016881247044,10,0.007730159889650954,Model10
5,5,rmse,standard,0.9358983978361994,10,0.008761595143699414,Model10
5,5,rsq,standard,0.4281829062798546,10,0.009217762841678174,Model10
7,5,mae,standard,0.7313326735974162,10,0.007392658352368902,Model11
7,5,rmse,standard,0.9354800062536294,10,0.008639641126462278,Model11
7,5,rsq,standard,0.42799455775918405,10,0.00976574549130549,Model11
10,5,mae,standard,0.7350704882571033,10,0.0074543648456346645,Model12
10,5,rmse,standard,0.9413627625531282,10,0.008652509697473918,Model12
10,5,rsq,standard,0.4204758151005675,10,0.01028376576717537,Model12
3,7,mae,standard,0.7438393033620087,10,0.007353670522077602,Model13
3,7,rmse,standard,0.9411996918731296,10,0.008708082575674786,Model13
3,7,rsq,standard,0.424578560095917,10,0.009941849719119959,Model13
5,7,mae,standard,0.7348820646597424,10,0.007276193358286609,Model14
5,7,rmse,standard,0.9360638362304621,10,0.008545369005092979,Model14
5,7,rsq,standard,0.42809174224805313,10,0.009617331757088388,Model14
7,7,mae,standard,0.7341379569728096,10,0.006990074883655603,Model15
7,7,rmse,standard,0.9391220216615084,10,0.008184790344180161,Model15
7,7,rsq,standard,0.4233904323251788,10,0.00974681402320922,Model15
10,7,mae,standard,0.7371622593322894,10,0.007588930783178157,Model16
10,7,rmse,standard,0.9435128242024371,10,0.00961642651471993,Model16
10,7,rsq,standard,0.41770313692027844,10,0.01152174513826715,Model16
