date,open,high,low,close,volume
2002-08-30,11.05,11.75,11.05,11.75,31900
2002-09-03,11.7,11.7,11.25,11.25,22600
2002-09-04,11.2,11.3,11.15,11.16,7100
2002-09-05,11.16,11.16,11.16,11.16,100
2002-09-06,11.2,11.22,11.2,11.22,1800
2002-09-09,11.21,11.22,11.15,11.22,2700
2002-09-10,11.2,11.2,10.95,10.95,10100
2002-09-11,10.93,10.93,10.75,10.75,4500
2002-09-12,10.8,10.8,10.8,10.8,2000
2002-09-13,10.75,10.75,10.75,10.75,600
2002-09-16,10.75,10.75,10.75,10.75,0
2002-09-17,10.75,10.75,10.75,10.75,0
2002-09-18,10.75,10.75,10.75,10.75,0
2002-09-19,10.75,10.75,10.75,10.75,0
2002-09-20,10.8,10.89,10.8,10.89,6000
2002-09-23,10.9,11.05,10.9,11,5000
2002-09-24,11.15,11.15,10.95,11.05,12700
2002-09-25,11,11.15,11,11.15,7300
2002-09-26,11.1,11.1,11.1,11.1,700
2002-09-27,11.1,11.5,11,11.5,22100
2002-09-30,11.55,11.55,10.8,10.95,87000
2002-10-01,10.9,10.95,10.6,10.6,19500
2002-10-02,10.55,10.55,10.35,10.35,5000
2002-10-03,10.35,10.35,10.25,10.29,3600
2002-10-04,10.2,10.2,9.99,10.04,8700
2002-10-07,10.04,10.05,9.96,10,2700
2002-10-08,9.9,10,8.51,8.6,77300
2002-10-09,8.65,8.65,8.2,8.2,43200
2002-10-10,8.2,8.2,7.95,8.2,45000
2002-10-11,8.2,8.6,8.1,8.59,60200
2002-10-14,8.6,9.01,8.57,9.01,72500
2002-10-15,9.1,9.4,8.7,8.7,231500
2002-10-16,8.45,8.46,8.27,8.28,204800
2002-10-17,8.3,8.42,8.25,8.27,6318400
2002-10-18,8.28,8.38,8.25,8.25,517900
2002-10-21,8.28,8.34,8.25,8.27,174500
2002-10-22,8.27,8.3,8.25,8.29,324500
2002-10-23,8.33,8.49,8.32,8.38,869900
2002-10-24,8.45,8.58,8.35,8.54,282600
2002-10-25,8.48,8.95,8.4,8.89,648400
2002-10-28,9.01,9.3,8.25,8.25,811100
