date,open,high,low,close,volume
2007-05-04,33,34.25,31.030001,31.299999,23514900
2007-05-07,31.5,31.559999,29.299999,29.75,4712200
2007-05-08,29.82,30,28.290001,28.5,2873400
2007-05-09,28.51,29.280001,27.76,28.32,2220600
2007-05-10,28.459999,28.549999,27.450001,27.690001,1391000
2007-05-11,28.139999,28.4,27.209999,27.23,1309600
2007-05-14,27.200001,28.6,27.18,27.65,2094400
2007-05-15,27.99,28.379999,27.42,27.98,1571600
2007-05-16,28,28.440001,27.700001,28.27,1040000
2007-05-17,28.51,28.549999,27.200001,27.32,714200
2007-05-18,27.549999,27.549999,26.15,26.620001,1645400
2007-05-21,26.52,27.41,26,27.09,1071500
2007-05-22,27.32,27.959999,27.16,27.549999,780100
2007-05-23,27.93,27.99,26.950001,27.120001,531100
2007-05-24,27.120001,27.33,26.92,27,461800
2007-05-25,27.440001,27.440001,27.120001,27.290001,271800
2007-05-29,27.4,27.799999,27.1,27.549999,442400
2007-05-30,25.790001,26.049999,24.540001,25.91,3813300
2007-05-31,25.799999,26.25,25.25,25.5,842700
2007-06-01,25.75,26.6,25.52,26.540001,562600
2007-06-04,26.58,26.6,25.959999,26.1,596100
2007-06-05,26.09,26.360001,25.85,26.27,631000
2007-06-06,26.290001,27,26,26.959999,498100
2007-06-07,26.85,27.1,26.52,26.799999,416600
2007-06-08,26.6,27.780001,26.6,27.74,944400
2007-06-11,27.52,28.48,27.25,28.24,629800
2007-06-12,28,28.700001,28,28.700001,686900
2007-06-13,29,29.049999,27.65,27.91,1499800
2007-06-14,27.9,28.15,27.360001,27.459999,485500
2007-06-15,27.35,27.950001,27.25,27.950001,690400
2007-06-18,28,28.030001,27.5,27.6,269800
2007-06-19,27.549999,27.690001,27.02,27.32,534700
2007-06-20,27.450001,27.719999,27,27.059999,344200
2007-06-21,26.860001,26.93,26.379999,26.85,453500
2007-06-22,26.790001,26.790001,26,26.41,4619300
2007-06-25,26.25,26.33,25.610001,26.129999,726000
2007-06-26,26.129999,26.959999,25.92,26.879999,809200
2007-06-27,26.6,27.48,26.4,27.23,385600
2007-06-28,27.16,27.32,26.82,27.219999,269100
2007-06-29,27.34,27.35,26.879999,27.129999,347600
2007-07-02,27.209999,27.299999,26.959999,27.26,434700
2007-07-03,27.190001,27.4,26.950001,27.23,130100
2007-07-05,27.059999,27.18,26.27,27.110001,582000
2007-07-06,24.639999,25.75,24.25,24.969999,3168700
2007-07-09,25,25.120001,24.290001,24.35,1196700
2007-07-10,24.280001,24.32,23.49,23.49,808000
2007-07-11,23.5,24.07,23.35,23.709999,472000
2007-07-12,23.879999,24.48,23.700001,24.24,802700
2007-07-13,24.139999,24.33,23.75,23.98,242900
2007-07-16,23.98,23.98,23.51,23.540001,280600
2007-07-17,23.5,23.74,23.299999,23.41,223700
2007-07-18,23.389999,23.469999,22.5,23.01,677400
2007-07-19,23.02,23.440001,22.35,22.809999,692700
2007-07-20,22.76,23.6,22.360001,23.120001,955200
2007-07-23,23.25,23.459999,22.889999,23.07,308900
2007-07-24,22.950001,22.99,21.91,21.99,804100
2007-07-25,22.200001,22.33,21.559999,21.799999,822800
2007-07-26,21.610001,22.200001,21,21.98,943800
2007-07-27,21.549999,23.5,21.5,22.93,670300
2007-07-30,23.75,24.82,23.73,24.690001,1102600
2007-07-31,24.690001,25.120001,24.219999,24.280001,559300
2007-08-01,24.610001,24.610001,23.18,24.110001,802600
2007-08-02,24,24.860001,23.889999,24.540001,1071900
2007-08-03,24.450001,24.690001,23.450001,23.5,1043900
2007-08-06,23.6,23.6,22.389999,23.18,1024300
2007-08-07,23,24.27,22.690001,24.02,1133200
2007-08-08,24.290001,25.549999,23.860001,24.57,723300
2007-08-09,24.15,25.5,23.9,25.07,1031300
2007-08-10,24.91,25.690001,24.799999,25.129999,647400
2007-08-13,25.450001,25.92,25.09,25.25,476800
2007-08-14,25.4,25.43,24.85,24.860001,331000
2007-08-15,24.969999,25.74,23.74,24.059999,485800
2007-08-16,23.99,23.99,22.610001,23.91,1396900
2007-08-17,24.75,25.08,24.030001,24.690001,749000
2007-08-20,24.75,24.940001,23.49,24.75,408800
2007-08-21,24.870001,25.459999,24.48,25.33,395900
2007-08-22,25.639999,26.74,25.5,26.59,941000
2007-08-23,26.6,26.799999,26.25,26.530001,229900
2007-08-24,26.700001,26.85,26.450001,26.75,192900
2007-08-27,26.75,26.860001,26.27,26.52,198900
2007-08-28,26.24,26.610001,25.9,26.26,356700
2007-08-29,26.360001,26.889999,26.120001,26.809999,260900
2007-08-30,26.6,26.879999,26.16,26.610001,244000
2007-08-31,26.9,27.18,26.49,26.76,239400
2007-09-04,26.700001,27.5,26.700001,27.01,378300
2007-09-05,26.9,26.91,26.23,26.49,218800
2007-09-06,26.58,26.65,26.049999,26.290001,247600
2007-09-07,26.01,26.120001,25.42,26.040001,506900
2007-09-10,26.139999,26.25,25.26,25.65,251600
2007-09-11,25.75,26.15,25.299999,25.370001,219100
2007-09-12,25.27,26.15,25.27,26.01,278800
2007-09-13,26.07,26.4,25.9,26.120001,180000
2007-09-14,25.860001,26.389999,25.85,26.120001,148400
2007-09-17,26.09,26.25,25.690001,26.17,125600
2007-09-18,26.33,27.07,25.93,27.02,389800
2007-09-19,27.24,27.99,27.09,27.43,472200
2007-09-20,27.32,27.75,27.299999,27.48,281500
2007-09-21,27.879999,27.959999,27.559999,27.75,421800
2007-09-24,27.75,27.75,27.26,27.33,255300
2007-09-25,27.25,27.33,26.700001,26.950001,128700
2007-09-26,27.1,27.35,26.83,27.02,217700
2007-09-27,27.16,27.25,26.559999,26.790001,920800
2007-09-28,26.719999,27.24,26.26,26.26,627700
2007-10-01,26.110001,27.67,26.110001,27.58,1136500
2007-10-02,27.299999,28.23,27.25,27.5,556700
