date,open,high,low,close,volume
2003-06-17,25,25.25,25,25.1,201000
2003-06-18,25.15,25.35,25.049999,25.200001,106900
2003-06-19,25.200001,25.4,25.200001,25.280001,79700
2003-06-20,25.35,25.450001,25.200001,25.26,76000
2003-06-23,25.26,25.34,25.15,25.219999,49900
2003-06-24,25.35,25.4,25.15,25.35,56700
2003-06-25,25.299999,25.299999,25.1,25.139999,78300
2003-06-26,25.1,25.25,25.049999,25.25,85200
2003-06-27,25.299999,25.35,25.1,25.290001,48000
2003-06-30,25.27,25.33,25.15,25.200001,61000
2003-07-01,25.26,25.450001,25.16,25.309999,63600
2003-07-02,25.34,25.43,25.25,25.4,44600
2003-07-03,25.43,25.43,25.25,25.33,24200
2003-07-07,25.23,25.4,25.1,25.389999,75000
2003-07-08,25.43,25.440001,25.219999,25.26,59700
2003-07-09,25.26,25.4,25.15,25.370001,84200
2003-07-10,25.27,25.41,25.16,25.24,59400
2003-07-11,25.42,25.42,25.200001,25.33,23600
2003-07-14,25.42,25.43,25.200001,25.299999,34000
2003-07-15,25.35,25.35,25.200001,25.25,29200
2003-07-16,25.280001,25.299999,25.01,25.02,57200
2003-07-17,25.1,25.200001,25,25.09,79600
2003-07-18,25.08,25.15,25,25.129999,38400
2003-07-21,25.09,25.1,25,25,89000
2003-07-22,25.02,25.1,25,25,93900
2003-07-23,25.01,25.059999,25,25.02,70200
2003-07-24,25.049999,25.049999,25,25,55800
2003-07-25,25.1,25.1,25,25.01,18300
2003-07-28,25,25,24.75,24.76,197800
2003-07-29,24.75,24.9,24.75,24.75,77500
2003-07-30,24.75,24.76,24.75,24.76,39900
2003-07-31,24.75,24.76,24.75,24.75,43300
2003-08-01,24.700001,24.709999,23.4,23.620001,109500
2003-08-04,23.870001,23.950001,23.700001,23.84,49900
2003-08-05,23.85,24,23.58,23.84,58000
2003-08-06,23.950001,23.969999,23.700001,23.959999,69500
2003-08-07,24,24.4,23.99,24.299999,50700
2003-08-08,24.200001,24.639999,24.190001,24.639999,32500
2003-08-11,24.440001,24.639999,24.440001,24.549999,27900
2003-08-12,24.559999,24.629999,24.5,24.5,45500
2003-08-13,24.5,24.6,24.379999,24.379999,53900
2003-08-14,24.1,24.1,23.75,23.9,57500
2003-08-15,23.809999,23.950001,23.76,23.879999,38800
2003-08-18,23.799999,23.93,23.309999,23.35,84400
2003-08-19,23.35,23.629999,22.870001,23.299999,110200
2003-08-20,23.5,23.700001,23.26,23.5,67100
2003-08-21,23.530001,23.85,23.35,23.42,55400
2003-08-22,23.42,23.6,23.16,23.440001,37100
2003-08-25,23.299999,23.35,22.950001,23,66400
2003-08-26,22.75,23.049999,22.65,22.940001,98100
2003-08-27,22.799999,23.120001,22.799999,23,56100
2003-08-28,22.950001,23.02,22.870001,23.02,52500
2003-08-29,23.02,23.35,23.02,23.219999,46700
2003-09-02,23.299999,23.370001,23.209999,23.25,37700
2003-09-03,23.25,23.33,23.049999,23.15,58700
2003-09-04,23.25,23.540001,23.15,23.540001,72100
2003-09-05,23.48,23.77,23.48,23.65,38600
2003-09-08,23.719999,24,23.719999,23.85,57100
2003-09-09,23.85,24.139999,23.799999,24.08,54500
2003-09-10,24.049999,24.190001,23.85,23.91,52600
2003-09-11,23.83,24,23.6,23.870001,40100
2003-09-12,23.969999,24.200001,23.9,23.959999,62000
2003-09-15,23.799999,23.950001,23.25,23.25,91700
2003-09-16,23.25,23.450001,23.25,23.4,271200
2003-09-17,23.48,23.48,23.309999,23.48,68900
2003-09-18,23.4,23.65,23.32,23.57,80400
2003-09-19,23.469999,23.620001,23.4,23.5,64700
2003-09-22,23.610001,23.610001,23,23.02,131900
2003-09-23,23.129999,23.15,22.950001,23.049999,86200
2003-09-24,23.120001,23.18,22.950001,23.110001,61600
2003-09-25,23.02,23.299999,23.02,23.299999,63600
2003-09-26,23.24,23.4,23.190001,23.389999,51700
2003-09-29,23.389999,23.440001,23.209999,23.440001,63100
2003-09-30,23.379999,23.98,23.379999,23.809999,71300
2003-10-01,23.9,24.23,23.889999,24.059999,82400
2003-10-02,24.15,24.24,24.049999,24.1,48300
2003-10-03,24.200001,24.25,23.950001,24.049999,48800
2003-10-06,24,24.299999,23.950001,24.190001,35300
2003-10-07,24.139999,24.32,24.1,24.17,66800
2003-10-08,24.18,24.299999,24.049999,24.15,63200
2003-10-09,23.85,24.290001,23.85,24.01,54800
2003-10-10,24,24.299999,24,24.27,48400
2003-10-13,24.290001,24.450001,24.25,24.25,48000
2003-10-14,24.200001,24.299999,24.110001,24.299999,50300
2003-10-15,24.15,24.4,23.91,24.02,88500
2003-10-16,24.200001,24.24,24.01,24.01,65200
2003-10-17,23.940001,24.15,23.82,23.879999,59800
2003-10-20,23.950001,24.18,23.700001,23.950001,58800
2003-10-21,24,24.129999,23.940001,24.09,58400
2003-10-22,24,24.18,24,24.16,51300
2003-10-23,24.17,24.299999,24.049999,24.139999,56600
2003-10-24,24.299999,24.4,24.15,24.299999,48800
2003-10-27,24.450001,24.530001,24.16,24.18,76600
2003-10-28,24.24,24.4,24.1,24.120001,74000
2003-10-29,24.200001,24.25,24.1,24.24,43500
2003-10-30,24.25,24.5,24.139999,24.35,77800
2003-10-31,24.450001,24.540001,24.25,24.299999,47500
2003-11-03,24.49,24.639999,24.299999,24.4,79200
2003-11-04,24.450001,24.700001,24.33,24.629999,64600
2003-11-05,24.6,24.74,24.41,24.74,59000
2003-11-06,24.700001,24.74,24.540001,24.700001,41000
2003-11-07,24.65,24.85,24.629999,24.75,64200
2003-11-10,24.77,24.780001,24.530001,24.65,66900
2003-11-11,24.6,24.780001,24.6,24.6,48600
2003-11-12,24.629999,24.85,24.629999,24.67,73000
2003-11-13,24.700001,24.709999,24.360001,24.440001,59500
2003-11-14,24.440001,24.5,24.32,24.5,63300
2003-11-17,24.65,24.65,24.360001,24.450001,58400
2003-11-18,24.4,24.5,24.16,24.16,91800
2003-11-19,24.26,24.43,24.190001,24.379999,82500
2003-11-20,24.4,24.43,24.200001,24.280001,74800
2003-11-21,24.35,24.35,24.209999,24.299999,65500
2003-11-24,24.4,24.41,24.15,24.16,81200
