date,open,high,low,close,volume
1993-03-18,15,15.125,15,15.125,10900
1993-03-19,15.125,15.125,15.125,15.125,300
1993-03-22,15.125,15.125,15.125,15.125,0
1993-03-23,15,15.125,15,15.125,10100
1993-03-24,15,15.125,15,15.125,900
1993-03-25,15,15.125,15,15.125,4500
1993-03-26,15,15.125,15,15.125,2500
1993-03-29,15,15.125,15,15,12100
1993-03-30,15,15,15,15,8600
1993-03-31,15,15.125,15,15.125,1700
1993-04-01,15,15.125,15,15.125,2900
1993-04-02,15.125,15.125,15.125,15.125,2600
1993-04-05,15.125,15.125,15.125,15.125,3000
1993-04-06,15,15.125,15,15,4900
1993-04-07,15.125,15.125,15.125,15.125,1400
1993-04-08,15,15,15,15,3200
1993-04-12,15,15.125,15,15,1600
1993-04-13,15,15,15,15,300
1993-04-14,15.125,15.125,15,15,1600
1993-04-15,15,15.125,15,15.125,4500
1993-04-16,15.125,15.125,15,15.125,2200
1993-04-19,15.125,15.125,15,15,5600
1993-04-20,15.125,15.125,15,15,13100
1993-04-21,15.125,15.125,15,15,1600
1993-04-22,15,15,15,15,600
1993-04-23,15.125,15.25,15.125,15.25,5000
1993-04-26,15,15.125,15,15,17000
1993-04-27,15.125,15.375,15.125,15.25,4000
1993-04-28,15.25,15.375,15.25,15.25,18600
1993-04-29,15.375,15.375,15.25,15.375,2200
1993-04-30,15.375,15.375,15.125,15.125,2300
1993-05-03,15.25,15.25,15.25,15.25,2200
1993-05-04,15.375,15.625,15.375,15.5,30200
1993-05-05,15.5,15.625,15.5,15.625,23000
1993-05-06,15.625,15.625,15.375,15.375,10600
1993-05-07,15.375,15.875,15.25,15.25,8000
1993-05-10,15.125,15.375,15.125,15.375,6900
1993-05-11,15.375,15.375,15.375,15.375,0
1993-05-12,15.5,15.5,15.25,15.25,6000
1993-05-13,15.25,15.375,15.25,15.25,10800
1993-05-14,15.25,15.25,15.25,15.25,1700
1993-05-17,15.25,15.25,15,15.125,5400
1993-05-18,15,15.125,15,15,4000
1993-05-19,15,15.125,15,15,6500
1993-05-20,15,15,15,15,0
1993-05-21,15.25,15.25,15.25,15.25,4400
1993-05-24,15.25,15.25,15.125,15.125,10800
1993-05-25,15.25,15.375,15.25,15.375,900
1993-05-26,15.5,15.625,15.25,15.25,42300
1993-05-27,15.125,15.25,15.125,15.25,1800
1993-05-28,15.25,15.25,15.25,15.25,0
1993-06-01,15.25,15.25,15.25,15.25,300
1993-06-02,15.125,15.125,15,15,2700
1993-06-03,15.125,15.5,15.125,15.5,4200
