date,open,high,low,close,volume
2004-10-27,20,20.08,20,20.01,359900
2004-10-28,20.01,20.049999,20,20.049999,38200
2004-10-29,20.02,20.07,20,20,49200
2004-11-01,20.02,20.030001,20,20.02,58700
2004-11-02,20.02,20.030001,20,20.01,37600
2004-11-03,20.01,20.02,20,20.02,43400
2004-11-04,20.02,20.02,20,20,39700
2004-11-05,20,20.02,20,20,48800
2004-11-08,20,20.01,20,20.01,33800
2004-11-09,20.01,20.02,20,20,41000
2004-11-10,20,20.07,20,20.07,50900
2004-11-11,20.07,20.1,20.02,20.040001,41800
2004-11-12,20.030001,20.15,20.02,20.049999,41900
2004-11-15,20.059999,20.08,20.040001,20.08,38500
2004-11-16,20.07,20.1,20.040001,20.049999,39700
2004-11-17,20.08,20.15,20.040001,20.040001,25200
2004-11-18,20.09,20.1,20.049999,20.059999,64800
2004-11-19,20.049999,20.110001,20.01,20.01,152000
2004-11-22,20.02,20.129999,20,20.02,94800
2004-11-23,20.040001,20.040001,20,20.040001,81200
2004-11-24,20.01,20.07,20,20,38100
2004-11-26,20.02,20.02,20.01,20.02,6400
2004-11-29,20.01,20.01,20,20,609100
2004-11-30,20,20.01,20,20,139400
2004-12-01,20,20.01,20,20,230100
2004-12-02,20,20.01,20,20.01,66700
2004-12-03,20,20.01,20,20,54800
2004-12-06,20,20.01,20,20,80000
2004-12-07,20.01,20.01,19.75,19.799999,160200
2004-12-08,19.85,19.85,19.6,19.77,103400
2004-12-09,19.66,19.67,19.43,19.43,116300
2004-12-10,19.450001,20,19.43,19.9,154100
2004-12-13,19.85,19.860001,19.719999,19.719999,43300
2004-12-14,19.75,19.85,19.73,19.75,39200
2004-12-15,19.85,19.85,19.719999,19.77,119000
2004-12-16,19.73,19.75,19.65,19.66,88600
2004-12-17,19.66,19.75,19.6,19.620001,171100
2004-12-20,19.6,19.66,19.549999,19.57,89400
2004-12-21,19.6,19.700001,19.530001,19.559999,158800
2004-12-22,19.6,19.610001,19.48,19.49,120100
2004-12-23,19.49,19.549999,19.43,19.52,88000
2004-12-27,19.51,19.6,19.32,19.4,128800
2004-12-28,19.35,19.58,19.299999,19.4,201500
2004-12-29,19.450001,19.5,19.32,19.41,87500
2004-12-30,19.41,19.5,19.34,19.450001,121500
2004-12-31,19.450001,19.549999,19.35,19.5,119800
2005-01-03,19.52,19.700001,19.51,19.700001,54800
2005-01-04,19.73,19.73,19.549999,19.59,52000
2005-01-05,19.549999,19.6,19.5,19.57,60000
2005-01-06,19.559999,19.65,19.52,19.639999,50800
2005-01-07,19.719999,19.73,19.620001,19.68,49200
2005-01-10,19.639999,19.74,19.610001,19.65,63100
2005-01-11,19.67,19.719999,19.65,19.66,78700
2005-01-12,19.73,19.99,19.700001,19.99,76000
2005-01-13,19.950001,19.98,19.85,19.9,65600
2005-01-14,19.799999,19.9,19.780001,19.9,60900
2005-01-18,19.780001,19.93,19.77,19.85,67800
2005-01-19,19.83,19.85,19.75,19.75,109700
2005-01-20,19.75,19.799999,19.65,19.65,69500
2005-01-21,19.620001,19.709999,19.5,19.6,102600
2005-01-24,19.65,19.75,19.6,19.73,98400
2005-01-25,19.65,19.73,19.57,19.57,79800
2005-01-26,19.6,19.65,19.5,19.559999,158100
2005-01-27,19.5,19.6,19.309999,19.540001,131400
2005-01-28,19.450001,19.6,19.43,19.5,58900
2005-01-31,19.5,19.6,19.450001,19.59,82000
2005-02-01,19.610001,19.700001,19.450001,19.700001,88600
2005-02-02,19.700001,19.75,19.59,19.75,59300
2005-02-03,19.700001,19.790001,19.65,19.73,81000
2005-02-04,19.719999,19.790001,19.719999,19.790001,98300
2005-02-07,19.75,19.799999,19.700001,19.790001,99400
2005-02-08,19.790001,20.01,19.75,19.870001,161800
2005-02-09,19.879999,19.950001,19.799999,19.85,117800
2005-02-10,19.860001,19.879999,19.76,19.870001,105000
2005-02-11,19.83,19.91,19.780001,19.809999,101400
2005-02-14,19.84,19.870001,19.75,19.799999,78700
2005-02-15,19.77,19.82,19.75,19.75,81400
2005-02-16,19.700001,19.77,19.66,19.700001,103200
2005-02-17,19.68,19.709999,19.639999,19.67,119000
2005-02-18,19.67,19.74,19.65,19.67,106200
2005-02-22,19.65,19.709999,19.52,19.57,130700
2005-02-23,19.6,19.629999,19.5,19.540001,180300
2005-02-24,19.6,19.65,19.540001,19.57,86300
2005-02-25,19.58,19.6,19.52,19.59,82400
2005-02-28,19.59,19.59,19.5,19.540001,78600
2005-03-01,19.52,19.700001,19.52,19.690001,85400
2005-03-02,19.629999,19.76,19.629999,19.75,78800
2005-03-03,19.780001,19.780001,19.65,19.68,96400
2005-03-04,19.700001,19.709999,19.58,19.6,114500
2005-03-07,19.6,19.73,19.6,19.65,106500
2005-03-08,19.610001,19.700001,19.59,19.700001,80000
2005-03-09,19.68,19.73,19.610001,19.610001,139100
2005-03-10,19.620001,19.709999,19.610001,19.639999,67300
2005-03-11,19.620001,19.690001,19.58,19.639999,82300
2005-03-14,19.620001,19.700001,19.6,19.65,115900
2005-03-15,19.700001,19.719999,19.610001,19.620001,92600
2005-03-16,19.549999,19.6,19.5,19.59,123700
2005-03-17,19.559999,19.639999,19.52,19.559999,69200
2005-03-18,19.6,19.620001,19.51,19.51,84800
2005-03-21,19.559999,19.59,19.4,19.459999,78400
2005-03-22,19.4,19.57,19.4,19.49,120600
2005-03-23,19.530001,19.6,19.370001,19.370001,185400
2005-03-24,19.42,19.469999,19.35,19.35,160500
2005-03-28,19.33,19.33,18.9,19.1,120300
2005-03-29,19.15,19.26,18.719999,18.799999,154300
2005-03-30,18.85,18.950001,18.75,18.940001,112900
2005-03-31,18.9,19.1,18.799999,18.84,69400
2005-04-01,19,19.049999,18.85,19.02,68700
2005-04-04,19,19.1,18.950001,19.02,119100
2005-04-05,18.969999,19,18.799999,18.83,102500
2005-04-06,18.74,18.98,18.74,18.82,68500
2005-04-07,18.84,18.950001,18.75,18.780001,77600
2005-04-08,18.75,18.84,18.68,18.75,211600
2005-04-11,18.799999,18.84,18.639999,18.719999,96300
2005-04-12,18.700001,18.700001,18.530001,18.67,124200
2005-04-13,18.549999,18.73,18.389999,18.389999,150300
2005-04-14,18.49,18.5,18.27,18.35,100500
2005-04-15,18.41,18.41,18.110001,18.15,103100
2005-04-18,18.15,18.299999,17.82,17.969999,130600
2005-04-19,17.870001,18.049999,17.84,17.99,175600
2005-04-20,18,18.129999,17.889999,17.99,131500
2005-04-21,17.98,18,17.85,17.889999,112700
2005-04-22,17.9,17.959999,17.860001,17.940001,93700
2005-04-25,17.950001,18.15,17.93,18.15,139300
2005-04-26,18.15,18.200001,17.98,18.200001,159900
