date,open,high,low,close,volume
2019-10-29,20,20.07,20,20,1904000
2019-10-30,20.02,20.07,20,20,408300
2019-10-31,20,20,20,20,0
2019-11-01,20.02,20.17,20.02,20.1,193000
2019-11-04,20.209999,20.333,20.15,20.200001,91300
2019-11-05,20.200001,20.27,20.152,20.18,38500
2019-11-06,20.24,20.4,20.200001,20.389999,87300
2019-11-07,20.43,20.43,20.26,20.320999,92200
2019-11-08,20.299999,20.299999,20.1,20.24,41900
2019-11-11,20.24,20.290001,20.200001,20.25,30600
2019-11-12,20.299999,20.33,20.18,20.209999,32400
2019-11-13,20.219999,20.23,20.120001,20.200001,35400
2019-11-14,20.219999,20.25,20.1,20.18,54100
2019-11-15,20.24,20.25,20.16,20.243999,36700
2019-11-18,20.25,20.25,20.1,20.219999,64300
2019-11-19,20.25,20.25,20.16,20.200001,27700
2019-11-20,20.200001,20.200001,20.110001,20.15,52600
2019-11-21,20.16,20.200001,20.16,20.16,30700
2019-11-22,20.190001,20.290001,20.18,20.290001,64400
2019-11-25,20.24,20.26,20.16,20.190001,52400
2019-11-26,20.219999,20.280001,20.18,20.27,61900
2019-11-27,20.27,20.280001,20.23,20.280001,63800
2019-11-29,20.27,20.290001,20.16,20.209999,28500
2019-12-02,19.83,19.85,19.549999,19.75,162300
2019-12-03,19.6,19.725,19.299999,19.51,92500
2019-12-04,19.57,19.700001,19.459999,19.6,81800
2019-12-05,19.6,19.6,19.190001,19.219999,80500
2019-12-06,19.290001,19.379999,19.1,19.33,61900
2019-12-09,19.299999,19.5,19.268999,19.43,39900
2019-12-10,19.48,19.84,19.399,19.660999,75000
2019-12-11,19.82,19.889,19.389999,19.629999,106400
2019-12-12,19.9,19.9,19.716999,19.799999,76900
2019-12-13,19.809999,20,19.785,19.98,60900
2019-12-16,20.02,20.02,19.83,19.870001,92700
2019-12-17,19.950001,20.040001,19.851999,19.969999,83300
2019-12-18,20.02,20.02,19.66,19.799999,99500
2019-12-19,19.870001,20.01,19.74,19.780001,77900
2019-12-20,19.84,19.993,19.790001,19.98,72300
2019-12-23,20,20.02,19.98,19.99,35800
2019-12-24,19.860001,20.01,19.85,20.01,25900
2019-12-26,20,20,19.85,20,53400
2019-12-27,20,20.1,19.98,20.059999,59900
2019-12-30,20.030001,20.1,19.91,20,79000
2019-12-31,20.049999,20.15,19.83,20.1,45300
2020-01-02,20.15,20.15,19.969999,20.098,55900
2020-01-03,20.01,20.1,20,20.01,61500
2020-01-06,20,20.01,19.860001,20,41100
2020-01-07,19.9,20.02,19.9,20.02,41400
2020-01-08,20.040001,20.1,19.941,20,74900
2020-01-09,19.969999,20.15,19.969999,20.059999,75000
2020-01-10,20.059999,20.07,19.940001,19.98,52700
2020-01-13,19.959999,20.1,19.959999,20.049999,86300
2020-01-14,20.1,20.15,20.01,20.02,149100
2020-01-15,20.1,20.16,20.065001,20.16,119100
2020-01-16,20.16,20.368999,20.16,20.280001,101800
2020-01-17,20.280001,20.68,20.219999,20.5,73600
2020-01-21,20.459999,20.591,20.395,20.48,71100
2020-01-22,20.5,20.709999,20.42,20.450001,91800
2020-01-23,20.58,20.58,20.374001,20.450001,87700
2020-01-24,20.48,20.57,20.25,20.490999,68600
2020-01-27,20.190001,20.249001,19.950001,20.049999,192300
2020-01-28,20.049999,20.1,19.950001,20.01,123900
2020-01-29,20.18,20.219999,20,20.02,68700
2020-01-30,20,20.190001,19.9,20.01,38400
2020-01-31,20.09,20.112,19.709999,19.709999,74400
2020-02-03,20.07,20.089001,19.9,19.959999,93900
2020-02-04,19.65,20.360001,19.65,20.295,118500
2020-02-05,20.35,20.462999,20.24,20.4,62400
2020-02-06,20.49,20.49,20.1,20.26,67900
2020-02-07,20.27,20.43,20.200001,20.365,79400
2020-02-10,20.34,20.530001,20.200001,20.42,51000
2020-02-11,20.33,20.652,20.33,20.41,80800
2020-02-12,20.360001,20.67,20.25,20.629999,71800
2020-02-13,20.530001,20.68,20.370001,20.395,140900
2020-02-14,20.42,20.507,20.280001,20.33,66900
2020-02-18,20.379999,20.4,20.24,20.35,66200
2020-02-19,20.4,20.440001,20.319,20.35,93700
2020-02-20,20.41,20.51,20.24,20.379999,57000
2020-02-21,20.200001,20.49,20.139999,20.195999,69200
2020-02-24,20,20,19.639999,19.809999,109200
2020-02-25,19.719999,19.969,19.530001,19.6,119100
2020-02-26,19.540001,19.700001,19.35,19.443001,104100
2020-02-27,19.059999,19.1,18.360001,18.379999,204300
2020-02-28,17.99,17.99,16.68,17.719999,202900
2020-03-02,17.58,18.382,17.51,18.309999,480800
2020-03-03,18.59,18.59,18.07,18.370001,220400
2020-03-04,18.700001,19.02,18.482,18.92,43800
2020-03-05,18.65,18.93,18.5,18.57,53300
2020-03-06,17.620001,18.313,17.620001,18.25,143900
2020-03-09,14,17.48,13.17,17.049999,153000
2020-03-10,18.290001,18.5,17.01,17.17,162600
2020-03-11,16.889999,17.605,15.95,15.96,201900
2020-03-12,14.4,15.151,13.8,13.995,321000
2020-03-13,14.34,15.4,14.34,15.39,199300
2020-03-16,12.32,14.77,12.32,14.38,191300
2020-03-17,15,15.55,14.15,15.21,187800
2020-03-18,14.25,14.7,10.77,11.3,277100
2020-03-19,10.72,13.23,10.72,12.42,304900
2020-03-20,12.75,14.71,12.75,13.27,198400
2020-03-23,12.83,13.209,12.43,12.61,255400
2020-03-24,13,15.27,13,14.25,203600
2020-03-25,14.61,15.66,14.3,15.28,237800
2020-03-26,15.88,16,15.25,16,386000
2020-03-27,15.26,16.139999,15.26,16.030001,100600
2020-03-30,16.629999,16.629999,15.81,16.110001,172200
2020-03-31,16.66,16.66,15.5,16,171800
2020-04-01,15.88,15.88,14.91,15.23,108700
2020-04-02,14.93,15.45,14.93,15.43,138000
2020-04-03,15.32,15.99,15,15.08,67800
2020-04-06,15.73,15.95,15.484,15.72,80300
2020-04-07,16,16.6,15.7,15.91,208200
2020-04-08,16.459999,17.25,16.030001,16.4,131500
2020-04-09,17.02,17.040001,16.290001,16.719999,106400
2020-04-13,16.51,16.76,15.55,16.299999,121600
2020-04-14,16.65,17.07,16.6,16.91,128200
2020-04-15,16.879999,17.09,16.59,16.940001,81200
2020-04-16,17.049999,17.24,16.84,17.040001,62400
2020-04-17,17.440001,17.558001,17.07,17.190001,86300
2020-04-20,17.200001,17.549999,16.860001,17.190001,71400
2020-04-21,16.75,17.129999,16.549999,16.75,85400
2020-04-22,17.1,17.51,16.924999,17.200001,87200
2020-04-23,17.24,17.52,17.129999,17.15,106100
2020-04-24,17.34,17.73,17.040001,17.389999,81200
2020-04-27,17.5,17.68,17.34,17.610001,97400
2020-04-28,18.07,18.469999,17.129999,17.6,112400
2020-04-29,18,18.190001,17.756001,17.870001,102300
2020-04-30,17.610001,17.9,17.6,17.84,161100
2020-05-01,18,18,17.200001,17.25,84100
2020-05-04,17,17.76,16.879999,17.51,149800
2020-05-05,17.74,18,17.6,17.629999,86900
2020-05-06,17.66,18.15,17.66,17.85,73000
2020-05-07,18.030001,18.165001,17.91,18,84900
2020-05-08,18.09,18.24,17.959999,18.15,95600
2020-05-11,18.209999,18.549999,18.040001,18.35,111000
2020-05-12,18.41,18.58,18.077999,18.15,97600
2020-05-13,18.15,18.299999,17.546,17.66,77700
2020-05-14,17.549999,17.780001,17.389999,17.66,94800
2020-05-15,17.57,17.889,17.530001,17.700001,94000
2020-05-18,17.76,18.41,17.76,18.15,79600
2020-05-19,18.15,18.622,18.15,18.299999,60100
2020-05-20,18.389999,18.719999,18.17,18.389999,111000
2020-05-21,18.450001,18.67,18.17,18.530001,92400
2020-05-22,18.389999,18.719999,18.389999,18.719999,50900
2020-05-26,18.9,19.200001,18.639999,18.719999,93800
2020-05-27,18.799999,18.950001,18.33,18.57,62100
2020-05-28,18.639999,18.93,18.450001,18.459999,112700
2020-05-29,18.440001,18.799999,18.43,18.65,87100
2020-06-01,18.84,19.15,18.750999,19.15,69300
2020-06-02,19.15,19.23,18.98,19.1,129800
2020-06-03,19.25,19.459999,19.139999,19.4,88500
2020-06-04,19.5,19.5,18.950001,19.15,138600
2020-06-05,19.5,19.58,19.139999,19.290001,200400
2020-06-08,19.51,19.620001,19.334999,19.51,178300
2020-06-09,19.27,19.700001,19.200001,19.57,166500
2020-06-10,19.57,19.65,19.33,19.52,153100
2020-06-11,19.129999,19.190001,18.610001,18.719999,157400
2020-06-12,19.440001,19.440001,18.75,19.09,71600
2020-06-15,18.860001,19.35,18.709999,19.32,73700
2020-06-16,19.700001,19.75,19.290001,19.57,98700
2020-06-17,19.690001,19.73,19.34,19.42,109400
2020-06-18,19.42,19.66,19.34,19.66,88200
2020-06-19,19.85,19.870001,19.360001,19.610001,147300
2020-06-22,19.6,19.84,19.4,19.809999,95000
2020-06-23,19.860001,20.058001,19.809999,19.940001,209100
2020-06-24,19.6,19.879999,19.295,19.450001,129800
2020-06-25,19.32,19.68,19.305,19.549999,86200
2020-06-26,19.389999,19.565001,19.25,19.25,48700
2020-06-29,19.459999,19.469999,19.09,19.27,129800
2020-06-30,19.33,19.77,19.16,19.73,78200
2020-07-01,19.92,19.955,19.75,19.860001,68800
2020-07-02,19.950001,20.295,19.92,19.98,157800
2020-07-06,20.16,20.323,20.01,20.200001,192100
2020-07-07,20.190001,20.24,20.01,20.01,118200
2020-07-08,20.030001,20.379999,20.030001,20.34,116700
2020-07-09,20.35,20.4,20.080999,20.35,106800
2020-07-10,20.379999,20.4,20.190001,20.360001,117300
2020-07-13,20.5,20.74,20.08,20.120001,164800
2020-07-14,20.15,20.16,19.889999,20.059999,90000
2020-07-15,20.139999,20.34,20.02,20.16,142400
2020-07-16,19.860001,20.059999,19.43,20.02,109800
2020-07-17,20.139999,20.23,19.995001,20.23,70300
2020-07-20,20.1,20.450001,20.1,20.389999,105200
2020-07-21,20.379999,20.705,20.299999,20.4,107600
2020-07-22,20.33,20.549999,20.33,20.42,81000
2020-07-23,20.43,20.450001,19.99,20.200001,110300
2020-07-24,20.16,20.299999,19.66,20.200001,124200
2020-07-27,20.280001,20.327,20.16,20.219999,150400
2020-07-28,20.07,20.440001,20.07,20.25,284400
2020-07-29,20.23,20.709999,20.200001,20.639999,332500
2020-07-30,20.530001,20.83,20.424999,20.83,92800
2020-07-31,21.17,21.17,20.27,20.93,106100
2020-08-03,21.280001,21.459999,21.030001,21.35,160900
2020-08-04,21.190001,21.52,21.16,21.52,168500
2020-08-05,21.700001,21.700001,21.450001,21.58,100300
2020-08-06,21.93,21.93,21.59,21.809999,121500
2020-08-07,21.700001,21.700001,21.33,21.530001,120800
2020-08-10,21.76,21.76,21.25,21.49,68100
2020-08-11,21.549999,21.549999,21.17,21.200001,145100
2020-08-12,21.139999,21.35,21.129999,21.25,39700
2020-08-13,21.35,21.639999,21.299,21.559999,118400
2020-08-14,21.6,21.6,21.35,21.389999,73800
2020-08-17,21.4,21.67,21.389999,21.67,185900
2020-08-18,21.75,21.809999,21.6,21.709999,139400
2020-08-19,21.6,21.676001,21.375,21.389999,152600
2020-08-20,21.209999,21.49,21.200001,21.43,148100
2020-08-21,21.33,21.48,21.33,21.360001,116900
2020-08-24,21.52,21.575001,21.370001,21.459999,84600
2020-08-25,21.58,21.58,21.360001,21.469999,120900
2020-08-26,21.549999,21.690001,21.469999,21.49,177200
2020-08-27,21.940001,21.98,21.603001,21.780001,302800
2020-08-28,21.959999,22,21.85,21.91,150900
2020-08-31,21.969999,22.02,21.799999,22.02,153100
2020-09-01,22.24,22.25,22.021,22.200001,108800
2020-09-02,22.309999,22.68,22.27,22.620001,127700
2020-09-03,22.65,22.65,21.49,21.639999,210800
2020-09-04,21.809999,21.84,20.959999,21.4,187000
2020-09-08,21,21,20.593,20.68,100700
2020-09-09,20.98,21.190001,20.799999,21.15,102600
2020-09-10,21.200001,21.357,20.67,20.74,120600
2020-09-11,20.83,20.9,20.530001,20.65,76000
2020-09-14,20.75,21,20.75,20.93,65900
2020-09-15,21.030001,21.25,21.030001,21.209999,59900
2020-09-16,21.299999,21.4,21.200001,21.23,88600
2020-09-17,20.92,21.068001,20.799999,20.92,56400
2020-09-18,20.950001,21.030001,20.719999,20.75,66200
2020-09-21,20.540001,20.690001,20.4,20.67,95400
2020-09-22,20.879999,20.9,20.68,20.85,107300
2020-09-23,20.98,20.98,20.42,20.450001,132200
2020-09-24,20.389999,20.5,20.290001,20.4,122200
2020-09-25,20.6,20.969999,20.525,20.85,247900
2020-09-28,21.1,21.469999,21.055,21.440001,99300
2020-09-29,21.5,21.5,21.360001,21.405001,68800
2020-09-30,21.49,21.65,21.41,21.58,55200
2020-10-01,21.83,22,21.688,21.9,113100
2020-10-02,21.700001,21.93,21.559999,21.84,155500
2020-10-05,21.93,22.049999,21.85,22.02,140000
2020-10-06,22.17,22.4,21.950001,22.17,104700
2020-10-07,22.4,23.25,22.389999,22.709999,123000
2020-10-08,22.9,23.16,22.799999,23.139999,126400
2020-10-09,23.18,23.4,22.889999,22.965,127900
2020-10-12,23.190001,23.389999,23.084999,23.209999,98900
2020-10-13,23.290001,23.299999,23,23.1,104000
2020-10-14,23.25,23.745001,23.01,23.08,98400
2020-10-15,22.9,22.969999,22.68,22.77,104700
2020-10-16,22.940001,23.188,22.870001,23.030001,78900
2020-10-19,23.219999,23.25,22.73,22.780001,78700
2020-10-20,22.93,22.93,22.65,22.83,104600
2020-10-21,22.83,22.98,22.67,22.700001,57400
2020-10-22,22.719999,22.802999,22.370001,22.43,128900
2020-10-23,22.389999,22.9,22.389999,22.77,115800
2020-10-26,22.65,22.688,21.950001,22.120001,187400
2020-10-27,22.15,22.25,22.040001,22.139999,93300
2020-10-28,21.74,21.809999,21.299999,21.370001,138500
2020-10-29,21.34,21.85,21.32,21.75,92000
2020-10-30,21.5,21.549999,20.98,21.08,187700
2020-11-02,21.389999,21.629999,21,21.07,135300
2020-11-03,21.219999,21.610001,21.129999,21.59,125000
2020-11-04,22,22.48,21.799999,22.43,110300
2020-11-05,22.719999,23.15,22.700001,23.01,159100
2020-11-06,23.110001,23.190001,22.93,23.1,98200
2020-11-09,23.5,23.674999,22.92,22.92,159300
2020-11-10,22.85,22.85,22.049999,22.68,215100
2020-11-11,22.73,22.98,22.68,22.870001,105500
2020-11-12,22.940001,23.18,22.66,22.74,121900
2020-11-13,22.9,23.040001,22.75,22.950001,99000
2020-11-16,23.25,23.469999,23.068001,23.35,79800
2020-11-17,23.360001,23.42,23.1,23.35,108600
2020-11-18,23.540001,23.540001,23.16,23.25,118600
2020-11-19,23.290001,23.629999,23.17,23.42,143000
2020-11-20,23.530001,23.639,23.200001,23.41,249100
2020-11-23,23.700001,23.959999,23.26,23.49,311700
2020-11-24,23.75,23.75,23.469999,23.75,199800
2020-11-25,23.75,23.971001,23.549999,23.93,129600
2020-11-27,23.940001,24.18,23.92,23.950001,105200
2020-11-30,24,24.15,23.870001,23.99,260800
2020-12-01,24.290001,25,24.200001,24.299999,215900
2020-12-02,24.18,24.49,23.950001,24.34,212000
2020-12-03,24.450001,24.65,24.35,24.48,120600
2020-12-04,24.620001,25,24.530001,24.99,110000
2020-12-07,24.950001,25.209999,24.950001,25.15,153000
2020-12-08,25.17,25.440001,25.120001,25.41,158300
2020-12-09,25.450001,25.629999,25,25.16,201900
2020-12-10,24.91,25.1,24.559999,24.959999,140300
2020-12-11,24.9,25.24,24.870001,25.219999,97000
2020-12-14,25.549999,26.040001,25.33,25.73,201400
2020-12-15,25.84,26.07,25.41,25.700001,161600
2020-12-16,25.549999,26.4,25.42,26.24,126000
2020-12-17,26.1,26.860001,26.084999,26.77,130500
2020-12-18,25.559999,25.99,25.35,25.75,103800
2020-12-21,25.549999,25.649,24.93,25.469999,133600
2020-12-22,25.5,25.76,25.440001,25.52,98500
2020-12-23,25.629999,25.700001,25.459999,25.57,123800
2020-12-24,25.719999,26.51,25.674999,26.51,143500
2020-12-28,26.82,27.799999,26.5,26.860001,106700
2020-12-29,26.959999,26.959999,25.799999,25.93,176600
