date,open,high,low,close,volume
2012-11-28,19.950001,19.98,19.93,19.98,1998200
2012-11-29,19.98,19.98,19.950001,19.98,197500
2012-11-30,20,20,19.969999,20,269700
2012-12-03,20,20.049999,19.98,20,163600
2012-12-04,20.1,20.1,19.99,20.030001,117800
2012-12-05,20,20.049999,19.969999,20.01,98200
2012-12-06,20.1,20.1,20,20.02,116600
2012-12-07,20.1,20.1,19.98,20,117600
2012-12-10,20.08,20.08,19.98,20,73100
2012-12-11,20,20.049999,19.99,20.030001,99000
2012-12-12,20,20.1,20,20.1,89600
2012-12-13,20.1,20.450001,20.040001,20.040001,113900
2012-12-14,20.190001,20.190001,19.969999,20,115800
2012-12-17,20,20.15,20,20.1,88100
2012-12-18,20.280001,20.280001,20.01,20.15,102100
2012-12-19,20.200001,20.4,20.1,20.25,100700
2012-12-20,20.25,20.25,20.040001,20.09,101900
2012-12-21,20.190001,20.23,20.059999,20.129999,68400
2012-12-24,20.030001,20.25,20.030001,20.200001,27800
2012-12-26,20.25,20.450001,20.07,20.4,80700
2012-12-27,20.440001,20.440001,20.16,20.25,33800
2012-12-28,20.379999,20.379999,20.17,20.360001,47100
2012-12-31,20.4,20.84,20.280001,20.65,128500
2013-01-02,20.790001,20.870001,20.549999,20.57,73000
2013-01-03,20,20.309999,19.9,20.15,516500
2013-01-04,20.02,20.18,20,20.059999,152300
2013-01-07,20.049999,20.370001,20.049999,20.24,131800
2013-01-08,20.32,20.32,20.01,20.02,144200
2013-01-09,20,20.33,20,20.26,208900
2013-01-10,20.34,20.440001,20.17,20.27,151000
2013-01-11,20.299999,20.6,20.290001,20.549999,185700
2013-01-14,20.469999,20.549999,20.25,20.34,158800
2013-01-15,20.5,20.5,20.120001,20.25,229400
2013-01-16,20.41,20.41,20.17,20.290001,171700
2013-01-17,20.309999,20.450001,20.18,20.23,183500
2013-01-18,20.15,20.4,20.15,20.309999,153100
2013-01-22,20.299999,20.299999,20.15,20.26,194000
2013-01-23,20.360001,20.5,20.26,20.41,240200
2013-01-24,20.43,20.43,20.209999,20.290001,185600
2013-01-25,20.370001,20.5,20.25,20.48,187500
2013-01-28,20.5,20.690001,20.34,20.49,145800
2013-01-29,20.65,20.709999,20.379999,20.559999,210100
2013-01-30,20.620001,21,20.5,20.77,151300
2013-01-31,21,21.040001,20.65,21.02,208200
2013-02-01,20.959999,21.290001,20.719999,21.049999,37200
2013-02-04,21.030001,21.07,20.4,20.700001,225800
2013-02-05,20.74,20.74,20.27,20.440001,249100
2013-02-06,20.450001,20.610001,20.309999,20.57,171900
2013-02-07,20.59,20.93,20.42,20.91,213600
2013-02-08,20.940001,20.940001,20.66,20.77,155700
2013-02-11,20.799999,20.93,20.59,20.790001,198800
2013-02-12,20.799999,20.799999,20.549999,20.700001,143200
2013-02-13,20.66,21.15,20.65,21.01,261200
2013-02-14,21.059999,21.110001,20.719999,20.940001,202600
2013-02-15,21.02,21.030001,20.780001,20.799999,162100
2013-02-19,20.84,20.870001,20.58,20.709999,260000
2013-02-20,20.76,21.059999,20.549999,20.85,177000
2013-02-21,20.879999,21.09,20.440001,20.77,230000
2013-02-22,20.85,20.950001,20.549999,20.559999,189900
2013-02-25,20.5,20.68,20.34,20.34,319900
2013-02-26,20.32,20.84,20.32,20.549999,169800
2013-02-27,20.51,20.92,20.51,20.67,225700
2013-02-28,20.700001,20.950001,20.66,20.93,221400
2013-03-01,20.82,21,20.77,20.879999,122200
2013-03-04,20.85,21,20.700001,20.98,159200
2013-03-05,20.860001,20.99,20.639999,20.91,225900
2013-03-06,20.9,20.9,20.719999,20.9,172100
2013-03-07,20.799999,20.85,20.370001,20.690001,224000
2013-03-08,20.610001,20.85,20.43,20.450001,248600
2013-03-11,20.549999,20.75,20.440001,20.549999,127400
2013-03-12,20.65,20.85,20.52,20.620001,180600
2013-03-13,20.719999,20.889999,20.51,20.559999,89800
2013-03-14,20.690001,20.790001,20.5,20.58,101100
2013-03-15,20.6,20.959999,20.530001,20.65,172000
2013-03-18,20.540001,20.77,20.450001,20.610001,177400
2013-03-19,20.549999,20.790001,20.4,20.58,177000
2013-03-20,20.51,21,20.43,20.629999,313400
2013-03-21,20.59,20.93,20.540001,20.639999,187600
2013-03-22,20.68,20.84,20.68,20.790001,169900
2013-03-25,20.790001,20.950001,20.67,20.799999,219100
2013-03-26,20.809999,20.92,20.700001,20.77,238300
2013-03-27,20.799999,20.84,20.65,20.799999,161800
2013-03-28,20.76,21.049999,20.719999,20.91,185200
2013-04-01,20.91,21.059999,20.82,20.99,125900
2013-04-02,21,21.1,20.9,21.07,180400
2013-04-03,21.07,21.07,20.549999,20.639999,327400
2013-04-04,20.76,20.82,20.48,20.530001,178200
2013-04-05,20.59,21.030001,20.35,20.82,170100
2013-04-08,20.950001,20.99,20.709999,20.870001,116300
2013-04-09,20.959999,21,20.790001,20.92,123300
2013-04-10,21,21.030001,20.82,20.879999,183900
2013-04-11,20.92,21.049999,20.84,21.01,133200
2013-04-12,21.040001,21.049999,20.77,20.85,169800
2013-04-15,20.84,20.889999,20.43,20.530001,182100
2013-04-16,20.620001,21.02,20.620001,20.940001,109400
2013-04-17,20.809999,20.91,20.5,20.700001,169400
2013-04-18,20.870001,20.950001,20.690001,20.91,142200
2013-04-19,20.9,20.93,20.76,20.82,161800
2013-04-22,20.790001,20.92,20.719999,20.790001,110100
2013-04-23,20.879999,20.93,20.690001,20.9,234900
2013-04-24,20.889999,21.1,20.809999,21.07,314300
2013-04-25,21.1,21.440001,20.99,21.379999,288600
2013-04-26,21.27,21.530001,21.200001,21.459999,150700
2013-04-29,21.620001,21.860001,21.48,21.719999,197200
2013-04-30,21.629999,21.799999,21.16,21.280001,253000
2013-05-01,21.219999,21.5,20.83,20.84,41600
2013-05-02,20.75,21.35,18.940001,21.290001,224700
2013-05-03,21.450001,21.540001,21.01,21.110001,149600
2013-05-06,21.24,21.469999,20.950001,20.959999,173500
2013-05-07,21.030001,21.290001,20.969999,21.030001,178800
2013-05-08,21.1,21.23,20.969999,21.08,158900
2013-05-09,21.190001,21.51,21.040001,21.5,198000
2013-05-10,21.49,21.870001,21.41,21.75,192600
2013-05-13,21.959999,21.959999,21.26,21.379999,126800
2013-05-14,21.49,21.68,21.139999,21.67,245200
2013-05-15,21.67,21.68,21.290001,21.440001,138700
2013-05-16,21.49,21.59,21.290001,21.549999,177800
2013-05-17,21.6,22.25,21.6,22.15,235700
2013-05-20,22.049999,22.219999,21.790001,21.93,247400
2013-05-21,21.969999,21.969999,21.41,21.77,191900
2013-05-22,21.860001,22.07,21.309999,21.530001,248900
2013-05-23,21.200001,21.4,20.83,21.34,264000
2013-05-24,21.34,22.309999,21.030001,22.290001,255500
2013-05-28,22.280001,22.34,21.780001,21.959999,150200
2013-05-29,21.870001,21.870001,21.41,21.459999,122400
2013-05-30,21.57,21.73,21.1,21.389999,134000
2013-05-31,21.440001,21.639999,21.110001,21.24,86900
2013-06-03,21.290001,21.440001,21,21.129999,122700
2013-06-04,21.09,21.09,20.15,20.559999,232400
2013-06-05,20.549999,20.58,20.07,20.16,184900
2013-06-06,20.299999,20.559999,20.16,20.370001,101800
2013-06-07,20.43,20.75,20.35,20.73,153000
2013-06-10,20.76,20.77,20.15,20.41,142700
2013-06-11,20.01,20.18,18.25,19.959999,290200
2013-06-12,20.15,20.15,19.459999,19.59,165500
2013-06-13,19.799999,20.23,19.690001,20.02,139100
2013-06-14,20.25,20.32,19.950001,20.09,185300
2013-06-17,20.299999,20.4,20.120001,20.190001,127500
2013-06-18,20.299999,20.370001,20.02,20.24,237700
2013-06-19,20.18,20.24,19.940001,19.98,151100
2013-06-20,19.959999,19.98,19.25,19.35,152200
2013-06-21,19.75,19.879999,19.360001,19.639999,150500
2013-06-24,19.34,19.719999,18.790001,19.549999,154800
2013-06-25,19.85,20.07,19.42,19.99,166000
2013-06-26,20.15,20.200001,19.93,20.07,146700
2013-06-27,20.32,20.49,20.129999,20.200001,156600
2013-06-28,20.26,20.639999,20.120001,20.459999,165900
