date,open,high,low,close,volume
1994-02-18,5.25,6,5.25,5.25,179600
1994-02-22,5.5,5.5,5.125,5.125,96100
1994-02-23,5.125,5.375,5,5.125,52300
1994-02-24,5.25,5.25,5,5,36400
1994-02-25,5,5,5,5,29800
1994-02-28,5.25,5.25,4.75,4.75,194200
1994-03-01,4.75,4.75,4.75,4.75,7600
1994-03-02,4.625,4.75,4.5,4.6875,23400
1994-03-03,4.5,5,4.5,5,1800
1994-03-04,4.5,4.5,4.5,4.5,400
1994-03-07,5,5,4.375,4.375,10300
1994-03-08,4.375,4.375,4.25,4.25,6400
1994-03-09,4.25,4.375,4.25,4.25,29000
1994-03-10,4.25,4.25,4.25,4.25,13700
1994-03-11,4,4.5,4,4.5,1200
1994-03-14,4,4.5,4,4.5,11900
1994-03-15,4,4.5,4,4.5,52100
1994-03-16,4.125,4.5,4.125,4.5,7000
1994-03-17,4.75,4.75,4.25,4.5,17400
1994-03-18,4.75,4.75,4.75,4.75,6800
1994-03-21,4.75,5,4.375,4.5,31700
1994-03-22,4.25,4.625,4.25,4.375,19400
1994-03-23,4.875,4.875,4.375,4.5,3900
1994-03-24,4.875,4.875,4.625,4.625,5400
1994-03-25,4.875,5,4.625,5,12600
1994-03-28,4.75,4.75,4.75,4.75,16200
1994-03-29,4.75,4.75,4.75,4.75,0
1994-03-30,4.5,5,4.5,4.75,72300
1994-03-31,4.75,4.875,4.625,4.875,17000
1994-04-04,4.875,4.875,4.875,4.875,2000
1994-04-05,4.625,4.875,4.625,4.625,5600
1994-04-06,4.625,5,4.625,4.75,12800
1994-04-07,5,5.125,4.75,5.125,9900
1994-04-08,4.75,5.125,4.75,5.125,3200
1994-04-11,4.75,4.75,4.75,4.75,300
1994-04-12,5.125,5.125,4.75,4.75,6200
1994-04-13,4.75,4.75,4.75,4.75,5400
1994-04-14,4.75,4.875,4.75,4.875,5100
1994-04-15,4.9375,4.9375,4.9375,4.9375,3000
1994-04-18,4.75,4.75,4.75,4.75,6800
