mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.4359404796917766,10,0.011657633504668008,Preprocessor1_Model01
3,1,rmse,standard,0.5932182741541072,10,0.024302136387651392,Preprocessor1_Model01
3,1,rsq,standard,0.4445560892203871,10,0.038697620401197404,Preprocessor1_Model01
5,1,mae,standard,0.43115953868675444,10,0.012286967322882173,Preprocessor1_Model02
5,1,rmse,standard,0.5918895559211417,10,0.025317490178550183,Preprocessor1_Model02
5,1,rsq,standard,0.4351555556392018,10,0.039375527783998464,Preprocessor1_Model02
7,1,mae,standard,0.42966788519732185,10,0.011411170136728295,Preprocessor1_Model03
7,1,rmse,standard,0.5893556986373872,10,0.024660750285952625,Preprocessor1_Model03
7,1,rsq,standard,0.436338169705767,10,0.037058975899480005,Preprocessor1_Model03
10,1,mae,standard,0.42796102471014136,10,0.011743052181099407,Preprocessor1_Model04
10,1,rmse,standard,0.5878560400956313,10,0.023850022118828095,Preprocessor1_Model04
10,1,rsq,standard,0.4374627787347225,10,0.03638434719160068,Preprocessor1_Model04
3,3,mae,standard,0.4348959643013192,10,0.011820874936243411,Preprocessor1_Model05
3,3,rmse,standard,0.5939449624423725,10,0.02480568931176529,Preprocessor1_Model05
3,3,rsq,standard,0.44484884883128384,10,0.04047150917440954,Preprocessor1_Model05
5,3,mae,standard,0.43396914454700813,10,0.012284967478582393,Preprocessor1_Model06
5,3,rmse,standard,0.5926801644212595,10,0.02518861242685467,Preprocessor1_Model06
5,3,rsq,standard,0.43552793351763597,10,0.03975775352215718,Preprocessor1_Model06
7,3,mae,standard,0.4301126451151004,10,0.012486598715423226,Preprocessor1_Model07
7,3,rmse,standard,0.5896859148455718,10,0.025517237501178566,Preprocessor1_Model07
7,3,rsq,standard,0.4359231778369175,10,0.039713126259234316,Preprocessor1_Model07
10,3,mae,standard,0.42983827162903165,10,0.012022082136952933,Preprocessor1_Model08
10,3,rmse,standard,0.5903249073734425,10,0.024554881548912503,Preprocessor1_Model08
10,3,rsq,standard,0.43194258501341304,10,0.03699344707600782,Preprocessor1_Model08
3,5,mae,standard,0.4381005358233088,10,0.011172531656066104,Preprocessor1_Model09
3,5,rmse,standard,0.5975068368620142,10,0.024548148330092785,Preprocessor1_Model09
3,5,rsq,standard,0.4381284254072899,10,0.03962003943470408,Preprocessor1_Model09
5,5,mae,standard,0.43452451691600485,10,0.01108177402043085,Preprocessor1_Model10
5,5,rmse,standard,0.5947604673230292,10,0.0245483621243488,Preprocessor1_Model10
5,5,rsq,standard,0.43215421295089346,10,0.03842854635065003,Preprocessor1_Model10
7,5,mae,standard,0.43099680212950797,10,0.012940471404959828,Preprocessor1_Model11
7,5,rmse,standard,0.5908445302938723,10,0.026060892895623602,Preprocessor1_Model11
7,5,rsq,standard,0.43516522682575803,10,0.041323769495144304,Preprocessor1_Model11
10,5,mae,standard,0.43049838219949516,10,0.011707325688727047,Preprocessor1_Model12
10,5,rmse,standard,0.5901708636729601,10,0.024295615384304727,Preprocessor1_Model12
10,5,rsq,standard,0.43336096407280517,10,0.03646574198632654,Preprocessor1_Model12
3,7,mae,standard,0.44146347203599784,10,0.011241228181224996,Preprocessor1_Model13
3,7,rmse,standard,0.6019995400584871,10,0.023447546013162696,Preprocessor1_Model13
3,7,rsq,standard,0.4279099516282281,10,0.03777386820830668,Preprocessor1_Model13
5,7,mae,standard,0.4367582195597565,10,0.01176096340743608,Preprocessor1_Model14
5,7,rmse,standard,0.5949692195108736,10,0.024823882571869953,Preprocessor1_Model14
5,7,rsq,standard,0.43103969814709003,10,0.03855343883198707,Preprocessor1_Model14
7,7,mae,standard,0.4331108252450908,10,0.01145709661483548,Preprocessor1_Model15
7,7,rmse,standard,0.5939410474802747,10,0.023817132269539545,Preprocessor1_Model15
7,7,rsq,standard,0.4282593874899033,10,0.0364139498573286,Preprocessor1_Model15
10,7,mae,standard,0.4328115828946406,10,0.011963921735988745,Preprocessor1_Model16
10,7,rmse,standard,0.5932444821671631,10,0.02493066056004939,Preprocessor1_Model16
10,7,rsq,standard,0.4270966052366017,10,0.03780644988638522,Preprocessor1_Model16
