mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.39159742427238375,10,0.013437271500441378,Preprocessor1_Model01
3,1,rmse,standard,0.5506240322338919,10,0.027096719569225165,Preprocessor1_Model01
3,1,rsq,standard,0.5833903589993046,10,0.03235933601680725,Preprocessor1_Model01
5,1,mae,standard,0.38241712933825545,10,0.012593935682453535,Preprocessor1_Model02
5,1,rmse,standard,0.5468714638066943,10,0.026628424890565525,Preprocessor1_Model02
5,1,rsq,standard,0.5811664127331965,10,0.030248074278949984,Preprocessor1_Model02
7,1,mae,standard,0.3834558678693088,10,0.01200379146710005,Preprocessor1_Model03
7,1,rmse,standard,0.5503471128607974,10,0.026770448846128204,Preprocessor1_Model03
7,1,rsq,standard,0.5716097698857552,10,0.033939164205168106,Preprocessor1_Model03
10,1,mae,standard,0.3818430886902914,10,0.012223071639928983,Preprocessor1_Model04
10,1,rmse,standard,0.5452571705310422,10,0.02577118746132421,Preprocessor1_Model04
10,1,rsq,standard,0.5789880940119657,10,0.034085672431359654,Preprocessor1_Model04
3,3,mae,standard,0.38866930696709634,10,0.013715436290820712,Preprocessor1_Model05
3,3,rmse,standard,0.5464306125759342,10,0.025275098618561493,Preprocessor1_Model05
3,3,rsq,standard,0.5944866290412781,10,0.02637564685472586,Preprocessor1_Model05
5,3,mae,standard,0.38450256715653475,10,0.01224625865973257,Preprocessor1_Model06
5,3,rmse,standard,0.5465064084085156,10,0.02530088280096218,Preprocessor1_Model06
5,3,rsq,standard,0.5829062176568816,10,0.03011319837602117,Preprocessor1_Model06
7,3,mae,standard,0.38404616435939903,10,0.012383763703601995,Preprocessor1_Model07
7,3,rmse,standard,0.5449551057968612,10,0.02595013659795075,Preprocessor1_Model07
7,3,rsq,standard,0.5805080520377562,10,0.03389639553133815,Preprocessor1_Model07
10,3,mae,standard,0.3828751993953428,10,0.012520895178230306,Preprocessor1_Model08
10,3,rmse,standard,0.5490719640505739,10,0.02880197212256611,Preprocessor1_Model08
10,3,rsq,standard,0.5721753276029519,10,0.04145790261268856,Preprocessor1_Model08
3,5,mae,standard,0.39339401854428674,10,0.01200124771250651,Preprocessor1_Model09
3,5,rmse,standard,0.5547814941442819,10,0.025658593835313156,Preprocessor1_Model09
3,5,rsq,standard,0.5760100927213812,10,0.02886158638954353,Preprocessor1_Model09
5,5,mae,standard,0.3876942687607834,10,0.011240956564578377,Preprocessor1_Model10
5,5,rmse,standard,0.547373686469462,10,0.024328712275343282,Preprocessor1_Model10
5,5,rsq,standard,0.5835151785788599,10,0.0304934756007636,Preprocessor1_Model10
7,5,mae,standard,0.38589994284105744,10,0.01139307049078442,Preprocessor1_Model11
7,5,rmse,standard,0.5520797926331172,10,0.02689705150968463,Preprocessor1_Model11
7,5,rsq,standard,0.5703574277243046,10,0.03488852953640099,Preprocessor1_Model11
10,5,mae,standard,0.3868503524338266,10,0.012347068688987392,Preprocessor1_Model12
10,5,rmse,standard,0.5554673508020593,10,0.02864360105994628,Preprocessor1_Model12
10,5,rsq,standard,0.5594398983060785,10,0.04154655568056145,Preprocessor1_Model12
3,7,mae,standard,0.39855216161021645,10,0.012977379720113515,Preprocessor1_Model13
3,7,rmse,standard,0.5598309507051917,10,0.025156242799941133,Preprocessor1_Model13
3,7,rsq,standard,0.5694756363187196,10,0.0281421039408762,Preprocessor1_Model13
5,7,mae,standard,0.3925779071924654,10,0.011449394393610219,Preprocessor1_Model14
5,7,rmse,standard,0.5556063197444959,10,0.025320361266447457,Preprocessor1_Model14
5,7,rsq,standard,0.568941532272914,10,0.030735564266905484,Preprocessor1_Model14
7,7,mae,standard,0.3895713639355299,10,0.01203388273046632,Preprocessor1_Model15
7,7,rmse,standard,0.5525415074493418,10,0.026011143725859463,Preprocessor1_Model15
7,7,rsq,standard,0.5688108846728754,10,0.03364192625761051,Preprocessor1_Model15
10,7,mae,standard,0.3877435915006377,10,0.013058276962036394,Preprocessor1_Model16
10,7,rmse,standard,0.555004403673829,10,0.029490348238766347,Preprocessor1_Model16
10,7,rsq,standard,0.563969150522917,10,0.04114728312065494,Preprocessor1_Model16
