mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.21500688400165524,10,0.008650382446090421,Preprocessor1_Model01
3,1,rmse,standard,0.2777837874993872,10,0.009762310570191588,Preprocessor1_Model01
3,1,rsq,standard,0.7534666212195064,10,0.01228214113274088,Preprocessor1_Model01
5,1,mae,standard,0.2042521189917289,10,0.008031946135914078,Preprocessor1_Model02
5,1,rmse,standard,0.26767743469290045,10,0.009687856310112906,Preprocessor1_Model02
5,1,rsq,standard,0.7609671879310356,10,0.01083858490398678,Preprocessor1_Model02
7,1,mae,standard,0.20386553380659134,10,0.007314835002416317,Preprocessor1_Model03
7,1,rmse,standard,0.27036791996554965,10,0.00838292985212349,Preprocessor1_Model03
7,1,rsq,standard,0.7462060507353651,10,0.01128828401653836,Preprocessor1_Model03
10,1,mae,standard,0.2049809365333621,10,0.008161417942215275,Preprocessor1_Model04
10,1,rmse,standard,0.2749918829837495,10,0.009777548815335747,Preprocessor1_Model04
10,1,rsq,standard,0.7295864593791108,10,0.0169326770772086,Preprocessor1_Model04
3,3,mae,standard,0.2163457461171768,10,0.008589616878641933,Preprocessor1_Model05
3,3,rmse,standard,0.28002936770501896,10,0.010224842296266365,Preprocessor1_Model05
3,3,rsq,standard,0.7483059933991011,10,0.014410339124782654,Preprocessor1_Model05
5,3,mae,standard,0.20731293037009105,10,0.008168982376317541,Preprocessor1_Model06
5,3,rmse,standard,0.2713999137735287,10,0.009490736072828935,Preprocessor1_Model06
5,3,rsq,standard,0.7528542886328028,10,0.012518011051041195,Preprocessor1_Model06
7,3,mae,standard,0.2035967268596021,10,0.008034601298942755,Preprocessor1_Model07
7,3,rmse,standard,0.27117546949105803,10,0.009767289552506317,Preprocessor1_Model07
7,3,rsq,standard,0.7434723124843694,10,0.012193765142309292,Preprocessor1_Model07
10,3,mae,standard,0.2032123775471245,10,0.00809957531951024,Preprocessor1_Model08
10,3,rmse,standard,0.27415649339890696,10,0.009493356492083514,Preprocessor1_Model08
10,3,rsq,standard,0.7293203457802789,10,0.01697527013895714,Preprocessor1_Model08
3,5,mae,standard,0.2176305709613095,10,0.008862083664634578,Preprocessor1_Model09
3,5,rmse,standard,0.28204089094244617,10,0.010261513087982592,Preprocessor1_Model09
3,5,rsq,standard,0.748421135019551,10,0.011068064258915534,Preprocessor1_Model09
5,5,mae,standard,0.20773274445508758,10,0.007442251622647174,Preprocessor1_Model10
5,5,rmse,standard,0.27043783720952536,10,0.009056151511199645,Preprocessor1_Model10
5,5,rsq,standard,0.7551326654238298,10,0.010846385416058332,Preprocessor1_Model10
7,5,mae,standard,0.20607292340300962,10,0.0075909620534544316,Preprocessor1_Model11
7,5,rmse,standard,0.27479589862554077,10,0.009516670025357074,Preprocessor1_Model11
7,5,rsq,standard,0.7386857426573233,10,0.014458550750950405,Preprocessor1_Model11
10,5,mae,standard,0.20690721500125236,10,0.008857245093489577,Preprocessor1_Model12
10,5,rmse,standard,0.2805401695629583,10,0.011118944835291304,Preprocessor1_Model12
10,5,rsq,standard,0.714519456526248,10,0.022105735747706648,Preprocessor1_Model12
3,7,mae,standard,0.22051484432185556,10,0.008860941780020969,Preprocessor1_Model13
3,7,rmse,standard,0.28450019119235775,10,0.010693910103677132,Preprocessor1_Model13
3,7,rsq,standard,0.7442030264857298,10,0.013434564132081602,Preprocessor1_Model13
5,7,mae,standard,0.21014017762598008,10,0.0085659321463511,Preprocessor1_Model14
5,7,rmse,standard,0.27307613908131706,10,0.01005240864585752,Preprocessor1_Model14
5,7,rsq,standard,0.7526928207390692,10,0.011634017473363996,Preprocessor1_Model14
7,7,mae,standard,0.20690622262641023,10,0.007167475444936305,Preprocessor1_Model15
7,7,rmse,standard,0.2735411315264781,10,0.008300435931743703,Preprocessor1_Model15
7,7,rsq,standard,0.7413117751442213,10,0.011772623070222008,Preprocessor1_Model15
10,7,mae,standard,0.2082718511200645,10,0.008143358173133768,Preprocessor1_Model16
10,7,rmse,standard,0.2810319008609625,10,0.00957630760249778,Preprocessor1_Model16
10,7,rsq,standard,0.7163014275130218,10,0.016811956942086953,Preprocessor1_Model16
