avg_pct_change,sd_pct_change,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,pays_dividend,dividend_yield,response
-1.1904253653999072e-4,0.014898490545159588,716089422,26.57,3.11,5.6,19.89,0.73,0,0,1.574500016809365
9.577565639457038e-5,0.017991816322929222,931980000,25.65,3.27,5.64,17.75,0.53,0,0,1.7561324938492828
-4.355482218522591e-5,0.01574622935393398,858799200,30.13,4.11,6.82,22.46,0.62,0,0,1.6983917981380485
-3.9657060525719664e-4,0.022462075181907102,1100168177,34.06,4.77,7.93,24.82,0.74,0,0,1.5734140917280248
-0.001600502758351171,0.022662108916540188,1042660325,37.82,5.63,8.92,27.16,0.79,0,0,1.204531989621566
-0.003161416522646319,0.02888149169545478,1360116662,25.59,3.78,6.03,18.36,0.69,0,0,1.238498649337457
7.514376262301537e-4,0.019345148108722166,950796743,28.22,4.13,6.51,21.24,0.62,0,0,0.9484535446160146
-0.0029470487932565094,0.03224705294457588,889110600,18.27,2.35,3.9,10.38,0.62,0,0,1.0982705331698097
-0.002195456157743315,0.0451877195983547,1332187806,11.99,1.67,2.86,6.95,0.87,0,0,1.7355198290110894
0.0040847443517894435,0.02510978822102745,777012944,13.33,1.98,3.32,8.84,0.78,0,0,1.7564422917954547
0.003841713686669926,0.01700139538942705,538958666,17.65,2.54,4.24,10.84,0.86,0,0,1.5484193000328947
0.001645477068718665,0.010585570970230643,454634075,21.26,3.37,4.54,16.06,0.5,0,0,1.4549241312970846
-0.0012884447365493718,0.014210664181127392,512576881,20.96,3.54,4.6,15.35,0.51,0,0,1.376579120640141
-3.159281939939564e-4,0.014901146267729438,624577822,19.9,3.62,4.68,15.31,0.45,0,0,1.4133197013920613
-0.0019523535262902338,0.016749397266411246,747635511,17.57,3.49,4.59,13.96,0.5,0,0,1.2852650093012061
3.105893906535564e-4,0.014325764508913364,579824131,16.13,3.46,4.68,13.62,0.57,0,0,1.1815191807774665
3.86283958134888e-4,0.009073411381945229,448685912,15.51,3.38,4.68,13.08,0.59,0,0,0.9815424045044898
9.658012040818816e-4,0.012711045932537787,507160387,14.31,3.2,4.51,12.02,0.54,0,0,0.7504679107681581
-0.001797175437840644,0.01195411238393314,403646666,11.45,2.69,3.86,9.19,0.54,0,0,0.7705568654141908
0.001263428180004104,0.01679925915412754,605843656,11.87,2.84,3.98,9.25,0.52,0,0,0.7166436946888315
-6.669724633735128e-4,0.012060172994757508,450978755,9.93,2.56,3.61,8,0.54,0,0,0.7545941801099443
0.002136323246676905,0.011287889159343055,545366883,12.59,3.41,4.71,10.16,0.47,1,0.2946316046832036,0.6577812079089576
-0.0025066534858430058,0.017541600521224592,548589866,11.82,3.19,4.22,10.4,0.46,1,0.2553820579374896,0.6319921833778613
0.0013146252323376045,0.010756285850068995,418807333,13.07,3.48,4.58,12.82,0.49,1,0.23167825576833564,0.5854068539997067
-0.004216440868198112,0.01919630295990498,600087645,10.49,2.66,3.41,9.24,0.54,1,0.25685233669298924,0.7538255120869217
-0.0027488287236670152,0.014520008135561834,527405573,9.24,2.17,2.68,8.06,0.44,1,0.7087477302729333,0.9879032318973756
-0.0016110605038861603,0.014850138241063996,428586812,8.71,1.94,2.57,7.47,0.62,1,0.7670467634254109,1.1144442532456342
-2.630532380520969e-4,0.011935339609282291,362928037,10.65,2.32,3.07,8.65,0.68,1,0.7116924613200447,1.1758187776896245
7.341354820302589e-4,0.010544685671102848,314379450,12.39,2.65,3.44,10.1,0.74,1,0.6246065870707962,0.9806074513625684
7.341354820302589e-4,0.010544685671102848,314379450,12.39,2.65,3.44,10.1,0.74,1,0.6246065870707962,0.9806074513625684
-9.070572294183685e-5,0.009881801069371608,322098688,11.49,2.48,3.45,9.11,0.71,1,0.3827229494225908,0.8458184285665056
0.001564553053925552,0.009681436225499577,269816958,13.52,2.94,4.15,10.6,0.84,1,0.3421151976254949,0.8711633822935207
4.323524538479929e-4,0.01211526382676421,218661437,14.19,3.08,4.8,11.14,1.08,1,0.2966481286587077,0.8021507699238303
3.374390589627446e-4,0.011734460518686556,203392687,13.53,3.03,4.74,9.94,1.12,1,0.2675947942152842,0.9020668886419418
-0.0018423403195918472,0.013815284639195572,234782996,14.04,3.18,5.07,10.38,1.03,1,0.06723131652206021,0.9304274511929661
-9.997879890363953e-4,0.010285266757418017,179612336,13.28,3.02,5.22,9.68,1.17,1,0.06346819527817502,0.9253472504614364
-7.590463766007946e-4,0.021049770041773788,241977937,11.01,2.52,4.73,8.38,1.43,1,0.06922218274311732,1.3404570868107524
-4.99089462208344e-4,0.013276267503886639,174066743,10.34,2.38,4.21,8.72,1.29,1,0.07104150835855484,1.4607849011905871
1.1893756426432994e-5,0.00971308762077835,159534556,10.45,2.28,3.81,9.78,1.42,1,0.0897373022091489,1.6193161518662356
-0.004557905772045247,0.03988952835762273,6978072,54.26,3.49,8.29,44.53,0.33,0,0,-1.72150940849671
7.393221929463232e-4,0.022530051163006052,5750195,41.19,4.27,8.95,37.91,0.42,0,0,-1.749727068311116
-0.006607555808938287,0.03535232983829083,9309871,23.83,2.37,5.17,29.33,0.46,0,0,-1.632396922830779
-0.0025942629347382663,0.033979695132652095,8716682,78.3,1.63,3.19,24.8,0.43,0,0,-0.8906708965069867
-7.93242053375565e-4,0.03572031523006404,6693675,0,1.25,2.52,0,0.45,0,0,0.19594275331739575
0.04626839553928683,0.1290023531398644,994,0,0,0,0,0.56,0,0,-1.1951554573283374
0.07314580580127601,0.12005530981219925,914,0,204.86,49.66,0,0.49,0,0,-0.6225562135292673
0.05796110879957705,0.08790602196812963,1595,0,146.6,3.33,0,0.1,0,0,-1.015611954774044
0.015750910085549633,0.05421439492701949,9869,0,257.5,7.14,0,0.03,0,0,-1.4539506071558022
-0.004560985475863339,0.04000815430686221,16278,0,182.25,0,0,0.04,0,0,-1.744220473113947
-0.0046780973458780805,0.06811623795260277,13284,0,191.35,7.06,0,0.05,0,0,-1.5506253206296594
-2.675809713593664e-4,0.050093686253545544,53708,0,8.54,23.71,10.05,0.11,0,0,-1.9426985355387223
-0.00533775523966291,0.046310982692340956,51655,0,3.8,22.78,9.57,0.18,0,0,-1.2903142871141893
-0.0038769852720360685,0.040689221326796914,25859,0,1.72,27.74,16.85,0.38,0,0,-0.6887996131049396
-0.0014117416915603765,0.03887526706930252,16957,0,1.9,-16.3,0,-12.8,0,0,-0.8459940144244437
-0.0017230979919603637,0.03343643924792757,19220,0,2.31,5.2,0,1.23,0,0,-1.0233149294608275
3.959199876671834e-4,0.03150740396727969,52281,0,1.96,2.93,0,0.6,0,0,-1.0316979601815308
-0.0015972158101257808,0.02789234154150043,26322,0,3.08,2.51,0,0.81,0,0,-0.8634650019533889
-0.008237235969294751,0.03772743305547152,35132,0,0.66,1.02,0,0.88,0,0,-0.4896748115090083
-0.00933141503571095,0.03441208154239221,20832,0,0.45,0.64,0,0.61,0,0,-0.214211849717526
0.0024439587274688113,0.058674632192243885,43732,0,0.55,0.84,0,0.76,0,0,0.25347805555611114
-1.28610014631736e-4,0.04551724646839687,44583,0,0.58,1.02,0,1.19,0,0,0.7683547808991662
2.5455438327298853e-4,0.0454663983068412,67951,0,0.52,1.51,0,2.04,0,0,0.7839794638338696
-0.005676951630901508,0.06248362743177728,50790,0,0.24,4.7,0,8.43,0,0,1.9135662786192307
-0.0027031580600741,0.024559576744671945,213485,164.18,2.36,4.53,0,0.43,0,0,0.4693728615692923
-0.004563987048196244,0.022651871423144766,249052,0,1.7,3.56,0,0.32,0,0,0.6488492720394762
0.0030908824659790068,0.023395875766667924,212122,0,2.44,5.61,0,0.46,0,0,0.40257288104980754
6.290524769326157e-5,0.037585576233403764,333723,0,2.31,5.63,0,0.69,0,0,0.24483174092585655
-0.010243776671654294,0.02426299750450149,295465,56.5,1.79,4.02,0,0.53,0,0,0.20082698906047936
6.359165840564177e-4,0.03576634368198253,277591,43.87,1.59,3.97,0,0.38,0,0,0.24923035650478745
-0.005515790197157989,0.028239064518273568,224642,33.51,1.19,3.3,0,0.43,0,0,0.7948395539542074
-6.029593849242746e-4,0.03658781396076787,139573,23.9,1.18,3.29,0,0.56,0,0,0.9747410775913407
-0.006051747931852533,0.07061467634096591,140121,451.5,0.74,1.87,53.72,0.37,0,0,1.1973864416486177
-0.003260735888079288,0.044986322934887434,84798,69.09,0.62,1.58,8.78,0.35,0,0,1.6168281846063435
0.009465628183890585,0.03525118586852061,112923,68.32,1.09,2.72,12.51,0.39,0,0,1.1938543407499607
0.0014582446412296157,0.031083071612089414,122298,87.93,1.08,2.49,8.01,0.47,0,0,1.0875709112271115
0.005152052349580205,0.0265831295155767,147656,135.38,1.49,3.32,12.67,0.5,0,0,0.9149836601569126
-0.0014556090879518692,0.02228380789748682,104813,34.45,1.15,2.7,12.96,0.4,0,0,0.7237364748677014
0.0021599751705661373,0.035589807956254646,152049,25.39,1.31,3.16,10.73,0.41,0,0,0.6170428635152193
-0.002561313592732645,0.029026683674872968,117037,20.41,1.25,2.95,11.63,0.43,0,0,0.5547482098952079
0.002473949974360833,0.018697992102195284,173767,25.65,1.64,3.68,18.01,0.45,0,0,0.5018315743136138
