date,open,high,low,close,volume
1992-06-05,2.333333,2.791667,2.333333,2.708333,4575000
1992-06-08,2.75,2.875,2.708333,2.708333,1802400
1992-06-09,2.666667,2.791667,2.625,2.6875,1360200
1992-06-10,2.625,2.708333,2.625,2.625,203400
1992-06-11,2.708333,2.833333,2.666667,2.708333,751800
1992-06-12,2.833333,2.833333,2.708333,2.833333,579000
1992-06-15,2.75,2.833333,2.75,2.75,238800
1992-06-16,2.8125,2.833333,2.75,2.791667,815400
1992-06-17,2.75,2.833333,2.625,2.625,1240800
1992-06-18,2.625,2.75,2.625,2.666667,666000
1992-06-19,2.625,2.666667,2.625,2.666667,30600
1992-06-22,2.625,2.666667,2.625,2.666667,252000
1992-06-23,2.708333,2.708333,2.625,2.625,123600
1992-06-24,2.666667,2.791667,2.666667,2.666667,12600
1992-06-25,2.791667,2.875,2.666667,2.833333,573600
1992-06-26,2.875,2.875,2.708333,2.875,50400
1992-06-29,2.875,3.083333,2.833333,2.958333,237000
1992-06-30,2.958333,3.083333,2.958333,2.958333,23400
1992-07-01,3.083333,3.083333,2.958333,3.041667,19800
1992-07-02,3,3.083333,2.958333,3,180600
1992-07-06,3,3.041667,3,3.041667,169800
1992-07-07,3.083333,3.083333,3,3.0625,97800
1992-07-08,3,3.041667,3,3,43800
1992-07-09,3,3.083333,3,3.083333,150600
1992-07-10,3.083333,3.25,3.041667,3.25,93600
1992-07-13,3.333333,3.416667,3.208333,3.208333,351600
1992-07-14,3.270833,3.333333,3.208333,3.333333,718800
1992-07-15,3.333333,3.333333,3.125,3.125,274200
1992-07-16,3.125,3.25,3.125,3.25,21000
1992-07-17,3.25,3.25,3.1875,3.1875,5400
1992-07-20,3.125,3.125,3.125,3.125,2400
1992-07-21,3.125,3.208333,3.125,3.208333,41400
1992-07-22,3.25,3.25,3.125,3.125,3000
1992-07-23,3.125,3.1875,3.125,3.125,15000
1992-07-24,3.125,3.125,3.125,3.125,6000
1992-07-27,3.25,3.25,3.208333,3.208333,18000
1992-07-28,3.291667,3.458333,3.291667,3.395833,300000
1992-07-29,3.5,3.708333,3.458333,3.625,336000
1992-07-30,3.625,3.75,3.625,3.625,259800
1992-07-31,3.625,3.708333,3.625,3.708333,51600
1992-08-03,3.625,3.708333,3.625,3.666667,13200
1992-08-04,3.625,3.708333,3.625,3.625,27600
1992-08-05,3.625,3.625,3.625,3.625,2400
1992-08-06,3.625,3.666667,3.625,3.666667,39000
1992-08-07,3.625,3.708333,3.625,3.708333,74400
1992-08-10,3.666667,3.75,3.625,3.666667,361200
1992-08-11,3.625,3.708333,3.625,3.708333,12600
1992-08-12,3.625,3.625,3.625,3.625,16800
1992-08-13,3.625,3.708333,3.625,3.625,34200
1992-08-14,3.625,3.708333,3.625,3.708333,43200
1992-08-17,3.625,3.708333,3.625,3.666667,487200
1992-08-18,3.708333,3.708333,3.625,3.708333,121800
1992-08-19,3.625,3.708333,3.625,3.708333,211200
1992-08-20,3.625,3.625,3.625,3.625,30000
1992-08-21,3.791667,3.916667,3.708333,3.916667,120000
1992-08-24,3.875,4,3.791667,3.854167,244200
1992-08-25,3.75,3.875,3.625,3.6875,162600
1992-08-26,3.625,3.791667,3.625,3.708333,37800
1992-08-27,3.791667,3.791667,3.791667,3.791667,3600
1992-08-28,3.791667,3.833333,3.666667,3.75,450600
1992-08-31,3.833333,3.833333,3.833333,3.833333,10200
1992-09-01,3.833333,3.875,3.75,3.875,92400
1992-09-02,3.875,3.875,3.75,3.791667,130200
1992-09-03,3.791667,3.979167,3.791667,3.875,58800
1992-09-04,3.875,4.166667,3.875,4.166667,370800
1992-09-08,4.166667,4.166667,4.041667,4.166667,49200
1992-09-09,4.166667,4.166667,4.083333,4.145833,136800
1992-09-10,4.166667,4.166667,4.041667,4.166667,63600
1992-09-11,4.041667,4.166667,4.041667,4.166667,102000
1992-09-14,4.041667,4.166667,4.041667,4.083333,39600
1992-09-15,4.166667,4.166667,4.166667,4.166667,23400
1992-09-16,4.041667,4.104167,4,4,719400
1992-09-17,4.020833,4.083333,4,4,27000
1992-09-18,4.041667,4.083333,4,4.041667,24000
1992-09-21,4.083333,4.083333,4,4.083333,644400
1992-09-22,4,4.083333,4,4.083333,216600
1992-09-23,3.958333,4,3.958333,4,90000
1992-09-24,3.979167,4.041667,3.875,4,175800
1992-09-25,3.875,4.041667,3.875,4.041667,451800
1992-09-28,3.875,4.125,3.875,4.104167,93600
1992-09-29,4.125,4.125,4,4,13200
1992-09-30,4,4.041667,3.9375,4.041667,697800
1992-10-01,3.958333,4.041667,3.958333,4.041667,12000
1992-10-02,4.041667,4.041667,3.958333,3.958333,148800
1992-10-05,3.958333,4.041667,3.958333,4,646200
1992-10-06,4.041667,4.041667,4.041667,4.041667,13200
1992-10-07,4.083333,4.145833,4,4.041667,268200
1992-10-08,4.125,4.583333,4.041667,4.5,234000
1992-10-09,4.458333,4.458333,4.333333,4.416667,163200
1992-10-12,4.416667,4.416667,4.291667,4.416667,99600
1992-10-13,4.416667,4.791667,4.291667,4.708333,375600
