date,open,high,low,close,volume
2020-11-20,27,27,24.049999,25.1,19129600
2020-11-23,25.23,28.870001,25.16,27.950001,6536700
2020-11-24,28.26,29,26.82,27,3123500
2020-11-25,26.540001,27.92,26.120001,26.76,1693300
2020-11-27,26.74,28.65,26.719999,27.969999,3429300
2020-11-30,28.1,28.34,26.889999,27.059999,932900
2020-12-01,27.18,27.629999,26.709999,27.4,417700
2020-12-02,27.440001,28.4,26.99,28,1139600
2020-12-03,27.92,28.49,27.559999,27.950001,498300
2020-12-04,28.01,28.245001,27.51,27.700001,803900
2020-12-07,27.440001,27.49,26.530001,26.99,747100
2020-12-08,26.76,26.950001,25.860001,26.18,380000
2020-12-09,26.190001,26.298,25.389999,25.559999,973000
2020-12-10,25.299999,25.799999,25.120001,25.6,453500
2020-12-11,25.6,25.73,24.955,25.41,426700
2020-12-14,25.41,25.870001,24.559999,25.469999,877500
2020-12-15,25.870001,26.5,24.975,25.440001,1776000
2020-12-16,25.719999,26.030001,25.450001,25.995001,824400
2020-12-17,26.35,27.129999,25.75,26.995001,830100
2020-12-18,27.43,27.68,26.549999,26.959999,1524200
2020-12-21,26.639999,27.33,25.58,26.49,1483600
2020-12-22,26.49,27.5,25.799999,27.360001,1351100
2020-12-23,27.620001,27.620001,26.27,26.99,1297500
2020-12-24,26.940001,27.16,26.559999,26.940001,971800
2020-12-28,27.280001,27.75,26.165001,27.58,926900
2020-12-29,27.700001,28.24,27.17,27.51,295900
2020-12-30,27.58,28.07,27.01,27.799999,353200
2020-12-31,27.889999,28.190001,27.33,27.440001,359500
2021-01-04,27.549999,27.889999,26.84,27.02,725100
2021-01-05,26.91,27.34,25.690001,26.41,466600
2021-01-06,26.040001,26.610001,24.610001,25.809999,1217000
2021-01-07,25.969999,26.440001,25.01,25.299999,701200
2021-01-08,25.35,25.584999,24.385,25.01,2400700
2021-01-11,25.049999,25.700001,24.639999,25.549999,2420000
2021-01-12,25.48,25.889999,25.15,25.209999,1078800
2021-01-13,25.26,25.525,24.48,25.02,1762000
2021-01-14,25.51,26.469999,25.25,25.870001,1224100
2021-01-15,25.99,26.09,24.360001,25.49,647500
2021-01-19,25.51,25.950001,24.889999,25.15,765200
2021-01-20,25.26,26.950001,25.26,26.299999,1063100
2021-01-21,26.379999,26.790001,25.809999,26.07,495000
2021-01-22,26.040001,27.190001,25.73,26.799999,394400
2021-01-25,26.860001,27.610001,26.594999,27.08,560600
2021-01-26,27.190001,27.610001,26.43,26.440001,519300
2021-01-27,26.360001,26.48,24.620001,25.15,943500
2021-01-28,25.049999,26.23,25.049999,25.74,902400
2021-01-29,25.709999,26.299999,25.27,26.09,550400
2021-02-01,25.76,26.73,25.68,26.52,616900
