ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
BIG,2021.3,6.71,0.28,1.34,0,NA
BIG,2021.3,8.11,0.34,1.62,0,2.31
BIG,2021.2,3.95,0.41,1.88,7.98,2.18
BIG,2021.1,3.7,0.37,1.63,8.69,2.16
BIG,2020.4,2.97,0.3,1.37,4.68,2.35
BIG,2020.3,2.1,0.26,1.13,3.2,2.14
BIG,2020.2,3.2,0.16,1,4.23,2.76
BIG,2020.1,4.12,0.19,1.18,13.6,2.77
BIG,2019.4,3.12,0.15,1.03,0,3.49
BIG,2019.3,7.67,0.18,1.42,0,3.95
BIG,2019.2,9.66,0.26,2.04,0,3.7
BIG,2019.1,7.39,0.22,1.64,702.83,1.92
BIG,2018.4,10.22,0.29,2.51,40.54,2.6
BIG,2018.3,9.9,0.31,2.54,20.3,2.02
BIG,2018.2,9.42,0.31,2.3,14.22,1.51
BIG,2018.1,12.14,0.44,3.33,21.39,1.47
BIG,2017.4,11.43,0.38,3.3,11.41,2.26
BIG,2017.3,11.2,0.37,3.1,9.63,1.72
BIG,2017.2,11.86,0.38,2.94,8.66,1.45
BIG,2017.1,12.95,0.38,2.92,8.87,1.47
BIG,2016.4,11.48,0.34,3,7.71,2.39
BIG,2016.3,14.27,0.42,3.67,9.16,1.99
BIG,2016.2,12.91,0.37,2.9,8.5,1.59
BIG,2016.1,11.59,0.32,2.23,7.7,1.28
BIG,2015.4,14.43,0.39,2.98,12.37,1.97
BIG,2015.3,13.61,0.37,2.76,13.12,1.6
BIG,2015.2,14.2,0.4,2.51,10.82,1.08
BIG,2015.1,17.87,0.41,2.55,9.28,1.07
BIG,2014.4,20.82,0.41,2.8,9.22,1.71
BIG,2014.3,21.17,0.4,2.41,11.26,1
BIG,2014.2,19.62,0.36,2.15,13.66,0.98
BIG,2014.1,10.21,0.25,1.4,13.6,0.93
BIG,2013.4,10.68,0.34,2.11,13.9,1.63
BIG,2013.3,10.35,0.34,2.08,11.56,1.2
BIG,2013.2,10.26,0.34,2.15,19.03,1.18
BIG,2013.1,8.84,0.31,1.99,10.63,1.31
BIG,2012.4,9.04,0.29,2.16,14.88,2.26
BIG,2012.3,11.86,0.41,2.83,14.51,1.5
BIG,2012.2,10.21,0.39,2.33,10.19,1.07
BIG,2012.1,10.75,0.44,2.5,11.95,0.99
BIG,2011.4,11.35,0.45,2.66,15.23,1.62
BIG,2011.3,9.88,0.43,2.35,12.09,0.96
BIG,2011.2,11.74,0.53,2.48,11.6,0.75
BIG,2011.1,9.14,0.42,2.03,9.79,0.71
BIG,2010.4,9.66,0.42,2.32,11.57,1.15
BIG,2010.3,10.04,0.47,2.41,8.34,0.74
BIG,2010.2,11.77,0.54,2.66,7.97,0.75
BIG,2010.1,9.62,0.41,1.9,6.14,0.67
BIG,2009.4,9.73,0.37,1.9,6,0.87
BIG,2009.3,9.99,0.34,1.82,7.51,0.73
BIG,2009.2,12.11,0.4,2.27,11.16,0.76
BIG,2009.1,5.96,0.19,1.16,7.39,0.85
BIG,2008.4,10.37,0.37,2.32,14.42,1.4
BIG,2008.3,13,0.49,2.97,10.91,1.1
BIG,2008.2,12.17,0.46,2.79,7.38,1.22
BIG,2008.1,8.57,0.32,1.84,5.86,1.26
BIG,2007.4,12.6,0.45,2.43,7.11,1.23
BIG,2007.3,14.72,0.49,2.38,7.11,0.66
BIG,2007.2,20.94,0.62,2.63,12.29,0.55
BIG,2007.1,18.97,0.5,2.06,6.79,0.52
BIG,2006.4,55.72,0.42,1.84,10.09,0.72
BIG,2006.3,NA,NA,1.46,NA,0.62
BIG,2006.2,NA,NA,1.24,NA,0.53
BIG,2006.1,NA,NA,1.16,NA,0.51
BIG,2005.4,NA,NA,NA,NA,0.84
BIG,2005.3,NA,NA,NA,NA,0.64
BIG,2005.2,NA,NA,NA,NA,0.6
BIG,2005.1,NA,NA,NA,NA,0.61
BJ,2021.3,19.68,NA,NA,NA,NA
BJ,2021.3,17.11,0.45,14.14,16.9,9.95
BJ,2021.2,15.3,0.4,14.83,15.96,12.18
BJ,2021.1,13.93,0.38,18.07,8.99,15.95
BJ,2020.4,14.56,0.36,24.18,7.3,24.22
BJ,2020.3,18.63,0.38,46.38,8.19,43.45
BJ,2020.2,14.78,0.26,112.24,6.24,162.96
BJ,2020.1,15.31,0.22,-51.84,18.04,-97.97
BJ,2019.4,17.8,0.27,-35.06,14.67,-53.43
BJ,2019.3,15.81,0.24,-19.58,11.56,-32.3
BJ,2019.2,27,0.27,-26.58,11.91,-36.24
BJ,2021.3,NA,0.52,16.44,19.66,NA
BJ,2019.1,NA,NA,-17.88,NA,-17.03
