mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
3,1,0.1,mae,standard,0.2440429250242996,10,0.011271777884014915,Model01
3,1,0.1,rmse,standard,0.31117335831812565,10,0.014869230802932504,Model01
3,1,0.1,rsq,standard,0.4912261878092665,10,0.05071750691472564,Model01
5,1,0.1,mae,standard,0.24370399695646972,10,0.011177413222661267,Model02
5,1,0.1,rmse,standard,0.31069994552321656,10,0.014860561846341616,Model02
5,1,0.1,rsq,standard,0.49331428057142895,10,0.04966784893681486,Model02
7,1,0.1,mae,standard,0.24397002640154156,10,0.011287856496492743,Model03
7,1,0.1,rmse,standard,0.31137829101929976,10,0.014962766239262617,Model03
7,1,0.1,rsq,standard,0.49133487463179193,10,0.04986731085477718,Model03
10,1,0.1,mae,standard,0.24370655006391398,10,0.011242373889441559,Model04
10,1,0.1,rmse,standard,0.3109571076550248,10,0.014938050570418823,Model04
10,1,0.1,rsq,standard,0.49305725246713095,10,0.048868423255932034,Model04
3,3,0.1,mae,standard,0.1921019950761765,10,0.010307471045368591,Model05
3,3,0.1,rmse,standard,0.26319620064923943,10,0.01531162385866054,Model05
3,3,0.1,rsq,standard,0.626101566680277,10,0.04493854047313548,Model05
5,3,0.1,mae,standard,0.18195869228069475,10,0.011391917334706389,Model06
5,3,0.1,rmse,standard,0.25400508913729636,10,0.01675126241224173,Model06
5,3,0.1,rsq,standard,0.650711239686347,10,0.043104972185456364,Model06
7,3,0.1,mae,standard,0.18313407357942413,10,0.01038785202485326,Model07
7,3,0.1,rmse,standard,0.25479352939549,10,0.015726703517504728,Model07
7,3,0.1,rsq,standard,0.6486361612898097,10,0.04071404694616738,Model07
10,3,0.1,mae,standard,0.18081630682468275,10,0.009983236982613757,Model08
10,3,0.1,rmse,standard,0.24938314705964168,10,0.01589264961662057,Model08
10,3,0.1,rsq,standard,0.6643906246672044,10,0.03715563568656581,Model08
3,5,0.1,mae,standard,0.17673871330657606,10,0.01163611175056004,Model09
3,5,0.1,rmse,standard,0.24603014166582232,10,0.01565141938120096,Model09
3,5,0.1,rsq,standard,0.6789663667562378,10,0.03890419021612246,Model09
5,5,0.1,mae,standard,0.16710677663010098,10,0.01071688253245445,Model10
5,5,0.1,rmse,standard,0.23624928714553092,10,0.015420364268773731,Model10
5,5,0.1,rsq,standard,0.7048401399722773,10,0.03821703310054338,Model10
7,5,0.1,mae,standard,0.16764181910947598,10,0.01049594070788653,Model11
7,5,0.1,rmse,standard,0.24298279201023268,10,0.01643206949953934,Model11
7,5,0.1,rsq,standard,0.6861911502947885,10,0.035662507572558164,Model11
10,5,0.1,mae,standard,0.16961851744252165,10,0.010888412339846845,Model12
10,5,0.1,rmse,standard,0.24438184520768494,10,0.016132995929383644,Model12
10,5,0.1,rsq,standard,0.6821595762972269,10,0.03141070836749836,Model12
3,7,0.1,mae,standard,0.18114019316573146,10,0.01232542541188305,Model13
3,7,0.1,rmse,standard,0.25914825816135056,10,0.014479869771199746,Model13
3,7,0.1,rsq,standard,0.6632105821136693,10,0.04231047859485602,Model13
5,7,0.1,mae,standard,0.16296748299160696,10,0.01164991022168603,Model14
5,7,0.1,rmse,standard,0.2364906184823335,10,0.01667950588498204,Model14
5,7,0.1,rsq,standard,0.706207448337287,10,0.03835721325182519,Model14
7,7,0.1,mae,standard,0.16389286680818077,10,0.010959344741420516,Model15
7,7,0.1,rmse,standard,0.24159398558152817,10,0.016717404388562895,Model15
7,7,0.1,rsq,standard,0.6945648055417515,10,0.030769984479489778,Model15
10,7,0.1,mae,standard,0.1708290431601731,10,0.011672606280361715,Model16
10,7,0.1,rmse,standard,0.25872156511064553,10,0.018852895340610534,Model16
10,7,0.1,rsq,standard,0.6451269398075017,10,0.03549691865916376,Model16
3,1,0.01,mae,standard,0.29461784226583904,10,0.01599185772381643,Model17
3,1,0.01,rmse,standard,0.37476352462176543,10,0.019558872549520923,Model17
3,1,0.01,rsq,standard,0.329244950881332,10,0.057135583383130566,Model17
5,1,0.01,mae,standard,0.29388333812149753,10,0.016151494062814718,Model18
5,1,0.01,rmse,standard,0.37266880296374344,10,0.01972208194447438,Model18
5,1,0.01,rsq,standard,0.3417397732867119,10,0.057484113864223224,Model18
7,1,0.01,mae,standard,0.2937750076624928,10,0.01620291057631445,Model19
7,1,0.01,rmse,standard,0.37240907400204076,10,0.019785069808996282,Model19
7,1,0.01,rsq,standard,0.34287622836882453,10,0.05709148638330848,Model19
10,1,0.01,mae,standard,0.2936015008243895,10,0.016171166245104424,Model20
10,1,0.01,rmse,standard,0.3722366437372779,10,0.019794980248435862,Model20
10,1,0.01,rsq,standard,0.34329029464281413,10,0.056779287506373545,Model20
3,3,0.01,mae,standard,0.22469956262908375,10,0.012386788742331673,Model21
3,3,0.01,rmse,standard,0.2893521550846667,10,0.016597207717195646,Model21
3,3,0.01,rsq,standard,0.5799908765995799,10,0.049766990737128675,Model21
5,3,0.01,mae,standard,0.21929854969188325,10,0.011949675625130593,Model22
5,3,0.01,rmse,standard,0.2845294827553664,10,0.015966537765559955,Model22
5,3,0.01,rsq,standard,0.5902817872141763,10,0.04742741481676108,Model22
7,3,0.01,mae,standard,0.21971811569928074,10,0.011958928214323455,Model23
7,3,0.01,rmse,standard,0.2855052432612171,10,0.016682762879660605,Model23
7,3,0.01,rsq,standard,0.5853810886212355,10,0.0443152393559434,Model23
10,3,0.01,mae,standard,0.21948317921606197,10,0.011967757135185518,Model24
10,3,0.01,rmse,standard,0.2854882035381597,10,0.016834351202679627,Model24
10,3,0.01,rsq,standard,0.5827823287980548,10,0.0441546278536118,Model24
3,5,0.01,mae,standard,0.19645112871492976,10,0.011098164331287482,Model25
3,5,0.01,rmse,standard,0.2604665136747,10,0.015502149915724617,Model25
3,5,0.01,rsq,standard,0.6604182490861467,10,0.04616756047460891,Model25
5,5,0.01,mae,standard,0.18355559202061186,10,0.010790245976743384,Model26
5,5,0.01,rmse,standard,0.24690182105470404,10,0.01633600371008618,Model26
5,5,0.01,rsq,standard,0.693596576639039,10,0.035753605057616926,Model26
7,5,0.01,mae,standard,0.1839858166428947,10,0.01142946910698021,Model27
7,5,0.01,rmse,standard,0.24963164327227902,10,0.017396411993382977,Model27
7,5,0.01,rsq,standard,0.6798628586897543,10,0.03442083413771013,Model27
10,5,0.01,mae,standard,0.1841435010868119,10,0.012192719101528937,Model28
10,5,0.01,rmse,standard,0.25130933456072124,10,0.018621855983111196,Model28
10,5,0.01,rsq,standard,0.6693907813785731,10,0.03352539609166675,Model28
3,7,0.01,mae,standard,0.18693557379329118,10,0.011893665052711902,Model29
3,7,0.01,rmse,standard,0.2566197836403003,10,0.016079419752640083,Model29
3,7,0.01,rsq,standard,0.6805738285415531,10,0.04085014575189727,Model29
5,7,0.01,mae,standard,0.16957863580081997,10,0.011449989018007433,Model30
5,7,0.01,rmse,standard,0.23899306176853885,10,0.01673420089902244,Model30
5,7,0.01,rsq,standard,0.7100954102378265,10,0.035165713329636986,Model30
7,7,0.01,mae,standard,0.1683889802980105,10,0.011905753592922246,Model31
7,7,0.01,rmse,standard,0.243150220432703,10,0.0188154434006071,Model31
7,7,0.01,rsq,standard,0.6900984236325957,10,0.038504517961733264,Model31
10,7,0.01,mae,standard,0.17682130187824935,10,0.011333352925322759,Model32
10,7,0.01,rmse,standard,0.2632206327459287,10,0.018922335201055497,Model32
10,7,0.01,rsq,standard,0.6295140887601399,10,0.038553939452441316,Model32
3,1,0.001,mae,standard,0.32502704649577896,10,0.020020842002032805,Model33
3,1,0.001,rmse,standard,0.41778964177029837,10,0.02473693353365959,Model33
3,1,0.001,rsq,standard,0.20332713287117266,10,0.05119136312110556,Model33
5,1,0.001,mae,standard,0.32407417352221357,10,0.019932363378428398,Model34
5,1,0.001,rmse,standard,0.41661342296834314,10,0.02436627866645969,Model34
5,1,0.001,rsq,standard,0.18391742089721633,10,0.046585293419254076,Model34
7,1,0.001,mae,standard,0.3238801365917151,10,0.01983791120611229,Model35
7,1,0.001,rmse,standard,0.4162877064492504,10,0.024201331576746667,Model35
7,1,0.001,rsq,standard,0.1779105622327951,10,0.044984614164748436,Model35
10,1,0.001,mae,standard,0.3238092374377151,10,0.019840620051022436,Model36
10,1,0.001,rmse,standard,0.41621314803894005,10,0.024231154866165772,Model36
10,1,0.001,rsq,standard,0.17435606951194504,10,0.04389726176590176,Model36
3,3,0.001,mae,standard,0.30663347121016504,10,0.01906042290695005,Model37
3,3,0.001,rmse,standard,0.39205378178625405,10,0.024191416723796894,Model37
3,3,0.001,rsq,standard,0.47744262061540327,10,0.060948280464414015,Model37
5,3,0.001,mae,standard,0.30134119530918785,10,0.018674121866900307,Model38
5,3,0.001,rmse,standard,0.38531460098639436,10,0.023736484580843122,Model38
