date,open,high,low,close,volume
1981-04-30,0,0.3225,0.32,0.32,8380000
1981-05-01,0,0.335,0.32875,0.32875,7590000
1981-05-04,0,0.325,0.3225,0.3225,1670000
1981-05-05,0,0.32375,0.32,0.32,6280000
1981-05-06,0,0.3325,0.3275,0.3275,7850000
1981-05-07,0,0.3325,0.33,0.33,3910000
1981-05-08,0,0.34,0.3375,0.3375,5310000
1981-05-11,0,0.33625,0.3325,0.3325,5710000
1981-05-12,0,0.335,0.3325,0.3325,4390000
1981-05-13,0,0.335,0.3325,0.3325,3680000
1981-05-14,0,0.33625,0.335,0.335,3120000
1981-05-15,0,0.34625,0.345,0.345,5780000
1981-05-18,0,0.35125,0.35,0.35,6580000
1981-05-19,0,0.355,0.3525,0.3525,5250000
1981-05-20,0,0.375,0.37375,0.37375,11750000
1981-05-21,0,0.395,0.39375,0.39375,10130000
1981-05-22,0,0.4,0.39875,0.39875,4560000
1981-05-26,0,0.3925,0.39125,0.39125,3370000
1981-05-27,0,0.3725,0.37,0.37,3470000
1981-05-28,0,0.37125,0.37,0.37,4660000
1981-05-29,0,0.38,0.3775,0.3775,12800000
1981-06-01,0,0.395,0.3925,0.3925,12530000
1981-06-02,0,0.38875,0.38625,0.38625,5440000
1981-06-03,0,0.3925,0.39125,0.39125,8220000
1981-06-04,0,0.4075,0.405,0.405,17950000
1981-06-05,0,0.43,0.43,0.43,9170000
1981-06-08,0,0.42625,0.4225,0.4225,5150000
1981-06-09,0,0.4225,0.42,0.42,6850000
1981-06-10,0,0.4225,0.42,0.42,10000000
1981-06-11,0,0.4225,0.42125,0.42125,12510000
1981-06-12,0,0.455,0.45375,0.45375,9930000
1981-06-15,0,0.47875,0.4775,0.4775,9620000
1981-06-16,0,0.46625,0.46375,0.46375,13950000
1981-06-17,0,0.4475,0.4425,0.4425,8080000
1981-06-18,0,0.44375,0.4425,0.4425,7820000
1981-06-19,0,0.4375,0.43375,0.43375,1850000
1981-06-22,0,0.4325,0.4275,0.4275,1510000
1981-06-23,0,0.4375,0.435,0.435,2450000
1981-06-24,0,0.4225,0.42,0.42,1800000
1981-06-25,0,0.415,0.4075,0.4075,2380000
1981-06-26,0,0.4175,0.4125,0.4125,520000
1981-06-29,0,0.42,0.415,0.415,2290000
1981-06-30,0,0.4075,0.4025,0.4025,2070000
1981-07-01,0,0.4025,0.4,0.4,6270000
1981-07-02,0,0.39,0.385,0.385,1520000
1981-07-06,0,0.3675,0.3625,0.3625,2120000
1981-07-07,0,0.3625,0.36,0.36,2610000
1981-07-08,0.36,0.36,0.36,0.36,0
1981-07-09,0,0.3675,0.36,0.3625,15600000
1981-07-10,0,0.36625,0.3625,0.3625,6060000
1981-07-13,0,0.36625,0.36125,0.36375,6720000
1981-07-14,0,0.3625,0.35375,0.355,7060000
1981-07-15,0,0.355,0.3375,0.34125,5680000
1981-07-16,0,0.35375,0.34,0.35375,6290000
1981-07-17,0,0.35875,0.3525,0.35375,6440000
1981-07-20,0,0.35625,0.345,0.3475,5490000
1981-07-21,0,0.3425,0.33,0.3325,3640000
1981-07-22,0,0.33375,0.32125,0.3225,4240000
1981-07-23,0,0.3275,0.31375,0.3275,6010000
1981-07-24,0,0.33875,0.32875,0.3325,7990000
1981-07-27,0,0.3425,0.33625,0.3375,3600000
1981-07-28,0,0.3425,0.3375,0.3425,7620000
1981-07-29,0,0.35375,0.345,0.3475,2600000
1981-07-30,0,0.3525,0.3425,0.35125,6290000
1981-07-31,0,0.36,0.355,0.35625,4000000
1981-08-03,0,0.36,0.35375,0.36,2810000
1981-08-04,0,0.375,0.3675,0.37,2540000
1981-08-05,0,0.38625,0.3725,0.38625,7400000
1981-08-06,0,0.38625,0.37875,0.38,2670000
1981-08-07,0,0.38375,0.375,0.38,3550000
1981-08-10,0,0.38,0.37375,0.37375,1360000
1981-08-11,0,0.375,0.37,0.375,3580000
1981-08-12,0,0.37875,0.3725,0.375,2930000
1981-08-13,0,0.37875,0.375,0.375,4270000
1981-08-14,0,0.375,0.36875,0.36875,2390000
1981-08-17,0,0.37125,0.36,0.36375,1720000
1981-08-18,0,0.3575,0.3475,0.34875,3000000
1981-08-19,0,0.345,0.33625,0.34,3620000
1981-08-20,0,0.3475,0.33875,0.34375,3240000
1981-08-21,0,0.3475,0.335,0.3375,6580000
1981-08-24,0,0.33625,0.325,0.325,4490000
1981-08-25,0,0.325,0.3125,0.325,6450000
1981-08-26,0,0.33125,0.3275,0.33125,2290000
1981-08-27,0,0.33375,0.3275,0.33,6320000
1981-08-28,0,0.33,0.32625,0.33,4950000
