date,open,high,low,close,volume
2020-12-18,12.8,14,12.501,13,505800
2020-12-21,12.33,12.48,10.19,11.41,1098600
2020-12-22,11,11.7,10.58,10.9,1193600
2020-12-23,10.999,12.4,10.63,11.2,1865200
2020-12-24,11.99,11.99,11.21,11.49,428000
2020-12-28,11.06,11.31,10.87,10.95,504900
2020-12-29,10.82,10.95,10.131,10.41,619500
2020-12-30,10.5,10.8,9.83,9.86,584400
2020-12-31,10.05,10.21,8.76,8.9,2292700
2021-01-04,8.85,8.93,8.02,8.89,898600
2021-01-05,8.89,9.26,8.55,8.97,429100
2021-01-06,9.7,10.1,9.3,9.6,1570400
2021-01-07,10.09,10.4,9.74,9.8,633500
2021-01-08,9.85,9.86,8.72,8.83,1047700
2021-01-11,8.84,9.2,8.58,8.74,608000
2021-01-12,9.73,9.74,8.86,9.24,856600
2021-01-13,9.11,10.85,9.03,10.72,1562200
2021-01-14,10.83,11.07,10.04,10.31,1579600
2021-01-15,11.11,11.44,10,10.04,1989300
2021-01-19,10.25,10.7,9.92,10.2,824100
2021-01-20,10.22,10.3,9.6,9.98,804900
2021-01-21,9.82,10.29,9.24,10.21,1269000
2021-01-22,10.13,10.62,9.35,9.82,1594500
2021-01-25,10,10,9.25,9.33,1089600
2021-01-26,9.5,9.928,9.1,9.29,1141100
2021-01-27,9,9.3,8.55,8.8,1076500
2021-01-28,8.92,9.38,8.6,9.11,640600
2021-01-29,8.95,9.6,8.659,8.9,969600
2021-02-01,8.98,9.1,8.63,9.03,492700
2021-02-02,8.96,10.97,8.96,10.48,3108900
2021-02-03,11.254,12.15,10.75,11.04,2248700
2021-02-04,11.22,11.4,10.24,10.55,1031600
2021-02-05,10.85,11.49,10.34,11.01,1317100
2021-02-08,11.73,11.75,11.22,11.75,1037400
2021-02-09,12.699,13.7,11.714,12.93,2607100
2021-02-10,15.139,19.299999,14.9,18.17,9246400
2021-02-11,17.26,17.48,14.9,15.82,4565700
2021-02-12,15.45,19.459999,15.08,17.959999,5249200
2021-02-16,18.98,19.4,17.700001,19.200001,2394700
2021-02-17,18.190001,18.870001,17.059999,17.219999,1335700
2021-02-18,16.99,17.454,15.56,16.15,968500
2021-02-19,16.35,17.49,16.02,16.059999,841800
2021-02-22,15.5,15.66,14.41,14.75,1215300
2021-02-23,13.5,14.34,12.85,14.3,1216100
2021-02-24,14.33,15.25,14.078,14.2,782100
2021-02-25,14.4,14.89,13.256,13.83,706100
2021-02-26,13.5,13.97,12.245,13.2,2364400
2021-03-01,13.671,14.25,13.1,13.82,1029900
2021-03-02,13.89,14.87,13.8,14.4,939000
2021-03-03,14.58,14.75,13.05,13.27,1159600
2021-03-04,13.14,13.21,11.25,12,1878800
2021-03-05,12.32,12.32,10.35,12.16,976400
2021-03-08,12.15,12.69,11.23,11.66,949500
2021-03-09,12.16,12.79,11.85,12.45,708500
2021-03-10,12.6,12.85,11.83,12.36,801400
2021-03-11,12.56,13.615,12.14,13.33,1005900
2021-03-12,12.88,13.18,12.51,12.63,863600
2021-03-15,12.86,13.5,12.61,13.47,856300
2021-03-16,13.54,13.82,12.6,12.92,559600
2021-03-17,12.98,14,12.68,13.98,1180800
2021-03-18,13.42,14.17,13.257,13.42,497200
2021-03-19,13.28,14.03,13.11,13.8,1281700
2021-03-22,13.84,13.99,13.52,13.87,245700
2021-03-23,13.54,13.54,12.54,12.72,554700
2021-03-24,12.75,12.75,11.87,12.31,559800
2021-03-25,11.98,12.63,11.69,12.3,403200
2021-03-26,12.43,12.62,11.86,12.33,224500
2021-03-29,12.33,12.61,11.84,12.27,427600
2021-03-30,12.18,12.2,11.538,11.77,523300
2021-03-31,11.344,11.6,10.12,10.29,1460400
2021-04-01,10.6,10.96,10.34,10.82,432400
2021-04-05,10.94,11.03,10.551,10.9,274500
2021-04-06,10.75,10.876,10.31,10.35,254200
2021-04-07,10.4,10.5,9.85,9.99,403600
2021-04-08,10.01,10.35,9.74,10.27,290800
2021-04-09,10.893,12.417,10.88,12.15,1904500
2021-04-12,12,12.09,10.93,10.97,637200
2021-04-13,11,11.92,11,11.89,264800
2021-04-14,11.793,12.17,11.59,11.68,349100
2021-04-15,11.86,11.9,11.39,11.42,158500
2021-04-16,11.45,11.52,10.49,10.56,470100
2021-04-19,10.56,10.83,9.9,10.63,472100
2021-04-20,10.57,10.58,9.91,10.1,357000
2021-04-21,9.95,10.57,9.94,10.35,181800
2021-04-22,10.38,10.45,9.855,9.97,279200
2021-04-23,10.05,10.84,10,10.84,148500
2021-04-26,10.72,10.92,10.41,10.45,178300
2021-04-27,10.45,10.594,10.07,10.1,218600
2021-04-28,10.15,10.88,10.12,10.88,456200
2021-04-29,10.86,10.86,10.15,10.59,149700
2021-04-30,10.39,10.64,9.92,10.02,434900
2021-05-03,10.24,10.28,9.553,9.67,339600
2021-05-04,9.56,9.71,9.072,9.65,269500
2021-05-05,9.77,9.79,9.39,9.44,117200
2021-05-06,9.32,9.35,8.82,9.08,286200
2021-05-07,9.05,9.6,9.05,9.49,173900
2021-05-10,9.47,9.47,8.687,8.8,331700
2021-05-11,8.39,8.81,8.21,8.69,203700
2021-05-12,8.66,8.99,8.32,8.89,260600
2021-05-13,8.95,9.02,8.34,8.45,171400
2021-05-14,8.55,8.82,8.46,8.63,129500
2021-05-17,8.49,8.75,8.34,8.55,170800
2021-05-18,8.58,8.78,8.36,8.37,259900
2021-05-19,8.1,8.36,7.95,8.17,323700
2021-05-20,8.13,8.58,8.13,8.57,207500
2021-05-21,8.67,9.046,8.53,8.97,176300
2021-05-24,8.92,9.1,8.8,9.06,274900
2021-05-25,9.07,9.63,9,9.6,273900
2021-05-26,9.52,10.13,9.5,10.12,316500
2021-05-27,10.17,11.19,9.945,10.99,573900
2021-05-28,10.98,12.23,10.379,12.23,2686400
2021-06-01,12.17,12.21,10.971,11.27,355100
2021-06-02,11.4,11.55,11.012,11.07,224100
2021-06-03,11.25,11.37,11.01,11.135,202200
2021-06-04,11.26,11.4,10.7,10.8,131500
2021-06-07,10.85,11.28,10.611,11.02,126500
2021-06-08,11.12,11.15,10.7,10.99,110400
2021-06-09,11.11,11.69,10.85,11.25,240400
2021-06-10,11.3,11.35,10.7,10.81,183000
2021-06-11,10.81,11.49,10.75,11.47,134200
2021-06-14,11.53,11.7,10.94,11,132600
2021-06-15,10.92,11,10.502,10.68,81300
2021-06-16,10.99,11.11,10.65,10.75,110900
2021-06-17,10.7,10.914,10.61,10.77,49900
2021-06-18,10.63,10.89,10.44,10.85,164400
2021-06-21,10.96,10.96,10.38,10.4,100800
2021-06-22,10.3,10.38,9.89,10.04,136900
2021-06-23,10.12,10.43,10.12,10.4,68200
2021-06-24,10.46,10.678,10.32,10.43,85800
2021-06-25,10.36,10.89,10.36,10.88,150900
2021-06-28,10.75,10.88,10.06,10.17,172100
2021-06-29,10.28,10.306,10,10.14,68900
2021-06-30,10.12,10.185,9.91,10.15,69900
2021-07-01,10.17,10.31,10.08,10.21,69000
2021-07-02,10.15,10.15,9.9,9.97,68900
2021-07-06,9.85,9.98,9.62,9.87,59800
2021-07-07,9.85,9.869,9.14,9.27,94900
2021-07-08,9,9.5,8.92,8.98,123400
2021-07-09,9.32,9.449,9.064,9.42,74700
2021-07-12,9.41,9.511,9.03,9.1,84000
2021-07-13,9.1,9.346,8.91,8.99,121100
2021-07-14,9.03,9.25,8.848,9.145,91900
2021-07-15,9.41,9.47,8.91,9.26,78800
2021-07-16,9.21,9.4,8.85,8.87,69300
2021-07-19,8.75,9,8.511,8.8,111600
2021-07-20,8.87,9.38,8.8,9.07,96600
2021-07-21,9.13,9.43,9.13,9.19,66000
2021-07-22,9.18,9.25,8.91,9.07,50700
2021-07-23,9.2,9.2,9,9.02,92100
2021-07-26,9.3,9.8,9.17,9.58,104600
2021-07-27,9.65,9.65,9.17,9.21,95200
2021-07-28,9.2,10.39,9.2,9.98,253400
2021-07-29,10.01,10.3,9.75,10.28,99700
2021-07-30,10.23,10.6,10.032,10.13,134000
2021-08-02,10.15,10.265,9.76,9.84,49000
2021-08-03,9.87,10.24,9.73,10.16,56400
2021-08-04,10.04,10.33,9.88,9.99,42800
2021-08-05,10.05,10.29,9.981,10.16,47600
2021-08-06,10.3,10.74,10.17,10.65,134800
2021-08-09,10.7,10.97,10.37,10.97,89800
2021-08-10,10.92,11,10.62,11,162700
2021-08-11,11,11.19,10.85,11.1,161400
2021-08-12,11.15,11.15,10.82,11.11,128700
2021-08-13,11.11,12.4,10.575,12.38,946100
2021-08-16,11.37,11.66,10.18,10.49,332400
2021-08-17,10.33,10.421,9.66,9.84,249100
2021-08-18,9.82,10.07,9.671,9.79,88100
2021-08-19,9.74,10.2,9.74,10.04,96300
2021-08-20,10.08,10.31,9.861,10.05,76200
2021-08-23,10.06,10.34,10.045,10.26,80200
2021-08-24,10.28,10.48,10.21,10.37,99200
2021-08-25,10.27,10.27,9.86,9.88,106900
2021-08-26,9.88,10.21,9.71,9.72,73700
2021-08-27,9.67,10.01,9.67,9.85,95300
2021-08-30,9.86,9.92,9.43,9.45,90800
2021-08-31,9.43,9.72,9.24,9.26,149700
2021-09-01,9.35,9.46,9.2,9.27,146500
2021-09-02,9.37,9.625,9.2,9.32,120100
2021-09-03,9.22,9.5,9.195,9.24,135200
2021-09-07,9.3,9.3,8.62,8.63,246300
2021-09-08,8.81,9.66,8.7,9.4,168700
2021-09-09,9.31,9.31,8.8,8.84,151900
2021-09-10,8.88,9.08,8.72,8.8,162600
