date,open,high,low,close,volume
1980-05-08,0,34,28.5,33,17750
1980-05-09,0,33,31.5,32.5,4850
1980-05-12,0,33.5,31,32.5,5500
1980-05-13,0,33,32,33,2800
1980-05-14,0,32.5,31,32,2450
1980-05-15,0,32.5,30.5,32.5,5000
1980-05-16,0,34,31,32,6650
1980-05-19,0,32,30.5,31.5,5800
1980-05-20,0,31,29.5,30.5,3575
1980-05-21,0,31,30,31,3700
1980-05-22,0,32,29.5,30.5,6725
1980-05-23,0,30.5,29.5,30,2675
1980-05-27,0,31,29.5,30,3025
1980-05-28,0,31.5,29.5,31.5,4725
1980-05-29,0,32,30.5,31,3500
1980-05-30,0,32.5,30.5,32.5,3250
1980-06-02,0,32.5,31,32,2900
1980-06-03,0,31.5,31,31.5,2150
1980-06-04,0,31,29.5,30.5,2375
1980-06-05,0,30.5,29.5,30,2550
1980-06-06,0,31.5,30,31,4050
1980-06-09,0,31,29.5,30,3900
1980-06-10,0,31,29.5,30.5,2925
1980-06-11,0,31,30,31,1725
1980-06-12,0,31.5,30.5,31.5,1675
1980-06-13,0,31.5,30.5,31,3275
1980-06-16,0,33,30.5,33,8400
1980-06-17,0,34,32,33,6775
1980-06-18,0,33,31.5,32.5,3275
1980-06-19,0,32.5,31.5,32,3375
1980-06-20,0,32,30,32,2075
1980-06-23,0,32,31,31,1875
1980-06-24,0,32.5,31,31.5,3300
1980-06-25,0,31.5,31,31.5,2875
1980-06-26,0,31.5,30,30,2725
1980-06-27,0,30.5,29.5,30.5,2350
1980-06-30,0,30,29,29,2575
1980-07-01,0,29.5,29,29.5,2650
1980-07-02,0,30.5,29,30,3025
1980-07-03,0,31.5,30,31.5,2950
1980-07-07,0,31.5,30,31.5,3150
1980-07-08,0,31.5,30,30.5,3650
1980-07-09,0,32,30,32,8875
1980-07-10,0,33.5,31,32.5,12625
1980-07-11,0,33,32,33,3525
1980-07-14,0,34.5,32,34,15350
1980-07-15,0,34,32.5,32.5,4275
1980-07-16,0,32.5,31.5,32,4175
1980-07-17,0,32.5,31,32,2225
1980-07-18,0,32,31,31.5,2500
1980-07-21,0,31.5,31,31.5,3250
1980-07-22,0,32,30.5,31,3550
1980-07-23,0,31.5,30.5,31.5,3875
1980-07-24,0,31.5,30.5,31,2350
1980-07-25,0,30.5,30,30.5,3450
1980-07-28,0,31.5,30,31,4875
1980-07-29,0,31.5,30.5,31,2350
1980-07-30,0,33,31,32,3950
1980-07-31,0,32.5,30.5,32,2400
1980-08-01,0,31.5,31,31.5,3550
1980-08-04,0,31.5,30.5,31,3400
1980-08-05,0,31,30,30.5,2900
1980-08-06,0,31,29.5,31,2575
1980-08-07,0,33,30.5,33,14500
1980-08-08,0,33,32,32.5,6425
1980-08-11,0,35.5,31.5,35,19900
1980-08-12,0,36.5,34,35.5,25350
1980-08-13,0,36.5,35,35.5,8500
1980-08-14,0,35.5,33.5,34,9425
1980-08-15,0,34.5,33,33.5,4975
1980-08-18,0,33.5,32,32.5,5550
1980-08-19,0,33,32,32,3200
1980-08-20,0,34,32.5,34,3725
1980-08-21,0,37.5,33.5,37.5,17950
1980-08-22,0,39,36,37.5,29375
1980-08-25,0,40.5,36,38,39700
1980-08-26,0,38.5,36.5,36.5,17350
1980-08-27,0,37.5,36,37,8150
1980-08-28,0,38.5,36,36,9550
1980-08-29,0,37,35.5,37,5750
1980-09-02,0,37.5,36.5,37.5,4525
1980-09-03,0,38.5,37,38.5,8325
1980-09-04,0,38.5,36,36.5,7850
1980-09-05,0,37,36,36,4125
1980-09-08,0,36,34.5,34.5,4875
1980-09-09,0,36.5,34,36.5,6750
1980-09-10,0,36.5,35,35.5,4975
1980-09-11,0,36,35,35,1800
1980-09-12,0,36.5,35,35,3875
1980-09-15,0,36,35,35,3775
1980-09-16,0,36,34.5,35,4350
1980-09-17,0,38.5,36,36.5,16875
1980-09-18,0,37,34.5,36,9250
1980-09-19,0,36.5,35.5,36.5,8150
1980-09-22,0,37,35,35,5925
1980-09-23,0,36,34,34,4850
1980-09-24,0,34,32.5,34,5875
1980-09-25,0,35,33,34,3550
1980-09-26,0,33.5,32,33.5,4950
1980-09-29,0,33,31.5,33,5000
1980-09-30,0,33,32,32,3225
1980-10-01,0,33,31.5,33,6200
1980-10-02,0,33.5,33,33,5250
1980-10-03,0,34,33,34,2950
1980-10-06,0,35.5,33.5,34.5,4425
1980-10-07,0,35.5,33,33.5,2975
1980-10-08,0,36.5,34,35,10525
1980-10-09,0,36.5,34.5,35,4825
1980-10-10,0,36.5,34,34,3425
1980-10-13,0,36,34.5,35.5,3850
1980-10-14,0,38,35.5,36,23575
1980-10-15,0,37,35,35.5,8775
1980-10-16,0,36,34,34,5000
1980-10-17,0,35.5,34,34.5,4950
1980-10-20,0,35.5,33.5,35.5,7575
1980-10-21,0,36.5,35,35.5,11700
1980-10-22,0,39,36,37.5,36050
1980-10-23,0,38.5,36,36.5,15100
1980-10-24,0,38,36,38,10000
1980-10-27,0,38,36,36.5,5600
1980-10-28,0,37.5,35.5,37,4275
1980-10-29,0,37.5,36,36,3100
1980-10-30,0,35.5,34,34.5,3900
1980-10-31,0,36,34,35.5,4725
1980-11-03,0,36,34.5,35.5,4125
1980-11-05,0,39,36,36.5,52375
1980-11-06,0,41,38,40,78300
1980-11-07,0,44.5,39,44,69300
1980-11-10,0,44.5,41.5,43,56750
1980-11-11,0,45,41.5,44.5,25825
1980-11-12,0,47,44,45.5,66950
1980-11-13,0,46,42.5,45.5,35850
1980-11-14,0,44.5,43,43.5,27375
1980-11-17,0,44.5,41.5,44.5,14200
1980-11-18,0,45,42.5,44,27400
1980-11-19,0,51.5,43,50,88575
1980-11-20,0,56.5,50,56,94600
1980-11-21,0,56,52.5,53.5,41200
1980-11-24,0,53.5,49,52,30100
1980-11-25,0,53.5,51.5,53.5,21775
1980-11-26,0,54.5,51.5,52,16850
1980-11-28,0,52,50,50.5,8425
1980-12-01,0,50.5,47,47.5,20725
1980-12-02,0,49,47,49,15125
1980-12-03,0,49.5,47,49.5,9900
1980-12-04,0,55,50.5,53.5,26625
1980-12-05,0,54.5,50,50,15750
1980-12-08,0,49.5,47,47.5,17125
1980-12-09,0,47.5,44,45.5,16050
1980-12-10,0,46.5,40.5,41,9950
1980-12-11,0,42.5,39.5,42,30425
1980-12-12,0,46,43,46,17625
1980-12-15,0,47,43,44.5,7800
1980-12-16,0,45.5,43.5,45.5,6025
1980-12-17,0,45.5,44,44.5,4625
1980-12-18,0,47.5,43.5,43.5,8925
1980-12-19,0,45.5,43.5,44.5,7150
1980-12-22,0,47.5,46,47,12175
1980-12-23,0,47,44.5,45.5,10125
1980-12-24,0,49.5,44.5,48.5,9775
1980-12-26,0,49.5,47.5,49.5,3000
1980-12-29,0,49.5,47,47,6650
1980-12-30,0,47,45,46,6450
1980-12-31,0,48,45,48,7675
1981-01-02,0,48,46.5,46.5,2725
1981-01-05,0,49.5,47.5,47.5,9900
1981-01-06,0,50,47,48.5,14725
1981-01-07,0,44.5,42,43.5,38150
1981-01-08,0,45,42,42,9600
1981-01-09,0,43.5,42,43.5,6675
1981-01-12,0,44.5,43,43,6175
1981-01-13,0,46,43,46,10550
1981-01-14,0,46,43.5,43.5,8675
