date,open,high,low,close,volume
2020-10-01,10,10.05,6.55,7.5,89500
2020-10-02,7.4,7.4,5.6,5.6,21200
2020-10-05,6.16,8,6.16,6.35,25500
2020-10-06,6.09,6.836,6.09,6.55,7300
2020-10-07,6.65,7.01,6.399,6.399,2800
2020-10-08,6.84,7.1,6.55,7.07,9400
2020-10-09,6.76,7.1,6.76,7.07,6100
2020-10-12,7.21,7.99,7.11,7.58,18900
2020-10-13,7.6,7.79,7.59,7.77,2200
2020-10-14,7.9,7.9,7.39,7.75,6700
2020-10-15,7.99,7.99,7.61,7.81,5300
2020-10-16,7.54,8.2,6.88,7.9,3500
2020-10-19,8.05,8.2,7.725,8.2,2500
2020-10-20,7.764,8.14,7.764,8.14,800
2020-10-21,8.18,8.45,8.036,8.45,6900
2020-10-22,8.49,8.99,7.74,8.6,7300
2020-10-23,8.66,8.95,8.4,8.8,8000
2020-10-26,8.58,9.3,8.58,9.15,9900
2020-10-27,9.1,9.1,8.73,9,4200
2020-10-28,8.98,9.318,8.7,8.7,4100
2020-10-29,8.8,9.15,8.5,8.55,3800
2020-10-30,8.53,8.53,8.53,8.53,300
2020-11-02,8.6,9.05,8.35,9,9900
2020-11-03,8.8,8.98,8.01,8.8,3800
2020-11-04,8.33,8.952,8.33,8.952,6400
2020-11-05,8.95,9.122,8.5,8.8,13000
2020-11-06,9.5,9.5,8.55,8.99,10400
2020-11-09,8.531,8.85,8.31,8.85,7800
2020-11-10,8.7,8.78,8.31,8.77,10400
2020-11-11,9.1,9.1,9.05,9.05,600
2020-11-12,8.85,9.02,8.65,8.68,2700
2020-11-13,8.935,9.2,8.78,9.2,3500
2020-11-16,8.9,9.23,8.9,9.23,2200
2020-11-17,9.1,9.3,9.05,9.295,5300
2020-11-18,9.2,9.245,9.2,9.245,400
2020-11-19,9.12,9.25,8.561,9.2,5000
2020-11-20,9.15,9.45,8.886,9.417,2800
2020-11-23,9.25,9.464,9.2,9.25,3300
2020-11-24,9.2,9.3,9.2,9.26,2300
2020-11-25,9.24,9.28,9.24,9.24,2000
2020-11-27,9.32,9.425,9.25,9.26,2100
2020-11-30,9.41,9.74,9.41,9.64,6100
2020-12-01,9.57,9.57,8.79,9.4,4200
2020-12-02,9.11,9.388,8.97,9.25,6900
2020-12-03,9.3,9.5,9.03,9.4,8500
2020-12-04,9.25,9.42,9.01,9.42,2000
2020-12-07,9.23,9.4,9.23,9.4,2500
2020-12-08,9.3,9.3,9.23,9.23,2200
2020-12-09,9.25,9.35,9.23,9.23,2300
2020-12-10,9.26,9.316,9.2,9.3,1900
2020-12-11,9.19,9.35,9.02,9.19,3800
2020-12-14,9.15,9.35,9.15,9.29,2300
2020-12-15,9.17,9.4,8.765,9.4,4100
2020-12-16,9.295,9.3,9.14,9.22,2500
2020-12-17,9.22,10.5,9.15,10.4,113000
2020-12-18,10.9,10.978,9.25,9.771,44200
2020-12-21,9.55,9.55,8.564,8.76,16700
2020-12-22,8.9,9.13,8.68,9.115,6100
2020-12-23,9.07,9.1,8.6,8.6,6900
2020-12-24,8.576,8.725,8.35,8.46,3800
2020-12-28,8.57,8.99,8.57,8.99,2800
2020-12-29,8.55,8.55,8.51,8.51,900
2020-12-30,8.781,8.781,8,8.48,3500
2020-12-31,8.72,8.79,8.43,8.43,2000
2021-01-04,8.46,8.46,8.2,8.43,1300
2021-01-05,8.45,8.7,8.29,8.38,2800
2021-01-06,8.31,8.46,8.31,8.32,3000
2021-01-07,8.49,8.687,8.4,8.47,4000
2021-01-08,8.46,8.75,8.4,8.75,2300
2021-01-11,9,9.2,8.5,9.2,4300
2021-01-12,8.45,8.72,8.45,8.5,3800
2021-01-13,8.45,8.67,8.45,8.65,2500
2021-01-14,8.5,8.56,8.45,8.45,2900
2021-01-15,8.76,9.1,8.65,8.8,6000
2021-01-19,8.58,8.61,8.35,8.36,2900
2021-01-20,8.57,8.59,8.45,8.55,2900
2021-01-21,8.57,8.718,8.42,8.58,2400
2021-01-22,8.57,8.57,8.55,8.57,2200
2021-01-25,8.57,8.67,8.55,8.57,2200
2021-01-26,8.48,8.501,8.41,8.45,2000
2021-01-27,8.44,8.55,8.4,8.48,2100
2021-01-28,8.42,8.99,8.42,8.99,2600
2021-01-29,8.55,8.55,8.5,8.5,2000
2021-02-01,8.55,8.55,8.55,8.55,800
2021-02-02,8.5,9,8.5,9,1300
2021-02-03,8.51,8.9,8.5,8.9,1800
2021-02-04,9,9.88,8.5,9,103500
2021-02-05,9.25,9.25,8.6,8.73,69100
2021-02-08,8.5,8.6,8,8.2,16400
2021-02-09,8.3,8.3,7.965,8.24,11200
2021-02-10,8.01,8.24,8.01,8.24,7500
2021-02-11,8.1,8.2,8.1,8.2,1000
2021-02-12,8.27,8.52,8.22,8.5,3600
2021-02-16,8.96,8.96,8.135,8.48,3000
2021-02-17,8.5,8.575,8.33,8.565,1600
2021-02-18,8.3,8.435,7.672,8.12,7300
2021-02-19,8.1,8.45,8.1,8.36,3700
2021-02-22,8.308,8.308,7.9,8.076,3200
2021-02-23,8.01,8.074,8.01,8.074,400
2021-02-24,8.315,8.63,8.1,8.62,7400
2021-02-25,8.932,8.932,8,8.81,13300
2021-02-26,8.823,9,8.2,9,4900
2021-03-01,8.797,8.797,8.75,8.75,400
2021-03-02,8.84,8.897,8.84,8.87,600
2021-03-03,8.78,9,8.78,8.9,2300
2021-03-04,8.9,8.9,8.6,8.899,1500
2021-03-05,8.72,8.8,8.72,8.8,600
2021-03-08,8.61,9,8.442,9,1300
2021-03-09,8.996,9,8.91,8.91,600
2021-03-10,8.55,8.99,8.31,8.99,1400
2021-03-11,8.918,8.99,8.918,8.98,1200
2021-03-12,8.408,8.976,8.408,8.85,1200
2021-03-15,8.85,9.046,8.85,9.01,1700
2021-03-16,8.72,8.9,8.72,8.85,600
2021-03-17,9,9,9,9,500
2021-03-18,8.6,8.6,8.37,8.37,600
2021-03-19,8.96,8.96,8.96,8.96,400
2021-03-22,8.96,8.96,8.9,8.9,500
2021-03-23,9,9.037,8.79,8.79,2700
2021-03-24,8.886,8.886,8.886,8.886,100
2021-03-25,8.55,8.55,8.5,8.5,1600
2021-03-26,9.142,11,7.45,7.95,157600
2021-03-29,8.45,8.47,7.72,7.77,4500
2021-03-30,7.19,8.2,7.19,8.2,2500
2021-03-31,7.28,8.35,7.28,8.3,3500
2021-04-01,8.35,8.35,7.602,7.602,6500
