date,open,high,low,close,volume
2020-09-18,16.25,17,13.56,16,1662800
2020-09-21,15.5,15.5,14.27,14.96,213400
2020-09-22,15.41,15.41,14,14.48,308600
2020-09-23,14.33,14.61,13.87,14.03,191800
2020-09-24,14,14.215,13.74,14.2,207800
2020-09-25,13.86,14.46,12.84,13.755,170700
2020-09-28,14,14.25,13.28,13.73,167100
2020-09-29,13.66,13.69,12.85,13.04,201800
2020-09-30,13.29,13.87,12.86,12.98,354600
2020-10-01,13.01,13.902,11.84,13.36,293200
2020-10-02,13.07,13.67,12.6,13.24,58700
2020-10-05,13.07,13.99,12.75,13.57,83300
2020-10-06,13.48,13.91,13.2,13.31,30800
2020-10-07,13.32,13.6,13.16,13.24,33700
2020-10-08,13.29,13.6,13.04,13.26,44600
2020-10-09,13.21,14,12.81,13.72,185300
2020-10-12,13.77,13.94,13.195,13.61,32000
2020-10-13,14,14.22,13.5,13.66,206400
2020-10-14,13.57,14.381,13.57,14,104100
2020-10-15,14.28,14.74,13.885,14.38,150800
2020-10-16,14.74,14.859,13.51,14.21,95800
2020-10-19,14,14.035,13.49,13.5,38300
2020-10-20,13.49,14.16,12.8,13.82,74200
2020-10-21,13.6,13.85,13.22,13.5,43000
2020-10-22,13.42,13.42,12,12.63,142900
2020-10-23,12.46,12.6,12.09,12.36,26900
2020-10-26,12.32,12.605,12.135,12.29,12100
2020-10-27,12.43,12.45,12.2,12.25,7200
2020-10-28,12.01,12.5,11.8,11.81,21400
2020-10-29,11.9,12.36,11.5,11.77,28900
2020-10-30,11.67,11.917,11.32,11.45,9000
2020-11-02,11.65,12.19,11.65,11.75,2700
2020-11-03,11.71,12.5,11.71,12.41,3900
2020-11-04,12.205,14.12,12.178,14.08,35000
2020-11-05,14.25,14.27,13.125,14.24,56800
2020-11-06,14.03,14.211,13.17,14.19,7300
2020-11-09,14.37,14.5,12.5,14.5,32700
2020-11-10,14.7,14.7,13.75,13.88,6000
2020-11-11,14.4,14.86,13.39,14.2,48000
2020-11-12,13.95,14.69,13.9,14.6,36600
2020-11-13,14.45,14.88,13.99,14.45,30100
2020-11-16,14.25,14.95,12.83,14.4,149500
2020-11-17,14.2,14.85,13.94,14,14700
2020-11-18,14.09,14.65,13.93,14.02,23600
2020-11-19,14.01,14.525,13.63,13.9,21800
2020-11-20,14.1,14.98,13.88,13.9,57800
2020-11-23,14.01,14.89,14.01,14.23,49800
2020-11-24,14.23,14.49,13.89,14.15,42800
2020-11-25,14.01,14.49,12.56,14.17,76300
2020-11-27,13.47,14.2,13.47,14.1,11100
2020-11-30,13.81,14,13.81,13.96,5400
2020-12-01,13.87,14.58,13.669,14.3,19100
2020-12-02,14.42,14.75,14.085,14.54,12000
2020-12-03,14.3,14.41,14.22,14.41,101100
2020-12-04,14.45,14.72,14.18,14.64,24800
2020-12-07,14.7,14.75,14.36,14.39,49200
2020-12-08,14.43,14.57,14.3,14.55,5200
2020-12-09,14.593,14.593,14.289,14.35,5600
2020-12-10,14.27,14.44,14.25,14.3,12200
2020-12-11,14.35,14.35,14.341,14.341,400
2020-12-14,14.24,14.24,13.79,14.17,4200
2020-12-15,13.08,14.4,12.89,14.4,15100
2020-12-16,14.39,15.45,13.9,15.4,70500
2020-12-17,15.23,15.36,13.97,14.71,23600
2020-12-18,14.5,15.06,14.26,14.73,32900
2020-12-21,14.4,14.536,14.18,14.18,7300
2020-12-22,14.45,14.7,14.09,14.4,43100
2020-12-23,14.36,14.93,14.15,14.4,29000
2020-12-24,14.31,14.83,13.51,13.62,75100
2020-12-28,14.03,14.1,13.19,13.69,136600
2020-12-29,13.74,13.99,13.54,13.7,12500
2020-12-30,13.92,14.21,13.5,14.03,49300
2020-12-31,14,14.75,13.7,14.75,23900
2021-01-04,14.64,14.64,13.656,14.34,16700
2021-01-05,14.38,14.96,14.06,14.9,4600
2021-01-06,13.515,15.65,13.515,14.75,32800
2021-01-07,14.46,15.42,14.2,15.42,26800
2021-01-08,15.46,15.75,15.25,15.64,33100
2021-01-11,15.51,15.51,13.995,15.17,7100
2021-01-12,15.17,15.4,13.65,14.23,6300
2021-01-13,14.85,15.48,14.23,15.46,19300
2021-01-14,15.99,15.99,14.9,15.61,35600
2021-01-15,15.18,15.57,14.77,15.57,5000
2021-01-19,15.16,15.29,14.76,15.01,11400
2021-01-20,14.94,15,13.44,15,7000
2021-01-21,14.85,15.772,14.025,15.6,25700
2021-01-22,15.26,15.7,14.805,15.24,13700
2021-01-25,15,15.54,14.038,15.54,8400
2021-01-26,15.2,15.51,14.62,15.2,18600
2021-01-27,15.16,15.669,14.3,15.05,9700
2021-01-28,14.86,15.64,14.41,15.64,11200
2021-01-29,15.008,15.405,14.79,15.1,82600
2021-02-01,15.55,15.6,14.25,15.49,9100
2021-02-02,15,16.43,15,15.52,23200
2021-02-03,15.84,16.030001,15.294,16.030001,7800
2021-02-04,15.435,16.1,15.22,16,13500
2021-02-05,16,16,15.43,15.7,10300
2021-02-08,16.190001,16.25,14.94,16.1,47300
2021-02-09,15.81,15.89,15.23,15.76,47700
2021-02-10,15.17,16.059999,15.02,15.55,45100
2021-02-11,15.3,15.39,15.09,15.35,3400
2021-02-12,15.17,16.1,14.7,16.049999,32300
2021-02-16,15.82,15.82,15.61,15.62,4200
2021-02-17,15.26,15.65,14.48,14.48,6300
2021-02-18,14.35,15.195,14.35,14.6,11900
2021-02-19,15.1,15.17,14.48,15.17,13500
2021-02-22,16,16,14.43,14.62,20700
2021-02-23,14.67,15.24,13,13,12600
2021-02-24,13.71,14.13,13.66,14,29700
2021-02-25,14.52,15.48,14.02,14.38,10300
2021-02-26,14.194,15.98,13.23,15.19,40400
2021-03-01,15.65,15.66,13.77,13.81,45100
2021-03-02,13.92,14.2,13.5,14.2,14100
2021-03-03,14,15.21,13.73,14.35,9700
2021-03-04,13.504,14.4,13.504,14.4,2000
2021-03-05,14.27,14.71,13.325,14.2,9700
2021-03-08,14.61,14.61,13.18,13.49,23300
2021-03-09,14,14,13.3,13.36,3000
2021-03-10,13.81,14,13.5,14,6800
2021-03-11,13.89,14.98,13.77,14.75,18000
2021-03-12,14.73,14.73,14.3,14.5,9000
2021-03-15,14.16,14.78,13.11,14.5,32500
2021-03-16,14.53,14.53,13.95,14.4,25000
2021-03-17,14.16,14.7,14.1,14.7,1900
2021-03-18,14.5,14.5,14.46,14.5,2900
2021-03-19,14.5,14.87,14.3,14.5,31700
2021-03-22,14.1,15.075,14.1,14.9,4000
2021-03-23,14.8,14.9,14.58,14.66,11100
2021-03-24,14.8,14.8,14.31,14.57,26400
2021-03-25,14.31,14.75,13.64,14.48,27900
2021-03-26,14.16,14.5,13.78,14.19,13400
2021-03-29,14.11,14.49,14.098,14.49,27300
2021-03-30,14.11,14.65,14.1,14.65,4200
2021-03-31,14.15,14.85,14.144,14.85,13900
2021-04-01,14.3,14.9,14.1,14.38,27100
2021-04-05,14.3,14.7,14.28,14.64,6300
2021-04-06,14.7,14.7,14.26,14.6,23100
2021-04-07,14.37,14.46,14.05,14.05,5800
2021-04-08,14.085,14.5,13.14,13.97,38300
2021-04-09,13.59,14.08,13.3,13.41,18500
2021-04-12,13.55,13.55,12.98,13.37,10400
2021-04-13,13.17,13.813,12.9,12.94,277200
2021-04-14,12.94,13.52,12.88,13.33,18700
2021-04-15,13.15,13.89,13.15,13.54,10300
2021-04-16,13.54,13.58,12.37,12.7,93600
2021-04-19,12.781,13.49,12.5,13.32,22300
2021-04-20,13.35,13.48,12.74,12.95,17900
2021-04-21,12.9,13.22,12.38,12.66,14400
2021-04-22,12.53,13.205,12.47,12.47,12200
2021-04-23,12.77,12.91,12.38,12.71,11400
2021-04-26,13.29,13.29,12.18,12.19,9500
2021-04-27,12.5,13,12.4,12.8,21700
2021-04-28,12.38,13.557,12.1,12.1,12200
2021-04-29,12,12.334,11.8,11.8,7800
2021-04-30,11.67,12.6,10.61,11.4,140300
2021-05-03,11.4,12.405,11.38,11.64,14800
2021-05-04,12.235,12.235,11.75,11.75,3100
2021-05-05,11.8,12.479,11.425,11.75,174700
2021-05-06,12.04,12.27,11.715,11.83,112900
2021-05-07,11.99,12.26,11.81,12.2,82600
2021-05-10,12.4,12.744,11.95,12.29,7400
2021-05-11,12,12.38,12,12.2,7600
2021-05-12,13,13,11.78,12,19300
2021-05-13,12,12.99,12,12.5,25600
2021-05-14,12.055,14.9,11.95,14.8,57100
