date,open,high,low,close,volume
1992-07-16,2.666667,2.814815,2.666667,2.777778,904500
1992-07-17,2.777778,2.814815,2.703704,2.703704,495450
1992-07-20,2.703704,2.814815,2.703704,2.740741,260213
1992-07-21,2.814815,2.962963,2.740741,2.962963,288225
1992-07-22,2.962963,3.037037,2.888889,3.037037,329063
1992-07-23,3.037037,3.111111,2.962963,3.037037,292950
1992-07-24,3,3.259259,3,3.185185,506250
1992-07-27,3.037037,3.185185,3.037037,3.037037,93825
1992-07-28,3.185185,3.185185,3.037037,3.148148,55350
1992-07-29,3.185185,3.185185,3.037037,3.074074,160650
1992-07-30,3.148148,3.185185,3.037037,3.185185,73913
1992-07-31,3.037037,3.185185,3.037037,3.148148,97875
1992-08-03,3.185185,3.185185,3.037037,3.185185,13500
1992-08-04,3.074074,3.333333,3.074074,3.185185,237600
1992-08-05,3.185185,3.407407,3.185185,3.407407,141075
1992-08-06,3.259259,3.407407,3.259259,3.37037,38475
1992-08-07,3.407407,3.481481,3.333333,3.481481,44550
1992-08-10,3.481481,3.481481,3.407407,3.407407,67500
1992-08-11,3.481481,3.481481,3.333333,3.407407,124875
1992-08-12,3.407407,3.407407,3.259259,3.37037,110363
1992-08-13,3.296296,3.407407,3.259259,3.333333,300713
1992-08-14,3.333333,3.333333,3.185185,3.333333,142425
1992-08-17,3.333333,3.333333,3.185185,3.333333,147825
1992-08-18,3.333333,3.333333,3.185185,3.333333,8775
1992-08-19,3.333333,3.333333,3.259259,3.259259,27675
1992-08-20,3.259259,3.333333,3.259259,3.333333,39150
1992-08-21,3.333333,3.407407,3.259259,3.259259,68175
1992-08-24,3.259259,3.37037,3.259259,3.259259,97200
1992-08-25,3.296296,3.407407,3.296296,3.407407,146138
1992-08-26,3.407407,3.481481,3.37037,3.444444,468450
1992-08-27,3.481481,3.481481,3.407407,3.444444,93150
1992-08-28,3.481481,3.62963,3.481481,3.62963,171788
1992-08-31,3.62963,3.925926,3.62963,3.777778,612225
1992-09-01,3.851852,3.851852,3.62963,3.740741,511988
1992-09-02,3.777778,3.777778,3.481481,3.555556,365513
1992-09-03,3.62963,3.62963,3.481481,3.62963,54000
1992-09-04,3.62963,3.666667,3.555556,3.555556,38813
1992-09-08,3.666667,3.740741,3.555556,3.62963,186638
1992-09-09,3.703704,3.703704,3.555556,3.555556,20925
1992-09-10,3.555556,3.666667,3.555556,3.62963,32738
1992-09-11,3.666667,3.703704,3.555556,3.703704,29363
1992-09-14,3.555556,3.703704,3.259259,3.333333,257513
1992-09-15,3.333333,3.333333,3.037037,3.259259,351675
1992-09-16,3.111111,3.259259,3.111111,3.185185,109350
1992-09-17,3.259259,3.259259,3.111111,3.259259,20250
1992-09-18,3.111111,3.111111,3.111111,3.111111,1688
1992-09-21,3.259259,3.407407,3.111111,3.333333,101588
1992-09-22,3.333333,3.333333,3.185185,3.259259,124875
1992-09-23,3.333333,3.333333,3.185185,3.185185,15525
1992-09-24,3.185185,3.333333,3.185185,3.185185,19913
1992-09-25,3.222222,3.333333,3.185185,3.222222,455963
1992-09-28,3.333333,3.333333,3.074074,3.074074,153900
1992-09-29,3.037037,3.185185,3.037037,3.074074,20588
1992-09-30,2.962963,3.185185,2.962963,3.074074,21263
1992-10-01,3.037037,3.074074,2.518519,2.518519,577463
1992-10-02,2.666667,2.740741,2.518519,2.592593,341213
1992-10-05,2.592593,2.592593,2.444444,2.518519,100575
1992-10-06,2.592593,2.740741,2.444444,2.666667,402300
1992-10-07,2.740741,2.740741,2.666667,2.703704,27000
1992-10-08,2.740741,2.740741,2.740741,2.740741,15188
1992-10-09,2.592593,2.666667,2.592593,2.666667,8775
1992-10-12,2.592593,2.740741,2.592593,2.592593,17888
1992-10-13,2.592593,2.740741,2.592593,2.740741,5400
1992-10-14,2.740741,2.740741,2.592593,2.592593,18225
1992-10-15,2.592593,2.740741,2.592593,2.666667,254813
1992-10-16,2.592593,2.666667,2.592593,2.592593,17888
1992-10-19,2.740741,2.740741,2.740741,2.740741,1688
1992-10-20,2.666667,2.666667,2.518519,2.666667,69525
1992-10-21,2.518519,2.518519,2.518519,2.518519,21938
1992-10-22,2.592593,2.592593,2.407407,2.481481,366863
1992-10-23,2.518519,2.592593,2.444444,2.592593,109013
1992-10-26,2.666667,2.666667,2.518519,2.592593,44213
1992-10-27,2.666667,2.814815,2.666667,2.814815,41175
1992-10-28,2.814815,2.814815,2.814815,2.814815,3038
1992-10-29,2.814815,2.814815,2.666667,2.666667,250763
1992-10-30,2.666667,2.703704,2.666667,2.703704,21263
1992-11-02,2.666667,2.814815,2.666667,2.740741,32063
1992-11-03,2.703704,2.740741,2.666667,2.703704,158625
1992-11-04,2.703704,2.703704,2.703704,2.703704,0
1992-11-05,2.666667,2.814815,2.666667,2.666667,38813
1992-11-06,2.666667,2.666667,2.666667,2.666667,0
1992-11-09,2.703704,2.740741,2.703704,2.740741,34088
1992-11-10,2.666667,2.740741,2.592593,2.592593,30713
1992-11-11,2.666667,2.666667,2.592593,2.592593,13163
1992-11-12,2.592593,2.666667,2.592593,2.592593,3375
1992-11-13,2.740741,2.740741,2.592593,2.666667,19575
1992-11-16,2.592593,2.740741,2.592593,2.740741,27000
1992-11-17,2.740741,2.740741,2.62963,2.666667,216338
1992-11-18,2.740741,2.740741,2.592593,2.592593,6413
1992-11-19,2.740741,2.740741,2.592593,2.703704,15188
1992-11-20,2.666667,2.740741,2.666667,2.740741,30038
1992-11-23,2.740741,2.740741,2.740741,2.740741,338
1992-11-24,2.592593,2.666667,2.592593,2.666667,38813
1992-11-25,2.740741,2.740741,2.592593,2.62963,46238
1992-11-27,2.740741,2.740741,2.740741,2.740741,338
1992-11-30,2.62963,2.666667,2.62963,2.666667,7425
1992-12-01,2.62963,2.814815,2.62963,2.740741,163013
1992-12-02,2.777778,2.888889,2.740741,2.888889,111375
1992-12-03,2.888889,2.962963,2.851852,2.851852,50963
1992-12-04,2.888889,2.962963,2.814815,2.962963,101250
1992-12-07,3.185185,3.296296,3.111111,3.111111,126225
1992-12-08,3.259259,3.259259,3.037037,3.111111,145463
1992-12-09,3.185185,3.185185,3.111111,3.111111,14513
1992-12-10,3.111111,3.111111,3.037037,3.037037,6075
1992-12-11,3.111111,3.185185,3.111111,3.111111,71550
1992-12-14,3.037037,3.037037,3.037037,3.037037,3038
1992-12-15,3.111111,3.111111,3.074074,3.074074,2363
1992-12-16,3.037037,3.037037,3.037037,3.037037,10125
1992-12-17,3.037037,3.111111,3.037037,3.111111,31050
1992-12-18,3.185185,3.185185,3.037037,3.037037,27675
1992-12-21,3.037037,3.037037,3.037037,3.037037,8775
1992-12-22,2.962963,2.962963,2.962963,2.962963,10125
1992-12-23,3.111111,3.111111,3.111111,3.111111,675
1992-12-24,3.111111,3.111111,3.111111,3.111111,675
1992-12-28,2.962963,3.111111,2.962963,3.037037,17213
1992-12-29,3.037037,3.037037,2.962963,2.962963,11475
1992-12-30,2.962963,3.037037,2.888889,2.962963,32738
1992-12-31,2.888889,3.037037,2.888889,3.037037,464400
1993-01-04,3.111111,3.111111,2.962963,3.111111,81338
1993-01-05,3.111111,3.185185,3.037037,3.185185,126225
1993-01-06,3.185185,3.259259,3.111111,3.259259,106650
1993-01-07,3.407407,3.481481,3.259259,3.481481,94500
1993-01-08,3.37037,3.407407,3.333333,3.407407,63788
1993-01-11,3.333333,3.481481,3.333333,3.481481,57375
1993-01-12,3.333333,3.37037,3.333333,3.333333,49275
1993-01-13,3.296296,3.407407,3.259259,3.259259,67500
1993-01-14,3.222222,3.259259,3.222222,3.259259,19913
1993-01-15,3.407407,3.407407,3.185185,3.185185,46238
1993-01-18,3.185185,3.333333,3.185185,3.185185,39488
1993-01-19,3.259259,3.37037,3.222222,3.37037,34088
1993-01-20,3.185185,3.37037,3.185185,3.185185,16538
1993-01-21,3.185185,3.185185,3.185185,3.185185,2025
1993-01-22,3.407407,3.407407,3.185185,3.259259,67163
1993-01-25,3.185185,3.185185,3.185185,3.185185,1013
1993-01-26,3.185185,3.333333,3.185185,3.222222,39825
1993-01-27,3.333333,3.333333,3.185185,3.259259,43538
1993-01-28,3.185185,3.185185,3.185185,3.185185,3375
1993-01-29,3.185185,3.185185,3.148148,3.185185,19238
1993-02-01,3.111111,3.259259,3.111111,3.111111,35100
1993-02-02,3.259259,3.259259,3.111111,3.111111,92475
1993-02-03,3.111111,3.259259,3.111111,3.259259,83700
1993-02-04,3.222222,3.407407,3.222222,3.333333,57375
