mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.36799943007027164,10,0.01259200646129305,Preprocessor1_Model01
3,1,rmse,standard,0.5145190766715935,10,0.018326620414624455,Preprocessor1_Model01
3,1,rsq,standard,0.7206555833552438,10,0.02091722905968259,Preprocessor1_Model01
5,1,mae,standard,0.3551982149702341,10,0.01345816550743224,Preprocessor1_Model02
5,1,rmse,standard,0.4995692869616365,10,0.02093082575019138,Preprocessor1_Model02
5,1,rsq,standard,0.7344060267224972,10,0.023607403049660743,Preprocessor1_Model02
7,1,mae,standard,0.3514909725464779,10,0.013862828147201453,Preprocessor1_Model03
7,1,rmse,standard,0.49362737090357084,10,0.021167348601618508,Preprocessor1_Model03
7,1,rsq,standard,0.7389280608947203,10,0.023741968890074374,Preprocessor1_Model03
10,1,mae,standard,0.3561508895168423,10,0.014015696374654173,Preprocessor1_Model04
10,1,rmse,standard,0.4980592251598255,10,0.02145788346758607,Preprocessor1_Model04
10,1,rsq,standard,0.7328131618319788,10,0.024215920640563042,Preprocessor1_Model04
3,3,mae,standard,0.369091527247471,10,0.014137305578993682,Preprocessor1_Model05
3,3,rmse,standard,0.5148137280605068,10,0.020654510842531316,Preprocessor1_Model05
3,3,rsq,standard,0.7214343650043012,10,0.02247391734000735,Preprocessor1_Model05
5,3,mae,standard,0.3554151368861876,10,0.01317467053576424,Preprocessor1_Model06
5,3,rmse,standard,0.5000754181446573,10,0.020040809500299277,Preprocessor1_Model06
5,3,rsq,standard,0.7334398492538639,10,0.023406942007135383,Preprocessor1_Model06
7,3,mae,standard,0.3552358421423053,10,0.014198604504010955,Preprocessor1_Model07
7,3,rmse,standard,0.49659017408532663,10,0.021883876408784288,Preprocessor1_Model07
7,3,rsq,standard,0.7360985849011388,10,0.024369836698869163,Preprocessor1_Model07
10,3,mae,standard,0.3554985909551475,10,0.013799796181516747,Preprocessor1_Model08
10,3,rmse,standard,0.49879497948152907,10,0.02119819120761832,Preprocessor1_Model08
10,3,rsq,standard,0.7321863788532573,10,0.023796732525253026,Preprocessor1_Model08
3,5,mae,standard,0.3744634884230421,10,0.013995746217766896,Preprocessor1_Model09
3,5,rmse,standard,0.5236010048462604,10,0.019848302299038226,Preprocessor1_Model09
3,5,rsq,standard,0.7114079652399724,10,0.019720024079602726,Preprocessor1_Model09
5,5,mae,standard,0.3604977171957045,10,0.013469439681112213,Preprocessor1_Model10
5,5,rmse,standard,0.504499591851868,10,0.020505770081667988,Preprocessor1_Model10
5,5,rsq,standard,0.7290116592751741,10,0.023615709116868423,Preprocessor1_Model10
7,5,mae,standard,0.35926768327006836,10,0.013336468649765067,Preprocessor1_Model11
7,5,rmse,standard,0.5014284988327203,10,0.02064626870798604,Preprocessor1_Model11
7,5,rsq,standard,0.730837223092649,10,0.02386500615217831,Preprocessor1_Model11
10,5,mae,standard,0.35923130437908496,10,0.01457630956010384,Preprocessor1_Model12
10,5,rmse,standard,0.5010287459642975,10,0.02223278350430875,Preprocessor1_Model12
10,5,rsq,standard,0.7296975732796559,10,0.024760889251479973,Preprocessor1_Model12
3,7,mae,standard,0.379019600594773,10,0.014295301761644154,Preprocessor1_Model13
3,7,rmse,standard,0.52814907525748,10,0.01911409665159309,Preprocessor1_Model13
3,7,rsq,standard,0.7067556692113125,10,0.01908804797217117,Preprocessor1_Model13
5,7,mae,standard,0.36249035023465076,10,0.014147724048852653,Preprocessor1_Model14
5,7,rmse,standard,0.5069284861196258,10,0.020291360955902258,Preprocessor1_Model14
5,7,rsq,standard,0.7278754642951766,10,0.02238164175211318,Preprocessor1_Model14
7,7,mae,standard,0.3604966886927327,10,0.014594390772481482,Preprocessor1_Model15
7,7,rmse,standard,0.5051360338607942,10,0.02252412232114948,Preprocessor1_Model15
7,7,rsq,standard,0.7257479489066152,10,0.02621454169164384,Preprocessor1_Model15
10,7,mae,standard,0.3585806419068143,10,0.013888968347821863,Preprocessor1_Model16
10,7,rmse,standard,0.5012256526445743,10,0.021539575148039093,Preprocessor1_Model16
10,7,rsq,standard,0.7304374998714549,10,0.024205187754288576,Preprocessor1_Model16
