date,open,high,low,close,volume
1985-03-12,0,2.607407,2.587654,2.587654,4779000
1985-03-13,0,2.469136,2.449383,2.449383,998578
1985-03-14,0,2.567901,2.528395,2.528395,684070
1985-03-15,0,2.725926,2.68642,2.68642,484102
1985-03-18,0,2.587654,2.548148,2.548148,361969
1985-03-19,0,2.666667,2.607407,2.607407,615727
1985-03-20,0,2.587654,2.567901,2.567901,337289
1985-03-21,0,2.567901,2.528395,2.528395,210727
1985-03-22,0,2.548148,2.528395,2.528395,252492
1985-03-25,0,2.508642,2.469136,2.469136,283500
1985-03-26,0,2.508642,2.488889,2.488889,123398
1985-03-27,0,2.587654,2.548148,2.548148,286664
1985-03-28,0,2.587654,2.567901,2.567901,211359
1985-03-29,0,2.62716,2.587654,2.587654,86063
1985-04-01,0,2.666667,2.646914,2.646914,115805
1985-04-02,0,2.68642,2.666667,2.666667,206297
1985-04-03,0,2.62716,2.607407,2.607407,175922
1985-04-04,0,2.607407,2.587654,2.587654,77836
1985-04-08,2.587654,2.587654,2.587654,2.587654,0
1985-04-09,0,2.508642,2.488889,2.488889,121500
1985-04-10,0,2.587654,2.548148,2.548148,200602
1985-04-11,0,2.646914,2.62716,2.62716,162000
1985-04-12,0,2.666667,2.62716,2.62716,168961
1985-04-15,0,2.725926,2.666667,2.666667,155672
1985-04-16,0,2.864198,2.824691,2.824691,265148
1985-04-17,0,2.903704,2.883951,2.883951,213258
1985-04-18,0,2.962963,2.94321,2.94321,161367
1985-04-19,0,3.022222,2.982716,2.982716,236672
1985-04-22,0,3.022222,2.982716,2.982716,68344
1985-04-23,0,3.140741,3.120988,3.120988,199969
1985-04-24,0,3.101235,3.061728,3.061728,167695
1985-04-25,0,3.081481,3.061728,3.061728,151875
1985-04-26,0,3.002469,2.962963,2.962963,842906
1985-04-29,0,2.923457,2.883951,2.883951,149344
1985-04-30,0,2.864198,2.844444,2.844444,284766
1985-05-01,0,2.844444,2.804938,2.804938,113906
1985-05-02,0,2.824691,2.785185,2.785185,48727
1985-05-03,0,2.824691,2.785185,2.785185,47461
1985-05-06,0,2.844444,2.824691,2.824691,258820
1985-05-07,0,2.765432,2.725926,2.725926,163898
1985-05-08,0,2.785185,2.745679,2.745679,96188
1985-05-09,0,2.804938,2.765432,2.765432,95555
1985-05-10,0,2.883951,2.864198,2.864198,233508
1985-05-13,0,2.883951,2.864198,2.864198,70242
1985-05-14,0,2.903704,2.864198,2.864198,41133
1985-05-15,0,3.002469,2.962963,2.962963,224648
1985-05-16,0,3.081481,3.061728,3.061728,148711
1985-05-17,0,3.101235,3.081481,3.081481,141117
1985-05-20,0,3.120988,3.101235,3.101235,208828
1985-05-21,0,3.120988,3.101235,3.101235,75305
1985-05-22,0,3.101235,3.041975,3.041975,124664
1985-05-23,0,3.041975,3.002469,3.022222,80367
1985-05-24,0,3.041975,3.002469,3.002469,10758
1985-05-28,0,3.022222,2.962963,2.982716,31641
1985-05-29,0,2.982716,2.94321,2.94321,31008
1985-05-30,0,2.962963,2.94321,2.94321,56953
1985-05-31,0,2.982716,2.94321,2.94321,72141
1985-06-03,0,3.002469,2.962963,2.962963,92391
1985-06-04,0,2.982716,2.94321,2.982716,101883
1985-06-05,0,2.982716,2.962963,2.962963,37336
1985-06-06,0,2.962963,2.962963,2.962963,20250
1985-06-07,0,2.962963,2.923457,2.923457,96820
1985-06-10,0,2.94321,2.883951,2.883951,31641
1985-06-11,0,2.923457,2.844444,2.844444,37336
1985-06-12,0,2.844444,2.804938,2.804938,79102
1985-06-13,0,2.844444,2.785185,2.785185,36070
1985-06-14,0,2.824691,2.804938,2.804938,8227
1985-06-17,0,2.804938,2.785185,2.785185,23414
1985-06-18,0,2.824691,2.785185,2.785185,8859
1985-06-19,0,2.824691,2.785185,2.785185,7594
1985-06-20,0,2.824691,2.785185,2.824691,9492
1985-06-21,0,2.824691,2.785185,2.785185,18984
1985-06-24,0,2.844444,2.785185,2.804938,38602
1985-06-25,0,2.923457,2.844444,2.864198,157570
1985-06-26,0,2.903704,2.864198,2.864198,6328
1985-06-27,0,2.982716,2.903704,2.962963,74672
1985-06-28,0,2.982716,2.962963,2.982716,24047
1985-07-01,0,3.022222,2.962963,2.982716,129727
1985-07-02,0,3.061728,3.022222,3.061728,127828
1985-07-03,0,3.081481,3.022222,3.061728,129727
1985-07-05,0,3.120988,3.081481,3.101235,121500
1985-07-08,0,3.160494,3.120988,3.160494,97453
1985-07-09,0,3.2,3.160494,3.160494,160102
1985-07-10,0,3.377778,3.160494,3.318519,186047
1985-07-11,0,3.417284,3.298765,3.338272,194273
1985-07-12,0,3.377778,3.338272,3.338272,162000
1985-07-15,0,3.358025,3.279012,3.279012,58852
1985-07-16,0,3.298765,3.259259,3.279012,58852
1985-07-17,0,3.377778,3.298765,3.338272,41766
1985-07-18,0,3.496296,3.338272,3.45679,175922
1985-07-19,0,3.614815,3.476543,3.595062,424617
1985-07-22,0,3.792593,3.634568,3.753086,141750
1985-07-23,0,3.950617,3.753086,3.871605,228445
1985-07-24,0,3.871605,3.812346,3.851852,102516
1985-07-25,0,3.911111,3.832099,3.871605,36070
1985-07-26,0,3.911111,3.871605,3.871605,17719
1985-07-29,0,3.911111,3.851852,3.851852,111375
1985-07-30,0,3.871605,3.832099,3.832099,31641
1985-07-31,0,3.911111,3.832099,3.911111,39867
1985-08-01,0,4.049383,3.930864,4.009877,62648
1985-08-02,0,4.02963,3.990123,4.009877,44297
1985-08-05,0,3.990123,3.891358,3.891358,53156
1985-08-06,0,3.891358,3.792593,3.792593,107578
1985-08-07,0,3.792593,3.634568,3.654321,122133
1985-08-08,0,3.693827,3.654321,3.654321,33539
1985-08-09,0,3.693827,3.654321,3.693827,70875
1985-08-12,0,3.693827,3.634568,3.634568,24680
1985-08-13,0,3.634568,3.575309,3.575309,27844
1985-08-14,0,3.575309,3.555556,3.555556,37969
1985-08-15,0,3.575309,3.358025,3.358025,174656
1985-08-16,0,3.298765,3.219753,3.259259,155672
1985-08-19,0,3.298765,3.259259,3.259259,14555
1985-08-20,0,3.298765,3.259259,3.259259,22781
1985-08-21,0,3.377778,3.298765,3.358025,55688
1985-08-22,0,3.417284,3.318519,3.358025,54422
1985-08-23,0,3.397531,3.338272,3.397531,43031
1985-08-26,0,3.397531,3.338272,3.338272,24047
1985-08-27,0,3.358025,3.318519,3.358025,10125
1985-08-28,0,3.358025,3.298765,3.338272,28477
1985-08-29,0,3.338272,3.298765,3.298765,6961
1985-08-30,0,3.338272,3.279012,3.279012,5063
1985-09-03,0,3.407407,3.318519,3.318519,26156
1985-09-04,0,3.348148,3.348148,3.348148,5063
1985-09-05,0,3.348148,3.288889,3.348148,11813
1985-09-06,0,3.318519,3.288889,3.318519,25734
1985-09-09,0,3.318519,3.259259,3.259259,26578
1985-09-10,0,3.259259,3.140741,3.140741,22359
1985-09-11,0,3.140741,3.022222,3.022222,21938
1985-09-12,0,3.081481,2.962963,2.962963,19406
1985-09-13,0,3.022222,2.933333,3.022222,15609
1985-09-16,0,3.022222,2.933333,2.992593,17719
1985-09-17,0,2.992593,2.696296,2.755556,82688
1985-09-18,0,2.785185,2.637037,2.725926,51469
1985-09-19,0,2.814815,2.666667,2.755556,40500
1985-09-20,0,2.814815,2.696296,2.696296,203344
1985-09-23,0,2.814815,2.696296,2.814815,34594
1985-09-24,0,2.814815,2.755556,2.814815,30797
1985-09-25,0,2.844444,2.814815,2.844444,43875
1985-09-26,0,2.844444,2.785185,2.785185,17719
1985-09-30,0,2.962963,2.844444,2.933333,53156
1985-10-01,0,3.17037,2.962963,3.17037,80156
1985-10-02,0,3.17037,3.140741,3.140741,18141
1985-10-03,0,3.2,3.111111,3.140741,59484
1985-10-04,0,3.17037,3.111111,3.111111,69609
1985-10-07,0,3.140741,3.081481,3.081481,32906
1985-10-08,0,3.140741,3.081481,3.140741,11813
1985-10-09,0,3.140741,3.081481,3.081481,16031
1985-10-10,0,3.318519,3.081481,3.318519,51469
1985-10-11,0,3.318519,3.259259,3.259259,16875
1985-10-14,0,3.377778,3.318519,3.377778,3797
1985-10-15,0,3.437037,3.348148,3.377778,44719
1985-10-16,0,3.437037,3.377778,3.437037,20672
1985-10-17,0,3.496296,3.437037,3.466667,31641
1985-10-18,0,3.496296,3.437037,3.437037,39656
1985-10-21,0,3.466667,3.407407,3.407407,38391
1985-10-22,0,3.466667,3.407407,3.407407,7172
1985-10-23,0,3.407407,3.081481,3.22963,225703
1985-10-24,0,3.22963,3.17037,3.22963,6750
1985-10-25,0,3.22963,3.140741,3.2,48516
1985-10-28,0,3.2,3.022222,3.081481,76781
1985-10-29,0,3.081481,3.022222,3.081481,60328
1985-10-30,0,3.081481,3.022222,3.081481,4641
1985-10-31,0,3.081481,2.962963,3.022222,217266
1985-11-01,0,3.022222,2.903704,2.962963,301641
1985-11-04,0,2.962963,2.903704,2.962963,369563
1985-11-05,0,2.962963,2.903704,2.962963,62438
1985-11-06,0,3.081481,2.962963,3.022222,172547
1985-11-07,0,3.318519,3.051852,3.288889,320625
1985-11-08,0,3.496296,3.348148,3.496296,213469
1985-11-11,0,3.555556,3.437037,3.555556,205031
1985-11-12,0,3.555556,3.496296,3.525926,151031
1985-11-13,0,3.555556,3.496296,3.555556,87750
1985-11-14,0,3.555556,3.525926,3.525926,21938
1985-11-15,0,3.585185,3.525926,3.585185,17297
1985-11-18,0,3.614815,3.525926,3.614815,29953
1985-11-19,0,3.703704,3.585185,3.703704,54000
1985-11-20,0,3.733333,3.674074,3.733333,56109
1985-11-21,0,3.881481,3.644444,3.703704,295313
1985-11-22,0,3.733333,3.644444,3.703704,35016
1985-11-25,0,3.703704,3.496296,3.585185,129094
1985-11-26,0,3.614815,3.555556,3.614815,47672
1985-11-27,0,3.674074,3.614815,3.674074,44719
1985-11-29,0,3.674074,3.674074,3.674074,422
1985-12-02,0,3.674074,3.614815,3.674074,27000
1985-12-03,0,3.674074,3.614815,3.614815,36703
1985-12-04,0,3.674074,3.585185,3.644444,45141
1985-12-05,0,3.703704,3.585185,3.703704,163688
1985-12-06,0,3.674074,3.644444,3.644444,7594
1985-12-09,0,3.703704,3.644444,3.703704,12234
1985-12-10,0,3.733333,3.644444,3.674074,34172
1985-12-11,0,3.733333,3.644444,3.733333,60750
1985-12-12,0,3.733333,3.674074,3.674074,22359
1985-12-13,0,3.792593,3.674074,3.792593,106734
1985-12-16,0,3.792593,3.733333,3.792593,22359
1985-12-17,0,3.733333,3.496296,3.496296,124031
1985-12-18,0,3.585185,3.525926,3.525926,58219
1985-12-19,0,3.496296,3.377778,3.466667,185203
1985-12-20,0,3.496296,3.437037,3.437037,10125
1985-12-23,0,3.496296,3.437037,3.437037,13922
1985-12-24,0,3.496296,3.437037,3.437037,11813
1985-12-26,0,3.496296,3.496296,3.496296,6328
1985-12-27,0,3.644444,3.525926,3.644444,91969
1985-12-30,0,3.733333,3.614815,3.733333,43453
1985-12-31,0,3.851852,3.733333,3.733333,105047
1986-01-02,0,3.822222,3.733333,3.822222,37969
1986-01-03,0,3.881481,3.792593,3.792593,15609
1986-01-06,0,3.822222,3.674074,3.733333,52734
1986-01-07,0,3.733333,3.644444,3.674074,76359
1986-01-08,0,3.703704,3.614815,3.614815,51047
1986-01-09,0,3.674074,3.555556,3.674074,54000
1986-01-10,0,3.762963,3.674074,3.733333,87328
1986-01-13,0,3.733333,3.674074,3.674074,83109
1986-01-14,0,3.703704,3.585185,3.614815,121500
1986-01-15,0,3.614815,3.555556,3.555556,43453
1986-01-16,0,3.674074,3.614815,3.614815,48516
1986-01-17,0,3.674074,3.614815,3.614815,59906
1986-01-20,0,3.674074,3.614815,3.644444,81422
1986-01-21,0,3.674074,3.644444,3.674074,96609
1986-01-22,0,3.703704,3.674074,3.703704,75938
1986-01-23,0,3.703704,3.674074,3.674074,149766
1986-01-24,0,3.703704,3.674074,3.674074,92813
1986-01-27,0,3.703704,3.674074,3.703704,92391
1986-01-28,0,3.703704,3.644444,3.703704,375469
1986-01-29,0,3.703704,3.644444,3.674074,161156
1986-01-30,0,3.703704,3.644444,3.644444,194484
1986-01-31,0,3.703704,3.644444,3.703704,81422
1986-02-03,0,3.822222,3.703704,3.762963,37125
1986-02-04,0,3.911111,3.733333,3.881481,492328
1986-02-05,0,3.97037,3.911111,3.911111,133313
1986-02-06,0,4.02963,3.911111,3.940741,52313
1986-02-07,0,4.02963,3.940741,3.940741,41766
1986-02-10,0,4.207407,3.940741,4.177778,121500
1986-02-11,0,4.414815,4.118519,4.325926,143016
1986-02-12,0,4.355556,4.207407,4.355556,137531
1986-02-13,0,4.414815,4.296296,4.325926,266203
1986-02-14,0,4.385185,4.296296,4.296296,78891
1986-02-18,0,4.385185,4.296296,4.325926,43875
1986-02-19,0,4.355556,4.296296,4.296296,97453
1986-02-20,0,4.325926,4.237037,4.325926,120656
1986-02-21,0,4.385185,4.355556,4.385185,16875
1986-02-24,0,4.474074,4.385185,4.414815,44719
1986-02-25,0,4.474074,4.414815,4.474074,35859
1986-02-26,0,4.681481,4.414815,4.562963,350578
1986-02-27,0,4.622222,4.562963,4.622222,8438
1986-02-28,0,4.740741,4.592593,4.651852,13078
1986-03-03,0,4.711111,4.592593,4.711111,50203
1986-03-04,0,4.888889,4.651852,4.8,62859
1986-03-05,0,4.859259,4.622222,4.711111,143859
1986-03-06,0,4.711111,4.651852,4.711111,21516
1986-03-07,0,4.711111,4.651852,4.651852,17719
1986-03-10,0,4.711111,4.651852,4.651852,107578
1986-03-11,0,4.681481,4.651852,4.651852,88172
1986-03-12,0,4.711111,4.651852,4.681481,12234
1986-03-13,0,4.681481,4.651852,4.681481,73406
1986-03-14,0,4.740741,4.651852,4.681481,294469
1986-03-17,0,4.77037,4.681481,4.77037,194906
1986-03-18,0,4.859259,4.711111,4.8,32063
1986-03-19,0,4.918519,4.82963,4.918519,303328
1986-03-20,0,4.918519,4.82963,4.918519,13500
1986-03-21,0,4.948148,4.77037,4.888889,45563
1986-03-24,0,4.918519,4.681481,4.740741,64125
1986-03-25,0,4.711111,4.592593,4.622222,30375
1986-03-26,0,4.651852,4.533333,4.562963,158625
1986-03-27,0,4.651852,4.533333,4.562963,577969
1986-03-31,0,4.592593,4.503704,4.562963,387703
1986-04-01,0,4.740741,4.592593,4.711111,126563
1986-04-02,0,4.711111,4.622222,4.622222,79313
1986-04-03,0,4.651852,4.592593,4.592593,26156
1986-04-04,0,4.622222,4.592593,4.622222,118969
1986-04-07,0,4.651852,4.592593,4.592593,59906
1986-04-08,0,4.622222,4.562963,4.592593,29953
1986-04-09,0,4.622222,4.562963,4.622222,50203
1986-04-10,0,4.592593,4.503704,4.503704,27422
1986-04-11,0,4.562963,4.385185,4.385185,145125
1986-04-14,0,4.444444,4.088889,4.177778,91969
1986-04-15,0,4.207407,4.118519,4.148148,121922
1986-04-16,0,4.325926,4.148148,4.325926,179297
1986-04-17,0,4.325926,4.237037,4.266667,43453
1986-04-18,0,4.296296,4.237037,4.237037,48094
1986-04-21,0,4.325926,4.237037,4.325926,25313
1986-04-22,0,4.355556,4.266667,4.266667,49781
1986-04-23,0,4.296296,4.237037,4.296296,78891
1986-04-24,0,4.325926,4.237037,4.296296,58641
1986-04-25,0,4.325926,4.266667,4.266667,143016
1986-04-28,0,4.503704,4.325926,4.474074,84797
1986-04-29,0,4.562963,4.444444,4.533333,141750
1986-04-30,0,4.562963,4.503704,4.533333,57797
1986-05-01,0,4.592593,4.503704,4.503704,54000
1986-05-02,0,4.681481,4.562963,4.622222,128672
1986-05-05,0,4.651852,4.592593,4.592593,5484
1986-05-06,0,4.651852,4.562963,4.562963,71297
1986-05-07,0,4.592593,4.533333,4.533333,12656
1986-05-08,0,4.503704,4.444444,4.444444,55266
1986-05-09,0,4.444444,4.385185,4.385185,19828
1986-05-12,0,4.444444,4.444444,4.444444,2109
1986-05-13,0,4.444444,4.385185,4.444444,4219
1986-05-14,0,4.444444,4.385185,4.444444,5063
1986-05-15,0,4.444444,4.385185,4.385185,16875
1986-05-16,0,4.444444,4.385185,4.385185,5906
1986-05-19,0,4.444444,4.385185,4.385185,16875
1986-05-20,0,4.444444,4.385185,4.444444,90703
1986-05-21,0,4.474074,4.355556,4.355556,22781
1986-05-22,0,4.385185,4.325926,4.385185,73828
1986-05-23,0,4.385185,4.355556,4.355556,3797
1986-05-27,0,4.385185,4.385185,4.385185,38391
1986-05-28,0,5.037037,4.414815,4.977778,504141
1986-05-29,0,5.244444,4.977778,5.125926,123188
1986-05-30,0,5.422222,5.155556,5.362963,192797
1986-06-02,0,5.422222,5.303704,5.362963,218109
1986-06-03,0,5.481481,5.274074,5.422222,107578
1986-06-04,0,5.688889,5.422222,5.62963,237094
1986-06-05,0,6.103704,5.62963,5.866667,274641
1986-06-06,0,5.866667,5.777778,5.807407,183938
1986-06-09,0,5.837037,5.807407,5.807407,174234
1986-06-10,0,5.955556,5.688889,5.777778,483891
1986-06-11,0,5.777778,5.62963,5.748148,213891
1986-06-12,0,5.659259,5.6,5.659259,15188
1986-06-13,0,5.659259,5.6,5.6,224859
1986-06-16,0,5.688889,5.6,5.688889,146391
1986-06-17,0,5.748148,5.659259,5.659259,15188
1986-06-18,0,5.777778,5.659259,5.718519,116859
1986-06-19,0,5.807407,5.62963,5.688889,302906
1986-06-20,0,5.659259,5.511111,5.57037,298688
1986-06-23,0,5.62963,5.511111,5.62963,9703
1986-06-24,0,5.62963,5.540741,5.540741,8016
1986-06-25,0,5.688889,5.57037,5.6,97875
1986-06-26,0,5.659259,5.57037,5.659259,9703
1986-06-27,0,5.659259,5.57037,5.57037,844
1986-06-30,0,5.6,5.6,5.6,4219
1986-07-01,0,5.718519,5.62963,5.62963,32906
1986-07-02,0,5.718519,5.62963,5.62963,7594
1986-07-03,0,5.718519,5.62963,5.62963,2531
1986-07-07,0,5.62963,5.511111,5.540741,654328
1986-07-08,0,5.57037,5.451852,5.511111,59063
1986-07-09,0,5.511111,5.481481,5.481481,2531
1986-07-10,0,5.57037,5.481481,5.481481,6328
1986-07-11,0,5.540741,5.481481,5.540741,10547
1986-07-14,0,5.481481,5.451852,5.451852,72984
1986-07-15,0,5.511111,5.392593,5.422222,87750
1986-07-16,0,5.748148,5.422222,5.57037,195750
1986-07-17,0,5.62963,5.57037,5.62963,1688
1986-07-18,0,5.62963,5.392593,5.451852,243422
1986-07-21,0,5.392593,5.392593,5.392593,20672
1986-07-22,0,5.392593,5.392593,5.392593,26156
1986-07-23,0,5.333333,5.274074,5.274074,23203
1986-07-24,0,5.303704,5.155556,5.155556,35859
1986-07-25,0,5.096296,4.977778,5.037037,232875
1986-07-28,0,4.977778,4.918519,4.918519,21938
