ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
AMOT,2021.3,19.15,1.14,2.88,19.34,NA
AMOT,2021.2,21.34,1.27,3.21,21.55,1.28
AMOT,2021.1,22.83,1.31,3.29,21.65,1.35
AMOT,2020.4,35.91,1.33,3.48,31.5,1.44
AMOT,2020.3,27.26,1.08,2.99,19.2,1.56
AMOT,2020.2,22.26,0.92,2.71,16.51,1.68
AMOT,2020.1,13.48,0.6,1.88,11.16,1.83
AMOT,2019.4,26.65,1.23,3.88,23.22,1.57
AMOT,2019.3,20.4,0.93,2.96,32.68,1.71
AMOT,2019.2,21.5,1.04,3.25,94.96,1.79
AMOT,2019.1,19.71,0.97,3.03,0,1.92
AMOT,2018.4,26.06,1.33,4.13,133.08,1.8
AMOT,2018.3,37.7,1.67,5.08,56.6,1.21
AMOT,2018.2,38.22,1.54,4.7,26.95,1.25
AMOT,2018.1,38.18,1.37,3.92,20.68,1.26
AMOT,2017.4,37.6,1.2,3.53,15.8,1.15
AMOT,2017.3,26.63,0.95,2.73,16.43,1.23
AMOT,2017.2,30.53,1.04,3.11,16.95,1.27
AMOT,2017.1,20.86,0.75,2.46,10.08,1.39
AMOT,2016.4,23.67,0.79,2.73,21.04,1.49
AMOT,2016.3,21.13,0.72,2.35,14.89,1.45
AMOT,2016.2,21.35,0.88,3.01,15.35,1.58
AMOT,2016.1,16.06,0.69,2.38,19.8,1.67
AMOT,2015.4,21.56,1.02,3.68,15.45,1.51
AMOT,2015.3,10.54,0.66,2.53,7.46,1.64
AMOT,2015.2,13.38,0.82,3.45,16.45,1.82
AMOT,2015.1,20.39,1.19,5.41,18.34,1.93
AMOT,2014.4,15.31,0.85,3.81,13.12,1.99
AMOT,2014.3,12.24,0.53,2.37,11.27,2.21
AMOT,2014.2,18.3,0.64,2.46,11.58,2.25
AMOT,2014.1,19.75,0.63,2.06,11.89,2.4
AMOT,2013.4,27.42,0.85,2.28,13.84,2.56
AMOT,2013.3,18.62,0.69,1.52,14.25,0.47
AMOT,2013.2,13.47,0.57,1.3,12.4,0.42
AMOT,2013.1,11.04,0.57,1.36,13.66,0.41
AMOT,2012.4,10.02,0.53,1.29,27.1,0.45
AMOT,2012.3,7.67,0.51,1.33,15.77,0.45
AMOT,2012.2,6.7,0.45,1.26,9.58,0.5
AMOT,2012.1,8.46,0.53,1.55,12.89,0.47
AMOT,2011.4,6.56,0.41,1.24,6.48,0.62
AMOT,2011.3,7.63,0.38,1.13,7.59,0.65
AMOT,2011.2,8.94,0.43,1.27,8.82,0.65
AMOT,2011.1,13.46,0.6,1.73,14.85,0.67
AMOT,2010.4,14.63,0.63,1.74,8.69,0.7
AMOT,2010.3,11.61,0.4,1.12,6.34,0.5
AMOT,2010.2,17.54,0.47,1.31,6.21,0.51
AMOT,2010.1,0,0.41,1.04,4.75,0.45
AMOT,2009.4,0,0.29,0.71,9.01,0.39
AMOT,2009.3,0,0.28,0.7,22.28,0.42
AMOT,2009.2,0,0.2,0.58,10.07,0.49
AMOT,2009.1,9.23,0.14,0.31,4,0.38
AMOT,2008.4,4.79,0.16,0.37,3.3,0.43
AMOT,2008.3,11.05,0.4,0.95,5.34,0.44
AMOT,2008.2,12.03,0.44,1.05,6.77,0.44
AMOT,2008.1,11.98,0.37,0.89,6.92,0.5
AMOT,2007.4,12.79,0.37,0.89,6.89,0.52
AMOT,2007.3,15.23,0.4,0.98,13.88,0.7
AMOT,2007.2,22.45,0.58,1.44,25.16,0.73
AMOT,2007.1,18.08,0.5,1.3,19.3,0.78
AMOT,2006.4,22.96,0.53,1.42,19.95,0.78
AMOT,2006.3,NA,NA,1.05,NA,0.98
AMOT,2006.2,NA,NA,1.19,NA,1.05
AMOT,2006.1,NA,NA,0.86,NA,1.12
AMOT,2005.4,NA,NA,NA,NA,1.07
AMOT,2005.3,NA,NA,NA,NA,1.14
AMOT,2005.2,NA,NA,NA,NA,1.16
AMOT,2005.1,NA,NA,NA,NA,1.25
APH,2021.3,33.91,4.85,7.93,38.73,NA
APH,2021.2,30.34,4.34,7.1,34.65,1.52
