ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
AEY,2021.3,0,0.55,3.24,0,NA
AEY,2021.2,0,0.58,3.41,0,2.01
AEY,2021.1,0,0.61,2.82,0,1.49
AEY,2020.4,0,0.69,2.61,0,1.12
AEY,2020.3,0,0.41,1.52,0,1.18
AEY,2020.2,0,0.65,2.45,0,1.27
AEY,2020.1,0,0.37,1.68,0,1.41
AEY,2019.4,0,0.41,0.92,0,0.47
AEY,2019.3,0,0.38,0.7,0,0.25
AEY,2019.2,0,0.49,0.53,0,0.33
AEY,2019.1,0,0.61,0.44,0,0.37
AEY,2018.4,0,0.67,0.44,9.26,0.22
AEY,2018.3,0,0.53,0.42,3.9,0.29
AEY,2018.2,0,0.64,0.34,4.33,0.21
AEY,2018.1,0,0.5,0.32,5.63,0.24
AEY,2017.4,0,0.57,0.37,11.35,0.23
AEY,2017.3,0,0.54,0.34,4.94,0.32
AEY,2017.2,0,0.35,0.39,5.69,0.33
AEY,2017.1,63.5,0.45,0.46,4.7,0.32
AEY,2016.4,44.25,0.42,0.43,4.55,0.35
AEY,2016.3,87.5,0.46,0.43,5.51,0.21
AEY,2016.2,29.5,0.46,0.43,4.33,0.24
AEY,2016.1,21.11,0.47,0.46,7.37,0.22
AEY,2015.4,18.1,0.44,0.44,8.27,0.25
AEY,2015.3,16,0.52,0.55,8.46,0.26
AEY,2015.2,12.94,0.51,0.57,20.28,0.3
AEY,2015.1,18.08,0.54,0.59,92.89,0.35
AEY,2014.4,122,0.6,0.61,36.47,0.33
AEY,2014.3,0,0.65,0.59,0,0.35
AEY,2014.2,0,0.93,0.71,0,0.36
AEY,2014.1,0,1.24,0.86,160.39,0.39
AEY,2013.4,26.9,1.07,0.68,27.93,0.13
AEY,2013.3,15.31,0.86,0.63,6.3,0.1
AEY,2013.2,13.41,0.9,0.59,3.85,0.11
AEY,2013.1,11.65,0.85,0.6,3.73,0.12
AEY,2012.4,12.46,0.67,0.52,3.7,0.11
AEY,2012.3,18.33,0.76,0.59,4.51,0.11
AEY,2012.2,14.33,0.58,0.59,10.77,0.11
AEY,2012.1,15.91,0.64,0.66,6.55,0.13
AEY,2011.4,9.52,0.56,0.59,5.09,0.4
AEY,2011.3,9.04,0.6,0.64,5.04,0.47
AEY,2011.2,10,0.69,0.75,3.28,0.5
AEY,2011.1,8.83,0.73,0.91,3.61,0.48
AEY,2010.4,7.85,0.69,0.94,3.47,0.55
AEY,2010.3,7.2,0.63,0.91,2.98,0.58
AEY,2010.2,7.05,0.63,0.89,3.23,0.59
AEY,2010.1,7.16,0.56,0.75,3.88,0.65
AEY,2009.4,7.04,0.5,0.67,3.22,0.67
AEY,2009.3,7.93,0.55,0.8,4.11,0.71
AEY,2009.2,5.16,0.36,0.59,4.84,0.72
AEY,2009.1,4.41,0.28,0.52,2.44,0.83
AEY,2008.4,4.56,0.34,0.68,7.16,0.9
AEY,2008.3,6.11,0.49,1.04,35.63,0.95
AEY,2008.2,6.1,0.53,1.23,12.26,0.97
AEY,2008.1,5.49,0.56,1.45,18.15,1.15
AEY,2007.4,9.64,0.96,2.7,16.72,1.2
AEY,2007.3,12.69,1.27,2.44,56.98,0.44
AEY,2007.2,9.92,0.89,1.65,0,0.45
AEY,2007.1,7.6,0.62,1.15,0,0.59
AEY,2006.4,7.15,0.54,0.99,0,0.58
AEY,2006.3,NA,NA,1.56,NA,0.49
AEY,2006.2,NA,NA,1.88,NA,0.47
AEY,2006.1,NA,NA,2.35,NA,0.54
AEY,2005.4,NA,NA,NA,NA,0.68
AEY,2005.3,NA,NA,NA,NA,0.73
AEY,2005.2,NA,NA,NA,NA,0.61
AEY,2005.1,NA,NA,NA,NA,0.68
ARW,2021.3,10.33,0.27,1.59,13.17,NA
ARW,2021.2,10.2,0.27,1.57,13,2.22
ARW,2021.1,11.53,0.28,1.57,10.78,2.1
ARW,2020.4,12.97,0.27,1.41,6.19,2.31
ARW,2020.3,13.61,0.23,1.23,4.08,2.2
ARW,2020.2,14.46,0.21,1.12,3.61,2.29
ARW,2020.1,0,0.15,0.88,2.86,2.31
ARW,2019.4,0,0.25,1.4,9.91,2.37
ARW,2019.3,0,0.22,1.29,13.11,2.31
ARW,2019.2,0,0.21,1.23,9.17,2.32
ARW,2019.1,9.43,0.23,1.19,0,2.06
ARW,2018.4,8.51,0.21,1.09,42.71,2.31
ARW,2018.3,12.14,0.22,1.21,0,2.2
ARW,2018.2,13.49,0.23,1.27,0,2.24
ARW,2018.1,16.15,0.25,1.31,0,2.13
ARW,2017.4,17.99,0.27,1.41,0,2.29
ARW,2017.3,14.16,0.29,1.44,137.59,2.06
ARW,2017.2,14.36,0.3,1.46,0,1.99
ARW,2017.1,12.66,0.28,1.43,33.64,1.95
ARW,2016.4,12.55,0.28,1.42,33.65,2.18
ARW,2016.3,11.51,0.25,1.28,11.64,1.93
ARW,2016.2,11.4,0.24,1.27,15.3,1.91
ARW,2016.1,12.25,0.26,1.35,8.91,1.82
ARW,2015.4,10.4,0.22,1.17,10.19,2.1
ARW,2015.3,11.76,0.23,1.23,13.15,1.85
ARW,2015.2,11.12,0.24,1.26,11.46,1.9
ARW,2015.1,12.21,0.27,1.46,33.91,1.77
ARW,2014.4,11.62,0.26,1.33,10.5,1.99
ARW,2014.3,10.81,0.25,1.28,18.24,1.66
ARW,2014.2,13.13,0.28,1.39,13.55,1.68
ARW,2014.1,14.17,0.28,1.4,9.83,1.61
ARW,2013.4,14.09,0.26,1.3,16.82,1.88
ARW,2013.3,11.69,0.25,1.21,17.35,1.57
ARW,2013.2,9.63,0.21,1.04,10.78,1.75
ARW,2013.1,9.45,0.22,1.09,35.16,1.65
ARW,2012.4,8.31,0.21,1.01,7.52,1.71
ARW,2012.3,7.51,0.19,0.95,7.03,1.66
ARW,2012.2,6.98,0.18,0.96,7.92,1.7
ARW,2012.1,8.38,0.23,1.23,11.21,1.66
ARW,2011.4,7.24,0.2,1.14,624.54,1.67
ARW,2011.3,5.58,0.15,0.88,10.44,1.79
ARW,2011.2,8.59,0.24,1.31,28.88,1.77
ARW,2011.1,9.39,0.25,1.39,22.64,1.76
ARW,2010.4,8.54,0.22,1.21,32.64,1.95
ARW,2010.3,8.38,0.18,0.99,0,1.77
ARW,2010.2,9.76,0.16,0.9,373.12,1.73
ARW,2010.1,19.95,0.23,1.23,15.4,1.53
ARW,2009.4,29.03,0.24,1.22,4.89,1.66
ARW,2009.3,32.73,0.23,1.18,4.36,1.52
ARW,2009.2,15.28,0.17,0.92,3,1.46
ARW,2009.1,9.53,0.14,0.85,3.55,1.43
ARW,2008.4,7.63,0.14,0.84,4.93,1.66
ARW,2008.3,8.65,0.19,0.85,7.71,1.19
ARW,2008.2,9.63,0.23,0.97,9.8,1.26
ARW,2008.1,10.55,0.25,1.1,6.66,1.14
ARW,2007.4,12.01,0.31,1.36,6.87,1.27
ARW,2007.3,12.54,0.35,1.53,6.66,1.24
ARW,2007.2,11.65,0.33,1.46,7.81,1.27
ARW,2007.1,11.54,0.34,1.49,24.37,1.26
ARW,2006.4,9.98,0.29,1.29,70.96,1.23
ARW,2006.3,NA,NA,1.2,NA,1.25
ARW,2006.2,NA,NA,1.45,NA,1.42
ARW,2006.1,NA,NA,1.55,NA,1.43
ARW,2005.4,NA,NA,NA,NA,1.55
ARW,2005.3,NA,NA,NA,NA,1.45
ARW,2005.2,NA,NA,NA,NA,1.57
ARW,2005.1,NA,NA,NA,NA,1.55
