mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.20948242923296737,10,0.007818819671999705,Model01
3,1,rmse,standard,0.26910715127661233,10,0.013406510277545225,Model01
3,1,rsq,standard,0.6992204674943909,10,0.0448491298100913,Model01
5,1,mae,standard,0.2025531338018914,10,0.0075687840712172025,Model02
5,1,rmse,standard,0.2629129659047757,10,0.014627955201850572,Model02
5,1,rsq,standard,0.6935612793719609,10,0.046018978391073516,Model02
7,1,mae,standard,0.20040145301384532,10,0.007758077245998837,Model03
7,1,rmse,standard,0.2632332648337636,10,0.01651797476613174,Model03
7,1,rsq,standard,0.6799194496605309,10,0.05150052448175141,Model03
10,1,mae,standard,0.2055451265558061,10,0.007974121220816085,Model04
10,1,rmse,standard,0.2759098956039417,10,0.019146680489409828,Model04
10,1,rsq,standard,0.636311103684987,10,0.05816587018974272,Model04
3,3,mae,standard,0.2103047914602636,10,0.0078018171917231625,Model05
3,3,rmse,standard,0.26803416632427807,10,0.013220098245818693,Model05
3,3,rsq,standard,0.7054128091213202,10,0.044776467234877784,Model05
5,3,mae,standard,0.20233765446404725,10,0.007471640059785145,Model06
5,3,rmse,standard,0.2607763219815636,10,0.014564841154442844,Model06
5,3,rsq,standard,0.7001335056007655,10,0.04771895511123975,Model06
7,3,mae,standard,0.20271961316483902,10,0.007507260314353337,Model07
7,3,rmse,standard,0.26780154976071985,10,0.0168023660429531,Model07
7,3,rsq,standard,0.6667901078310741,10,0.05301393521179983,Model07
10,3,mae,standard,0.20281675063266327,10,0.007748707563673313,Model08
10,3,rmse,standard,0.2703654919936252,10,0.018944177032831855,Model08
10,3,rsq,standard,0.648578013321832,10,0.058486980848121095,Model08
3,5,mae,standard,0.2150423524670514,10,0.008018504017843861,Model09
3,5,rmse,standard,0.2753142653560386,10,0.013929723906723588,Model09
3,5,rsq,standard,0.6865757869344371,10,0.047141045495286575,Model09
5,5,mae,standard,0.2063844671100296,10,0.007673952029600161,Model10
5,5,rmse,standard,0.2659605975596634,10,0.01470678240401912,Model10
5,5,rsq,standard,0.683545886304159,10,0.04821931390731964,Model10
7,5,mae,standard,0.20223584523894814,10,0.008540975589488275,Model11
7,5,rmse,standard,0.26550630598030883,10,0.017309917241190742,Model11
7,5,rsq,standard,0.671960248457966,10,0.05297332579651461,Model11
10,5,mae,standard,0.20653784615487705,10,0.00810640075155811,Model12
10,5,rmse,standard,0.2755876354753289,10,0.019048677790988344,Model12
10,5,rsq,standard,0.6376942573454778,10,0.058320668355897484,Model12
3,7,mae,standard,0.2176782961437558,10,0.008197505881426127,Model13
3,7,rmse,standard,0.2770973033610673,10,0.014076393600269372,Model13
3,7,rsq,standard,0.6807272231995103,10,0.04834014344960757,Model13
5,7,mae,standard,0.20380539148579493,10,0.00842326005055031,Model14
5,7,rmse,standard,0.2647459810638359,10,0.015374159641341267,Model14
5,7,rsq,standard,0.686191715200995,10,0.04960900940837448,Model14
7,7,mae,standard,0.203027981407859,10,0.007603624521726956,Model15
7,7,rmse,standard,0.26670529088317757,10,0.016266432238817984,Model15
7,7,rsq,standard,0.6687747668582021,10,0.050753733422121985,Model15
10,7,mae,standard,0.20836622778182756,10,0.008162456579393044,Model16
10,7,rmse,standard,0.27932793751393475,10,0.01896336027311467,Model16
10,7,rsq,standard,0.6269638769178827,10,0.05869581573445424,Model16
