date,open,high,low,close,volume
2021-03-30,20.5,20.700001,20.073999,20.299999,14594100
2021-03-31,20.43,20.57,20.41,20.57,7522400
2021-04-01,20.889999,21,20.73,20.91,6543000
2021-04-05,21.27,21.27,21.01,21.139999,5038100
2021-04-06,21.129999,21.139999,21.030001,21.1,3597900
2021-04-07,21.030001,21.049999,20.75,20.809999,2992600
2021-04-08,20.969999,21.049999,20.860001,21.049999,2124300
2021-04-09,21.040001,21.040001,20.9,21.030001,1713700
2021-04-12,21,21.02,20.75,20.91,1871800
2021-04-13,20.950001,21,20.83,21,1686600
2021-04-14,21,21.15,20.870001,20.92,1942000
2021-04-15,21.07,21.07,20.91,20.98,1315100
2021-04-16,20.950001,21.02,20.889999,20.969999,1392600
2021-04-19,20.879999,20.879999,20.51,20.68,1575600
2021-04-20,20.549999,20.57,20.07,20.219999,1707800
2021-04-21,20.110001,20.5,20.01,20.5,868700
2021-04-22,20.559999,20.719999,20.35,20.48,852400
2021-04-23,20.540001,20.75,20.48,20.700001,774800
2021-04-26,20.75,20.85,20.66,20.85,992600
2021-04-27,20.85,20.91,20.75,20.84,831200
2021-04-28,20.790001,20.879,20.73,20.84,524300
2021-04-29,20.85,20.950001,20.620001,20.790001,649500
2021-04-30,20.58,20.700001,20.5,20.59,680200
2021-05-03,20.690001,20.690001,20.43,20.469999,876400
2021-05-04,20.32,20.33,19.959999,20.24,1504400
2021-05-05,20.26,20.33,20.08,20.15,686800
2021-05-06,20.110001,20.25,19.959999,20.24,1129200
2021-05-07,20.200001,20.51,20.18,20.440001,643000
2021-05-10,20.32,20.370001,19.879999,19.9,968900
2021-05-11,19.18,19.84,19.15,19.76,1007000
2021-05-12,19.5,19.68,19.18,19.190001,703200
2021-05-13,19.26,19.569,19.15,19.32,769300
2021-05-14,19.5,19.77,19.412001,19.75,377100
2021-05-17,19.6,19.67,19.459999,19.67,547600
2021-05-18,19.719999,19.889999,19.629999,19.65,363300
2021-05-19,19.252001,19.549999,19.120001,19.549999,489000
2021-05-20,19.690001,19.868,19.645,19.809999,383700
