date,open,high,low,close,volume
2014-05-21,25.42,25.42,24.299999,25.200001,119000
2014-05-22,25.200001,25.200001,25.200001,25.200001,0
2014-05-23,25.43,25.450001,25.41,25.41,8800
2014-05-27,25.809999,25.809999,25.49,25.549999,8200
2014-05-28,25.85,25.92,25.799999,25.799999,11500
2014-05-29,25.620001,25.620001,25.559999,25.59,1700
2014-05-30,25.709999,25.73,25.58,25.629999,4900
2014-06-02,25.73,25.799999,25.68,25.73,13000
2014-06-03,25.52,25.67,25.52,25.67,13200
2014-06-04,25.26,25.35,25.26,25.34,12500
2014-06-05,25.690001,25.709999,25.67,25.67,2900
2014-06-06,25.58,25.6,25.58,25.6,900
2014-06-09,25.58,25.58,25.379999,25.379999,69600
2014-06-10,25.780001,25.809999,25.719999,25.75,5100
2014-06-11,25.74,25.74,25.709999,25.719999,1900
2014-06-12,25.85,25.85,25.709999,25.76,8400
2014-06-13,26.120001,26.129999,26.07,26.08,6900
2014-06-16,26.200001,26.209999,25.98,26.1,7700
2014-06-17,25.879999,25.91,25.85,25.870001,5200
2014-06-18,25.67,25.709999,25.67,25.709999,800
2014-06-19,25.01,25.030001,24.959999,24.969999,8800
2014-06-20,25.16,25.17,25.1,25.1,4800
2014-06-23,25.719999,25.719999,25.34,25.35,6300
2014-06-24,25.639999,25.639999,25.469999,25.469999,5700
2014-06-25,25.4,25.540001,25.25,25.4,9400
2014-06-26,25.75,25.75,25.59,25.709999,4700
2014-06-27,25.950001,26.049999,25.84,25.940001,16000
2014-06-30,26.24,26.27,26.08,26.18,19900
2014-07-01,26.5,26.5,26.299999,26.440001,22200
2014-07-02,26.65,26.700001,26.65,26.66,2600
2014-07-03,26.9,27.02,26.9,26.98,1000
2014-07-07,26.879999,26.940001,26.879999,26.9,1500
2014-07-08,27.049999,27.049999,26.969999,27.01,2000
2014-07-09,26.700001,26.780001,26.65,26.74,9700
2014-07-10,26.379999,26.540001,26.379999,26.540001,900
2014-07-11,27.040001,27.23,26.99,27.219999,21600
2014-07-14,27.67,27.67,27.459999,27.549999,7100
2014-07-15,27.469999,27.48,27.459999,27.48,5800
2014-07-16,27.370001,27.379999,27.370001,27.370001,2500
