date,open,high,low,close,volume
2008-01-24,41.400002,41.400002,41.349998,41.349998,700
2008-01-25,41.75,45,41.650002,45,800
2008-01-28,42.84,42.84,40.93,41.599998,3900
2008-01-29,41.990002,41.990002,41.849998,41.950001,6400
2008-01-30,41.990002,43,41.990002,42.41,7600
2008-01-31,41.75,42.849998,41.75,42.849998,7200
2008-02-01,44.91,44.91,43.349998,43.650002,4200
2008-02-04,43.540001,43.540001,43.349998,43.349998,2900
2008-02-05,42.599998,42.650002,42.450001,42.450001,3200
2008-02-06,42.450001,42.599998,42.240002,42.25,1600
2008-02-07,42.080002,42.400002,41.700001,42.400002,1800
2008-02-08,42.400002,42.400002,42.360001,42.400002,500
2008-02-11,41.950001,42.34,41.93,42.34,500
2008-02-12,42.799999,43.200001,42.799999,43,1400
2008-02-13,43.240002,43.25,42.900002,42.900002,1600
2008-02-14,43.34,43.349998,43.200001,43.200001,3400
2008-02-15,42.490002,42.490002,42.490002,42.490002,200
2008-02-19,42.869999,42.900002,42.75,42.900002,1100
2008-02-20,42,42.099998,42,42.099998,600
2008-02-21,42.77,42.77,42.080002,42.080002,900
2008-02-22,42.200001,42.200001,42.049999,42.049999,900
2008-02-25,42.450001,42.950001,42.450001,42.950001,1600
2008-02-26,43.349998,43.400002,43.279999,43.400002,1800
2008-02-27,43,43.5,43,43.349998,2200
2008-02-28,42.900002,43,42.619999,42.700001,4000
2008-02-29,41.939999,42.099998,41.799999,41.799999,1900
2008-03-03,41.029999,41.029999,40.049999,40.919998,3300
2008-03-04,40.990002,40.990002,39.009998,40.049999,4100
2008-03-05,40.400002,40.900002,40.400002,40.779999,1600
2008-03-06,40.849998,40.849998,40.73,40.73,400
2008-03-07,39.599998,39.599998,39.599998,39.599998,200
2008-03-10,39.599998,39.599998,39.599998,39.599998,0
2008-03-11,40,40,39.700001,39.939999,1100
2008-03-12,40.060001,40.060001,39.73,39.73,1400
2008-03-13,39.450001,39.73,39.349998,39.459999,1200
2008-03-14,39.380001,39.380001,39.380001,39.380001,400
2008-03-17,37.740002,38.549999,37.709999,38.310001,1800
2008-03-18,36.470001,38.889999,35.970001,38.889999,600
2008-03-19,38.900002,39,38.900002,38.950001,700
2008-03-20,38.759998,38.759998,38.389999,38.389999,2200
2008-03-24,39.950001,39.950001,39.52,39.52,700
2008-03-25,40.66,40.66,39.540001,40.310001,3400
2008-03-26,41.970001,41.970001,40.580002,40.650002,1000
2008-03-27,41.009998,41.080002,40.790001,40.790001,400
2008-03-28,40,40.060001,39.639999,39.639999,1000
2008-03-31,39.360001,39.360001,39.25,39.25,900
2008-04-01,39.950001,40.23,39.950001,40.23,900
2008-04-02,40.639999,40.75,40.639999,40.75,700
2008-04-03,40.59,40.759998,40.59,40.669998,1700
2008-04-04,40.5,41,40.5,41,900
2008-04-07,40.880001,41,40.82,41,1800
2008-04-08,40.380001,40.5,40.380001,40.5,400
2008-04-09,40.439999,40.439999,40.439999,40.439999,300
2008-04-10,40.5,40.5,40.490002,40.5,1100
2008-04-11,40.5,40.5,40.5,40.5,0
2008-04-14,38.740002,38.740002,38.259998,38.259998,300
2008-04-15,37.5,38,37.009998,37.75,3600
2008-04-16,37.869999,38.18,37.869999,38.18,1300
2008-04-17,38.009998,38.040001,38.009998,38.040001,400
2008-04-18,37.110001,37.77,37.110001,37.66,500
2008-04-21,37.75,37.77,37.720001,37.77,300
2008-04-22,38.09,38.799999,37.77,38.299999,6000
2008-04-23,38.41,38.860001,37.41,38.400002,2800
2008-04-24,37.509998,38.599998,37.470001,38.599998,4200
2008-04-25,38.599998,38.599998,38,38,500
2008-04-28,38.310001,38.310001,38.310001,38.310001,100
2008-04-29,38.400002,38.400002,36.939999,38.299999,13400
2008-04-30,38.459999,38.73,38.459999,38.73,1100
2008-05-01,39.630001,39.630001,37.889999,38.23,700
2008-05-02,38.23,38.23,38.23,38.23,0
2008-05-05,38.169998,38.549999,38.099998,38.099998,700
2008-05-06,38.25,38.34,38.25,38.34,400
2008-05-07,38.84,38.84,38.84,38.84,100
