date,open,high,low,close,volume
2016-12-13,24.85,24.85,24.85,24.85,1700
2016-12-14,24.75,24.75,24.709999,24.709999,2000
2016-12-15,24.709999,24.709999,24.709999,24.709999,0
2016-12-16,24.707001,24.707001,24.707001,24.707001,200
2016-12-19,24.707001,24.707001,24.707001,24.707001,0
2016-12-20,24.707001,24.707001,24.707001,24.707001,0
2016-12-21,24.707001,24.707001,24.707001,24.707001,0
2016-12-22,24.707001,24.707001,24.707001,24.707001,0
2016-12-23,24.707001,24.707001,24.707001,24.707001,0
2016-12-27,24.707001,24.707001,24.707001,24.707001,0
2016-12-28,24.707001,24.707001,24.707001,24.707001,0
2016-12-29,24.707001,24.707001,24.707001,24.707001,0
2016-12-30,24.709999,24.709999,24.705,24.705,400
2017-01-03,24.705,24.705,24.705,24.705,0
2017-01-04,24.705,24.705,24.705,24.705,0
2017-01-05,24.705,24.705,24.705,24.705,0
2017-01-06,24.91,24.91,24.91,24.91,100
2017-01-09,24.9,24.9,24.9,24.9,100
2017-01-10,24.9,24.9,24.9,24.9,0
2017-01-11,24.9,24.9,24.9,24.9,0
2017-01-12,24.9,24.9,24.9,24.9,0
2017-01-13,24.9,24.9,24.9,24.9,0
2017-01-17,24.9,24.9,24.9,24.9,0
2017-01-18,24.9,24.9,24.9,24.9,0
2017-01-19,24.9,24.9,24.9,24.9,0
2017-01-20,24.9,24.9,24.9,24.9,0
2017-01-23,24.9,24.9,24.9,24.9,0
2017-01-24,24.9,24.9,24.9,24.9,0
2017-01-25,24.9,24.9,24.9,24.9,0
2017-01-26,24.9,24.9,24.9,24.9,0
2017-01-27,24.9,24.9,24.9,24.9,0
2017-01-30,24.9,24.9,24.9,24.9,0
2017-01-31,24.864,24.864,24.864,24.864,100
2017-02-01,24.864,24.864,24.864,24.864,0
2017-02-02,24.864,24.864,24.864,24.864,0
2017-02-03,24.864,24.864,24.864,24.864,0
2017-02-06,24.864,24.864,24.864,24.864,0
2017-02-07,24.864,24.864,24.864,24.864,0
2017-02-08,24.864,24.864,24.864,24.864,0
2017-02-09,24.864,24.864,24.864,24.864,0
2017-02-10,24.864,24.864,24.864,24.864,0
2017-02-13,24.864,24.864,24.864,24.864,0
2017-02-14,24.864,24.864,24.864,24.864,0
2017-02-15,24.864,24.864,24.864,24.864,0
2017-02-16,24.864,24.864,24.864,24.864,0
2017-02-17,24.83,24.83,24.797001,24.797001,2100
2017-02-21,24.709999,24.709999,24.709999,24.709999,1000
2017-02-22,24.709999,24.709999,24.709999,24.709999,0
2017-02-23,24.709999,24.709999,24.709999,24.709999,0
2017-02-24,24.709999,24.709999,24.709999,24.709999,0
2017-02-27,24.889999,24.889999,24.889999,24.889999,800
2017-02-28,24.889999,24.889999,24.889999,24.889999,200
2017-03-01,24.889999,24.889999,24.889999,24.889999,0
2017-03-02,24.889999,24.889999,24.889999,24.889999,0
2017-03-03,24.889999,24.889999,24.889999,24.889999,0
2017-03-06,24.950001,24.950001,24.950001,24.950001,200
2017-03-07,24.950001,24.950001,24.950001,24.950001,0
2017-03-08,24.950001,24.950001,24.950001,24.950001,0
2017-03-09,24.950001,24.950001,24.950001,24.950001,0
2017-03-10,24.559999,24.559999,24.534,24.534,1200
2017-03-13,24.534,24.534,24.534,24.534,0
2017-03-14,24.534,24.534,24.534,24.534,0
2017-03-15,24.534,24.534,24.534,24.534,0
2017-03-16,24.534,24.534,24.534,24.534,0
2017-03-17,24.534,24.534,24.534,24.534,0
2017-03-20,24.534,24.534,24.534,24.534,0
2017-03-21,24.534,24.534,24.534,24.534,0
2017-03-22,24.534,24.534,24.534,24.534,0
2017-03-23,24.534,24.534,24.534,24.534,0
2017-03-24,24.534,24.534,24.534,24.534,0
2017-03-27,24.534,24.534,24.534,24.534,0
