date,open,high,low,close,volume
2013-04-10,14759.5,14770,14752.5,14770,3
2013-04-11,14770,14770,14770,14770,0
2013-04-12,14700,14700,13660.5,13923,2
2013-04-15,13230,13230,12330.5,12348,2
2013-04-16,12348,12348,12348,12348,0
2013-04-17,12211.5,12211.5,12117,12159,2
2013-04-18,12159,12159,12159,12159,0
2013-04-19,12159,12159,12159,12159,0
2013-04-22,12159,12159,12159,12159,0
2013-04-23,12159,12159,12159,12159,0
2013-04-24,12159,12159,12159,12159,0
2013-04-25,13352.5,13352.5,13352.5,13352.5,1
2013-04-26,13244,13244,12680.5,12740,3
2013-04-29,13202,13279,12257,13160,10
2013-04-30,13160,13160,13160,13160,0
2013-05-01,13139,13422.5,13125,13212.5,5
2013-05-02,13391,13464.5,13226.5,13464.5,3
2013-05-03,14122.5,14122.5,13807.5,13807.5,2
2013-05-06,13517,13517,13181,13422.5,16
2013-05-07,14038.5,14199.5,13979,14010.5,3
2013-05-08,14626.5,14626.5,13839,14091,9
2013-05-09,14374.5,14374.5,13776,13776,2
2013-05-10,13776,13776,13776,13776,0
2013-05-13,13776,13776,13776,13776,0
2013-05-14,13482,13636,13167,13244,7
2013-05-15,13384,13384,13100.5,13100.5,4
2013-05-16,13405,13405,13405,13405,1
2013-05-17,13405,13405,13405,13405,0
2013-05-20,13048,13601,13048,13527.5,11
2013-05-21,13527.5,13527.5,13527.5,13527.5,0
2013-05-22,14115.5,14115.5,13426,13510,14
2013-05-23,12929,13342,12922,13328,13
2013-05-24,13072.5,13072.5,13072.5,13072.5,1
2013-05-28,13394.5,13615,13125,13125,3
2013-05-29,12575.5,12666.5,11553.5,11630.5,21
2013-05-30,11588.5,11588.5,11585,11585,1
2013-05-31,11399.5,11399.5,10675,10675,12
2013-06-03,11021.5,11056.5,11018,11056.5,5
2013-06-04,11147.5,11165,11147.5,11165,2
2013-06-05,10500,10500,10251.5,10251.5,5
2013-06-06,10251.5,10251.5,10251.5,10251.5,0
2013-06-07,10202.5,10202.5,9859.5,9859.5,4
2013-06-10,9621.5,9621.5,9415,9485,7
2013-06-11,8823.5,9236.5,8750,8956.5,25
2013-06-12,9075.5,9075.5,8505,8505,8
2013-06-13,8753.5,9093,8753.5,9093,14
2013-06-14,8897,8904,8592.5,8603,12
2013-06-17,8715,8715,8169,8298.5,23
2013-06-18,8340.5,8501.5,8088.5,8221.5,29
2013-06-19,8123.5,8368.5,7406,7406,23
2013-06-20,6664,6870.5,6314,6765.5,49
2013-06-21,6706,6769,6443.5,6769,11
2013-06-24,6230,6387.5,5883.5,6387.5,25
2013-06-25,6688.5,6727,6443.5,6727,21
2013-06-26,7007,7136.5,6905.5,7091,33
2013-06-27,7420,7420,7262.5,7290.5,10
2013-06-28,6996.5,7000,6933.5,6968.5,3
2013-07-01,6828.5,7196,6828.5,7021,33
2013-07-02,6898.5,6898.5,6128.5,6272,28
2013-07-03,6125,6426,6072.5,6328,23
2013-07-05,5967.5,6013,5621,5904.5,21
2013-07-08,6114.5,6146,6023.5,6146,14
2013-07-09,6219.5,6258,6135.5,6226.5,9
2013-07-10,6181,6195,5988.5,6009.5,7
2013-07-11,6422.5,6653.5,6244,6629,109
2013-07-12,6517,6552,6300,6373.5,55
2013-07-15,6433,6993,6433,6912.5,51
2013-07-16,7031.5,7031.5,6604.5,6786.5,123
2013-07-17,7007,7189,7007,7140,81
2013-07-18,7196,7346.5,7140,7217,24
2013-07-19,7035,7035,6912.5,6912.5,17
2013-07-22,6982.5,7423.5,6982.5,7392,18
2013-07-23,7700,7763,7609,7665,59
2013-07-24,7560,7574,7038.5,7192.5,81
2013-07-25,7073.5,7409.5,7066.5,7409.5,67
2013-07-26,7367.5,7367.5,7070,7336,115
2013-07-29,7297.5,7301,7087.5,7133,18
2013-07-30,7105,7105,6849.5,6891.5,16
2013-07-31,6783,6965,6583.5,6790,57
2013-08-01,7045.5,7052.5,6944,6986,55
2013-08-02,6975.5,7241.5,6975.5,7038.5,28
2013-08-05,6909,6909,6702.5,6723.5,39
2013-08-06,6748,6751.5,6384,6436.5,37
2013-08-07,6450.5,6450.5,6335,6335,17
2013-08-08,6531,7080.5,6485.5,6940.5,39
2013-08-09,7049,7388.5,7049,7353.5,39
2013-08-12,7577.5,7840,7252,7318.5,133
2013-08-13,7276.5,7367.5,7038.5,7182,38
