date,open,high,low,close,volume
2017-09-27,19.99,19.99,19.99,19.99,600
2017-09-28,19.969999,19.969999,19.969999,19.969999,500
2017-09-29,20,20,19.997,20,17900
2017-10-02,19.99,20.02,19.99,20.02,3000
2017-10-03,20,20.040001,20,20.030001,29900
2017-10-04,20.08,20.08,20.035,20.035,1200
2017-10-05,20.040001,20.040001,20.028,20.038,5200
2017-10-06,19.98,20.02,19.98,20.02,10500
2017-10-09,20.030001,20.030001,20.016001,20.030001,9000
2017-10-10,20.040001,20.040001,20.030001,20.030001,3300
2017-10-11,20.045,20.07,20.045,20.061001,2400
2017-10-12,20.059999,20.059999,20.049999,20.056999,3800
2017-10-13,20.120001,20.120001,20.105,20.120001,7000
2017-10-16,20.1,20.1,20.1,20.1,3800
2017-10-17,20.08,20.08,20.08,20.08,100
2017-10-18,20.08,20.08,20.079,20.079,6400
2017-10-19,20.120001,20.120001,20.1,20.1,3400
2017-10-20,20.059999,20.059999,20.059999,20.059999,300
2017-10-23,20.059999,20.059999,20.059999,20.059999,0
2017-10-24,20.059999,20.07,20.052999,20.07,9300
2017-10-25,19.99,20.01,19.98,20.01,2900
2017-10-26,20.01,20.01,20.01,20.01,0
2017-10-27,20.01,20.01,20.01,20.01,0
2017-10-30,20.09,20.09,20.09,20.09,200
2017-10-31,20.09,20.09,20.09,20.09,0
2017-11-01,20.09,20.09,20.09,20.09,0
2017-11-02,20.049999,20.049999,20.040001,20.049999,1800
2017-11-03,20.059999,20.059999,20.021999,20.028,9500
2017-11-06,20.054001,20.059999,20.054001,20.059999,4400
2017-11-07,20.039,20.049999,20.030001,20.030001,16000
2017-11-08,20.030001,20.030001,20.030001,20.030001,0
2017-11-09,19.997,20,19.978001,19.99,22100
2017-11-10,19.9,19.9,19.896999,19.9,1800
2017-11-13,19.93,19.93,19.896,19.9,6300
2017-11-14,19.889999,19.9,19.889999,19.895,1800
2017-11-15,19.895,19.895,19.895,19.895,0
2017-11-16,19.941999,19.950001,19.93,19.93,4800
2017-11-17,19.98,19.98,19.947001,19.947001,5200
2017-11-20,19.969999,19.969999,19.959999,19.959999,2000
2017-11-21,19.99,19.99,19.98,19.98,1000
2017-11-22,20.030001,20.09,20.018,20.08,4900
2017-11-24,20.08,20.08,20.08,20.08,0
2017-11-27,20.049999,20.07,20.042,20.07,9800
2017-11-28,20.07,20.07,20.07,20.07,0
2017-11-29,20.049999,20.049999,20.049999,20.049999,100
2017-11-30,20.049999,20.049999,19.99,20,900
2017-12-01,20,20,20,20,0
2017-12-04,20,20,19.969999,19.99,1900
2017-12-05,19.98,19.98,19.978001,19.98,12800
2017-12-06,20.039,20.040001,20.039,20.040001,2500
2017-12-07,20.040001,20.040001,20.02,20.040001,15200
2017-12-08,19.988001,20.01,19.985001,19.985001,2000
2017-12-11,20.040001,20.040001,20.040001,20.040001,800
2017-12-12,20.040001,20.040001,20.040001,20.040001,0
2017-12-13,20.040001,20.07,20.035,20.07,3900
2017-12-14,20.07,20.07,20.030001,20.049999,4300
2017-12-15,20.07,20.07,20.049999,20.049999,20200
2017-12-18,20.087999,20.09,20.055,20.055,3100
2017-12-19,20.02,20.02,19.940001,19.969999,6800
2017-12-20,19.92,19.948999,19.92,19.92,5600
2017-12-21,19.93,19.93,19.93,19.93,200
2017-12-22,19.924999,19.924999,19.924999,19.924999,100
2017-12-26,19.940001,19.940001,19.940001,19.940001,300
2017-12-27,19.940001,19.940001,19.940001,19.940001,0
2017-12-28,20.004999,20.01,19.99,20.004,3900
2017-12-29,20,20,19.995001,19.995001,18300
2018-01-02,20.02,20.02,19.933001,19.99,21700
2018-01-03,19.98,20,19.951,20,9200
2018-01-04,19.950001,19.99,19.948,19.99,6900
2018-01-05,19.959999,19.969999,19.910999,19.969999,17500
2018-01-08,20.01,20.01,19.950001,20,11700
2018-01-09,19.969999,19.969999,19.9,19.902,121200
2018-01-10,19.870001,19.940001,19.83,19.940001,184600
2018-01-11,19.92,19.959999,19.92,19.950001,49800
2018-01-12,19.91,19.959999,19.889999,19.944,28300
2018-01-16,19.98,19.98,19.940001,19.959999,30200
2018-01-17,19.92,19.92,19.851,19.9,27800
2018-01-18,19.812,19.85,19.77,19.780001,30700
2018-01-19,19.780001,19.792999,19.76,19.785,11000
2018-01-22,19.775,19.790001,19.746,19.746,4100
2018-01-23,19.809999,19.84,19.76,19.83,87000
2018-01-24,19.809999,19.83,19.799999,19.813,5300
2018-01-25,19.778999,19.870001,19.778999,19.854,12100
2018-01-26,19.870001,19.870001,19.834999,19.858999,39600
2018-01-29,19.77,19.780001,19.75,19.780001,32900
2018-01-30,19.76,19.790001,19.700001,19.73,41200
2018-01-31,19.74,19.764,19.729,19.757999,14200
2018-02-01,19.780001,19.780001,19.66,19.686001,14300
2018-02-02,19.57,19.59,19.535,19.549999,12000
2018-02-05,19.52,19.625,19.51,19.610001,31600
2018-02-06,19.556999,19.629999,19.549999,19.58,91900
2018-02-07,19.6,19.6,19.49,19.49,4600
2018-02-08,19.440001,19.469999,19.412001,19.42,4400
2018-02-09,19.389999,19.4,19.379999,19.379999,2800
2018-02-12,19.389,19.41,19.347,19.393999,3700
2018-02-13,19.360001,19.389999,19.33,19.389999,61800
2018-02-14,19.280001,19.295,19.280001,19.283001,9500
2018-02-15,19.360001,19.365,19.32,19.360001,22300
2018-02-16,19.4,19.43,19.386999,19.389999,22700
2018-02-20,19.299999,19.360001,19.299999,19.358,16500
2018-02-21,19.360001,19.360001,19.27,19.280001,13200
2018-02-22,19.34,19.34,19.280001,19.309999,9200
2018-02-23,19.370001,19.389999,19.339001,19.389,10500
2018-02-26,19.459999,19.459999,19.416,19.416,5400
2018-02-27,19.365,19.365999,19.320999,19.320999,2300
2018-02-28,19.355,19.360001,19.343,19.360001,6100
2018-03-01,19.33,19.379999,19.309999,19.379999,2500
2018-03-02,19.27,19.559999,19.26,19.27,36700
2018-03-05,19.299999,19.299999,19.254,19.27,3000
2018-03-06,19.280001,19.290001,19.247,19.247,12300
2018-03-07,19.24,19.280001,19.209999,19.209999,5400
2018-03-08,19.280001,19.281,19.246,19.246,6100
2018-03-09,19.26,19.26,19.190001,19.23,4300
2018-03-12,19.219999,19.24,19.215,19.224001,6000
2018-03-13,19.267,19.27,19.225,19.233,9800
2018-03-14,19.200001,19.280001,19.200001,19.24,6700
2018-03-15,19.264999,19.27,19.24,19.256001,9600
2018-03-16,19.25,19.26,19.211,19.254999,3100
2018-03-19,19.200001,19.259001,19.200001,19.225,17800
2018-03-20,19.139999,19.209999,19.129999,19.129999,12700
2018-03-21,19.16,19.17,19.132,19.15,11600
2018-03-22,19.214001,19.25,19.141001,19.179001,6100
2018-03-23,19.214001,19.214001,19.115,19.190001,16900
2018-03-26,19.139999,19.16,19.125,19.139999,11100
2018-03-27,19.190001,19.24,19.15,19.24,5000
2018-03-28,19.290001,19.290001,19.23,19.23,3100
2018-03-29,19.309999,19.344999,19.305,19.329,12200
2018-04-02,19.309999,19.34,19.280001,19.312,5000
2018-04-03,19.26,19.26,19.24,19.24,6100
2018-04-04,19.24,19.25,19.198,19.225,7800
2018-04-05,19.226999,19.23,19.194,19.219999,2100
2018-04-06,19.26,19.280001,19.24,19.263,4800
