date,open,high,low,close,volume
2019-09-26,25.030001,25.040001,25.030001,25.040001,300
2019-09-27,25.040001,25.040001,25.040001,25.040001,0
2019-09-30,25.040001,25.040001,25.040001,25.040001,0
2019-10-01,25.040001,25.040001,25.040001,25.040001,0
2019-10-02,25.040001,25.040001,25.040001,25.040001,0
2019-10-03,25.040001,25.040001,25.040001,25.040001,0
2019-10-04,25.040001,25.040001,25.040001,25.040001,0
2019-10-07,25.040001,25.040001,25.040001,25.040001,0
2019-10-08,25.040001,25.040001,25.040001,25.040001,0
2019-10-09,25.040001,25.040001,25.040001,25.040001,0
2019-10-10,25.040001,25.040001,25.040001,25.040001,0
2019-10-11,25.040001,25.040001,25.040001,25.040001,0
2019-10-14,25.040001,25.040001,25.040001,25.040001,0
2019-10-15,25.040001,25.040001,25.040001,25.040001,0
2019-10-16,25.040001,25.040001,25.040001,25.040001,0
2019-10-17,25.040001,25.040001,25.040001,25.040001,0
2019-10-18,25.040001,25.040001,25.040001,25.040001,0
2019-10-21,25.040001,25.040001,25.040001,25.040001,0
2019-10-22,25.040001,25.040001,25.040001,25.040001,0
2019-10-23,25.040001,25.040001,25.040001,25.040001,0
2019-10-24,24.9,24.93,24.9,24.9,4000
2019-10-25,24.9,24.9,24.9,24.9,100
2019-10-28,24.889,24.889999,24.872999,24.889,9400
2019-10-29,24.900999,24.900999,24.882999,24.9,1000
2019-10-30,24.91,24.93,24.9,24.92,8200
2019-10-31,24.92,24.92,24.92,24.92,0
2019-11-01,24.99,25,24.99,25,2100
2019-11-04,24.969999,24.969999,24.969999,24.969999,700
2019-11-05,24.969999,24.969999,24.969999,24.969999,100
2019-11-06,24.969999,24.969999,24.969999,24.969999,0
2019-11-07,24.969999,24.969999,24.969999,24.969999,0
2019-11-08,24.969999,24.969999,24.969999,24.969999,0
2019-11-11,24.820999,24.820999,24.820999,24.820999,2000
2019-11-12,24.820999,24.820999,24.820999,24.820999,100
2019-11-13,24.860001,24.870001,24.844999,24.860001,16600
2019-11-14,24.886999,24.889999,24.886,24.886,2500
2019-11-15,24.91,24.92,24.91,24.92,2300
2019-11-18,24.92,24.92,24.92,24.92,0
2019-11-19,24.889999,24.889999,24.865,24.865,1800
2019-11-20,24.92,24.93,24.907,24.93,12700
2019-11-21,24.93,24.93,24.93,24.93,0
2019-11-22,24.93,24.93,24.93,24.93,0
2019-11-25,24.93,24.93,24.93,24.93,0
2019-11-26,24.959999,24.959999,24.950001,24.950001,1100
2019-11-27,24.950001,24.950001,24.950001,24.950001,0
2019-11-29,24.950001,24.950001,24.950001,24.950001,0
2019-12-02,24.950001,24.950001,24.950001,24.950001,0
2019-12-03,24.98,25.014999,24.98,25.014999,2000
2019-12-04,25.014999,25.014999,25.014999,25.014999,100
2019-12-05,25.014999,25.014999,25.014999,25.014999,0
2019-12-06,25.01,25.01,24.985001,24.985001,6000
2019-12-09,25.025999,25.030001,25.01,25.01,5100
2019-12-10,25.01,25.01,25.01,25.01,200
2019-12-11,25.01,25.01,25.01,25.01,0
2019-12-12,25.040001,25.040001,25.01,25.01,12300
2019-12-13,25.040001,25.059999,25.01,25.049999,3100
2019-12-16,25.049999,25.049999,25.049999,25.049999,100
2019-12-17,25.049999,25.08,25.045,25.045,10000
2019-12-18,25.045,25.045,25.045,25.045,100
2019-12-19,25.034,25.045,25.034,25.045,1300
2019-12-20,25.01,25.02,24.99,25,11000
2019-12-23,24.965,24.99,24.965,24.969999,7700
2019-12-24,24.969999,24.969999,24.969999,24.969999,100
2019-12-26,24.969999,24.969999,24.969999,24.969999,1000
2019-12-27,24.969999,24.969999,24.969999,24.969999,100
2019-12-30,25.007999,25.007999,25.004999,25.004999,1000
2019-12-31,25.007,25.007,24.99,24.99,1500
2020-01-02,25.02,25.040001,25.014999,25.014999,7700
2020-01-03,25.110001,25.120001,25.110001,25.120001,1200
2020-01-06,25.139999,25.139999,25.129999,25.129999,2000
2020-01-07,25.17,25.18,25.163,25.17,4900
2020-01-08,25.200001,25.200001,25.188,25.188,4800
2020-01-09,25.209999,25.209999,25.195,25.195,1300
2020-01-10,25.195,25.195,25.195,25.195,100
2020-01-13,25.195,25.195,25.195,25.195,0
2020-01-14,25.195,25.195,25.195,25.195,0
2020-01-15,25.268999,25.280001,25.24,25.264999,4900
2020-01-16,25.306999,25.306999,25.305,25.305,600
2020-01-17,25.305,25.305,25.305,25.305,200
2020-01-21,25.302,25.32,25.299999,25.299999,4400
2020-01-22,25.32,25.32,25.299999,25.299999,3600
2020-01-23,25.362,25.370001,25.35,25.35,500
2020-01-24,25.35,25.35,25.35,25.35,100
2020-01-27,25.450001,25.450001,25.434999,25.434999,600
2020-01-28,25.434999,25.434999,25.434999,25.434999,0
2020-01-29,25.49,25.49,25.48,25.48,1400
2020-01-30,25.493,25.493,25.48,25.48,2000
2020-01-31,25.51,25.530001,25.499001,25.514999,16200
2020-02-03,25.48,25.5,25.48,25.5,1000
2020-02-04,25.450001,25.450001,25.445,25.445,700
2020-02-05,25.42,25.440001,25.42,25.42,2900
2020-02-06,25.429001,25.43,25.410999,25.43,2000
