date,open,high,low,close,volume
2019-09-26,25.021999,25.021999,25.021999,25.021999,300
2019-09-27,25.021999,25.021999,25.021999,25.021999,0
2019-09-30,25.021999,25.021999,25.021999,25.021999,0
2019-10-01,25.021999,25.021999,25.021999,25.021999,0
2019-10-02,25.09,25.09,25.09,25.09,300
2019-10-03,25.09,25.09,25.09,25.09,0
2019-10-04,25.09,25.09,25.09,25.09,0
2019-10-07,25.09,25.09,25.09,25.09,0
2019-10-08,25.09,25.09,25.09,25.09,0
2019-10-09,25.09,25.09,25.09,25.09,0
2019-10-10,25.09,25.09,25.09,25.09,0
2019-10-11,25.09,25.09,25.09,25.09,0
2019-10-14,25.09,25.09,25.09,25.09,0
2019-10-15,25.09,25.09,25.09,25.09,0
2019-10-16,25.09,25.09,25.09,25.09,0
2019-10-17,25.09,25.09,25.09,25.09,0
2019-10-18,25.09,25.09,25.09,25.09,0
2019-10-21,25.09,25.09,25.09,25.09,0
2019-10-22,25.09,25.09,25.09,25.09,0
2019-10-23,25.09,25.09,25.09,25.09,0
2019-10-24,25.09,25.09,25.09,25.09,0
2019-10-25,25.09,25.09,25.09,25.09,0
2019-10-28,25.09,25.09,25.09,25.09,0
2019-10-29,24.858999,24.870001,24.858999,24.870001,1100
2019-10-30,24.870001,24.870001,24.870001,24.870001,2000
2019-10-31,24.870001,24.870001,24.870001,24.870001,0
2019-11-01,24.870001,24.870001,24.870001,24.870001,0
2019-11-04,24.940001,24.950001,24.940001,24.950001,500
2019-11-05,24.870001,24.870001,24.870001,24.870001,200
2019-11-06,24.870001,24.870001,24.870001,24.870001,0
2019-11-07,24.870001,24.870001,24.870001,24.870001,0
2019-11-08,24.870001,24.870001,24.870001,24.870001,0
2019-11-11,24.870001,24.870001,24.870001,24.870001,0
2019-11-12,24.870001,24.870001,24.870001,24.870001,0
2019-11-13,24.82,24.879999,24.82,24.83,27900
2019-11-14,24.867001,24.867001,24.867001,24.867001,2000
2019-11-15,24.867001,24.867001,24.867001,24.867001,100
2019-11-18,24.860001,24.860001,24.84,24.84,600
2019-11-19,24.85,24.860001,24.84,24.84,5900
2019-11-20,24.93,24.940001,24.91,24.940001,6100
2019-11-21,24.940001,24.940001,24.940001,24.940001,100
2019-11-22,24.940001,24.940001,24.940001,24.940001,0
2019-11-25,24.940001,24.940001,24.940001,24.940001,0
2019-11-26,24.9,24.91,24.9,24.91,2900
2019-11-27,24.91,24.91,24.91,24.91,0
2019-11-29,24.91,24.91,24.91,24.91,0
2019-12-02,24.91,24.91,24.91,24.91,0
2019-12-03,24.91,24.91,24.91,24.91,0
2019-12-04,24.91,24.91,24.91,24.91,0
2019-12-05,24.91,24.91,24.91,24.91,0
2019-12-06,24.921,24.93,24.905001,24.905001,1300
2019-12-09,24.945999,24.945999,24.934999,24.934999,100
2019-12-10,24.940001,24.940001,24.940001,24.940001,200
2019-12-11,24.940001,24.940001,24.940001,24.940001,0
2019-12-12,24.959999,24.959999,24.940001,24.940001,500
2019-12-13,24.940001,24.940001,24.940001,24.940001,0
2019-12-16,24.940001,24.940001,24.940001,24.940001,0
2019-12-17,24.989,25,24.975,24.975,10000
2019-12-18,24.975,24.975,24.975,24.975,100
2019-12-19,24.98,24.98,24.976999,24.98,300
2019-12-20,24.947001,24.947001,24.940001,24.940001,800
2019-12-23,24.940001,24.940001,24.940001,24.940001,400
2019-12-24,24.940001,24.940001,24.940001,24.940001,0
2019-12-26,24.940001,24.940001,24.93,24.93,400
2019-12-27,24.950001,24.950001,24.934999,24.934999,1100
2019-12-30,24.947001,24.950001,24.947001,24.950001,1100
2019-12-31,24.950001,24.950001,24.950001,24.950001,100
2020-01-02,24.961,24.961,24.952999,24.959999,4200
2020-01-03,24.959999,24.959999,24.959999,24.959999,0
2020-01-06,25.09,25.1,25.084999,25.084999,1500
2020-01-07,25.084999,25.084999,25.084999,25.084999,100
2020-01-08,25.15,25.15,25.138,25.138,9200
2020-01-09,25.139999,25.145,25.139999,25.145,1400
2020-01-10,25.145,25.145,25.145,25.145,200
2020-01-13,25.145,25.145,25.145,25.145,0
2020-01-14,25.16,25.18,25.16,25.16,4300
2020-01-15,25.16,25.16,25.16,25.16,100
2020-01-16,25.26,25.26,25.245001,25.245001,1000
2020-01-17,25.280001,25.280001,25.280001,25.280001,500
2020-01-21,25.243,25.243,25.243,25.243,200
2020-01-22,25.232,25.25,25.23,25.23,4000
2020-01-23,25.23,25.23,25.23,25.23,0
2020-01-24,25.23,25.23,25.23,25.23,0
2020-01-27,25.41,25.41,25.389999,25.389999,2000
2020-01-28,25.389999,25.389999,25.389999,25.389999,400
2020-01-29,25.389999,25.389999,25.389999,25.389999,0
