date,open,high,low,close,volume
2017-10-10,18.08,18.6,18.059999,18.059999,47700
2017-10-11,18.139999,18.139999,18.08,18.108,1600
2017-10-12,18.16,18.16,18.106001,18.113001,28800
2017-10-13,18.128,18.200001,18.128,18.17,28300
2017-10-16,18.209999,18.209999,18.105,18.105,2900
2017-10-17,18.110001,18.15,18.110001,18.15,3600
2017-10-18,18.15,18.200001,18.15,18.18,1500
2017-10-19,18.15,18.24,18.15,18.24,6500
2017-10-20,19,19,18.27,18.280001,4800
2017-10-23,18.311001,18.33,18.264999,18.264999,5600
2017-10-24,18.280001,18.290001,18.274,18.290001,1400
2017-10-25,18.35,18.35,18.35,18.35,100
2017-10-26,18.209,18.209,18.200001,18.200001,2400
2017-10-27,18.190001,18.24,18.16,18.219,4200
2017-10-30,18.200001,18.23,18.18,18.18,5800
2017-10-31,18.24,18.24,18.24,18.24,100
2017-11-01,18.24,18.24,18.24,18.24,0
2017-11-02,18.24,18.24,18.24,18.24,100
2017-11-03,18.389999,18.389999,18.25,18.27,3400
2017-11-06,18.48,18.48,18.200001,18.27,2700
2017-11-07,18.48,18.48,18.190001,18.190001,800
2017-11-08,18.245001,18.32,18.245001,18.296,2900
2017-11-09,18.219999,18.24,18.139999,18.16,1900
2017-11-10,18.18,18.18,18.176001,18.176001,700
2017-11-13,18.190001,18.190001,18.190001,18.190001,5100
2017-11-14,18.190001,18.219999,18.190001,18.190001,800
2017-11-15,18.16,18.16,18.16,18.16,1000
2017-11-16,18.309999,18.309999,18.309999,18.309999,200
2017-11-17,18.309999,18.309999,18.309999,18.309999,0
2017-11-20,18.325001,18.334,18.325001,18.325001,800
2017-11-21,18.120001,18.120001,18.120001,18.120001,200
2017-11-22,18.41,18.459999,18.41,18.459999,1400
2017-11-24,18.57,18.57,18.57,18.57,300
2017-11-27,18.620001,18.620001,18.42,18.42,1100
2017-11-28,18.599001,18.608999,18.450001,18.608999,500
2017-11-29,18.58,18.632,18.58,18.632,400
2017-11-30,18.629999,18.709999,18.629999,18.709999,400
2017-12-01,18.59,18.59,18.5,18.5,500
2017-12-04,18.745001,18.745001,18.66,18.66,500
2017-12-05,18.66,18.66,18.66,18.66,0
2017-12-06,18.66,18.66,18.66,18.66,0
2017-12-07,18.66,18.66,18.66,18.66,0
2017-12-08,18.66,18.66,18.66,18.66,0
2017-12-11,18.66,18.66,18.66,18.66,0
2017-12-12,18.826,18.844999,18.826,18.844999,1200
2017-12-13,18.833,18.833,18.833,18.833,100
