date,open,high,low,close,volume
2013-10-01,25.200001,25.219999,25.200001,25.219999,1000
2013-10-02,25.219999,25.219999,25.219999,25.219999,0
2013-10-03,25.219999,25.219999,25.219999,25.219999,0
2013-10-04,25.15,25.190001,25.15,25.190001,700
2013-10-07,25.190001,25.190001,25.190001,25.190001,0
2013-10-08,25.559999,25.559999,24.73,24.73,1700
2013-10-09,24.84,26.049999,24.84,25.85,2900
2013-10-10,25.360001,25.360001,25.360001,25.360001,200
2013-10-11,25.360001,25.360001,25.360001,25.360001,0
2013-10-14,25.5,26.860001,25.379999,25.379999,3300
2013-10-15,25.85,26.120001,25.85,26.059999,1100
2013-10-16,25.82,26.219999,25.82,26.1,5900
2013-10-17,25.780001,25.870001,25.690001,25.870001,4200
2013-10-18,26.15,26.360001,26.110001,26.360001,11200
2013-10-21,26.07,26.07,26.040001,26.040001,3300
2013-10-22,26.290001,26.290001,26.290001,26.290001,600
2013-10-23,26.040001,26.16,26.040001,26.120001,4200
2013-10-24,27.33,27.33,26.190001,26.219999,15900
2013-10-25,26.309999,26.309999,26.16,26.190001,6100
2013-10-28,26.200001,26.280001,26.200001,26.280001,6000
2013-10-29,26.42,26.43,26.4,26.42,4100
2013-10-30,26.309999,26.41,26.200001,26.23,3900
2013-10-31,26.209999,26.23,26.200001,26.23,4400
2013-11-01,26.17,26.17,26.1,26.1,4600
2013-11-04,26.1,26.1,26.1,26.1,0
2013-11-05,26.32,26.32,26.1,26.17,8000
2013-11-06,26.360001,26.360001,26.360001,26.360001,1300
2013-11-07,26.540001,26.540001,26.16,26.200001,13700
2013-11-08,26.25,26.25,26.01,26.18,48600
2013-11-11,26.24,26.5,26.24,26.469999,5400
2013-11-12,26.469999,26.469999,26.209999,26.34,9500
2013-11-13,26.049999,26.23,26.049999,26.200001,6700
2013-11-14,26.33,26.469999,26.33,26.459999,3500
2013-11-15,26.200001,26.32,26.120001,26.32,11300
2013-11-18,26.25,26.280001,26.25,26.27,3900
2013-11-19,26.23,26.360001,26.219999,26.219999,13600
2013-11-20,26.18,26.23,26.129999,26.139999,2400
2013-11-21,26.18,26.27,26.17,26.27,700
2013-11-22,26.27,26.32,26.27,26.32,2000
2013-11-25,26.379999,26.43,26.379999,26.389999,7400
2013-11-26,26.360001,26.360001,26.280001,26.280001,3700
2013-11-27,26.5,26.5,26.32,26.370001,5100
