date,open,high,low,close,volume
2014-09-23,24.709999,24.940001,24.59,24.59,118400
2014-09-24,24.620001,24.799999,24.52,24.77,117400
2014-09-25,24.620001,24.620001,24.32,24.35,167500
2014-09-26,24.370001,24.450001,24.27,24.370001,131300
2014-09-29,24.5,25,24.129999,24.42,860200
2014-09-30,24.43,24.5,24.34,24.389999,801000
2014-10-01,24.16,24.16,23.9,23.940001,33700
2014-10-02,23.870001,24.02,23.620001,23.950001,33700
2014-10-03,24.17,24.18,24.07,24.15,138600
2014-10-06,24.450001,24.450001,24.02,24.02,413400
2014-10-07,23.860001,23.93,23.540001,23.540001,427000
2014-10-08,23.629999,23.91,23.379999,23.9,285500
2014-10-09,23.780001,23.799999,23.26,23.27,287000
2014-10-10,23.389999,23.424,23.07,23.09,321200
2014-10-13,22.879999,23.049999,22.6,22.629999,289500
2014-10-14,22.6,22.91,22.58,22.709999,568900
2014-10-15,22.547001,22.82,22.16,22.74,256700
2014-10-16,22.48,23.09,22.48,22.92,301100
2014-10-17,23.232,23.33,23.040001,23.15,255400
2014-10-20,23.120001,23.48,23.120001,23.459999,260300
2014-10-21,23.59,23.959999,23.59,23.91,159800
2014-10-22,24,24.129999,23.790001,23.799999,151500
2014-10-23,23.92,24.110001,23.92,23.98,162700
2014-10-24,24.040001,24.129999,23.870001,24.129999,150300
2014-10-27,23.927999,24.120001,23.9,24.1,159400
2014-10-28,23.969999,24.120001,23.870001,24.120001,214700
2014-10-29,24.24,24.290001,24.014999,24.16,161400
2014-10-30,24.129999,24.379999,24.120001,24.309999,157200
2014-10-31,24.469999,24.629999,24.455,24.610001,159500
2014-11-03,24.610001,24.719999,24.575001,24.6,209800
2014-11-04,24.57,24.577999,24.4,24.5,304400
2014-11-05,24.549999,24.629999,24.51,24.620001,206200
2014-11-06,24.610001,24.67,24.5,24.65,156400
2014-11-07,24.67,24.75,24.629999,24.709999,161300
2014-11-10,24.77,24.780001,24.68,24.75,99100
2014-11-11,24.73,24.809999,24.709999,24.809999,93900
2014-11-12,24.860001,25.07,24.860001,25.07,1700
2014-11-13,25.096001,25.112,24.99,25.02,3500
2014-11-14,25.139999,25.25,25.139999,25.25,1300
2014-11-17,25.165001,25.209999,25.165001,25.190001,19600
2014-11-18,25.200001,25.280001,25.129999,25.24,10000
2014-11-19,25.18,25.34,25.17,25.27,342600
2014-11-20,25.381001,25.381001,25.34,25.34,3400
2014-11-21,25.33,25.33,25.17,25.23,4100
2014-11-24,25.23,25.33,25.200001,25.33,28900
2014-11-25,25.274,25.290001,25.24,25.24,72800
2014-11-26,25.35,25.370001,25.309999,25.360001,219100
2014-11-28,25.32,25.379999,25.32,25.379999,3400
2014-12-01,24.940001,25.01,24.940001,24.99,17200
2014-12-02,25.09,25.1,24.995001,25.030001,23300
2014-12-03,25.18,25.219999,25.18,25.219999,1000
2014-12-04,25.110001,25.110001,25.110001,25.110001,100
2014-12-05,25.051001,25.1,25.051001,25.1,2300
2014-12-08,24.93,24.93,24.653,24.653,5100
2014-12-09,24.52,24.52,24.52,24.52,400
2014-12-10,24.34,24.34,24.204,24.280001,3800
2014-12-11,24.030001,24.76,24.030001,24.530001,12000
2014-12-12,24.322001,24.33,24.281,24.281,35600
2014-12-15,24,24.209999,24,24.139999,7600
2014-12-16,24.344999,24.360001,23.99,24.059999,5400
2014-12-17,24.375999,24.559999,24.375999,24.52,7600
2014-12-18,24.93,25.049999,24.799999,25.049999,10100
2014-12-19,25.08,25.32,25.08,25.309999,67800
2014-12-22,25.304001,25.304001,25.299999,25.299999,600
2014-12-23,25.379999,25.469999,25.379999,25.459999,4800
2014-12-24,25.379999,25.43,25.360001,25.360001,1200
2014-12-26,25.528999,25.528999,25.43,25.440001,14400
2014-12-29,25.5,25.52,25.459999,25.52,2700
2014-12-30,25.48,25.51,25.459999,25.469999,10900
2014-12-31,25.469999,25.469999,25.23,25.26,800
2015-01-02,25.041,25.041,25.041,25.041,300
2015-01-05,24.594999,24.6,24.594999,24.6,3800
2015-01-06,24.65,24.65,24.299999,24.42,12400
2015-01-07,24.559999,24.559999,24.51,24.540001,500
2015-01-08,25.104,25.110001,25.104,25.110001,400
2015-01-09,24.77,24.809999,24.77,24.77,3100
2015-01-12,24.608999,24.620001,24.59,24.59,500
2015-01-13,24.469999,24.469999,24.469999,24.469999,100
2015-01-14,24.610001,24.610001,24.59,24.6,7400
2015-01-15,24.559999,24.559999,24.360001,24.360001,500
2015-01-16,24.360001,24.360001,24.360001,24.360001,0
2015-01-20,24.34,24.459999,24.34,24.43,22900
2015-01-21,24.68,24.68,24.610001,24.65,4900
2015-01-22,24.690001,25.1,24.690001,25.1,4200
2015-01-23,25.01,25.065001,24.99,25,145800
2015-01-26,25.030001,25.030001,25.030001,25.030001,200
2015-01-27,24.719999,24.85,24.719999,24.85,500
2015-01-28,24.74,24.77,24.5,24.5,13100
2015-01-29,24.5,24.5,24.5,24.5,0
2015-01-30,24.299,24.41,24.288,24.32,11200
2015-02-02,24.721001,24.76,24.721001,24.76,1200
2015-02-03,25.629999,25.688999,25.629999,25.688999,400
2015-02-04,25.49,25.559999,25.4,25.42,6500
2015-02-05,25.764999,25.794001,25.68,25.794001,800
2015-02-06,25.959999,25.98,25.950001,25.950001,800
2015-02-09,25.959999,26.059999,25.959999,26.059999,5600
2015-02-10,25.92,26.073999,25.92,26.056999,1500
2015-02-11,26.01,26.157,26.01,26.157,2400
2015-02-12,26.280001,26.282,26.280001,26.282,5800
2015-02-13,26.427999,26.49,26.427999,26.469999,1400
2015-02-17,26.48,26.65,26.48,26.610001,18400
2015-02-18,26.389999,26.43,26.379999,26.42,1300
2015-02-19,26.540001,26.540001,26.540001,26.540001,200
2015-02-20,26.579,26.599001,26.540001,26.599001,800
2015-02-23,26.67,26.67,26.6,26.66,61200
2015-02-24,26.790001,26.809999,26.68,26.724001,8200
2015-02-25,26.469,26.5,26.469,26.495001,3600
2015-02-26,26.379999,26.389999,26.282,26.309999,11000
